MeasurementDateGMT,Barking and Dagenham - Rush Green: Nitric Oxide (ug/m3),Barking and Dagenham - Rush Green: Nitrogen Dioxide (ug/m3),Barking and Dagenham - Rush Green: Oxides of Nitrogen (ug/m3),Barking and Dagenham - Rush Green: Sulphur Dioxide (ug/m3)
2018-01-01,64.20000000000002,417.09999999999997,515.5,117.60000000000005
2018-01-02,117.89999999999995,647.6500000000001,828.05,117.60000000000005
2018-01-03,62.85,367.15000000000003,463.04999999999995,117.60000000000005
2018-01-04,89.95000000000003,579.9,717.9499999999999,117.60000000000005
2018-01-05,187.35,837.2499999999999,1124.4,117.60000000000005
2018-01-06,500.05,814.9,1581.35,117.60000000000005
2018-01-07,66.55,315.70000000000005,417.5,117.60000000000005
2018-01-08,83.60000000000002,494.19999999999993,622.3499999999999,117.60000000000005
2018-01-09,522.7000000000002,826.6999999999999,1628.0,117.60000000000005
2018-01-10,996.45,1235.9,2763.8999999999996,117.60000000000005
2018-01-11,685.1999999999999,907.1500000000002,1957.25,117.60000000000005
2018-01-12,295.50000000000006,952.0999999999999,1405.2500000000002,117.60000000000005
2018-01-13,79.39999999999999,584.2500000000001,706.0000000000001,117.60000000000005
2018-01-14,97.0,683.0000000000001,831.6500000000001,117.60000000000005
2018-01-15,53.949999999999996,513.9000000000001,596.7,117.60000000000005
2018-01-16,57.89999999999999,530.75,619.7499999999999,117.60000000000005
2018-01-17,56.600000000000016,479.95000000000005,566.5500000000001,117.60000000000005
2018-01-18,71.1,571.7000000000002,680.35,117.60000000000005
2018-01-19,138.6,927.4999999999999,1140.4,117.60000000000005
2018-01-20,93.05000000000001,772.1,914.85,117.60000000000005
2018-01-21,121.69999999999997,822.7499999999999,1009.3000000000001,117.60000000000005
2018-01-22,115.15,874.0500000000001,1050.55,117.60000000000005
2018-01-23,43.79999999999999,524.4,591.8499999999999,117.60000000000005
2018-01-24,38.2,451.04999999999995,510.09999999999997,117.60000000000005
2018-01-25,58.2,628.9000000000001,717.9000000000001,117.60000000000005
2018-01-26,385.74999999999994,1053.2,1644.8999999999999,123.2
2018-01-27,244.6999999999999,783.0500000000002,1158.05,125.60000000000001
2018-01-28,41.300000000000004,407.4,470.95,117.40000000000002
2018-01-29,70.9,658.65,767.05,108.10000000000002
2018-01-30,1264.5499999999997,1197.4499999999998,3136.750000000001,120.20000000000002
2018-01-31,32.3,574.7,624.4499999999999,101.10000000000002
2018-02-01,27.7,575.5,617.6500000000001,91.80000000000001
2018-02-02,276.55,823.7,1248.2500000000002,94.60000000000001
2018-02-03,195.74999999999994,1098.8500000000001,1398.8000000000002,86.8
2018-02-04,17.199999999999996,435.8,461.79999999999995,71.89999999999999
2018-02-05,27.65,561.6,604.25,63.85
2018-02-06,105.55000000000001,792.6500000000001,954.0000000000001,63.3
2018-02-07,667.5999999999999,1023.8000000000001,2047.35,74.19999999999999
2018-02-08,1176.1499999999999,1084.2,2887.5499999999997,81.79999999999997
2018-02-09,87.2,603.05,737.1499999999999,49.2
2018-02-10,192.79999999999998,756.4000000000001,1052.15,60.499999999999986
2018-02-11,52.55,364.7000000000001,445.35,63.499999999999986
2018-02-12,109.85000000000001,827.4999999999999,995.9499999999999,55.30000000000001
2018-02-13,31.699999999999996,448.85000000000014,497.34999999999997,51.20000000000001
2018-02-14,182.75,582.1499999999997,862.3999999999997,37.800000000000004
2018-02-15,59.049999999999976,691.6500000000001,782.0,30.299999999999997
2018-02-16,514.75,1270.3,2059.7000000000003,55.79999999999999
2018-02-17,492.25000000000006,1198.4500000000003,1952.8999999999999,58.6
2018-02-18,120.44999999999996,929.1500000000001,1113.95,50.7
2018-02-19,283.0,984.5500000000002,1417.95,41.6
2018-02-20,150.60000000000002,588.2,819.2499999999995,38.99999999999999
2018-02-21,144.59999999999997,703.1000000000001,925.15,37.199999999999996
2018-02-22,59.300000000000004,632.55,723.5000000000001,25.399999999999995
2018-02-23,54.39999999999999,586.9000000000002,670.5999999999998,33.93333333333334
2018-02-24,58.40000000000001,508.20000000000005,597.8500000000003,34.57333333333333
2018-02-25,53.650000000000006,360.70000000000005,443.15,35.21333333333332
2018-02-26,55.99999999999999,371.05000000000007,457.1499999999999,35.853333333333325
2018-02-27,83.24999999999999,682.25,809.7,36.49333333333333
2018-02-28,96.75000000000001,584.9999999999998,732.9500000000003,37.13333333333334
2018-03-01,45.44999999999999,442.0999999999999,562.15,37.77333333333334
2018-03-02,46.35,673.05,795.4999999999998,37.026666666666685
2018-03-03,62.95,772.8499999999999,869.1500000000001,33.500000000000014
2018-03-04,67.90000000000003,708.9999999999999,813.75,27.700000000000006
2018-03-05,68.30000000000001,645.05,749.4500000000002,30.500000000000014
2018-03-06,377.99999999999994,974.3,1554.55,20.800000000000004
2018-03-07,362.2000000000001,1116.8,1672.2,28.700000000000006
2018-03-08,78.19999999999999,583.6999999999999,706.1,21.500000000000004
2018-03-09,394.4,1107.5000000000002,1712.4000000000003,19.8
2018-03-10,117.75,690.1,869.4,23.2
2018-03-11,162.85,864.5999999999999,1109.8000000000002,20.0
2018-03-12,122.30000000000001,734.2000000000002,921.5,16.099999999999998
2018-03-13,139.95000000000002,858.1500000000001,1072.95,11.299999999999997
2018-03-14,104.69999999999999,654.1,814.7,14.999999999999996
2018-03-15,92.14999999999998,767.8,908.8,21.200000000000003
2018-03-16,90.64999999999999,660.8,800.1500000000001,17.299999999999997
2018-03-17,165.7,398.04999999999995,652.25,20.900000000000002
2018-03-18,548.05,304.54999999999995,1144.5,18.4
2018-03-19,577.4499999999999,342.75,1228.0,21.499999999999996
2018-03-20,492.8,650.0,1406.2999999999997,21.599999999999998
2018-03-21,790.9,975.1,2187.7999999999997,25.5
2018-03-22,127.59999999999995,660.9,856.8000000000001,8.8
2018-03-23,76.39999999999999,413.05,530.0000000000001,4.2
2018-03-24,79.1,541.5,661.5,2.8000000000000003
2018-03-25,88.12400000000001,512.124,645.948,6.799999999999998
2018-03-26,97.148,482.74800000000005,630.396,1.2000000000000002
2018-03-27,106.172,453.37199999999996,614.844,1.0000000000000002
2018-03-28,115.196,423.99600000000004,599.2919999999999,-2.220446049250313e-16
2018-03-29,124.21999999999998,394.62,583.74,7.2
2018-03-30,133.244,365.24399999999997,568.1879999999999,1.9999999999999996
2018-03-31,142.268,335.868,552.6360000000001,3.1999999999999997
2018-04-01,151.292,306.492,537.084,3.5999999999999996
2018-04-02,160.31599999999997,277.116,521.532,4.6
2018-04-03,169.34,247.74,505.97999999999996,13.999999999999998
2018-04-04,178.364,218.36399999999998,490.4280000000001,8.1
2018-04-05,197.26599999999993,344.366,645.682,4.4
2018-04-06,209.3,687.9499999999999,1008.5000000000001,-0.19999999999999996
2018-04-07,244.19999999999996,815.7499999999999,1189.4999999999998,0.8999999999999998
2018-04-08,229.15,829.1500000000003,1179.9000000000003,-7.6
2018-04-09,149.70000000000002,490.3,718.5999999999999,-7.999999999999999
2018-04-10,184.05,656.9500000000002,938.6,-0.6000000000000002
2018-04-11,236.90000000000006,577.6999999999999,940.5000000000001,-0.49999999999999967
2018-04-12,246.34999999999997,465.4999999999999,842.7500000000002,-3.4
2018-04-13,255.89999999999998,763.3,1154.7,-4.8999999999999995
2018-04-14,346.09999999999997,728.4000000000002,1258.6500000000003,7.1
2018-04-15,119.60000000000001,392.6,576.1500000000001,11.299999999999999
2018-04-16,71.75000000000001,291.8500000000001,401.85,-3.5000000000000004
2018-04-17,59.400000000000006,279.3,370.24999999999994,2.1999999999999997
2018-04-18,210.65,671.65,994.0999999999999,13.6
2018-04-19,338.3500000000001,1061.6,1579.7500000000002,15.199999999999998
2018-04-20,518.0999999999999,832.75,1626.8999999999996,14.000000000000002
2018-04-21,164.90000000000003,622.5500000000001,874.45,14.599999999999998
2018-04-22,119.49999999999997,328.55,511.4,4.2
2018-04-23,74.64999999999998,210.39999999999995,324.65,0.2999999999999996
2018-04-24,57.949999999999996,173.99999999999997,262.90000000000003,-5.4
2018-04-25,59.400000000000006,157.14999999999998,248.55,-7.15
2018-04-26,69.75,235.40000000000003,342.9,8.1
2018-04-27,139.95000000000002,479.95000000000005,695.5000000000001,13.999999999999996
2018-04-28,122.40000000000002,282.0,470.45000000000005,6.5
2018-04-29,61.215789473684204,100.20526315789476,193.62105263157895,10.18421052631579
2018-04-30,124.73684210526316,243.37894736842105,434.11578947368423,21.663157894736845
2018-05-01,189.61263157894734,378.2842105263159,668.4568421052633,25.907368421052634
2018-05-02,254.4884210526316,513.1894736842106,902.7978947368422,30.15157894736842
2018-05-03,319.36421052631573,648.0947368421051,1137.1389473684212,34.395789473684204
2018-05-04,384.24,783.0000000000001,1371.48,38.64
2018-05-05,449.1157894736843,917.9052631578943,1605.8210526315793,42.88421052631579
2018-05-06,513.9915789473685,1052.8105263157897,1840.1621052631579,47.12842105263159
2018-05-07,251.33473684210534,759.2815789473685,1144.8563157894737,51.64526315789472
2018-05-08,304.2,611.8,1078.6,31.7
2018-05-09,132.74999999999997,319.2500000000001,523.1500000000001,23.599999999999998
2018-05-10,78.29999999999998,325.95,446.6000000000002,20.299999999999994
2018-05-11,77.25,290.49999999999994,409.59999999999985,28.19999999999999
2018-05-12,88.39999999999999,377.00000000000006,511.45000000000005,16.1
2018-05-13,131.29999999999998,364.1999999999999,565.45,15.599999999999996
2018-05-14,77.46769911504424,240.35176991150445,359.6269911504425,28.58938053097345
2018-05-15,80.02831858407079,229.76283185840708,353.88318584070794,37.42300884955752
2018-05-16,111.63185840707965,267.48318584070796,439.51858407079646,41.50088495575222
2018-05-17,143.23539823008852,305.2035398230088,525.1539823008849,45.578761061946906
2018-05-18,174.83893805309737,342.9238938053097,610.7893805309735,49.65663716814159
2018-05-19,92.94778761061949,258.92477876106193,401.7778761061946,25.85132743362831
2018-05-20,58.699999999999996,213.1999999999999,303.8,14.799999999999997
2018-05-21,66.25,458.95000000000005,560.5499999999998,82.45
2018-05-22,32.2,385.4,434.7,111.19999999999999
2018-05-23,19.1,327.70000000000005,357.5,83.99999999999999
2018-05-24,31.60000000000001,422.8999999999999,471.19999999999993,78.4
2018-05-25,58.29999999999998,584.4999999999999,673.9999999999999,71.6
2018-05-26,22.300000000000008,332.4000000000001,367.0,56.1
2018-05-27,45.59999999999998,465.40000000000003,534.6999999999999,55.90000000000001
2018-05-28,41.599999999999994,323.29999999999995,386.40000000000003,40.4
2018-05-29,37.54262295081967,346.4819672131148,404.3360655737704,49.5655737704918
2018-05-30,37.213619167717525,404.98713745271124,463.1334174022698,54.80201765447668
2018-05-31,36.051450189155105,399.68474148802017,456.015132408575,56.76317780580076
2018-06-01,34.889281210592685,394.38234552332915,448.89684741488026,58.72433795712485
2018-06-02,33.72711223203026,389.0799495586381,441.77856242118554,60.68549810844893
2018-06-03,32.564943253467845,383.77755359394706,434.66027742749054,62.64665825977301
2018-06-04,31.402774274905426,378.47515762925593,427.5419924337956,64.60781841109711
2018-06-05,30.240605296343006,373.17276166456503,420.4237074401008,66.56897856242118
2018-06-06,29.078436317780586,367.87036569987396,413.3054224464061,68.53013871374527
2018-06-07,27.916267339218166,362.5679697351828,406.18713745271134,70.49129886506937
2018-06-08,26.754098360655746,357.26557377049187,399.0688524590165,72.45245901639345
2018-06-09,25.59192938209332,351.9631778058008,391.9505674653215,74.41361916771751
2018-06-10,24.4297604035309,346.6607818411097,384.8322824716266,76.37477931904162
2018-06-11,23.26759142496848,341.35838587641877,377.7139974779319,78.33593947036572
2018-06-12,22.105422446406056,336.05598991172764,370.59571248423714,80.29709962168981
2018-06-13,20.943253467843636,330.7535939470366,363.47742749054237,82.25825977301388
2018-06-14,19.781084489281213,325.45119798234555,356.35914249684754,84.21941992433796
2018-06-15,18.618915510718793,320.14880201765453,349.2408575031525,86.18058007566205
2018-06-16,17.45674653215637,314.84640605296346,342.1225725094577,88.14174022698613
2018-06-17,16.29457755359395,309.5440100882724,335.00428751576294,90.10290037831021
2018-06-18,15.132408575031528,304.24161412358137,327.88600252206817,92.06406052963432
2018-06-19,13.970239596469108,298.93921815889036,320.7677175283734,94.0252206809584
2018-06-20,12.808070617906687,293.6368221941993,313.64943253467834,95.98638083228248
2018-06-21,11.645901639344267,288.3344262295082,306.53114754098357,97.94754098360657
2018-06-22,10.483732660781843,283.0320302648172,299.41286254728874,99.90870113493067
2018-06-23,9.321563682219423,277.7296343001261,292.294577553594,101.86986128625473
2018-06-24,8.159394703657002,272.42723833543516,285.1762925598992,103.83102143757883
2018-06-25,6.997225725094582,267.124842370744,278.05800756620437,105.79218158890292
2018-06-26,5.8350567465321586,261.82244640605296,270.9397225725094,107.753341740227
2018-06-27,4.672887767969738,256.5200504413619,263.8214375788146,109.71450189155108
2018-06-28,3.5107187894073166,251.2176544766709,256.7031525851198,111.67566204287516
2018-06-29,2.348549810844896,245.91525851197983,249.58486759142505,113.63682219419927
2018-06-30,1.1863808322824738,240.6128625472888,242.46658259773014,115.59798234552332
2018-07-01,-2.8426229508196714,273.9180327868853,269.5639344262296,121.03442622950818
2018-07-02,5.800000000000001,328.59999999999985,337.39999999999986,103.10000000000001
2018-07-03,-5.399999999999999,158.35000000000005,149.95000000000005,91.3
2018-07-04,2.500000000000001,237.80000000000004,325.4000000000001,83.4
2018-07-05,32.1,570.6999999999999,620.0,91.50000000000001
2018-07-06,17.400000000000002,433.49999999999983,459.8999999999999,89.60000000000001
2018-07-07,10.350000000000003,396.99999999999983,412.9499999999998,92.5
2018-07-08,-2.0999999999999996,250.20000000000005,247.20000000000005,87.8
2018-07-09,31.099999999999998,390.8999999999998,438.09999999999985,83.49999999999999
2018-07-10,15.0,200.00000000000009,222.90000000000006,64.8
2018-07-11,8.899999999999999,201.50000000000006,214.80000000000007,77.29999999999998
2018-07-12,2.95,220.55000000000007,224.60000000000008,69.8
2018-07-13,2.4000000000000004,189.40000000000006,193.10000000000008,81.59999999999998
2018-07-14,9.900000000000002,328.5000000000001,343.8000000000002,74.69999999999997
2018-07-15,16.799999999999997,469.99999999999994,495.2999999999999,91.39999999999998
2018-07-16,21.849999999999998,410.29999999999995,443.95000000000005,82.19999999999999
2018-07-17,13.700000000000003,273.40000000000003,365.6,84.8
2018-07-18,26.699999999999996,461.29999999999995,577.3,86.59999999999998
