MeasurementDateGMT,Barking and Dagenham - Scrattons Farm: Nitric Oxide (ug/m3),Barking and Dagenham - Scrattons Farm: Nitrogen Dioxide (ug/m3),Barking and Dagenham - Scrattons Farm: Oxides of Nitrogen (ug/m3),Barking and Dagenham - Scrattons Farm: PM10 Particulate (ug/m3)
2018-01-01,21.6,262.9,296.1,253.39999999999998
2018-01-02,45.50000000000001,439.19999999999993,508.8,382.1
2018-01-03,35.05,350.75,404.59999999999997,624.9000000000001
2018-01-04,221.90000000000006,696.7,1037.1,318.79999999999995
2018-01-05,132.60000000000002,721.5999999999998,924.4000000000001,270.0
2018-01-06,659.3000000000002,789.4,1800.6999999999996,422.90000000000015
2018-01-07,41.7,221.00000000000003,284.8,322.29999999999995
2018-01-08,208.29999999999995,578.8000000000001,898.3,451.09999999999997
2018-01-09,819.3000000000002,844.7,2100.6,823.3000000000002
2018-01-10,1148.5,1122.8000000000002,2883.5000000000005,474.3
2018-01-11,938.1999999999999,883.9000000000001,2321.7999999999997,550.0999999999999
2018-01-12,511.30000000000007,903.3000000000002,1687.7,654.9000000000001
2018-01-13,134.7,597.4000000000001,803.9000000000001,598.2999999999998
2018-01-14,114.4,544.5,720.1000000000003,657.6
2018-01-15,58.50000000000001,388.5,478.29999999999995,272.8
2018-01-16,75.89999999999999,502.5999999999999,619.1999999999999,278.0
2018-01-17,81.0,447.4,571.8000000000001,363.24999999999994
2018-01-18,105.19999999999999,552.4999999999999,714.1,242.4
2018-01-19,174.70000000000002,873.9999999999999,1142.0,340.90000000000003
2018-01-20,228.15,854.2500000000001,1204.0499999999997,250.99999999999997
2018-01-21,199.1,861.4000000000001,1167.2,341.50000000000006
2018-01-22,217.7,962.3999999999999,1296.1000000000001,364.09999999999997
2018-01-23,57.8,318.19999999999993,406.69999999999993,217.79999999999998
2018-01-24,59.10000000000001,312.00000000000006,402.6000000000001,198.15
2018-01-25,84.4,419.8,549.3000000000001,370.4999999999999
2018-01-26,598.7,1061.6999999999998,1979.8999999999996,476.80000000000007
2018-01-27,218.89999999999998,560.9999999999999,896.9,319.0000000000001
2018-01-28,47.5,290.7,363.40000000000003,168.49999999999997
2018-01-29,127.4,733.4,928.6,282.49999999999994
2018-01-30,747.1000000000001,847.9999999999999,1993.2,532.0999999999999
2018-01-31,82.6,540.0000000000001,666.5,250.49999999999997
2018-02-01,181.60000000000005,727.2,1005.4,298.9999999999999
