MeasurementDateGMT,Bexley - Belvedere West FDMS: PM10 Particulate (ug/m3)
2018-01-01,199.50000000000003
2018-01-02,250.70000000000005
2018-01-03,361.6
2018-01-04,228.10000000000002
2018-01-05,202.10000000000002
2018-01-06,389.6000000000001
2018-01-07,209.39999999999998
2018-01-08,373.7
2018-01-09,756.7
2018-01-10,379.99999999999994
2018-01-11,565.6999999999999
2018-01-12,568.1
2018-01-13,564.6000000000001
2018-01-14,630.0000000000001
2018-01-15,185.19999999999996
2018-01-16,163.4
2018-01-17,236.79999999999993
2018-01-18,190.69999999999996
2018-01-19,250.9
2018-01-20,196.79999999999998
2018-01-21,321.00000000000006
2018-01-22,257.0
2018-01-23,180.9
2018-01-24,176.29999999999998
2018-01-25,224.50000000000003
2018-01-26,313.09999999999997
2018-01-27,307.20000000000005
2018-01-28,160.19999999999996
2018-01-29,166.09999999999997
2018-01-30,305.3
2018-01-31,138.4
2018-02-01,174.6
2018-02-02,260.6
2018-02-03,285.99999999999994
2018-02-04,245.2
2018-02-05,252.60000000000005
2018-02-06,422.5
2018-02-07,306.1
2018-02-08,275.8
2018-02-09,191.0
2018-02-10,159.29999999999998
2018-02-11,133.2
2018-02-12,194.39999999999998
2018-02-13,184.0
2018-02-14,261.8999999999999
2018-02-15,228.60000000000005
2018-02-16,301.1
2018-02-17,465.30000000000007
2018-02-18,480.1000000000001
2018-02-19,376.4999999999999
2018-02-20,211.10000000000005
2018-02-21,966.6999999999998
2018-02-22,674.5
2018-02-23,630.4999999999998
2018-02-24,662.8
2018-02-25,362.09999999999997
2018-02-26,253.30000000000004
2018-02-27,281.5
2018-02-28,507.0000000000001
2018-03-01,894.8999999999999
2018-03-02,1068.8999999999999
2018-03-03,1655.8
2018-03-04,461.9
2018-03-05,341.70000000000005
2018-03-06,258.8
2018-03-07,389.7
2018-03-08,170.00000000000003
2018-03-09,401.29999999999995
2018-03-10,386.7000000000001
2018-03-11,473.99999999999994
2018-03-12,277.7
2018-03-13,268.7
2018-03-14,313.6
2018-03-15,301.3
2018-03-16,373.00000000000006
2018-03-17,428.70000000000005
2018-03-18,573.7
2018-03-19,418.40000000000003
2018-03-20,341.0
2018-03-21,422.20000000000005
2018-03-22,352.30000000000007
2018-03-23,299.3
2018-03-24,667.7000000000002
2018-03-25,665.7
2018-03-26,340.7999999999999
2018-03-27,192.2
2018-03-28,195.1
2018-03-29,193.3
2018-03-30,247.90000000000003
2018-03-31,177.59999999999994
2018-04-01,300.4
2018-04-02,238.60000000000002
2018-04-03,242.89999999999998
2018-04-04,255.59999999999994
2018-04-05,177.09999999999997
2018-04-06,391.09999999999997
2018-04-07,747.8000000000001
2018-04-08,605.9999999999998
2018-04-09,709.3999999999999
2018-04-10,698.2000000000002
2018-04-11,1073.7
