MeasurementDateGMT,Bexley - Belvedere West: Nitric Oxide (ug/m3),Bexley - Belvedere West: Nitrogen Dioxide (ug/m3),Bexley - Belvedere West: Oxides of Nitrogen (ug/m3),Bexley - Belvedere West: Ozone (ug/m3),Bexley - Belvedere West: PM10 Particulate (ug/m3)
2018-01-01,23.6,325.6,361.8,1441.8000000000004,263.59999999999997
2018-01-02,40.70000000000001,425.1999999999999,487.9999999999999,1175.9,407.00000000000006
2018-01-03,33.7,307.1,359.2,1607.0,593.8999999999999
2018-01-04,88.70000000000002,474.09999999999997,610.1,1337.4999999999995,335.1
2018-01-05,104.60000000000001,665.3,825.7,1154.7,275.59999999999997
2018-01-06,460.79999999999995,743.3,1449.6000000000001,509.0,451.0000000000001
2018-01-07,52.9,347.1,428.0999999999999,1070.1999999999996,360.6
2018-01-08,73.7,533.0999999999999,645.9000000000001,515.1,508.20000000000005
2018-01-09,633.1500000000001,815.0499999999998,1786.2,79.14999999999999,909.75
2018-01-10,748.7,959.3,2107.2000000000003,583.3000000000002,446.69999999999993
2018-01-11,753.1,866.1,2020.8999999999996,40.60000000000001,570.2000000000002
2018-01-12,374.9,810.9,1385.5999999999997,366.2,650.3000000000002
2018-01-13,49.1,499.50000000000006,574.3000000000002,662.8,606.2
2018-01-14,51.400000000000006,578.8000000000001,657.5999999999999,598.6000000000001,671.3
2018-01-15,33.900000000000006,387.5,440.19999999999993,1132.2000000000003,289.3
2018-01-16,34.9,408.9000000000001,462.2999999999999,1433.6,253.09999999999997
2018-01-17,52.900000000000006,455.09999999999997,536.1999999999998,1340.3000000000002,372.1
2018-01-18,41.300000000000004,502.30000000000007,565.8999999999999,1346.6000000000001,247.5
2018-01-19,77.4,669.5,788.2000000000002,1017.4000000000002,341.9000000000001
2018-01-20,22.899999999999995,567.9000000000001,603.2,1119.8999999999999,249.0
2018-01-21,86.89999999999999,747.6999999999999,881.5,615.0,357.4
2018-01-22,136.90000000000003,831.6,1041.7000000000003,857.4999999999999,349.00000000000006
2018-01-23,18.3,270.90000000000003,299.1,1352.5,236.50000000000003
2018-01-24,15.800000000000002,294.50000000000006,318.69999999999993,1499.2999999999997,214.09999999999997
2018-01-25,27.500000000000004,368.09999999999997,410.19999999999993,1353.6000000000001,401.79999999999995
2018-01-26,235.89999999999998,832.2,1193.8000000000002,587.2999999999998,404.1
2018-01-27,149.29999999999998,565.6000000000001,794.5000000000002,867.7,344.3999999999999
2018-01-28,9.599999999999998,205.40000000000003,220.20000000000002,1452.9999999999998,181.89999999999998
2018-01-29,47.49999999999999,550.9,623.7000000000002,1221.7,231.40000000000003
2018-01-30,573.4000000000001,881.4000000000001,1760.8,591.9,421.7000000000001
2018-01-31,31.0,404.59999999999997,451.90000000000003,1399.9000000000005,239.70000000000002
2018-02-01,52.0,500.70000000000005,580.1,1143.3999999999999,270.3
2018-02-02,214.90000000000003,751.6000000000001,1080.8999999999999,695.1000000000001,411.49999999999994
