MeasurementDateGMT,Bexley - Belvedere: Nitric Oxide (ug/m3),Bexley - Belvedere: Nitrogen Dioxide (ug/m3),Bexley - Belvedere: Oxides of Nitrogen (ug/m3),Bexley - Belvedere: PM10 Particulate (ug/m3)
2018-01-01,19.5,311.00000000000006,341.0,209.09999999999994
2018-01-02,48.599999999999994,414.0,488.6,361.59999999999997
2018-01-03,24.799999999999997,231.10000000000002,268.6,467.4
2018-01-04,138.00000000000006,468.9999999999999,680.6,295.1
2018-01-05,118.80000000000001,622.4,805.1999999999999,247.3
2018-01-06,482.5999999999999,771.6999999999998,1511.6000000000001,516.9000000000001
2018-01-07,26.199999999999996,196.50000000000006,236.6,427.79999999999995
2018-01-08,185.79999999999998,584.2,868.3999999999999,553.6999999999999
2018-01-09,853.7000000000003,839.8999999999999,2148.8000000000006,886.9999999999999
2018-01-10,789.1,955.6000000000001,2165.2999999999997,456.8
2018-01-11,793.3999999999999,873.7999999999998,2090.3,602.1
2018-01-12,616.3999999999999,920.7,1866.3000000000002,681.4
2018-01-13,139.2,550.2,763.8000000000001,642.5999999999999
2018-01-14,84.19999999999999,579.6,708.8,681.0999999999999
2018-01-15,31.099999999999998,338.5,386.40000000000003,286.2
2018-01-16,30.800000000000004,357.6,404.4999999999999,243.8
2018-01-17,42.699999999999996,406.69999999999993,472.6,356.59999999999997
2018-01-18,37.0,449.90000000000003,506.30000000000007,229.10000000000002
2018-01-19,73.85000000000001,583.6999999999998,696.4500000000002,328.00000000000006
2018-01-20,64.1,598.9,696.6999999999998,253.40000000000003
2018-01-21,168.00000000000003,818.5999999999998,1075.9999999999998,363.29999999999984
2018-01-22,98.8,696.9,848.2999999999997,317.79999999999995
2018-01-23,20.700000000000006,246.3,278.59999999999997,231.10000000000002
2018-01-24,16.2,238.4,263.5,195.10000000000002
2018-01-25,42.0,425.8,490.3,375.8
2018-01-26,291.6,953.3999999999999,1399.8999999999999,420.8
2018-01-27,169.99999999999997,595.9999999999999,856.4999999999997,340.3999999999999
2018-01-28,14.899999999999999,150.5,172.90000000000003,164.00000000000003
2018-01-29,52.199999999999996,555.4,635.5999999999999,205.79999999999998
2018-01-30,669.3999999999999,992.1,2018.3000000000002,420.40000000000003
2018-01-31,33.4,394.50000000000006,445.09999999999997,211.1
2018-02-01,42.4,500.0,565.6000000000001,236.0
2018-02-02,199.2,817.5,1122.8000000000002,330.5
2018-02-03,151.7,1016.3000000000001,1248.9999999999998,313.80000000000007
2018-02-04,23.499999999999996,316.2,352.1,212.69999999999996
2018-02-05,93.59999999999998,653.9,797.2999999999998,398.79999999999995
2018-02-06,173.8,879.7000000000002,1146.3,491.9
2018-02-07,413.65000000000003,1057.5,1692.2999999999997,386.75999999999993
2018-02-08,273.1,1005.5,1424.3000000000006,361.24
2018-02-09,33.199999999999996,538.3,589.0000000000001,228.70000000000002
2018-02-10,37.1,508.20000000000005,565.5,249.00000000000003
2018-02-11,24.300000000000004,280.00000000000006,316.6,162.9
2018-02-12,70.5,577.2999999999998,685.8999999999999,278.59999999999997
2018-02-13,75.5,490.8,606.8000000000001,224.3
2018-02-14,167.20000000000007,580.3,836.8,283.3
2018-02-15,46.6,459.59999999999997,530.9999999999998,291.8
2018-02-16,315.09999999999997,942.9,1426.1000000000001,488.7000000000001
2018-02-17,771.5,1187.3999999999999,2369.7999999999997,613.6999999999999
2018-02-18,297.90000000000003,766.7000000000003,1223.6999999999998,478.50000000000006
2018-02-19,236.39999999999998,878.5999999999999,1241.2,356.3
2018-02-20,142.89999999999998,591.4,810.5999999999999,255.39999999999998
2018-02-21,199.1,787.9,1093.1999999999998,993.6000000000001
2018-02-22,123.04999999999998,794.1,983.0499999999998,792.7999999999998
2018-02-23,165.10000000000005,889.5000000000001,1142.7,909.3000000000002
2018-02-24,141.29999999999998,716.8000000000001,933.7,817.5999999999999
2018-02-25,66.09999999999997,434.40000000000003,535.6999999999999,462.40000000000003
2018-02-26,52.999999999999986,352.6,433.8,422.4
2018-02-27,202.1,893.3000000000001,1203.2,421.0
2018-02-28,234.10000000000002,770.4000000000001,1129.6000000000004,567.8
2018-03-01,88.39999999999999,667.8,803.1999999999999,965.5
2018-03-02,143.79999999999998,893.6999999999999,1114.1000000000001,1053.7
2018-03-03,203.8,1132.0,1444.7000000000003,1418.3999999999999
2018-03-04,143.0,851.8000000000001,1071.7000000000003,715.3999999999999
2018-03-05,122.1,672.8,860.3,429.5999999999999
2018-03-06,220.7,802.25,1140.35,318.50000000000006
2018-03-07,440.49999999999994,1154.3000000000002,1829.5999999999997,410.70000000000005
2018-03-08,39.1,376.9000000000001,436.9,239.7
2018-03-09,790.6999999999998,1162.1999999999998,2374.5000000000005,559.4999999999999
2018-03-10,48.1,337.9,411.1,427.9
2018-03-11,284.9,1200.5,1637.6000000000001,509.1999999999999
2018-03-12,223.29999999999998,963.6,1306.3000000000002,302.1
2018-03-13,89.10000000000001,711.0999999999999,848.2999999999998,294.80000000000007
2018-03-14,251.50000000000003,748.8000000000001,1134.1,411.7999999999999
2018-03-15,244.2,1023.5,1397.6000000000001,371.30000000000007
2018-03-16,118.7,670.2,851.8999999999999,535.6
2018-03-17,30.200000000000006,312.3999999999999,358.6,420.70000000000005
2018-03-18,37.6,367.8,425.69999999999993,644.7999999999998
2018-03-19,47.50000000000001,475.4,548.4999999999999,634.2
2018-03-20,71.2,779.6,889.0,487.59999999999997
2018-03-21,345.29999999999995,1153.0000000000002,1682.9000000000003,548.9
2018-03-22,71.5,579.1999999999999,689.0999999999999,469.7
2018-03-23,27.699999999999996,333.40000000000003,376.2,423.1
2018-03-24,148.89999999999998,908.1999999999999,1136.4000000000003,652.0
2018-03-25,221.39999999999998,863.9000000000001,1203.6,756.6999999999999
2018-03-26,130.00000000000003,964.7999999999997,1164.3000000000002,474.7000000000001
2018-03-27,65.39999999999999,600.7,700.3999999999999,274.59999999999997
2018-03-28,54.00000000000001,852.4,935.7000000000002,264.29999999999995
2018-03-29,113.39999999999998,732.9999999999998,906.9,287.0
2018-03-30,111.2,798.5999999999999,969.3,299.8
2018-03-31,40.4,486.09999999999997,547.8,194.20000000000005
2018-04-01,43.69999999999999,529.3,595.8,334.9000000000001
2018-04-02,20.6,331.2,363.2000000000001,270.79999999999995
2018-04-03,19.3,273.50000000000006,302.99999999999994,335.5
2018-04-04,28.699999999999996,357.70000000000005,401.59999999999997,314.34999999999997
2018-04-05,61.800000000000004,487.0,581.1999999999999,177.19999999999993
2018-04-06,128.39999999999998,841.2,1038.1000000000001,479.6
2018-04-07,208.09999999999997,809.2,1128.7,594.6
2018-04-08,44.4,627.0000000000001,695.2000000000002,379.79999999999995
2018-04-09,108.39999999999999,875.0999999999999,1041.4,641.3
2018-04-10,142.2,960.0999999999999,1177.9999999999998,672.9
2018-04-11,104.19999999999999,715.9000000000001,875.5999999999999,992.0999999999999
2018-04-12,125.60000000000001,644.5,837.3999999999999,748.5
2018-04-13,62.20000000000001,640.8000000000001,736.1999999999998,517.6999999999998
2018-04-14,151.29999999999998,907.9999999999999,1139.6999999999998,811.8000000000001
2018-04-15,104.20000000000003,619.6,778.4999999999999,658.4999999999999
2018-04-16,26.2,383.2,423.29999999999995,407.50000000000006
2018-04-17,26.7,374.19999999999993,415.3,330.09999999999997
2018-04-18,173.6,1031.6,1297.8,599.1
2018-04-19,754.1000000000001,1649.1999999999996,2805.7,1203.8999999999999
2018-04-20,187.5,1009.1000000000001,1297.1,785.7
2018-04-21,189.50000000000003,1160.4,1451.1000000000004,996.8000000000001
2018-04-22,131.89999999999998,631.1000000000001,833.1999999999998,822.0000000000001
2018-04-23,29.400000000000002,329.5,375.1000000000001,243.29999999999998
