MeasurementDateGMT,Brent - Ikea: Nitric Oxide (ug/m3),Brent - Ikea: Nitrogen Dioxide (ug/m3),Brent - Ikea: Oxides of Nitrogen (ug/m3),Brent - Ikea: Ozone (ug/m3),Brent - Ikea: PM10 Particulate (ug/m3)
2018-01-01,2313.600000000001,1778.3999999999992,5325.599999999999,803.7,381.0
2018-01-02,2313.600000000001,1778.3999999999992,5325.599999999999,445.3,602.0
2018-01-03,2313.600000000001,1778.3999999999992,5325.599999999999,1075.5,642.0
2018-01-04,2313.600000000001,1778.3999999999992,5325.599999999999,550.5999999999999,535.0
2018-01-05,2313.600000000001,1778.3999999999992,5325.599999999999,290.49999999999994,835.0
2018-01-06,2313.600000000001,1778.3999999999992,5325.599999999999,109.30000000000001,602.0
2018-01-07,2313.600000000001,1778.3999999999992,5325.599999999999,503.09999999999997,767.0
2018-01-08,2313.600000000001,1778.3999999999992,5325.599999999999,178.49999999999994,665.0
2018-01-09,2313.600000000001,1778.3999999999992,5325.599999999999,35.4,958.0
2018-01-10,2313.600000000001,1778.3999999999992,5325.599999999999,145.49999999999997,860.0
2018-01-11,2313.600000000001,1778.3999999999992,5325.599999999999,25.4,582.0
2018-01-12,2313.600000000001,1778.3999999999992,5325.599999999999,162.1,1415.0
2018-01-13,2313.600000000001,1778.3999999999992,5325.599999999999,374.3,1037.0
2018-01-14,2313.600000000001,1778.3999999999992,5325.599999999999,146.89999999999998,1011.0
2018-01-15,2313.600000000001,1778.3999999999992,5325.599999999999,529.9999999999999,358.0
2018-01-16,2313.600000000001,1778.3999999999992,5325.599999999999,709.5500000000002,531.0
2018-01-17,2313.600000000001,1778.3999999999992,5325.599999999999,829.6000000000001,548.0
2018-01-18,2313.600000000001,1778.3999999999992,5325.599999999999,853.8000000000001,461.0
2018-01-19,2313.600000000001,1778.3999999999992,5325.599999999999,258.7,859.0
2018-01-20,2313.600000000001,1778.3999999999992,5325.599999999999,152.79999999999998,452.0
2018-01-21,2313.600000000001,1778.3999999999992,5325.599999999999,199.6,484.0
2018-01-22,2313.600000000001,1778.3999999999992,5325.599999999999,326.7,553.0
2018-01-23,2313.600000000001,1778.3999999999992,5325.599999999999,525.5,371.0
2018-01-24,2313.600000000001,1778.3999999999992,5325.599999999999,761.9,281.0
2018-01-25,2313.600000000001,1778.3999999999992,5325.599999999999,320.925,950.0
2018-01-26,2313.600000000001,1778.3999999999992,5325.599999999999,168.325,874.0
2018-01-27,2313.600000000001,1778.3999999999992,5325.599999999999,325.50000000000006,586.0
2018-01-28,2313.600000000001,1778.3999999999992,5325.599999999999,741.6500000000001,331.0
2018-01-29,2313.600000000001,1778.3999999999992,5325.599999999999,634.4,488.0
2018-01-30,2313.600000000001,1778.3999999999992,5325.599999999999,158.4,1226.0
2018-01-31,2313.600000000001,1778.3999999999992,5325.599999999999,662.4000000000001,557.0
2018-02-01,2313.600000000001,1778.3999999999992,5325.599999999999,784.3000000000002,371.0
2018-02-02,2313.600000000001,1778.3999999999992,5325.599999999999,495.29999999999995,600.0
2018-02-03,2313.600000000001,1778.3999999999992,5325.599999999999,95.2,689.0
2018-02-04,2313.600000000001,1778.3999999999992,5325.599999999999,451.59999999999997,466.0
2018-02-05,2361.1,1799.1,5419.000000000003,314.9,797.0
2018-02-06,2095.5999999999995,1677.6999999999998,4890.7,239.99999999999997,1022.0
2018-02-07,2372.7000000000003,1840.0,5477.6,299.5999999999999,1108.0
2018-02-08,4647.699999999999,2348.899999999999,9474.900000000001,356.5,1554.0
2018-02-09,928.0999999999999,1167.3999999999999,2591.2000000000003,784.8,350.0
2018-02-10,2184.9,1711.9000000000003,5061.7,483.3,438.0
2018-02-11,614.9,834.3999999999997,1777.2,1078.8,221.0
2018-02-12,3287.7,2287.2,7328.300000000001,451.2000000000001,964.0
2018-02-13,1651.6000000000001,1626.45,4159.15,661.2500000000001,358.0
2018-02-14,2921.1999999999994,1820.8999999999999,6299.799999999999,487.79999999999995,546.0
2018-02-15,2191.7000000000003,1990.9,5352.3,424.09999999999997,771.0
2018-02-16,5259.3,2758.099999999999,10822.0,164.4,1380.0
2018-02-17,4306.1,2690.2999999999997,9292.9,191.7,1351.0
2018-02-18,2650.6999999999994,2102.1000000000004,6166.500000000002,357.9,928.0
2018-02-19,2401.0999999999995,1709.8999999999999,5391.000000000001,227.7,522.0
2018-02-20,894.5999999999999,1214.5,2586.2000000000003,445.7,428.0
2018-02-21,2521.3,1921.8,5788.100000000001,224.0,1422.0
2018-02-22,2821.0,2263.2,6588.799999999999,260.09999999999997,1533.0
2018-02-23,2931.6000000000004,2133.6,6628.699999999999,276.9,1421.0
2018-02-24,2290.9999999999995,1896.3999999999999,5408.699999999999,342.0,1415.0
2018-02-25,1431.1000000000004,1612.1999999999998,3806.7999999999997,536.6000000000001,926.0
2018-02-26,1899.9,1795.2,4708.199999999999,531.9000000000001,991.0
2018-02-27,2672.2,2131.9,6228.8,372.2,1782.0
2018-02-28,2860.1,2072.4000000000005,6458.4,365.8,741.0
2018-03-01,1423.25,1526.4500000000003,3709.100000000001,552.1500000000001,1007.0
2018-03-02,1629.5000000000002,1569.1000000000001,4067.2000000000003,411.3,1193.0
2018-03-03,1817.2999999999997,1699.4999999999998,4486.0999999999985,201.7,1590.0
2018-03-04,1436.0000000000002,1764.3,3966.7000000000003,426.50000000000006,945.0
2018-03-05,2198.5,1988.7000000000003,5359.7,525.9,976.0
2018-03-06,3847.2999999999997,2540.4999999999995,8439.8,371.40000000000003,1240.0
2018-03-07,3117.8999999999996,2388.9999999999995,7169.500000000002,284.50000000000006,1040.0
2018-03-08,1860.7999999999995,1744.8,4597.599999999999,713.1,693.0
2018-03-09,4978.1,2647.599999999999,10281.099999999999,156.1,1247.0
2018-03-10,1875.4000000000003,1649.7,4524.900000000001,392.6,770.0
2018-03-11,2373.6000000000004,2063.0,5702.699999999999,226.0,1016.0
2018-03-12,1547.8000000000004,1455.2000000000003,3828.4,288.19999999999993,358.0
2018-03-13,2314.7000000000003,1835.6000000000001,5384.900000000001,424.1000000000001,950.0
2018-03-14,1556.9,1631.5500000000004,4018.500000000001,752.4000000000001,853.0
2018-03-15,2455.9,2197.1000000000004,5963.0,568.0,989.0
2018-03-16,2799.6000000000004,2263.9000000000005,6556.500000000001,504.8999999999999,1146.0
2018-03-17,1289.8000000000002,1409.0,3386.2,554.2,658.0
2018-03-18,1106.3999999999996,1336.8,3033.5999999999995,652.9999999999999,891.0
2018-03-19,1304.0000000000002,1577.2,3576.7000000000003,833.1999999999999,1051.0
2018-03-20,1088.6000000000004,1651.2000000000003,3320.6,664.8999999999997,828.0
2018-03-21,2822.9000000000005,2049.7999999999997,6378.300000000001,515.3999999999999,1137.0
2018-03-22,1553.9,1694.5,4077.2000000000003,889.5000000000001,892.0
2018-03-23,1674.3,1775.9999999999998,4343.4,941.4000000000001,1007.0
2018-03-24,2806.2000000000003,2049.9999999999995,6353.400000000001,174.3,1215.0
2018-03-25,1686.9999999999998,1667.5000000000002,4254.4,251.5,1158.0
2018-03-26,2015.1,2215.5,5305.499999999999,506.20000000000005,903.0
2018-03-27,2002.6999999999998,1783.4000000000005,4854.1,476.19999999999993,538.0
2018-03-28,3105.2,2246.7999999999997,7007.999999999999,288.59999999999997,471.0
2018-03-29,3289.0,2532.8,7576.4,363.6999999999999,721.0
2018-03-30,2266.0,2094.6000000000004,5569.5,412.29999999999995,478.0
2018-03-31,1451.1000000000001,1382.8000000000002,3607.7,593.0999999999999,299.0
2018-04-01,812.6,1089.8999999999999,2335.6,894.1999999999999,416.0
2018-04-02,1090.8,1315.6,2988.0000000000005,699.9000000000001,468.0
2018-04-03,1334.9000000000003,1511.0000000000002,3558.3999999999996,795.3,595.0
2018-04-04,1063.6,1357.3,2988.1,996.0999999999999,548.0
2018-04-05,1299.3999999999999,1433.9,3426.2,988.8,518.0
2018-04-06,2117.0,2015.9999999999998,5262.400000000001,763.8,920.0
2018-04-07,2179.2999999999997,2015.3,5356.699999999999,481.20000000000005,1119.0
2018-04-08,1881.9999999999998,1778.5000000000002,4664.0,280.0,619.0
2018-04-09,3003.8,2206.7999999999997,6812.4,217.0,777.0
2018-04-10,2488.2,1987.2,5802.6,201.90000000000003,1066.0
2018-04-11,1984.8000000000002,1839.3000000000002,4882.599999999999,169.29999999999998,1270.0
2018-04-12,1527.7999999999997,1421.7,3763.7999999999993,248.20000000000005,1078.0
2018-04-13,2864.7000000000007,2081.9,6474.0,296.3,1324.0
2018-04-14,2307.0000000000005,2167.1,5704.8,429.7,1457.0
