MeasurementDateGMT,Brent - John Keble Primary School: Nitric Oxide (ug/m3),Brent - John Keble Primary School: Nitrogen Dioxide (ug/m3),Brent - John Keble Primary School: Oxides of Nitrogen (ug/m3),Brent - John Keble Primary School: PM10 Particulate (ug/m3)
2018-01-01,186.20000000000002,702.4,987.0000000000002,280.59999999999997
2018-01-02,396.3999999999999,1017.4999999999999,1625.4000000000003,462.90000000000003
2018-01-03,193.20000000000002,583.1999999999999,879.2999999999998,599.8
2018-01-04,407.3,1064.8000000000002,1689.4,371.5
2018-01-05,1068.6,1550.9999999999998,3189.8999999999996,419.4
2018-01-06,737.1000000000003,1090.9999999999998,2220.9,411.79999999999995
2018-01-07,82.5,399.59999999999997,526.1,297.9
2018-01-08,113.5,644.0000000000001,817.8000000000001,416.99999999999994
2018-01-09,1236.5,1191.2,3087.5999999999995,746.0
2018-01-10,1948.0999999999997,1757.1999999999998,4744.2,581.5
2018-01-11,1535.5000000000002,1319.1000000000001,3673.3,583.3
2018-01-12,771.3000000000001,1144.7,2327.2,614.3000000000001
2018-01-13,423.4,930.3,1579.4,637.8
2018-01-14,297.4,905.8000000000001,1362.1,631.3000000000001
2018-01-15,307.2,915.3000000000001,1386.3000000000002,299.5999999999999
2018-01-16,327.5,945.9999999999999,1448.6000000000001,321.1
2018-01-17,333.59999999999997,880.1999999999998,1391.7,392.4
2018-01-18,400.20000000000005,948.6999999999999,1562.5000000000005,311.9
2018-01-19,810.5000000000001,1505.9,2748.2999999999997,468.9
2018-01-20,284.40000000000003,1272.8,1708.9,236.8
2018-01-21,623.8,1377.8,2334.6,412.2
2018-01-22,758.9000000000001,1377.8000000000002,2541.2000000000003,420.7999999999999
2018-01-23,246.79999999999998,915.8,1293.8999999999999,248.60000000000002
2018-01-24,217.20000000000002,827.1999999999999,1159.9,218.90000000000003
2018-01-25,504.50000000000006,1212.2999999999997,1985.7,459.49999999999994
2018-01-26,1358.0000000000002,1684.0,3766.3500000000004,564.4
2018-01-27,517.5,1114.9000000000003,1907.9,366.8000000000001
2018-01-28,140.20000000000002,543.0,758.0000000000001,191.8
2018-01-29,434.1,1016.9000000000001,1682.3999999999999,263.1
2018-01-30,2162.7,1798.0000000000002,5114.100000000001,612.5999999999999
2018-01-31,345.0,953.6,1483.1,294.40000000000003
2018-02-01,634.8,1012.6,1985.7999999999997,329.4
2018-02-02,1145.7,1320.0000000000002,3076.9,517.8999999999999
2018-02-03,626.7,1510.7000000000003,2471.6999999999994,346.3999999999999
2018-02-04,125.89999999999999,559.0,752.1,211.3
2018-02-05,180.7,733.5,1010.3000000000003,321.2
2018-02-06,737.6,1248.5000000000002,2379.6000000000004,563.5000000000001
2018-02-07,1317.7,1586.6,3606.8,643.4000000000002
2018-02-08,1396.2,1556.4,3696.9,608.6
2018-02-09,448.3999999999999,990.4,1677.9000000000003,374.1
2018-02-10,645.5,1179.3,2169.3000000000006,405.7000000000001
2018-02-11,203.10000000000002,564.8,876.3000000000002,175.6
2018-02-12,687.0999999999999,1351.2,2404.3999999999996,481.19999999999993
2018-02-13,341.75,991.6,1515.8999999999999,260.2
2018-02-14,821.0999999999998,1089.7,2348.7,370.20000000000005
2018-02-15,439.7,1161.3,1835.9,445.59999999999997
2018-02-16,1041.9,1551.2000000000003,3148.8,608.5
2018-02-17,1071.8000000000002,1559.8000000000002,3203.1,674.7999999999998
2018-02-18,511.6,1191.7,1976.2,500.90000000000003
2018-02-19,1274.0000000000002,1249.5000000000002,3203.6,410.1
2018-02-20,404.5,703.2,1323.3000000000004,301.4
2018-02-21,377.0,805.4000000000001,1383.3,890.9999999999999
2018-02-22,180.19999999999996,752.5999999999999,1029.1000000000001,684.2
2018-02-23,239.5,840.1000000000003,1207.5999999999997,604.6
2018-02-24,137.99999999999997,731.4999999999999,943.0,738.1
2018-02-25,92.69999999999997,464.0999999999999,606.2000000000002,432.1000000000001
2018-02-26,163.7,599.5999999999999,851.1000000000003,302.4000000000001
2018-02-27,351.2,1093.1,1631.7999999999997,335.7
2018-02-28,223.79999999999995,833.4,1176.1999999999998,516.1000000000001
2018-03-01,104.89999999999998,611.9,772.9,972.0000000000002
2018-03-02,123.60000000000002,895.4,1084.5,1039.3
2018-03-03,216.60000000000002,1089.1,1421.8,1467.3999999999999
2018-03-04,352.3,1232.3,1772.7,747.1
2018-03-05,483.4,1258.4999999999998,2000.1000000000001,544.1
2018-03-06,700.8,1405.1,2479.7999999999997,430.1
2018-03-07,1260.9,1717.6000000000001,3650.95,686.1170731707318
2018-03-08,279.09999999999997,873.1999999999998,1301.7000000000003,768.058536585366
2018-03-09,1079.8000000000002,1611.7,3267.0999999999995,739.9609756097561
2018-03-10,339.20000000000005,968.6999999999999,1488.9000000000003,711.8634146341465
2018-03-11,338.2,1287.4000000000003,1805.8000000000002,683.7658536585366
2018-03-12,536.8,1163.3000000000002,1986.5000000000005,655.6682926829269
2018-03-13,728.0,1247.4,2363.7000000000003,627.570731707317
2018-03-14,377.1,1119.05,1696.8499999999997,557.6951219512194
2018-03-15,328.5,1227.3000000000002,1731.0,380.0
2018-03-16,370.7,1144.3999999999999,1713.2000000000003,508.99999999999994
2018-03-17,98.00000000000001,450.19999999999993,600.4,402.8
2018-03-18,85.2,486.80000000000007,617.4,648.2
2018-03-19,107.39999999999999,487.29999999999995,652.1,476.40000000000003
2018-03-20,272.6,832.4,1249.7,464.0999999999999
2018-03-21,1116.3,1552.4999999999998,3263.9999999999995,689.7
2018-03-22,423.59999999999997,1021.6999999999999,1671.4,627.9
2018-03-23,250.3,888.4,1271.9,557.9
2018-03-24,272.49999999999994,1036.3999999999999,1454.3,592.9
2018-03-25,498.20000000000005,1004.2,1768.1999999999998,801.2
2018-03-26,513.9,1411.6,2199.8,529.3
2018-03-27,503.0000000000001,1205.2,1976.6,375.2
2018-03-28,686.7,1604.9000000000003,2657.6000000000004,325.30000000000007
2018-03-29,618.8,1387.7000000000003,2337.2,328.9
2018-03-30,149.00000000000003,904.5999999999999,1132.8999999999996,229.99999999999997
2018-03-31,402.9,836.5000000000001,1454.0,238.90000000000003
2018-04-01,242.0,757.6000000000001,1128.3,314.6
2018-04-02,168.29999999999995,787.5999999999998,1045.4,286.5
2018-04-03,209.4,798.5999999999999,1119.8,306.0
2018-04-04,179.7,746.3000000000001,1022.1,311.7
2018-04-05,279.1000000000001,780.1000000000001,1207.3999999999999,201.49999999999997
2018-04-06,339.4,1200.3000000000002,1720.4000000000003,551.0000000000001
2018-04-07,261.3,1125.0000000000002,1525.4,653.9
2018-04-08,203.40000000000003,867.8999999999999,1179.8,422.7000000000001
2018-04-09,104.60000000000001,916.5000000000001,1077.3,498.6
2018-04-10,117.49999999999999,796.8999999999999,976.8,603.2
2018-04-11,184.49999999999997,702.8,985.1,874.2
2018-04-12,281.0,683.8000000000001,1114.3,779.9
2018-04-13,535.2000000000002,1118.0,1938.7000000000003,641.4000000000001
2018-04-14,295.8,1136.8,1590.3000000000002,869.5000000000001
2018-04-15,134.79999999999998,847.6,1054.1000000000001,705.6999999999999
2018-04-16,184.9,751.9000000000001,1035.1000000000001,448.2
2018-04-17,185.5,757.5,1042.2,459.6
2018-04-18,339.8999999999999,1260.4999999999998,1781.4000000000003,553.6999999999999
2018-04-19,484.09999999999997,1669.6000000000001,2411.6,885.4
2018-04-20,533.4000000000001,1261.1,2079.2,724.7999999999998
2018-04-21,159.20000000000005,1175.1000000000001,1419.5,951.4999999999999
2018-04-22,137.7,692.3,903.3000000000003,600.3999999999999
2018-04-23,283.0,713.1999999999999,1146.8999999999999,289.20000000000005
2018-04-24,300.40000000000003,680.4999999999999,1141.5000000000002,325.90000000000003
2018-04-25,299.59999999999997,711.1000000000001,1170.5,278.4
2018-04-26,247.99999999999997,767.4000000000002,1148.1,361.9
2018-04-27,304.40000000000003,1326.5,1792.7999999999997,437.09999999999997
2018-04-28,303.99999999999994,864.5,1330.3000000000002,253.5
2018-04-29,71.0,318.3,427.2,245.0
2018-04-30,347.59999999999997,833.7000000000002,1366.8,389.40000000000003
2018-05-01,451.4000000000001,996.4000000000001,1688.4,411.4000000000001
2018-05-02,410.79999999999995,1081.1,1711.0,269.1
2018-05-03,717.2,1216.8,2316.2,465.0
2018-05-04,401.7,1135.1,1751.1,556.4999999999999
2018-05-05,271.7000000000001,1142.0999999999995,1558.8,637.6
2018-05-06,59.3,969.9000000000002,1059.9999999999998,767.4000000000001
2018-05-07,60.00000000000001,1242.4,1334.1,917.0999999999999
2018-05-08,470.3999999999999,1462.2000000000003,2183.7,882.1000000000001
2018-05-09,381.8,935.7,1521.3,529.1
2018-05-10,300.3,892.7,1353.3999999999999,368.99999999999994
2018-05-11,280.0,1104.4,1534.2,609.1
2018-05-12,327.29999999999995,1153.1000000000001,1654.6999999999998,434.5
2018-05-13,416.1000000000001,1027.5,1665.2000000000003,494.00000000000006
2018-05-14,348.5,821.6000000000001,1356.1,362.99999999999994
2018-05-15,247.29999999999995,714.9000000000001,1094.1,411.6
2018-05-16,120.40000000000002,401.99999999999994,586.5999999999999,478.0
2018-05-17,117.3,396.7,576.5999999999999,481.20000000000005
2018-05-18,199.10000000000002,767.4999999999999,1073.0,500.30000000000007
2018-05-19,228.9,967.4999999999999,1318.7000000000003,634.0999999999999
2018-05-20,141.60000000000002,838.6000000000001,1056.2999999999997,615.5999999999999
