MeasurementDateGMT,Camden - Bloomsbury: Nitric Oxide (ug/m3),Camden - Bloomsbury: Nitrogen Dioxide (ug/m3),Camden - Bloomsbury: Oxides of Nitrogen (ug/m3),Camden - Bloomsbury: Ozone (ug/m3),Camden - Bloomsbury: PM10 Particulate (ug/m3),Camden - Bloomsbury: PM2.5 Particulate (ug/m3),Camden - Bloomsbury: Sulphur Dioxide (ug/m3)
2018-01-01,396.09999999999997,1053.6999999999998,1661.2,913.3,216.3,138.6,24.0
2018-01-02,137.29999999999995,838.8000000000002,1049.3000000000002,798.4999999999999,393.90000000000003,210.70000000000002,24.0
2018-01-03,312.05000000000007,894.8,1373.8,1131.0,543.15,220.30000000000004,24.0
2018-01-04,232.7,971.1000000000003,1328.3,966.3000000000001,292.9,172.29999999999998,24.0
2018-01-05,263.2,1278.9,1682.4,826.4999999999999,252.89999999999998,153.3,24.0
2018-01-06,1026.8999999999999,1460.1,3034.9,193.9,570.8999999999999,418.9,24.0
2018-01-07,260.90000000000003,826.6,1227.0000000000002,779.1000000000001,334.09999999999997,135.1,24.0
2018-01-08,859.4000000000001,1103.9,2421.4999999999995,286.40000000000003,480.9,334.3,24.0
2018-01-09,847.7499999999998,1100.95,2401.1,40.6,749.5000000000001,617.1999999999999,24.0
2018-01-10,880.5,1600.2999999999997,2950.4,378.7,409.5,279.4,24.0
2018-01-11,1119.5000000000002,1219.3000000000002,2935.5,26.3,601.8,537.0,24.0
2018-01-12,402.5999999999999,1079.1999999999998,1696.8,316.20000000000005,570.3999999999999,471.80000000000007,24.0
2018-01-13,293.7,946.9999999999999,1397.6,484.7,593.3999999999999,512.0,24.0
2018-01-14,252.20000000000005,997.8000000000001,1384.1000000000001,428.49999999999994,645.4,544.8,24.0
2018-01-15,233.00000000000003,1028.6999999999998,1385.6,770.4999999999999,210.29999999999995,152.20000000000002,24.0
2018-01-16,297.79999999999995,1202.5,1658.9999999999998,964.6000000000003,199.19999999999996,81.40000000000002,24.0
2018-01-17,486.20000000000005,1278.3000000000002,2023.6000000000004,851.0,315.36451612903227,121.8,25.4
2018-01-18,578.0,1229.8,2116.5,843.3999999999999,299.3032258064516,58.70000000000001,65.1
2018-01-19,229.80000000000004,1051.9999999999998,1404.3000000000002,722.4000000000001,287.23225806451615,102.0,20.099999999999998
