MeasurementDateGMT,Camden - Euston Road: Nitric Oxide (ug/m3),Camden - Euston Road: Nitrogen Dioxide (ug/m3),Camden - Euston Road: Oxides of Nitrogen (ug/m3),Camden - Euston Road: PM10 Particulate (ug/m3),Camden - Euston Road: PM2.5 Particulate (ug/m3)
2018-01-01,1373.0,1792.1,3897.5000000000005,203.20000000000002,138.99999999999997
2018-01-02,2892.7,2180.9000000000005,6616.400000000001,294.20000000000005,205.39999999999998
2018-01-03,1094.1,1567.8999999999999,3245.3000000000006,327.40000000000003,185.79999999999995
2018-01-04,2550.7000000000003,2227.2,6138.400000000001,282.3,184.3
2018-01-05,3111.2,2666.0999999999995,7436.000000000001,333.0,217.2
2018-01-06,2442.2999999999993,2021.4,5766.000000000001,458.1,389.1
2018-01-07,1450.8,1596.0,3820.7,279.0,171.8
2018-01-08,2229.2,1582.4999999999998,5000.500000000001,358.2,313.6
2018-01-09,4491.5,2121.4999999999995,9008.4,637.6999999999999,601.4
2018-01-10,3555.7,2574.9,8027.1,392.50000000000006,345.90000000000003
2018-01-11,1719.6,1595.4000000000003,4232.5,449.7,445.29999999999995
2018-01-12,3748.2999999999997,2205.9,7953.1,521.35,461.75
2018-01-13,1957.2000000000003,1790.5000000000002,4791.799999999999,454.69999999999993,422.59999999999997
2018-01-14,2594.7999999999997,2150.0,6128.800000000001,637.0,548.4000000000001
2018-01-15,2151.3,2314.45,5612.7,282.69999999999993,187.2
2018-01-16,2492.8,2639.1000000000004,6461.499999999999,284.90000000000003,174.20000000000002
2018-01-17,1922.8,2328.9,5277.0,284.70000000000005,161.5
2018-01-18,1476.2,2023.3,4287.2,258.49999999999994,146.30000000000004
2018-01-19,3375.7999999999997,3193.5,8369.400000000001,421.00000000000006,248.89999999999998
2018-01-20,2484.8999999999987,2744.7,6554.399999999999,327.50000000000006,259.40000000000003
2018-01-21,2486.4,2453.9,6266.300000000001,382.19999999999993,336.09999999999997
2018-01-22,1700.8000000000002,2285.0999999999995,4893.400000000001,365.20000000000005,179.49999999999997
2018-01-23,2966.2999999999997,2881.7999999999997,7429.900000000001,337.50000000000006,198.7
2018-01-24,2405.0,2910.7000000000003,6598.0,236.7,122.9
2018-01-25,3952.2000000000003,3400.7999999999993,9460.300000000001,514.8,279.2
2018-01-26,1810.3000000000002,2292.600000000001,5068.599999999999,412.6,322.7
2018-01-27,2517.2,3027.2000000000007,6886.700000000001,407.90000000000015,323.40000000000003
2018-01-28,1170.6999999999998,2268.9000000000005,4063.7000000000007,189.2,127.80000000000001
2018-01-29,1535.8,2217.6000000000004,4573.200000000001,227.8,153.00000000000003
2018-01-30,4323.0,3494.6,10122.800000000003,534.6000000000001,358.8
2018-01-31,2303.15,2811.85,6342.95,258.70000000000005,180.0
2018-02-01,660.7000000000002,1554.5,2567.0000000000005,199.70000000000005,119.0
2018-02-02,945.9,1547.4000000000003,2997.7999999999997,278.1,188.5
2018-02-03,3177.9000000000005,2897.5,7769.500000000001,432.69999999999993,403.30000000000007
2018-02-04,1473.9,1869.7,4129.800000000001,268.5,207.40000000000003
2018-02-05,3133.0,2614.6,7418.099999999999,416.59999999999997,315.49999999999994
2018-02-06,1605.1,2178.6000000000004,4639.599999999999,475.00000000000006,424.9000000000001
2018-02-07,1335.3000000000002,2050.4,4098.0,378.90000000000003,278.5
2018-02-08,4280.0,3745.8,10308.800000000001,579.8407766990291,464.7053398058253
2018-02-09,829.8,1801.1,3073.8999999999996,588.6873786407767,436.8757281553398
2018-02-10,2399.6,3146.0000000000005,6825.2,614.9708737864078,423.1747572815534
2018-02-11,637.9000000000001,1495.1,2473.1,641.2543689320387,409.473786407767
2018-02-12,2840.7,3000.8999999999996,7356.400000000001,667.53786407767,395.77281553398063
2018-02-13,2272.0,2616.9,6100.600000000001,693.8213592233008,382.07184466019413
2018-02-14,2788.8,3032.8000000000006,7309.2,720.104854368932,368.37087378640774
2018-02-15,2649.5000000000005,2951.2999999999997,7013.5,746.388349514563,354.66990291262135
2018-02-16,4973.800000000001,3334.9,10961.4,757.3941747572815,367.5349514563107
2018-02-17,4492.2,3171.7,10059.500000000002,748.9000000000001,475.19999999999993
2018-02-18,3372.7000000000007,3077.8999999999996,8249.199999999999,622.5000000000001,395.60000000000014
2018-02-19,2670.5,2274.4999999999995,6369.5,384.20000000000005,333.2
