MeasurementDateGMT,City of London - Beech Street: Nitric Oxide (ug/m3),City of London - Beech Street: Nitrogen Dioxide (ug/m3),City of London - Beech Street: Oxides of Nitrogen (ug/m3),City of London - Beech Street: PM10 Particulate (ug/m3)
2018-01-01,507.2999999999999,1119.9999999999998,1897.9999999999998,286.0
2018-01-02,860.5999999999999,1274.7000000000003,2594.5,450.0
2018-01-03,834.5,1362.2000000000003,2641.999999999999,636.0
2018-01-04,1424.2,1580.2000000000005,3764.3,385.0
2018-01-05,2080.0,1871.1999999999998,5060.4,477.0
2018-01-06,1959.3,1533.2,4537.3,759.0
2018-01-07,408.4000000000001,793.7,1419.5999999999997,358.0
2018-01-08,2243.8,1180.3999999999999,4620.900000000001,556.0
2018-01-09,3286.5,1349.9,6388.6,726.0
2018-01-10,4100.1,2090.5000000000005,8376.4,721.0
2018-01-11,5244.3,1763.3000000000002,9804.1,873.0
2018-01-12,3628.5000000000005,1667.2000000000003,7230.4,679.0
2018-01-13,1377.8000000000002,1165.1999999999998,3277.8,580.0
2018-01-14,1395.6,1341.0000000000002,3481.2,715.0
2018-01-15,1892.3000000000002,1618.6000000000001,4520.800000000001,374.0
2018-01-16,2362.4000000000005,1996.7000000000003,5619.4,376.0
2018-01-17,2968.1000000000004,2029.6,6580.5,466.0
2018-01-18,3143.7999999999997,2026.5000000000005,6847.499999999999,361.0
2018-01-19,3086.3,2278.7,7010.700000000002,474.0
2018-01-20,5815.999999999999,2878.9000000000005,11796.499999999998,365.0
2018-01-21,2504.6,1858.6999999999996,5698.800000000002,376.0
2018-01-22,6494.7,2754.9,12713.199999999999,564.0
2018-01-23,1884.2000000000003,1643.9000000000003,4533.0,324.0
2018-01-24,1999.3000000000002,1667.5000000000002,4733.0,306.0
2018-01-25,3161.1,2132.6000000000004,6979.3,527.0
2018-01-26,6321.400000000001,2526.6,12219.599999999999,758.0
2018-01-27,1380.4000000000003,1564.2999999999997,3681.1,429.0
2018-01-28,774.2,1302.4,2489.5999999999995,264.0
2018-01-29,1993.2,1735.7,4791.8,362.0
2018-01-30,5253.5,2462.0999999999995,10517.300000000001,560.0
