MeasurementDateGMT,City of London - Farringdon Street: PM2.5 Particulate (ug/m3)
2018-01-01,213.0
2018-01-02,293.0
2018-01-03,334.0
2018-01-04,266.0
2018-01-05,276.0
2018-01-06,473.0
2018-01-07,189.0
2018-01-08,570.0
2018-01-09,777.0
2018-01-10,446.0
2018-01-11,658.0
2018-01-12,611.0
2018-01-13,566.0
2018-01-14,573.0
2018-01-15,280.0
2018-01-16,200.0
2018-01-17,246.0
2018-01-18,262.0
2018-01-19,288.0
2018-01-20,302.0
2018-01-21,438.5
2018-01-22,280.0
2018-01-23,255.0
2018-01-24,234.0
2018-01-25,283.0
2018-01-26,357.0
2018-01-27,338.0
2018-01-28,202.0
2018-01-29,180.0
2018-01-30,370.0
2018-01-31,205.0
2018-02-01,204.0
2018-02-02,264.0
2018-02-03,371.0
2018-02-04,226.0
2018-02-05,284.0
2018-02-06,443.0
2018-02-07,291.0
2018-02-08,323.0
2018-02-09,246.0
2018-02-10,229.0
2018-02-11,162.0
2018-02-12,249.0
2018-02-13,241.0
2018-02-14,367.0
2018-02-15,312.5
2018-02-16,339.0
2018-02-17,449.0
2018-02-18,401.0
2018-02-19,467.0
2018-02-20,255.0
2018-02-21,953.0
2018-02-22,614.0
2018-02-23,542.0
2018-02-24,533.0
2018-02-25,267.0
2018-02-26,223.0
2018-02-27,265.0
2018-02-28,468.0
2018-03-01,745.0
2018-03-02,1011.0
2018-03-03,1673.0
2018-03-04,514.0
2018-03-05,309.0
2018-03-06,315.0
2018-03-07,425.0
2018-03-08,210.0
2018-03-09,405.0
2018-03-10,392.0
2018-03-11,456.0
2018-03-12,332.0
2018-03-13,362.0
2018-03-14,274.0
2018-03-15,309.0
2018-03-16,335.0
2018-03-17,375.0
2018-03-18,504.0
2018-03-19,335.0
2018-03-20,225.0
2018-03-21,385.0
2018-03-22,306.0
2018-03-23,277.0
2018-03-24,669.0
2018-03-25,663.0
2018-03-26,266.0
2018-03-27,271.0
2018-03-28,257.0
2018-03-29,231.0
2018-03-30,282.0
2018-03-31,196.0
2018-04-01,296.0
2018-04-02,221.0
2018-04-03,304.0
2018-04-04,250.0
2018-04-05,197.0
2018-04-06,358.0
2018-04-07,517.0
2018-04-08,551.0
2018-04-09,682.0
2018-04-10,769.0
2018-04-11,1118.0
2018-04-12,856.0
2018-04-13,607.0
2018-04-14,879.0
2018-04-15,651.0
2018-04-16,291.0
2018-04-17,272.0
2018-04-18,436.0
2018-04-19,658.4210526315787
2018-04-20,280.2947368421053
2018-04-21,298.48421052631585
2018-04-22,316.6736842105264
2018-04-23,302.1263157894737
2018-04-24,246.0
2018-04-25,245.5
2018-04-26,248.0
2018-04-27,229.62406015037598
2018-04-28,207.9699248120301
2018-04-29,186.31578947368422
2018-04-30,164.66165413533832
2018-05-01,143.00751879699246
2018-05-02,183.42105263157896
2018-05-03,351.0
2018-05-04,374.0
2018-05-05,504.0
2018-05-06,660.0
2018-05-07,751.0
2018-05-08,784.0
2018-05-09,339.0
2018-05-10,258.0
2018-05-11,319.0
2018-05-12,356.0
2018-05-13,383.0
2018-05-14,185.0
2018-05-15,273.0
2018-05-16,299.0
2018-05-17,275.0
2018-05-18,281.0
2018-05-19,407.0
2018-05-20,521.0
2018-05-21,664.0
2018-05-22,477.0
2018-05-23,497.0
2018-05-24,684.0
2018-05-25,730.0
2018-05-26,1033.0
2018-05-27,661.0
2018-05-28,874.0
2018-05-29,608.0
2018-05-30,553.0
2018-05-31,942.0
2018-06-01,631.0
2018-06-02,299.0
2018-06-03,345.0
2018-06-04,501.0
2018-06-05,348.0
2018-06-06,414.0
2018-06-07,443.0
2018-06-08,395.0
2018-06-09,421.0
2018-06-10,411.0
2018-06-11,296.0
2018-06-12,352.0
2018-06-13,315.0
2018-06-14,339.0
2018-06-15,380.0
2018-06-16,257.0
2018-06-17,261.0
2018-06-18,329.0
2018-06-19,248.0
2018-06-20,285.0
2018-06-21,258.0
2018-06-22,264.0
2018-06-23,266.0
2018-06-24,325.0
2018-06-25,374.0
2018-06-26,358.0
2018-06-27,397.0
2018-06-28,525.0
2018-06-29,365.0
2018-06-30,295.0
2018-07-01,355.0
2018-07-02,272.0
2018-07-03,269.0
2018-07-04,364.0
2018-07-05,490.0
2018-07-06,363.0
2018-07-07,676.0
2018-07-08,351.0
2018-07-09,312.0
2018-07-10,300.0
2018-07-11,312.0
2018-07-12,358.0
2018-07-13,380.0
2018-07-14,354.0
2018-07-15,318.0
2018-07-16,331.0
2018-07-17,233.0
2018-07-18,281.0
2018-07-19,316.0
2018-07-20,366.0
2018-07-21,513.0
2018-07-22,359.0
2018-07-23,359.0
2018-07-24,375.0
2018-07-25,414.0
2018-07-26,581.0
2018-07-27,407.0
2018-07-28,242.0
2018-07-29,245.0
2018-07-30,192.0
2018-07-31,239.0
2018-08-01,267.0
2018-08-02,287.0
2018-08-03,250.0
2018-08-04,231.0
2018-08-05,205.0
2018-08-06,345.94871794871796
2018-08-07,302.76923076923083
2018-08-08,233.28205128205127
2018-08-09,346.0
2018-08-10,208.0
2018-08-11,248.0
2018-08-12,223.0
2018-08-13,314.0
2018-08-14,280.0
2018-08-15,293.0
2018-08-16,271.0
2018-08-17,245.0
2018-08-18,288.0
2018-08-19,289.0
2018-08-20,289.0
2018-08-21,239.0
2018-08-22,245.0
2018-08-23,244.0
2018-08-24,269.0
2018-08-25,251.0
2018-08-26,302.0
2018-08-27,196.0
2018-08-28,246.0
2018-08-29,248.0
2018-08-30,274.0
2018-08-31,298.0
2018-09-01,397.4622641509434
2018-09-02,385.2452830188679
2018-09-03,368.94339622641513
2018-09-04,352.64150943396226
2018-09-05,322.20754716981133
2018-09-06,345.0
2018-09-07,209.0
2018-09-08,205.0
2018-09-09,221.0
2018-09-10,240.0
2018-09-11,290.0
2018-09-12,202.0
2018-09-13,330.0
2018-09-14,266.4123711340206
2018-09-15,258.1855670103092
2018-09-16,276.0
2018-09-17,293.81443298969066
2018-09-18,305.08762886597935
2018-09-19,171.0
2018-09-20,163.0
2018-09-21,198.0
2018-09-22,251.0
2018-09-23,160.0
2018-09-24,217.5
2018-09-25,385.0
2018-09-26,353.0
2018-09-27,405.0
2018-09-28,214.0
2018-09-29,350.0
2018-09-30,277.0
2018-10-01,206.0
2018-10-02,200.0
2018-10-03,283.0
2018-10-04,403.0
2018-10-05,733.0
2018-10-06,324.0
2018-10-07,226.0
2018-10-08,240.0
2018-10-09,376.0
2018-10-10,973.0
2018-10-11,396.0
2018-10-12,290.0
2018-10-13,307.0
2018-10-14,258.0
2018-10-15,320.0
2018-10-16,463.0
2018-10-17,468.0
2018-10-18,335.0
2018-10-19,405.0
2018-10-20,663.0
2018-10-21,448.0
2018-10-22,261.0
2018-10-23,308.0
2018-10-24,368.0
2018-10-25,360.0
2018-10-26,230.0
2018-10-27,140.0
2018-10-28,150.0
2018-10-29,166.0
2018-10-30,260.0
2018-10-31,347.0
2018-11-01,402.0
2018-11-02,425.0
2018-11-03,344.0
2018-11-04,466.0
2018-11-05,992.0
2018-11-06,522.0
2018-11-07,247.0
2018-11-08,277.0
2018-11-09,314.0
2018-11-10,357.0
2018-11-11,231.0
2018-11-12,248.0
