MeasurementDateGMT,City of London - The Aldgate School: Nitric Oxide (ug/m3),City of London - The Aldgate School: Nitrogen Dioxide (ug/m3),City of London - The Aldgate School: Oxides of Nitrogen (ug/m3),City of London - The Aldgate School: PM10 Particulate (ug/m3),City of London - The Aldgate School: PM2.5 Particulate (ug/m3)
2018-01-01,60.1,728.6999999999999,820.5999999999999,384.0,252.0
2018-01-02,89.4,780.6999999999999,917.5000000000003,397.0,210.0
2018-01-03,86.1,729.6999999999998,861.9,643.0,277.0
2018-01-04,138.8,826.3,1038.9,372.0,199.0
2018-01-05,193.90000000000003,1087.6,1384.8999999999999,363.0,231.0
2018-01-06,783.8,1104.3000000000002,2306.3,603.0,435.0
2018-01-07,97.8,396.9,547.1999999999998,337.0,149.0
2018-01-08,414.79999999999995,764.8000000000001,1400.4,522.0,379.0
2018-01-09,685.1,890.7,1941.6999999999998,782.0,627.0
2018-01-10,860.1,1355.2,2674.2000000000003,522.0,345.0
2018-01-11,754.5000000000002,1002.6000000000001,2159.9,627.0,538.0
2018-01-12,326.8,840.4,1341.8,545.0,485.0
2018-01-13,127.89999999999999,634.9,831.1000000000001,589.0,494.0
2018-01-14,188.4,821.4000000000001,1110.1,605.0,564.0
2018-01-15,132.4,796.6,999.6000000000001,299.0,158.0
2018-01-16,155.50000000000003,907.8,1146.5000000000002,350.0,159.0
2018-01-17,221.3,917.0999999999999,1256.6000000000004,474.0,202.0
2018-01-18,242.60000000000002,1005.8,1377.6999999999998,357.0,149.0
2018-01-19,209.39999999999998,1067.0,1388.0000000000002,398.0,190.0
2018-01-20,354.79999999999995,1024.3999999999999,1568.3999999999999,332.0,195.0
2018-01-21,323.40000000000003,1121.1,1616.6999999999996,393.0,291.0
2018-01-22,498.09999999999997,1325.1000000000001,2088.9000000000005,425.0,220.0
2018-01-23,104.69999999999999,636.3,796.7,281.0,117.0
2018-01-24,87.39999999999999,620.6,754.5999999999999,303.0,153.27586206896552
2018-01-25,142.5,842.0,1060.4,541.0,183.72413793103448
2018-01-26,446.19999999999993,1169.1,1853.4,528.0,325.0
2018-01-27,174.60000000000005,857.2999999999998,1124.9999999999998,347.0,239.0
2018-01-28,47.800000000000004,449.3999999999999,522.3,201.0,98.0
2018-01-29,170.5,757.5000000000001,1018.9999999999998,287.0,71.0
2018-01-30,763.4000000000002,1318.1000000000001,2489.1,480.0,221.0
2018-01-31,171.10000000000002,853.9000000000001,1116.0,307.0,106.0
2018-02-01,362.59999999999997,1045.2,1600.9,515.0,161.0
2018-02-02,523.3999999999999,1069.7,1871.9999999999998,494.22535211267603,208.0
2018-02-03,396.99999999999994,1197.3999999999999,1805.9,592.3943661971831,300.0
2018-02-04,154.69999999999996,405.3,642.6,584.2816901408451,179.0
2018-02-05,181.5,588.6999999999998,867.4000000000001,511.09859154929575,199.0
2018-02-06,347.9,892.5,1426.1,553.0,406.0
