MeasurementDateGMT,City of London - Upper Thames Street: PM10 Particulate (ug/m3)
2018-01-01,461.0
2018-01-02,609.0
2018-01-03,788.0
2018-01-04,516.0
2018-01-05,669.0
2018-01-06,738.0
2018-01-07,500.0
2018-01-08,747.0
2018-01-09,1244.0
2018-01-10,1221.0
2018-01-11,916.0
2018-01-12,1222.0
2018-01-13,753.0
2018-01-14,768.0
2018-01-15,381.0
2018-01-16,543.0
2018-01-17,621.0
2018-01-18,470.0
2018-01-19,757.0
2018-01-20,430.0
2018-01-21,522.0
2018-01-22,726.0
2018-01-23,435.0
2018-01-24,352.0
2018-01-25,768.0
2018-01-26,869.0
2018-01-27,576.0
2018-01-28,341.0
2018-01-29,481.0
2018-01-30,1112.0
2018-01-31,554.0
2018-02-01,569.0
2018-02-02,641.0
2018-02-03,593.0
2018-02-04,480.0
2018-02-05,1151.0
2018-02-06,1083.0
2018-02-07,1226.5
2018-02-08,1193.0
2018-02-09,577.0
2018-02-10,543.0
2018-02-11,420.0
2018-02-12,1209.0
2018-02-13,558.0
2018-02-14,683.0
2018-02-15,942.0
2018-02-16,1438.0
2018-02-17,1216.0
2018-02-18,850.0
2018-02-19,627.0
2018-02-20,626.0
2018-02-21,1584.0
2018-02-22,1010.0
2018-02-23,931.0
2018-02-24,951.0
2018-02-25,669.0
2018-02-26,1446.0
2018-02-27,2384.0
2018-02-28,743.0
2018-03-01,1068.0
2018-03-02,1180.0
2018-03-03,1576.0
2018-03-04,667.0
2018-03-05,1072.0
2018-03-06,1572.0
2018-03-07,1073.0
2018-03-08,810.0
2018-03-09,1198.0
2018-03-10,836.0
2018-03-11,832.0
2018-03-12,456.0
2018-03-13,1232.0
2018-03-14,900.0
2018-03-15,922.0
2018-03-16,1038.0
2018-03-17,777.0
2018-03-18,941.0
2018-03-19,1692.0
2018-03-20,1074.0
2018-03-21,1614.0
2018-03-22,1276.5
2018-03-23,1043.0
2018-03-24,1145.0
2018-03-25,1319.0
2018-03-26,1110.0
2018-03-27,872.0
2018-03-28,630.0
2018-03-29,983.0
2018-03-30,508.0
2018-03-31,449.0
2018-04-01,587.0
2018-04-02,416.0
2018-04-03,561.0
2018-04-04,632.0
2018-04-05,809.0
2018-04-06,945.0
2018-04-07,912.0
2018-04-08,669.0
2018-04-09,717.0
2018-04-10,1151.0
2018-04-11,1448.0
2018-04-12,1297.0
2018-04-13,1176.0
2018-04-14,1210.0
2018-04-15,911.0
2018-04-16,783.0
2018-04-17,762.0
2018-04-18,1080.0
