MeasurementDateGMT,City of London - Walbrook Wharf: Nitric Oxide (ug/m3),City of London - Walbrook Wharf: Nitrogen Dioxide (ug/m3),City of London - Walbrook Wharf: Oxides of Nitrogen (ug/m3)
2018-01-01,623.3,1346.7,2302.8
2018-01-02,2373.1,2012.8999999999999,5651.6
2018-01-03,640.7999999999998,1297.8000000000002,2280.5000000000005
2018-01-04,2122.3000000000006,1910.4000000000003,5164.4000000000015
2018-01-05,2792.8,2591.0,6873.299999999999
2018-01-06,1829.3999999999999,1907.4,4712.100000000001
2018-01-07,913.8000000000001,1148.1000000000001,2549.4
2018-01-08,5052.199999999999,2204.5,9951.400000000001
2018-01-09,5679.599999999999,2141.7000000000003,10850.099999999997
2018-01-10,3886.3,2569.9999999999995,8529.2
2018-01-11,2242.2000000000007,1588.4,5026.200000000001
2018-01-12,5073.9000000000015,2314.7000000000003,10094.400000000001
2018-01-13,3183.6000000000004,2043.1000000000001,6924.700000000001
2018-01-14,2628.0000000000005,1989.1999999999996,6018.700000000001
2018-01-15,2300.2,1956.8999999999996,5483.6
2018-01-16,1274.5000000000002,1779.5,3733.4000000000005
2018-01-17,1467.6000000000001,1855.9,4105.7
2018-01-18,1249.3,1811.5000000000002,3726.9
2018-01-19,2483.1999999999985,2347.7000000000003,6154.999999999999
2018-01-20,2945.9000000000005,2589.7,7106.700000000001
2018-01-21,2665.1,2368.5999999999995,6455.0
2018-01-22,2075.4,2199.6,5381.7
2018-01-23,2893.3,2253.0000000000005,6689.700000000001
2018-01-24,2176.2,2199.5,5535.499999999999
2018-01-25,3967.2000000000007,2845.6,8928.100000000002
2018-01-26,3228.7999999999997,2534.0,7484.6
2018-01-27,2378.7999999999997,2173.9,5821.1
2018-01-28,686.2000000000002,1287.8,2339.9999999999995
2018-01-29,1529.5,2038.5,4383.5
2018-01-30,5174.100000000001,3069.7,11003.199999999999
2018-01-31,1736.4,2039.3999999999999,4701.700000000001
2018-02-01,1581.6,1852.7,4278.4
2018-02-02,1801.2999999999997,1840.4999999999998,4602.900000000001
2018-02-03,3041.4999999999995,2390.7999999999997,7054.6
2018-02-04,863.6,1152.3000000000002,2476.3
2018-02-05,2104.7,1644.7999999999997,4872.1
2018-02-06,1350.4999999999998,1488.9,3559.7
2018-02-07,1811.9500000000003,1818.8999999999996,4597.5
2018-02-08,4098.599999999999,2713.6000000000004,8998.099999999999
2018-02-09,1435.8999999999999,1770.2,3971.8999999999996
2018-02-10,3150.2999999999997,2382.8999999999996,7212.699999999999
2018-02-11,550.8,1136.7,1981.3999999999999
2018-02-12,2763.2999999999997,2348.9,6586.299999999999
2018-02-13,3727.3999999999996,2568.6,8283.8
2018-02-14,4002.2000000000003,2508.2,8645.099999999999
2018-02-15,1790.9999999999998,2031.2,4776.9000000000015
2018-02-16,4107.200000000001,2794.2999999999997,9091.8
2018-02-17,3721.0,2707.3000000000006,8412.399999999998
2018-02-18,2499.8999999999996,2390.8,6223.900000000001
2018-02-19,2672.2000000000007,1989.0000000000005,6086.3
2018-02-20,931.1,1231.1999999999998,2659.0
2018-02-21,2218.2,1916.7,5317.9
2018-02-22,4543.400000000001,2901.8,9868.400000000001
2018-02-23,4657.6,2978.0999999999995,10119.400000000001
2018-02-24,3069.2000000000007,2505.2,7211.1
2018-02-25,1958.7999999999997,2078.7,5082.0999999999985
2018-02-26,2600.6,2126.6,6113.8
2018-02-27,2894.700000000001,2390.0999999999995,6828.799999999998
2018-02-28,3487.8,2433.2999999999997,7781.299999999998
2018-03-01,5530.14,2776.8599999999997,11256.54
2018-03-02,5052.0599999999995,2598.44,10344.160000000002
2018-03-03,2828.6999999999994,2043.9,6381.5
2018-03-04,1826.1000000000001,1794.9,4594.7
2018-03-05,3538.1000000000004,2343.899999999999,7768.8
2018-03-06,3188.1,2353.8999999999996,7242.499999999998
2018-03-07,2508.7,2267.7,6113.899999999999
2018-03-08,1740.2000000000003,1917.6999999999998,4585.9
2018-03-09,4629.499999999999,2440.5000000000005,9538.699999999999
2018-03-10,1968.1999999999998,1824.8,4842.599999999999
2018-03-11,2175.3999999999996,2117.7,5452.9
2018-03-12,2494.2999999999997,1837.5,5662.299999999999
2018-03-13,2335.8,1988.0,5569.4
2018-03-14,2858.300000000001,2334.0,6716.7
2018-03-15,3652.3000000000006,2561.0,8161.199999999999
2018-03-16,3064.7000000000003,2448.1,7146.900000000001
2018-03-17,740.1,1030.3,2165.2999999999997
2018-03-18,1322.5999999999997,1562.1000000000001,3590.1999999999994
2018-03-19,1656.2000000000003,1639.5999999999995,4179.299999999999
2018-03-20,995.3999999999999,1493.0999999999997,3019.6
2018-03-21,2372.0000000000005,2199.7000000000003,5836.500000000001
