MeasurementDateGMT,Croydon - Norbury Manor: PM2.5 Particulate (ug/m3)
2018-01-01,175.0
2018-01-02,216.0
2018-01-03,315.0
2018-01-04,205.0
2018-01-05,226.0
2018-01-06,370.0
2018-01-07,190.0
2018-01-08,354.0
2018-01-09,570.0
2018-01-10,361.0
2018-01-11,574.0
2018-01-12,458.0
2018-01-13,491.0
2018-01-14,538.0
2018-01-15,182.0
2018-01-16,146.0
2018-01-17,187.0
2018-01-18,199.0
2018-01-19,197.0
2018-01-20,229.0
2018-01-21,278.0
2018-01-22,235.0
2018-01-23,157.0
2018-01-24,140.0
2018-01-25,205.0
2018-01-26,364.0
2018-01-27,297.0
2018-01-28,177.66666666666666
2018-01-29,156.33333333333334
2018-01-30,280.0
2018-01-31,156.0
2018-02-01,193.0
2018-02-02,264.0
2018-02-03,313.5
2018-02-04,150.0
2018-02-05,259.0
2018-02-06,419.0
2018-02-07,318.0
2018-02-08,236.5
2018-02-09,186.0
2018-02-10,151.0
2018-02-11,153.0
2018-02-12,182.0
2018-02-13,200.0
2018-02-14,254.0
2018-02-15,229.0
2018-02-16,241.0
2018-02-17,355.0
2018-02-18,292.0
2018-02-19,318.0
2018-02-20,240.0
2018-02-21,853.5
2018-02-22,545.0
2018-02-23,501.0
2018-02-24,549.0
2018-02-25,278.0
2018-02-26,200.0
2018-02-27,264.0
2018-02-28,469.0
2018-03-01,712.0
2018-03-02,949.0
2018-03-03,1437.0
2018-03-04,357.0
2018-03-05,225.0
2018-03-06,250.0
2018-03-07,337.0
2018-03-08,166.0
2018-03-09,235.0
2018-03-10,293.0
2018-03-11,366.0
2018-03-12,211.0
2018-03-13,229.0
2018-03-14,228.0
2018-03-15,219.0
2018-03-16,256.0
2018-03-17,391.0
2018-03-18,470.0
2018-03-19,344.0
2018-03-20,244.0
2018-03-21,369.0
2018-03-22,295.0
2018-03-23,315.3636363636364
2018-03-24,218.63636363636368
2018-03-25,264.0
2018-03-26,223.0
2018-03-27,199.0
2018-03-28,198.0
2018-03-29,236.0
2018-03-30,230.0
2018-03-31,202.0
2018-04-01,240.0
2018-04-02,240.0
2018-04-03,227.21428571428572
2018-04-04,218.28571428571428
2018-04-05,331.0
2018-04-06,402.0
2018-04-07,400.0
2018-04-08,567.3333333333333
2018-04-09,576.6666666666667
2018-04-10,618.0
2018-04-11,924.0
2018-04-12,763.0
2018-04-13,506.0
2018-04-14,663.0
2018-04-15,434.0
2018-04-16,236.0
2018-04-17,206.76315789473685
2018-04-18,232.73684210526318
2018-04-19,247.89473684210532
2018-04-20,380.60526315789474
2018-04-21,664.0
2018-04-22,455.0
2018-04-23,134.0
2018-04-24,157.0
2018-04-25,152.0
2018-04-26,164.0
2018-04-27,215.0
2018-04-28,236.0
2018-04-29,183.0
2018-04-30,186.5
2018-05-01,183.0
2018-05-02,124.0
2018-05-03,194.0
2018-05-04,245.0
2018-05-05,394.0
2018-05-06,623.0
2018-05-07,747.0
2018-05-08,409.0
2018-05-09,224.0
2018-05-10,192.0
2018-05-11,213.0
2018-05-12,251.0
2018-05-13,329.0
2018-05-14,201.0
2018-05-15,195.0
2018-05-16,223.0
2018-05-17,225.5
2018-05-18,255.0
2018-05-19,348.0
2018-05-20,391.0
2018-05-21,575.0
2018-05-22,379.0
2018-05-23,414.0
2018-05-24,531.0
2018-05-25,517.0
2018-05-26,784.0
2018-05-27,483.0
2018-05-28,531.0
2018-05-29,463.0
2018-05-30,329.0
2018-05-31,720.0
2018-06-01,423.0
2018-06-02,191.0
2018-06-03,220.0
2018-06-04,333.0
2018-06-05,204.0
2018-06-06,308.0
2018-06-07,280.0
2018-06-08,281.0
2018-06-09,288.0
2018-06-10,287.0
2018-06-11,194.0
2018-06-12,214.0
2018-06-13,166.0
2018-06-14,211.0
2018-06-15,203.0
2018-06-16,157.0
2018-06-17,126.0
2018-06-18,147.0
2018-06-19,52.18181818181818
2018-06-20,76.60606060606062
2018-06-21,99.87878787878788
2018-06-22,123.15151515151516
2018-06-23,167.1818181818182
2018-06-24,251.0
2018-06-25,293.0
2018-06-26,228.0
2018-06-27,218.0
2018-06-28,309.0
2018-06-29,236.0
2018-06-30,225.0
2018-07-01,266.0
2018-07-02,194.0
2018-07-03,156.0
2018-07-04,257.0
2018-07-05,396.0
2018-07-06,392.0
2018-07-07,459.0
2018-07-08,297.0
2018-07-09,256.0
2018-07-10,140.0
2018-07-11,224.0
2018-07-12,286.5
2018-07-13,283.0
2018-07-14,233.0
2018-07-15,223.0
2018-07-16,227.0
2018-07-17,146.0
2018-07-18,157.0
2018-07-19,192.0
2018-07-20,230.0
2018-07-21,342.0
2018-07-22,244.0
2018-07-23,146.0
2018-07-24,216.0
2018-07-25,247.0
2018-07-26,396.0
2018-07-27,295.0
2018-07-28,163.0
2018-07-29,103.0
2018-07-30,119.0
2018-07-31,125.0
2018-08-01,163.0
2018-08-02,161.0
2018-08-03,216.0
2018-08-04,152.0
2018-08-05,173.0
2018-08-06,245.0
2018-08-07,246.0
2018-08-08,123.0
2018-08-09,195.0
2018-08-10,128.0
2018-08-11,161.0
2018-08-12,140.0
2018-08-13,161.0
2018-08-14,157.0
2018-08-15,159.0
2018-08-16,152.0
2018-08-17,177.0
2018-08-18,161.0
2018-08-19,160.0
2018-08-20,129.0
2018-08-21,105.0
2018-08-22,164.1
2018-08-23,156.72
2018-08-24,141.68
2018-08-25,202.0
2018-08-26,121.0
2018-08-27,127.0
2018-08-28,159.0
2018-08-29,222.0
2018-08-30,218.0
2018-08-31,265.0
2018-09-01,268.0
2018-09-02,297.0
2018-09-03,347.0
2018-09-04,297.0
2018-09-05,226.0
2018-09-06,185.0
2018-09-07,146.0
2018-09-08,118.0
2018-09-09,118.0
2018-09-10,120.0
2018-09-11,112.5
2018-09-12,122.0
2018-09-13,218.0
2018-09-14,120.0
2018-09-15,166.0
2018-09-16,106.5
2018-09-17,145.0
2018-09-18,135.0
2018-09-19,146.0
2018-09-20,170.0
2018-09-21,133.0
2018-09-22,134.0
2018-09-23,140.0
2018-09-24,187.0
2018-09-25,227.0
2018-09-26,246.0
2018-09-27,330.36241610738256
2018-09-28,229.85234899328862
2018-09-29,198.9261744966443
2018-09-30,168.0
2018-10-01,137.07382550335572
2018-10-02,106.14765100671143
2018-10-03,148.63758389261744
2018-10-04,176.0
2018-10-05,343.0
2018-10-06,216.0
2018-10-07,163.0
2018-10-08,128.0
2018-10-09,203.0
2018-10-10,567.0
2018-10-11,146.0
2018-10-12,113.0
2018-10-13,126.0
2018-10-14,69.0
2018-10-15,208.0
2018-10-16,253.0
2018-10-17,156.0
2018-10-18,198.0
2018-10-19,355.0
2018-10-20,428.0
2018-10-21,322.0
2018-10-22,214.0
2018-10-23,236.0
2018-10-24,260.0
2018-10-25,277.0
2018-10-26,122.0
2018-10-27,108.0
2018-10-28,127.0
2018-10-29,109.0
2018-10-30,192.5
2018-10-31,230.0
2018-11-01,230.0
2018-11-02,396.0
2018-11-03,283.0
2018-11-04,340.0
2018-11-05,687.0
2018-11-06,290.0
2018-11-07,125.0
2018-11-08,191.0
2018-11-09,162.0
2018-11-10,162.0
2018-11-11,134.0
2018-11-12,122.0
2018-11-13,165.0
2018-11-14,204.0
2018-11-15,337.0
2018-11-16,225.0
2018-11-17,400.0
2018-11-18,343.0
2018-11-19,143.0
2018-11-20,291.0
2018-11-21,479.0
2018-11-22,987.0
2018-11-23,776.0
2018-11-24,537.0
2018-11-25,364.0
2018-11-26,268.0
2018-11-27,282.0
2018-11-28,124.0
2018-11-29,137.0
2018-11-30,169.0
2018-12-01,110.0
2018-12-02,55.0
2018-12-03,175.0
2018-12-04,184.0
2018-12-05,111.0
2018-12-06,98.0
2018-12-07,82.0
2018-12-08,178.0
2018-12-09,146.0
2018-12-10,208.0
2018-12-11,405.0
2018-12-12,314.0
2018-12-13,402.0
2018-12-14,507.0
2018-12-15,354.0
2018-12-16,168.0
2018-12-17,168.0
2018-12-18,167.0
2018-12-19,105.0
2018-12-20,128.0
2018-12-21,198.0
2018-12-22,196.0
2018-12-23,134.0
2018-12-24,378.0
2018-12-25,377.0
2018-12-26,307.0
2018-12-27,715.0
2018-12-28,495.0
2018-12-29,237.0
2018-12-30,215.0
2018-12-31,150.0
2019-01-01,224.0
2019-01-02,205.0
