MeasurementDateGMT,Croydon - Norbury: Nitric Oxide (ug/m3),Croydon - Norbury: Nitrogen Dioxide (ug/m3),Croydon - Norbury: Oxides of Nitrogen (ug/m3)
2018-01-01,262.8,574.6,977.5
2018-01-02,708.8000000000001,826.3000000000001,1914.0
2018-01-03,187.5,398.99999999999994,686.2
2018-01-04,806.2000000000003,850.1,2086.2000000000003
2018-01-05,936.05,1115.95,2551.2999999999997
2018-01-06,2403.3,1619.6,5304.800000000001
2018-01-07,1150.3000000000002,900.7,2664.2
2018-01-08,2124.5,1068.8999999999999,4326.3
2018-01-09,3228.2000000000007,1419.0000000000002,6368.499999999999
2018-01-10,2361.0,1425.6999999999998,5045.499999999999
2018-01-11,4243.299999999999,1580.5000000000002,8086.900000000001
2018-01-12,3379.4999999999995,1709.9999999999998,6891.5
2018-01-13,1851.0000000000002,1159.6,3997.9000000000005
2018-01-14,1460.5,1109.1000000000001,3348.2999999999997
2018-01-15,324.90000000000003,535.6,1033.7
2018-01-16,404.2,560.4999999999999,1180.1999999999994
2018-01-17,337.9,497.5,1015.6999999999999
2018-01-18,422.59999999999997,665.5000000000001,1313.4999999999998
2018-01-19,1044.7999999999997,1054.3999999999999,2656.6
2018-01-20,2276.8999999999996,1758.3,5250.2
2018-01-21,1108.2,1134.0999999999997,2833.0
2018-01-22,653.8999999999999,969.3,1971.6999999999998
2018-01-23,212.9,394.1,720.6
2018-01-24,183.29999999999998,350.99999999999994,631.9
2018-01-25,462.49999999999994,707.2,1416.6
2018-01-26,2813.7000000000007,1789.8000000000004,6104.1
2018-01-27,830.6000000000001,888.7,2162.3
2018-01-28,238.70000000000002,377.09999999999997,743.0000000000001
2018-01-29,858.5999999999999,915.9,2232.9
2018-01-30,1927.3000000000006,1411.8000000000004,4367.1
2018-01-31,421.30000000000007,609.3,1255.5
2018-02-01,545.4999999999999,788.5999999999999,1624.8
2018-02-02,1415.2000000000003,1209.4,3379.5
2018-02-03,2086.0,1717.1999999999998,4915.7
2018-02-04,1477.2,1045.3,3309.8999999999996
2018-02-05,2591.2,1416.6000000000001,5389.800000000001
2018-02-06,2680.9999999999995,1640.7,5751.599999999999
2018-02-07,2730.2999999999997,1888.8000000000002,6075.300000000001
2018-02-08,1381.1,1190.6999999999998,3308.2
2018-02-09,482.29999999999995,892.1999999999998,1631.8000000000002
2018-02-10,655.2000000000002,889.4999999999999,1894.2
2018-02-11,85.80000000000001,353.70000000000005,485.3
2018-02-12,727.6000000000001,998.9000000000001,2114.3999999999996
2018-02-13,1737.3,1347.4,4011.399999999999
2018-02-14,1380.5,1192.1999999999998,3308.2
2018-02-15,625.5000000000001,896.5000000000001,1855.6000000000001
2018-02-16,1756.9000000000003,1555.1,4248.699999999999
2018-02-17,1504.0000000000007,1540.1,3846.2
2018-02-18,1069.3,1356.1000000000004,2995.3999999999996
2018-02-19,1437.6000000000001,1396.9999999999998,3601.0000000000005
2018-02-20,1871.4999999999998,1376.8000000000002,4246.299999999999
2018-02-21,2962.2,1670.8999999999999,6212.900000000001
2018-02-22,2299.6,1554.5499999999997,5081.2
2018-02-23,2384.1,1581.4999999999998,5237.4
2018-02-24,1621.7999999999997,1253.6999999999998,3740.1
