MeasurementDateGMT,Croydon - Park Lane: Nitric Oxide (ug/m3),Croydon - Park Lane: Nitrogen Dioxide (ug/m3),Croydon - Park Lane: Oxides of Nitrogen (ug/m3),Croydon - Park Lane: PM10 Particulate (ug/m3)
2018-01-01,403.6000000000001,672.5,1291.2999999999997,231.30000000000004
2018-01-02,1360.6999999999998,1161.4,3247.7000000000007,411.90000000000003
2018-01-03,212.70000000000002,402.29999999999995,728.1999999999999,543.9999999999999
2018-01-04,603.7,805.4,1730.6999999999998,347.3
2018-01-05,1355.7999999999997,1418.65,3497.8,356.90000000000003
2018-01-06,1070.5,1279.8000000000002,2921.2999999999997,396.9
2018-01-07,390.6000000000001,599.4000000000001,1198.6999999999998,380.8999999999999
2018-01-08,1333.6,1019.3000000000001,3064.6,447.9
2018-01-09,2176.8999999999996,1240.3,4578.6,730.8000000000001
2018-01-10,2183.0,1354.1,4701.8,534.4
2018-01-11,3200.5,1454.8999999999999,6362.0,694.4
2018-01-12,1929.9999999999998,1336.3000000000002,4295.7,644.1
2018-01-13,1051.6,762.2,2375.1,599.6
2018-01-14,906.4000000000001,952.5999999999999,2342.4,692.3
2018-01-15,485.40000000000003,620.4,1364.3999999999999,302.5
2018-01-16,264.2,465.5,870.1999999999999,267.6
2018-01-17,338.70000000000005,535.8000000000001,1055.3,408.20000000000005
2018-01-18,254.99999999999997,530.0,921.2,251.39999999999995
2018-01-19,395.59999999999997,699.2,1305.4999999999998,351.1
2018-01-20,975.9,1161.8,2657.7999999999997,269.2
2018-01-21,603.0999999999999,724.1000000000001,1648.7000000000003,323.9
2018-01-22,495.0999999999999,800.7,1559.7000000000003,394.70000000000005
2018-01-23,603.1,675.6000000000003,1600.3999999999999,249.20000000000005
2018-01-24,482.29999999999995,592.2,1331.4999999999998,195.8
2018-01-25,1105.0,1025.1999999999998,2719.6,456.0
2018-01-26,2245.2,1277.6000000000001,4720.0,597.2
2018-01-27,1183.0,870.6000000000001,2684.7,384.2
2018-01-28,163.39999999999998,262.3,512.8000000000001,169.6
2018-01-29,687.35,806.05,1859.9500000000003,295.29999999999995
2018-01-30,2555.3,1599.8,5517.9,629.8000000000001
2018-01-31,293.6,556.9,1007.3,292.3
2018-02-01,366.59999999999997,733.2,1295.3,304.50000000000006
2018-02-02,854.6,1060.6,2370.9,533.4000000000001
2018-02-03,1222.8,1333.9999999999998,3208.7000000000003,343.49999999999994
2018-02-04,345.3,544.4,1074.1,269.19999999999993
