MeasurementDateGMT,Croydon - Purley Way A23: Nitric Oxide (ug/m3),Croydon - Purley Way A23: Nitrogen Dioxide (ug/m3),Croydon - Purley Way A23: Oxides of Nitrogen (ug/m3)
2018-01-01,211.39999999999998,353.79999999999995,677.6
2018-01-02,557.7,578.2000000000002,1433.0
2018-01-03,267.90000000000003,290.6,701.5
2018-01-04,448.1500000000001,525.6499999999999,1213.25
2018-01-05,725.0000000000001,838.3000000000001,1949.7999999999997
2018-01-06,828.3,912.0000000000001,2181.8
2018-01-07,239.89999999999998,417.8999999999999,785.9999999999999
2018-01-08,628.0999999999999,537.5999999999999,1500.8999999999999
2018-01-09,952.3,637.8000000000001,2097.4
2018-01-10,1511.6,974.6,3292.3000000000006
2018-01-11,2852.1,850.0999999999999,5223.0
2018-01-12,784.9000000000001,732.0000000000001,1934.9
2018-01-13,318.9,454.3,942.9999999999999
2018-01-14,559.1999999999999,695.9999999999999,1553.3000000000002
2018-01-15,418.0,422.7,1063.6
2018-01-16,468.9000000000001,428.9,1148.1
2018-01-17,485.80000000000007,446.90000000000003,1192.1999999999998
2018-01-18,505.2,539.6,1314.3999999999999
2018-01-19,757.8999999999999,678.4,1840.5000000000002
2018-01-20,592.8999999999997,897.7,1806.8
2018-01-21,352.5,563.2,1103.8
2018-01-22,674.9,767.8,1803.3
2018-01-23,395.1000000000001,421.5,1027.5
2018-01-24,304.40000000000003,340.0,807.5
2018-01-25,754.8000000000001,724.0,1881.3
2018-01-26,1937.0,1198.6000000000004,4168.1
2018-01-27,686.9999999999999,680.2,1733.1
2018-01-28,238.29999999999995,309.80000000000007,675.1999999999998
2018-01-29,659.8499999999999,763.0499999999998,1774.95
2018-01-30,1376.3,1130.8999999999999,3240.7
2018-01-31,530.3000000000001,538.7,1352.1000000000001
2018-02-01,550.0,649.6999999999999,1493.1
2018-02-02,993.8,947.5999999999999,2471.1999999999994
2018-02-03,686.4,950.4,2003.8999999999999
2018-02-04,289.40000000000003,475.3,919.0
2018-02-05,874.3000000000002,884.1,2224.5
2018-02-06,1227.1000000000001,1150.1,3031.6000000000004
2018-02-07,1561.9999999999998,1369.4000000000003,3764.6000000000004
2018-02-08,1054.7999999999997,1045.1000000000001,2662.6
2018-02-09,496.0,677.5,1438.2000000000003
2018-02-10,511.8000000000001,619.2999999999998,1404.1
2018-02-11,276.09999999999997,352.59999999999997,775.4000000000001
2018-02-12,897.5,901.4000000000001,2277.9
2018-02-13,553.3000000000001,667.6999999999999,1516.0
2018-02-14,700.7,745.4499999999999,1819.35
2018-02-15,617.9000000000001,671.4,1618.9
2018-02-16,1213.4999999999998,1124.5,2985.2999999999997
2018-02-17,782.8,1158.9,2358.7
2018-02-18,461.1000000000001,847.1,1554.6
2018-02-19,1142.3999999999999,1049.3,2801.2999999999997
2018-02-20,808.4000000000001,963.0999999999998,2202.5000000000005
2018-02-21,957.6999999999999,1046.8,2515.1999999999994
2018-02-22,696.8999999999999,983.5,2052.4
2018-02-23,788.1,1023.0000000000001,2231.9000000000005
2018-02-24,586.2999999999998,864.1,1762.8999999999999
2018-02-25,357.09999999999997,615.7,1163.2999999999997
2018-02-26,521.4,659.6999999999999,1459.3
2018-02-27,984.4000000000001,1098.5,2607.6
2018-02-28,811.4999999999999,986.8499999999999,2230.6
2018-03-01,408.6,657.2999999999998,1283.4999999999998
2018-03-02,443.2000000000001,709.6,1389.0000000000002
2018-03-03,558.4999999999999,924.5999999999999,1780.8000000000004
2018-03-04,389.19999999999993,713.0000000000001,1309.8999999999999
2018-03-05,562.5000000000001,748.1,1610.8
2018-03-06,1036.3000000000002,1177.7,2766.9
2018-03-07,1163.1000000000001,1221.6999999999998,3004.9000000000005
2018-03-08,521.4000000000001,599.8000000000001,1399.1999999999998
2018-03-09,610.6,749.4000000000001,1685.8999999999999
2018-03-10,477.70000000000005,662.6,1394.6
2018-03-11,458.70000000000005,767.5999999999999,1471.1000000000001
2018-03-12,808.2,791.1000000000001,2030.6999999999998
2018-03-13,853.1,906.5,2214.1999999999994
2018-03-14,355.59999999999997,535.1000000000001,1080.8
2018-03-15,416.3,612.5,1250.6
2018-03-16,721.8000000000001,899.8999999999999,2006.9000000000003
2018-03-17,304.79999999999995,496.19999999999993,963.1000000000001
2018-03-18,308.5,487.8999999999999,960.8000000000001
2018-03-19,417.90000000000003,653.9999999999999,1294.5
2018-03-20,733.1999999999998,1099.1,2222.8
2018-03-21,1035.7,1120.3,2708.3000000000006
2018-03-22,608.6,684.9,1618.2
2018-03-23,546.1,700.8,1538.2
