MeasurementDateGMT,Ealing - Hanger Lane Gyratory: Nitric Oxide (ug/m3),Ealing - Hanger Lane Gyratory: Nitrogen Dioxide (ug/m3),Ealing - Hanger Lane Gyratory: Oxides of Nitrogen (ug/m3),Ealing - Hanger Lane Gyratory: PM10 Particulate (ug/m3)
2018-01-01,1668.6999999999998,1330.5,3889.1,352.7
2018-01-02,3245.9,1797.3,6774.1,596.4000000000001
2018-01-03,1682.6000000000001,1152.6,3732.2999999999997,683.9000000000001
2018-01-04,2394.2999999999993,1712.7,5383.6,394.59999999999997
2018-01-05,4361.700000000001,2285.2999999999997,8973.3,596.5
2018-01-06,1243.1999999999998,1221.3999999999999,3127.7999999999993,448.5000000000001
2018-01-07,57.400000000000006,503.89999999999986,592.0,269.6
2018-01-08,216.9,776.8499999999999,1109.3999999999999,381.99999999999994
2018-01-09,2732.9,1429.0,5619.9,844.5000000000001
2018-01-10,6569.5,2626.8,12700.1,812.4000000000001
2018-01-11,3266.3,1537.3999999999996,6545.300000000001,672.6000000000001
2018-01-12,3222.9,1711.7000000000003,6653.8,912.9000000000001
2018-01-13,1618.7999999999997,1252.7000000000003,3734.900000000001,732.1999999999999
2018-01-14,1972.1999999999998,1393.8000000000002,4418.0,760.4000000000001
2018-01-15,2866.4000000000005,1559.5,5954.700000000001,424.9999999999999
2018-01-16,2561.1000000000004,1543.4,5470.7,462.69999999999993
2018-01-17,2561.6,1434.6000000000001,5362.199999999999,619.0
2018-01-18,3031.4999999999995,1608.6999999999998,6257.3,528.6
2018-01-19,4307.099999999999,2220.4500000000003,8824.4,764.9000000000001
2018-01-20,1875.7,1782.1000000000001,4657.799999999999,266.0
2018-01-21,2754.100000000001,1931.1000000000001,6154.299999999998,458.00000000000006
2018-01-22,5090.999999999999,2298.7,10104.199999999999,879.5
2018-01-23,3197.3,1745.6,6647.799999999999,397.20000000000005
2018-01-24,2457.5999999999995,1563.3,5332.0,333.8
2018-01-25,4834.999999999999,2187.0,9600.800000000001,804.5999999999999
2018-01-26,5522.799999999999,2369.2,10836.799999999997,1172.6000000000001
