MeasurementDateGMT,Ealing - Horn Lane: Nitric Oxide (ug/m3),Ealing - Horn Lane: Nitrogen Dioxide (ug/m3),Ealing - Horn Lane: Oxides of Nitrogen (ug/m3),Ealing - Horn Lane: PM10 Particulate (ug/m3)
2018-01-01,201.19999999999996,515.8000000000001,824.1999999999999,257.0
2018-01-02,470.1000000000001,961.7999999999998,1683.0999999999997,392.0
2018-01-03,220.09999999999997,526.4000000000001,863.7,613.0
2018-01-04,655.2999999999998,1127.8,2132.8,1310.0
2018-01-05,1433.8,1480.2,3678.6000000000004,569.0
2018-01-06,1478.0999999999997,1322.5,3589.2000000000007,620.0
2018-01-07,271.3,529.4000000000001,945.1,329.0
2018-01-08,707.35,856.9499999999999,1941.1499999999996,469.0
2018-01-09,1186.6000000000001,1015.3,2834.3999999999996,800.0
2018-01-10,2572.2999999999997,1717.3,5661.5,693.0
2018-01-11,1970.8999999999996,1209.9000000000003,4232.100000000001,713.0
2018-01-12,1042.1999999999996,1041.5,2639.8999999999996,621.0
2018-01-13,364.29999999999995,751.1000000000001,1309.7,638.0
2018-01-14,447.20000000000005,942.2,1628.1000000000004,714.0
2018-01-15,620.6000000000001,880.8000000000001,1832.0999999999997,308.0
2018-01-16,814.0000000000001,1138.1999999999998,2387.0,1152.0
2018-01-17,536.3000000000001,785.8,1607.6,522.0
2018-01-18,671.6999999999999,900.4999999999999,1929.9999999999998,575.0
2018-01-19,1288.1999999999998,1653.3,3628.7000000000003,545.0
2018-01-20,813.1000000000001,1550.3999999999999,2797.0999999999995,291.0
2018-01-21,634.0,1218.6,2190.4999999999995,392.0
2018-01-22,1017.4,1343.1,2903.0,469.0
2018-01-23,766.9,1053.2,2229.2999999999993,314.0
2018-01-24,554.3000000000001,894.8000000000001,1744.9,272.0
2018-01-25,1093.3000000000002,1352.7,3028.8999999999996,544.0
2018-01-26,2226.2000000000003,1648.3000000000002,5061.8,662.0
2018-01-27,589.7000000000002,1009.5,1913.2,432.0
2018-01-28,127.80000000000003,471.5,667.1999999999999,162.0
2018-01-29,778.5999999999998,1170.6999999999998,2364.5000000000005,387.0
2018-01-30,2331.0,1594.8999999999999,5169.699999999999,644.0
2018-01-31,531.9,1019.9000000000001,1835.3000000000004,291.0
2018-02-01,697.8000000000001,952.7999999999997,2022.6000000000001,426.0
2018-02-02,1144.4999999999998,1154.0500000000002,2908.5499999999997,560.0
2018-02-03,847.0999999999999,1437.7,2736.1,416.0
2018-02-04,438.70000000000005,757.6000000000001,1430.2000000000003,282.0
2018-02-05,853.4,1119.7,2428.7000000000003,472.0
2018-02-06,1075.6000000000001,1338.3999999999996,2988.2000000000003,741.0
2018-02-07,1454.4999999999998,1462.0,3692.0000000000005,692.0
2018-02-08,2005.3,1617.5000000000002,4691.9000000000015,714.0
