MeasurementDateGMT,Ealing - Western Avenue: Nitric Oxide (ug/m3),Ealing - Western Avenue: Nitrogen Dioxide (ug/m3),Ealing - Western Avenue: Oxides of Nitrogen (ug/m3),Ealing - Western Avenue: PM10 Particulate (ug/m3)
2018-01-01,550.1,1040.9,1884.7,385.19999999999993
2018-01-02,1295.6000000000001,1288.9,3275.7,618.4999999999999
2018-01-03,434.7000000000001,788.0,1454.6999999999998,709.0
2018-01-04,1327.7000000000003,1370.7,3406.4999999999995,512.6
2018-01-05,2307.0,1823.3999999999999,5360.3,613.4999999999999
2018-01-06,1155.9000000000003,1284.0,3055.8,531.0
2018-01-07,117.59999999999998,584.9000000000002,765.3999999999999,371.20000000000005
2018-01-08,670.6,1021.2000000000003,2050.2000000000003,556.5
2018-01-09,2888.8,1493.7999999999997,5923.1,957.3999999999999
2018-01-10,3218.7,1982.2,6917.999999999999,689.0
2018-01-11,2026.2999999999997,1310.0,4417.100000000001,636.6999999999999
2018-01-12,2180.8,1528.7000000000003,4872.4000000000015,1121.5
2018-01-13,927.6000000000001,1236.4,2658.6,818.3
2018-01-14,804.3000000000001,1224.5000000000002,2458.2000000000007,800.1
2018-01-15,901.7000000000002,1048.8999999999999,2431.2000000000003,375.2000000000001
2018-01-16,950.1,1067.4999999999998,2524.3,486.1000000000001
2018-01-17,1053.9,1036.3999999999999,2654.9,641.9000000000001
2018-01-18,1081.2,1114.9,2772.7000000000003,565.9000000000001
2018-01-19,2239.4000000000005,1714.0,5147.35,624.0500000000002
2018-01-20,803.4,1590.5000000000002,2822.4,164.29999999999995
2018-01-21,1613.7,1791.8999999999996,4266.1,371.20000000000005
2018-01-22,2033.4999999999995,1721.1,4838.900000000001,741.0999999999999
2018-01-23,1146.8999999999999,1192.1000000000001,2950.5,277.4
2018-01-24,909.6,1053.8999999999999,2448.5,281.8
2018-01-25,1803.2,1542.0999999999997,4306.200000000001,743.9
2018-01-26,2243.1,1758.1,5197.6,761.8
2018-01-27,1242.0,1303.5,3208.399999999999,527.1999999999998
2018-01-28,362.2,738.6,1294.1999999999998,265.70000000000005
2018-01-29,1507.2354838709678,1075.406451612903,3386.7451612903224,496.40322580645164
2018-01-30,2009.7806451612905,1452.541935483871,4534.593548387096,676.2709677419356
2018-01-31,1910.6838709677418,1500.851612903226,4431.1612903225805,738.825806451613
2018-02-01,1811.5870967741932,1549.1612903225805,4327.729032258064,801.3806451612904
2018-02-02,2030.212903225807,1632.838709677419,4745.670967741936,1102.1193548387098
