MeasurementDateGMT,Enfield - Bowes Primary School: Nitric Oxide (ug/m3),Enfield - Bowes Primary School: Nitrogen Dioxide (ug/m3),Enfield - Bowes Primary School: Oxides of Nitrogen (ug/m3),Enfield - Bowes Primary School: PM10 Particulate (ug/m3)
2018-01-01,401.4999999999999,834.5999999999999,1450.4,239.39999999999998
2018-01-02,172.39999999999995,909.5999999999999,1174.3,311.39999999999986
2018-01-03,374.0,755.6999999999999,1329.1000000000001,423.4
2018-01-04,471.9,1089.6000000000001,1813.2,285.4
2018-01-05,997.2,1353.3,2882.4,326.5
2018-01-06,2157.3999999999996,1317.1,4625.400000000001,513.0000000000001
2018-01-07,186.8,450.90000000000003,737.8000000000001,248.70000000000002
2018-01-08,587.0999999999999,828.1000000000001,1728.4000000000003,413.2000000000001
2018-01-09,1320.95,1207.9,3233.75,806.7999999999998
2018-01-10,1671.0,1649.3000000000002,4211.7,496.5
2018-01-11,2072.2,1354.0000000000002,4531.200000000001,631.6
2018-01-12,1205.5000000000002,1220.6999999999998,3069.2000000000007,621.2000000000002
2018-01-13,454.29999999999995,929.5000000000001,1626.2999999999997,620.0
2018-01-14,516.1,1058.6000000000001,1850.4,651.8000000000001
2018-01-15,289.4,808.1999999999999,1251.5999999999997,190.00000000000003
2018-01-16,490.50000000000006,1047.3,1799.4,258.20000000000005
2018-01-17,570.1,1038.4999999999998,1911.9,297.5
2018-01-18,742.3000000000001,1099.7,2238.1000000000004,237.8
2018-01-19,608.6999999999998,1478.1999999999998,2411.5,310.5
2018-01-20,717.1000000000001,1463.3999999999999,2563.4999999999995,264.9000000000001
2018-01-21,841.4999999999999,1541.8,2831.6000000000004,436.5
2018-01-22,1071.3000000000002,1520.4999999999998,3163.3000000000006,338.90000000000003
2018-01-23,110.9,570.9,740.8999999999997,140.39999999999998
2018-01-24,158.4,590.4000000000001,833.6,156.0
2018-01-25,135.6,673.6,881.9999999999999,284.59999999999997
2018-01-26,1895.6999999999998,1745.7999999999997,4652.4,560.9
2018-01-27,354.4,833.1,1376.1999999999996,302.0
2018-01-28,207.0,628.1999999999998,945.2000000000002,150.8
2018-01-29,772.9,1163.3,2348.0000000000005,236.9
2018-01-30,2013.6,1584.8,4672.7,432.19999999999993
2018-01-31,408.3999999999999,966.8000000000001,1592.7,190.6
2018-02-01,866.2999999999998,1155.1,2483.4,316.3
2018-02-02,1535.2,1384.5000000000005,3738.3999999999996,468.79999999999995
2018-02-03,953.5,1564.0000000000005,3026.000000000001,388.99999999999994
2018-02-04,324.7,589.7,1087.5000000000002,254.3
