MeasurementDateGMT,Enfield - Bush Hill Park: Nitric Oxide (ug/m3),Enfield - Bush Hill Park: Nitrogen Dioxide (ug/m3),Enfield - Bush Hill Park: Oxides of Nitrogen (ug/m3)
2018-01-01,50.5,412.6,490.00000000000006
2018-01-02,254.99999999999997,839.0,1230.0
2018-01-03,15.800000000000002,197.9,222.4
2018-01-04,152.99999999999997,667.35,900.6999999999999
2018-01-05,377.99999999999994,979.6,1548.4
2018-01-06,627.5999999999999,974.7999999999998,1926.7999999999997
2018-01-07,64.19999999999999,426.59999999999997,521.1999999999999
2018-01-08,187.70000000000002,711.4,992.8000000000001
2018-01-09,1005.1999999999999,1174.3000000000002,2703.4
2018-01-10,361.9,1001.5999999999999,1545.8000000000004
2018-01-11,225.80000000000004,840.0000000000001,1177.0
2018-01-12,478.60000000000014,1097.3,1820.2999999999997
2018-01-13,220.1,947.2000000000002,1275.0000000000002
2018-01-14,144.20000000000002,907.4,1118.7
2018-01-15,51.599999999999994,548.6,622.4999999999999
2018-01-16,26.3,409.1,444.99999999999994
2018-01-17,37.70000000000001,390.5,444.7
2018-01-18,17.000000000000004,322.29999999999995,345.19999999999993
2018-01-19,184.3,892.9,1166.6999999999996
2018-01-20,149.0,938.5999999999999,1157.8999999999996
2018-01-21,319.9,1242.8000000000002,1720.8
2018-01-22,95.60000000000001,767.8,906.0999999999999
2018-01-23,69.50000000000001,589.3,689.2
2018-01-24,46.2,425.8,492.6
2018-01-25,120.4,763.6999999999999,940.5000000000002
2018-01-26,206.2,896.0999999999999,1203.2
2018-01-27,280.8999999999999,896.1999999999998,1317.6000000000001
2018-01-28,13.6,228.1,246.59999999999997
2018-01-29,50.6,557.9,629.5999999999999
2018-01-30,931.0,1372.7,2785.7999999999997
2018-01-31,29.499999999999996,466.90000000000003,507.6
2018-02-01,25.199999999999996,433.85,468.1
2018-02-02,169.0,695.9000000000001,947.5
2018-02-03,166.0,1142.8999999999999,1386.2999999999997
2018-02-04,58.8,490.59999999999997,575.8000000000001
2018-02-05,109.6,711.7,872.5
2018-02-06,94.5,735.1,872.4999999999999
2018-02-07,450.0999999999999,948.0,1628.4
2018-02-08,823.5,1297.3999999999999,2546.7000000000003
2018-02-09,31.900000000000002,478.6000000000001,522.9
2018-02-10,194.4,891.3,1180.2
2018-02-11,18.400000000000002,175.3,202.00000000000003
2018-02-12,164.60000000000002,866.1,1109.8000000000002
2018-02-13,89.10000000000001,750.3999999999999,879.2000000000002
2018-02-14,431.59999999999997,855.3,1508.6000000000001
2018-02-15,40.1,562.4499999999999,618.2500000000001
2018-02-16,473.0999999999999,1279.7,1992.2000000000003
2018-02-17,735.9,1491.6000000000001,2605.1
2018-02-18,609.6999999999999,1097.6,2021.7999999999997
2018-02-19,186.79999999999998,793.5000000000001,1072.4
2018-02-20,55.50000000000001,419.59999999999997,500.40000000000003
2018-02-21,199.99999999999994,884.9000000000001,1182.3999999999999
