MeasurementDateGMT,Enfield - Derby Road: Nitric Oxide (ug/m3),Enfield - Derby Road: Nitrogen Dioxide (ug/m3),Enfield - Derby Road: Oxides of Nitrogen (ug/m3)
2018-01-01,137.5,560.5000000000001,771.1999999999999
2018-01-02,576.1999999999999,978.9,1862.9000000000005
2018-01-03,299.8,576.6,1035.8
2018-01-04,828.1,969.4999999999999,2239.3500000000004
2018-01-05,994.7,1311.4999999999998,2836.6
2018-01-06,1352.5,1028.9999999999998,3102.7999999999993
2018-01-07,219.1,389.9000000000001,725.8000000000001
2018-01-08,730.8999999999997,688.7000000000002,1809.0
2018-01-09,1752.9999999999998,899.1,3587.1
2018-01-10,1495.3000000000002,1433.3000000000002,3726.4
2018-01-11,1313.8999999999996,1045.0,3059.4
2018-01-12,1232.1,1022.4,2911.4999999999995
2018-01-13,378.0,829.9,1409.3999999999999
2018-01-14,390.49999999999994,856.1,1454.8
2018-01-15,363.50000000000006,855.6,1412.4000000000003
2018-01-16,325.30000000000007,770.3999999999999,1269.3000000000004
2018-01-17,452.3999999999999,805.3000000000002,1498.8
2018-01-18,580.4,826.7999999999998,1716.6
2018-01-19,617.1999999999999,1141.5,2088.3000000000006
2018-01-20,714.3000000000002,1167.1,2262.2000000000003
2018-01-21,486.2999999999999,1123.4,1868.7
2018-01-22,1023.0000000000001,1246.6,2815.4999999999995
2018-01-23,275.9999999999999,840.8500000000001,1263.9499999999996
2018-01-24,268.79999999999995,701.4999999999999,1113.5
2018-01-25,431.3999999999999,1070.0,1731.3000000000002
2018-01-26,1394.7,1449.1999999999998,3587.7000000000003
2018-01-27,553.8,995.8999999999999,1844.8999999999999
2018-01-28,74.8,310.9,425.2
2018-01-29,537.5,867.0999999999999,1691.1
2018-01-30,2148.3999999999996,1548.1,4842.499999999998
2018-01-31,396.90000000000003,774.6000000000001,1382.8999999999996
2018-02-01,657.9000000000001,813.8,1822.4000000000003
2018-02-02,1145.5000000000002,1054.3,2810.7000000000003
2018-02-03,654.9000000000002,1256.6,2261.0000000000005
2018-02-04,291.30000000000007,453.5,899.5000000000001
2018-02-05,952.8,1026.9,2487.6
2018-02-06,1033.5,1107.8,2692.3999999999996
2018-02-07,1468.9,1370.8,3623.2
2018-02-08,1469.6999999999998,1409.1,3662.1000000000004
2018-02-09,871.5,922.3,2258.4999999999995
2018-02-10,510.5999999999999,982.3999999999999,1765.2000000000003
2018-02-11,224.39999999999998,430.7,774.5
2018-02-12,973.9999999999999,1342.0,2835.3
2018-02-13,939.1000000000001,1129.7,2569.2999999999997
2018-02-14,1047.9,987.9999999999999,2594.5
2018-02-15,485.79999999999995,1032.3000000000002,1777.3
2018-02-16,1344.9000000000003,1436.5000000000002,3498.6000000000004
2018-02-17,1431.8999999999994,1440.3999999999999,3635.8000000000006
2018-02-18,815.8999999999999,1206.8,2457.600000000001
2018-02-19,990.0,999.5999999999999,2517.7000000000003
2018-02-20,721.8000000000001,605.3000000000002,1711.7000000000003
2018-02-21,1406.7,1130.8000000000002,3287.4
2018-02-22,785.2,1071.5,2275.2999999999997
2018-02-23,1034.6000000000001,1050.1999999999998,2636.7000000000007
2018-02-24,583.4,763.7000000000002,1658.4
2018-02-25,251.4,499.6,884.6999999999999
2018-02-26,628.7,790.7,1754.4
2018-02-27,988.3,1210.0000000000002,2725.7
2018-02-28,753.9999999999999,866.8000000000002,2022.7000000000003
2018-03-01,481.8,638.6,1377.6999999999998
2018-03-02,493.7,815.9000000000001,1572.8999999999999
2018-03-03,364.1,863.0999999999999,1420.8
2018-03-04,202.19999999999996,973.5000000000001,1283.6999999999998
2018-03-05,774.2999999999998,1204.9999999999998,2392.1999999999994
2018-03-06,954.9000000000001,1328.2,2792.5
2018-03-07,1253.4,1393.8000000000002,3315.1000000000004
2018-03-08,389.79999999999995,897.0,1495.0999999999997
2018-03-09,1916.4000000000005,1432.5999999999997,4370.999999999999
2018-03-10,338.49999999999994,974.9,1494.0000000000002
2018-03-11,647.4999999999999,961.1999999999998,1954.0000000000002
2018-03-12,1024.1999999999998,1023.6,2593.4
2018-03-13,882.6000000000001,1094.5,2448.0
2018-03-14,705.8999999999999,1057.6,2140.3999999999996
2018-03-15,633.7,1173.7,2144.9999999999995
2018-03-16,631.6,1210.1000000000001,2178.2999999999997
2018-03-17,330.4,479.00000000000006,985.6
2018-03-18,231.2,393.1000000000001,747.1999999999999
2018-03-19,532.3000000000001,759.3,1575.6999999999998
2018-03-20,771.5,1004.0000000000001,2187.0
2018-03-21,1689.2000000000005,1272.1000000000004,3861.5999999999995
2018-03-22,458.9999999999999,852.6999999999999,1556.3999999999999
2018-03-23,785.5,1120.5,2325.0
2018-03-24,485.1,817.6000000000003,1561.7
2018-03-25,546.6,801.4000000000001,1640.0
2018-03-26,650.4999999999999,1141.1000000000001,2138.7000000000003
2018-03-27,544.4999999999999,958.8999999999999,1793.9
2018-03-28,763.7000000000002,1338.8,2510.0999999999995
2018-03-29,930.5999999999999,1245.4,2672.3999999999996
2018-03-30,342.90000000000003,978.5000000000001,1504.3999999999996
2018-03-31,305.80000000000007,650.7000000000002,1119.8
2018-04-01,182.59999999999997,565.4,845.4999999999999
2018-04-02,124.5,722.5,913.1000000000001
2018-04-03,285.5999999999999,814.6,1252.6999999999996
2018-04-04,303.29999999999995,781.0999999999999,1246.5000000000002
2018-04-05,408.9,720.2,1347.0500000000002
2018-04-06,472.00000000000017,1129.1000000000001,1852.6000000000001
2018-04-07,580.5,1128.1999999999998,2018.5
2018-04-08,268.0,821.9,1232.9999999999998
2018-04-09,739.9,1029.2,2163.8999999999996
2018-04-10,865.4,1180.9000000000003,2507.9
2018-04-11,795.0999999999999,892.8000000000002,2111.8
2018-04-12,779.1999999999999,728.1999999999999,1922.8
2018-04-13,569.2,1029.4,1901.8000000000002
2018-04-14,272.5,912.8000000000001,1330.9
2018-04-15,120.29999999999998,685.9000000000001,870.2
2018-04-16,161.7,772.6,1020.5999999999998
2018-04-17,188.40000000000003,806.4999999999999,1095.1999999999998
2018-04-18,1150.3000000000002,1091.4,2855.0
2018-04-19,875.5000000000001,1517.5,2860.6000000000004
2018-04-20,830.0000000000001,1258.4999999999998,2531.1
2018-04-21,253.89999999999998,970.7999999999998,1359.8999999999996
2018-04-22,135.3,587.1999999999999,794.6999999999998
2018-04-23,434.7,785.0,1451.3999999999999
2018-04-24,413.7999999999999,727.5,1361.6
2018-04-25,359.00000000000006,646.4999999999999,1196.75
2018-04-26,237.29999999999998,709.5,1073.2
2018-04-27,539.8,1259.0,2086.7999999999997
2018-04-28,373.40000000000003,654.2,1226.6999999999998
2018-04-29,152.1,310.3,543.7
2018-04-30,399.4,620.0,1232.4
2018-05-01,370.00000000000006,818.3000000000003,1385.8999999999999
2018-05-02,354.9000000000001,907.1,1451.0000000000002
2018-05-03,777.5000000000001,1088.1,2280.4999999999995
2018-05-04,657.7,1257.8999999999999,2266.3
2018-05-05,427.9000000000001,1009.0999999999999,1665.4999999999998
2018-05-06,143.4,914.3999999999997,1133.9999999999998
2018-05-07,225.1,1082.9,1427.8000000000002
2018-05-08,762.7,1178.3999999999999,2348.0999999999995
2018-05-09,465.7,766.6000000000001,1480.1
2018-05-10,438.1500000000001,862.5000000000001,1534.3
2018-05-11,554.4000000000001,1016.6000000000001,1867.0999999999995
2018-05-12,324.90000000000003,1027.8000000000002,1526.2
2018-05-13,418.79999999999995,796.9000000000001,1439.2
2018-05-14,458.4000000000001,667.2999999999998,1369.8999999999996
2018-05-15,482.79999999999995,760.0,1500.3000000000002
2018-05-16,364.09999999999997,497.8000000000001,1055.9000000000003
2018-05-17,483.10000000000014,643.9,1384.7000000000003
2018-05-18,585.1,930.9000000000002,1828.0000000000005
2018-05-19,334.79999999999995,821.3,1334.1999999999998
2018-05-20,169.2,663.0999999999999,922.2
2018-05-21,634.6999999999999,1296.6999999999998,2269.4
2018-05-22,341.1499999999999,636.5,1159.45
2018-05-23,318.25,544.3999999999999,1032.45
2018-05-24,430.5,786.9,1447.2999999999997
2018-05-25,709.3,1053.2,2140.2
2018-05-26,232.60000000000002,645.9000000000001,1002.4000000000001
2018-05-27,164.90000000000003,669.4,921.9
2018-05-28,254.40000000000006,497.40000000000003,887.5999999999999
2018-05-29,388.3,553.1999999999999,1148.6000000000004
2018-05-30,767.5000000000001,1031.4,2208.5
2018-05-31,496.79999999999995,954.6999999999999,1716.1999999999996
2018-06-01,1019.8000000000001,1131.8000000000002,2695.6
2018-06-02,361.40000000000003,743.0,1296.7999999999997
2018-06-03,185.59999999999997,621.9999999999999,906.6999999999999
2018-06-04,663.99,866.97,1884.4500000000003
2018-06-05,705.2879999999999,906.7440000000001,1986.8400000000001
2018-06-06,571.872,837.736,1713.8599999999997
2018-06-07,623.6,783.6000000000001,1739.1000000000001
2018-06-08,575.7,761.5999999999999,1644.2999999999997
2018-06-09,251.1,502.90000000000003,887.8000000000001
2018-06-10,151.1,303.3,534.4000000000001
2018-06-11,579.6000000000001,739.6999999999999,1628.4999999999995
2018-06-12,643.6000000000001,734.5,1721.1
2018-06-13,403.09999999999997,725.6999999999999,1343.9
2018-06-14,363.29999999999995,637.3000000000001,1194.0
2018-06-15,598.8999999999999,821.1,1739.2999999999997
2018-06-16,127.5,382.69999999999993,578.0999999999999
2018-06-17,72.7,248.70000000000002,360.29999999999995
2018-06-18,240.30000000000004,414.29999999999995,782.8000000000001
2018-06-19,347.4000000000001,359.8999999999999,892.8000000000001
2018-06-20,348.09999999999997,319.4,853.1
2018-06-21,431.70000000000016,538.9,1200.7000000000003
2018-06-22,487.7,670.8,1418.8
2018-06-23,287.00000000000006,720.3999999999999,1160.8
2018-06-24,130.79999999999995,465.30000000000007,665.7
2018-06-25,444.90000000000003,1107.9,1790.1999999999998
2018-06-26,424.2,864.0999999999998,1514.8000000000002
2018-06-27,495.1000000000001,688.1,1447.1
2018-06-28,519.9,726.8,1523.8999999999999
2018-06-29,446.65,665.5500000000001,1350.4
2018-06-30,194.4,433.6,731.5999999999998
2018-07-01,156.5,562.0999999999999,801.8
2018-07-02,383.2,803.7999999999998,1391.1000000000001
2018-07-03,350.30000000000007,696.5999999999999,1234.4
2018-07-04,429.6,829.5999999999999,1488.2
2018-07-05,583.8999999999997,1267.8999999999999,2163.3999999999996
2018-07-06,423.79999999999995,937.8999999999999,1587.6999999999998
2018-07-07,193.79999999999995,699.7,997.2000000000002
2018-07-08,142.7,529.8,748.3000000000001
2018-07-09,497.8999999999999,861.7,1624.6000000000001
2018-07-10,518.6999999999998,425.2,1220.5999999999997
2018-07-11,553.8,612.8999999999999,1462.0499999999997
2018-07-12,513.9,771.7,1560.3
2018-07-13,410.5,714.2,1343.1000000000004
2018-07-14,187.4,743.1999999999999,1030.3999999999999
2018-07-15,169.09999999999997,851.1,1110.6000000000001
2018-07-16,371.4,818.4,1387.4
2018-07-17,324.1,559.5000000000001,1056.7
2018-07-18,296.70000000000005,813.4000000000002,1267.9
2018-07-19,427.3,946.3999999999997,1601.8000000000002
2018-07-20,292.9,988.0999999999999,1437.1000000000001
2018-07-21,329.30000000000007,885.1,1389.5
2018-07-22,210.70000000000005,685.9,1009.0999999999999
2018-07-23,373.50000000000006,815.1999999999999,1387.8000000000002
2018-07-24,234.79999999999995,597.8000000000001,957.4999999999999
2018-07-25,355.4,742.1999999999999,1287.5
2018-07-26,317.0,982.7,1468.8
2018-07-27,276.99999999999994,943.6000000000003,1368.2999999999997
2018-07-28,108.40000000000002,193.8,359.90000000000003
2018-07-29,86.60000000000002,145.19999999999996,277.5
2018-07-30,457.19999999999993,346.1,1047.2
2018-07-31,335.80000000000007,522.5,1037.6000000000001
2018-08-01,276.3,619.1999999999999,1042.6
2018-08-02,401.6000000000001,811.1000000000001,1426.9999999999998
2018-08-03,531.8000000000001,846.5,1661.8000000000002
2018-08-04,238.9,368.5,735.4
2018-08-05,122.79999999999998,454.20000000000005,642.8
2018-08-06,422.80000000000007,1041.3999999999999,1689.4999999999998
2018-08-07,300.4000000000001,1006.2999999999998,1467.15
2018-08-08,217.60000000000002,389.50000000000006,722.8000000000001
2018-08-09,756.0000000000001,745.4,1905.0000000000002
2018-08-10,419.2,614.9000000000001,1257.7
2018-08-11,324.0,546.4,1043.3
2018-08-12,85.50000000000003,360.79999999999995,492.0999999999999
2018-08-13,452.6,508.5,1202.1000000000001
2018-08-14,531.9000000000001,540.8000000000001,1356.5000000000002
2018-08-15,193.2,394.50000000000006,690.6999999999999
2018-08-16,355.50000000000006,495.70000000000005,1040.6999999999998
2018-08-17,504.1,478.49999999999994,1251.5999999999997
2018-08-18,144.1,310.0,531.0
2018-08-19,140.8,186.49999999999997,402.09999999999997
2018-08-20,429.09999999999997,502.7000000000001,1160.2999999999997
2018-08-21,321.20000000000005,615.8,1108.3999999999999
2018-08-22,394.9000000000001,613.1000000000003,1218.8000000000002
2018-08-23,439.4999999999999,506.95,1180.8000000000002
2018-08-24,386.3,428.99999999999994,1020.9999999999999
2018-08-25,787.5,571.2,1778.6999999999998
2018-08-26,868.6999999999999,462.6,1794.6
2018-08-27,187.79999999999998,254.79999999999995,542.1
2018-08-28,438.9,824.1,1496.8999999999999
2018-08-29,937.3,884.5999999999998,2321.5000000000005
2018-08-30,694.5999999999999,728.1999999999999,1793.5000000000002
2018-08-31,689.3,955.8000000000001,2013.2000000000005
2018-09-01,562.8,900.5999999999999,1763.6999999999998
2018-09-02,314.30000000000007,814.5000000000001,1296.3999999999999
2018-09-03,849.1999999999998,1203.0,2504.3999999999996
2018-09-04,459.1,689.3000000000001,1393.6999999999998
2018-09-05,479.5,621.9000000000001,1357.3000000000002
2018-09-06,612.4,695.9000000000001,1634.1999999999998
2018-09-07,585.3,767.5999999999998,1665.5
2018-09-08,696.9,921.4000000000001,1990.1999999999998
2018-09-09,177.20000000000005,396.3,667.6999999999999
2018-09-10,238.89999999999992,515.1999999999999,881.8000000000002
2018-09-11,248.20000000000005,480.50000000000006,861.4
2018-09-12,1106.8,866.6999999999999,2563.6
2018-09-13,1721.8000000000002,995.4000000000001,3635.6
2018-09-14,361.3,827.6999999999998,1381.5999999999997
2018-09-15,337.5,659.7,1177.4999999999995
2018-09-16,85.9,494.99999999999994,626.8000000000001
2018-09-17,155.70000000000005,792.4,1031.1
2018-09-18,146.2,458.20000000000005,682.1999999999999
2018-09-19,128.20000000000002,400.90000000000003,597.9
2018-09-20,158.60000000000005,453.19999999999993,696.7000000000002
2018-09-21,266.80000000000007,470.8999999999999,880.3000000000002
2018-09-22,186.39999999999998,635.4,921.2
2018-09-23,328.6,490.8,994.6
2018-09-24,1697.9,1070.1,3673.5000000000005
2018-09-25,1722.9,1233.2999999999997,3875.1000000000004
2018-09-26,2457.8,1676.5000000000002,5445.1
2018-09-27,1268.9999999999998,1434.5000000000002,3380.3999999999996
2018-09-28,694.0,789.9999999999999,1854.3
2018-09-29,1108.1000000000001,1143.9999999999998,2843.8
2018-09-30,775.1000000000003,762.6,1951.6000000000004
2018-10-01,657.9999999999998,715.2999999999998,1724.4
