MeasurementDateGMT,Enfield - Prince of Wales School: Nitric Oxide (ug/m3),Enfield - Prince of Wales School: Nitrogen Dioxide (ug/m3),Enfield - Prince of Wales School: Oxides of Nitrogen (ug/m3)
2018-01-01,38.30000000000001,334.7000000000001,393.29999999999995
2018-01-02,296.80000000000007,783.4000000000001,1238.3
2018-01-03,15.800000000000002,195.6,219.8
2018-01-04,127.7,533.4999999999999,728.4999999999998
2018-01-05,560.7,987.4,1846.8
2018-01-06,947.9000000000001,771.3999999999999,2224.9
2018-01-07,40.29999999999999,328.2,389.6
2018-01-08,183.5,572.6000000000001,854.1999999999999
2018-01-09,793.5999999999998,793.6999999999999,2010.2
2018-01-10,449.3,822.6999999999998,1511.9
2018-01-11,681.0999999999999,835.9,1880.2999999999995
2018-01-12,536.8999999999999,867.5000000000001,1690.7000000000003
2018-01-13,121.6,607.3999999999999,793.9
2018-01-14,108.5,754.1,920.7
2018-01-15,89.10000000000001,628.9000000000001,765.5
2018-01-16,21.900000000000002,370.5,403.7
2018-01-17,32.300000000000004,369.4,419.0
2018-01-18,24.200000000000003,325.5,362.2
2018-01-19,172.4,777.6,1042.0
2018-01-20,124.80000000000001,796.7,988.1000000000001
2018-01-21,349.0,919.6,1453.9000000000003
2018-01-22,110.30000000000001,728.0999999999999,897.8999999999997
2018-01-23,95.99999999999999,692.6,840.1
2018-01-24,32.60000000000001,434.2000000000001,484.3
2018-01-25,130.4,782.9,982.9999999999999
2018-01-26,385.50000000000006,899.5,1490.8999999999996
2018-01-27,527.3,795.8,1605.1
2018-01-28,12.200000000000001,189.50000000000006,208.30000000000004
2018-01-29,125.39999999999999,518.4,710.4000000000001
2018-01-30,1501.8000000000002,1205.7000000000003,3508.3
2018-01-31,23.4,415.4,451.40000000000003
2018-02-01,51.550000000000004,449.75,528.5999999999999
2018-02-02,299.6,656.1000000000001,1115.7
2018-02-03,218.5,922.5999999999999,1257.8999999999999
2018-02-04,32.699999999999996,320.2000000000001,370.00000000000006
2018-02-05,101.8,612.9,768.9000000000001
2018-02-06,255.29999999999998,821.0,1211.9999999999998
2018-02-07,991.9,949.0999999999999,2469.8
2018-02-08,1509.7,1251.6999999999998,3566.899999999999
2018-02-09,56.1,594.3,680.2
2018-02-10,363.10000000000014,905.7,1462.2
2018-02-11,4.999999999999999,164.2,171.5
2018-02-12,189.9,849.6,1140.9
2018-02-13,105.3,594.8,756.0
2018-02-14,525.3000000000002,720.0,1525.5000000000005
2018-02-15,52.1,587.8499999999999,666.9000000000001
2018-02-16,1109.8999999999999,1219.6999999999998,2921.6000000000004
2018-02-17,1534.5000000000002,1280.3,3633.1999999999994
2018-02-18,1177.5999999999995,926.3000000000002,2731.900000000001
2018-02-19,177.20000000000002,770.5,1042.5
2018-02-20,105.59999999999998,496.79999999999995,658.9000000000001
2018-02-21,380.2,784.5000000000001,1367.5999999999997
2018-02-22,211.9,869.3999999999999,1194.1999999999998
2018-02-23,267.4,795.5000000000001,1205.6
2018-02-24,95.09999999999998,654.6999999999999,800.9
2018-02-25,46.1,468.6,539.8000000000002
2018-02-26,69.7,486.09999999999997,592.5
2018-02-27,496.09999999999997,955.9,1717.1
2018-02-28,258.6,745.2000000000002,1141.6
2018-03-01,107.85,549.95,715.1999999999999
2018-03-02,105.70000000000002,702.4,864.5
2018-03-03,102.00000000000001,705.7,861.8000000000001
2018-03-04,104.19999999999999,686.9999999999999,847.3000000000001
2018-03-05,198.90000000000006,890.7000000000002,1195.5999999999997
2018-03-06,690.6,1009.0,2068.0
2018-03-07,789.9000000000001,1062.1999999999998,2273.8999999999996
2018-03-08,72.00000000000001,702.3,812.5000000000001
2018-03-09,714.9000000000001,1104.8,2200.7000000000003
2018-03-10,219.49999999999997,853.4999999999999,1190.0
2018-03-11,451.20000000000005,721.5,1413.7
2018-03-12,116.1,647.5,825.8
2018-03-13,245.20000000000002,768.1,1144.3000000000002
2018-03-14,305.00000000000006,692.95,1160.7
2018-03-15,135.2,707.0999999999999,914.4000000000002
2018-03-16,272.79999999999995,796.0,1214.1
2018-03-17,34.300000000000004,299.69999999999993,352.1000000000001
2018-03-18,33.199999999999996,310.3,361.4
2018-03-19,49.699999999999996,374.6000000000001,450.79999999999995
2018-03-20,94.6,512.5,657.3999999999999
2018-03-21,1202.3000000000002,717.2000000000003,2560.7000000000003
2018-03-22,25.599999999999994,381.09999999999997,419.8999999999999
2018-03-23,54.20000000000001,513.7,596.9
2018-03-24,93.4,613.9999999999999,757.1999999999999
2018-03-25,452.90000000000003,625.4,1320.0
2018-03-26,257.3999999999999,812.1,1206.7500000000002
2018-03-27,84.50000000000003,565.0,694.5000000000002
2018-03-28,98.60000000000002,765.5000000000001,916.8
2018-03-29,497.59999999999997,851.1,1613.9
2018-03-30,79.40000000000002,598.8,721.3000000000002
2018-03-31,42.49999999999999,400.0,465.0
2018-04-01,25.5,276.3,315.40000000000003
2018-04-02,67.39999999999999,494.40000000000003,597.9000000000001
