MeasurementDateGMT,Greenwich - A206 Burrage Grove: Nitric Oxide (ug/m3),Greenwich - A206 Burrage Grove: Nitrogen Dioxide (ug/m3),Greenwich - A206 Burrage Grove: Oxides of Nitrogen (ug/m3),Greenwich - A206 Burrage Grove: PM10 Particulate (ug/m3),Greenwich - A206 Burrage Grove: PM2.5 Particulate (ug/m3)
2018-01-01,49.10000000000001,503.0,578.1,238.30000000000004,123.00000000000001
2018-01-02,61.7,536.8,631.5999999999999,335.2,152.0
2018-01-03,48.19999999999999,456.20000000000005,530.0999999999999,527.2,211.7
2018-01-04,225.99999999999997,633.5,980.2,304.0000000000001,139.0
2018-01-05,232.3,892.9999999999999,1249.3,300.50000000000006,170.70000000000005
2018-01-06,1051.8999999999999,1180.1999999999998,2792.9999999999995,535.5000000000001,409.00000000000006
2018-01-07,217.8,563.3,897.4000000000001,376.20000000000005,159.29999999999998
2018-01-08,741.9,919.8000000000001,2057.5,566.1,370.0
2018-01-09,673.9,887.9000000000002,1921.0000000000005,840.0,689.4
2018-01-10,737.3000000000001,1174.7,2305.6,490.39999999999986,316.2
2018-01-11,1591.7,1253.2,3693.7000000000003,672.7999999999998,561.4000000000001
2018-01-12,488.99999999999994,896.3,1646.4999999999995,591.6999999999999,510.9999999999999
2018-01-13,106.8,567.3,730.8000000000001,608.1,536.3
2018-01-14,413.0,954.6999999999998,1587.6000000000004,741.1,625.2000000000002
2018-01-15,90.39999999999998,553.3,692.1,219.20000000000002,152.8
2018-01-16,77.7,569.9,689.1,241.99999999999994,98.40000000000002
2018-01-17,102.1,603.0000000000001,759.8999999999999,313.5,113.49999999999999
2018-01-18,130.2,741.6,941.1999999999999,237.5,106.90000000000002
2018-01-19,164.20000000000002,878.1999999999998,1130.0000000000002,302.5,142.2
2018-01-20,532.3,1119.0,1935.5,351.15000000000003,182.10000000000002
2018-01-21,328.90000000000003,959.7999999999998,1464.5000000000002,392.9999999999999,309.1
2018-01-22,433.5,1135.4999999999998,1799.5999999999997,373.5,183.70000000000002
2018-01-23,70.04999999999998,425.80000000000007,532.75,195.80000000000004,83.8
2018-01-24,65.89999999999999,426.80000000000007,527.9,140.99999999999997,89.10000000000002
2018-01-25,99.19999999999997,603.8000000000001,755.9,352.59999999999985,124.39999999999999
2018-01-26,1186.3999999999999,1392.0,3211.2000000000003,521.1000000000001,320.4
2018-01-27,227.20000000000002,661.3999999999999,1009.6999999999998,314.70000000000005,216.00000000000006
2018-01-28,53.8,318.1,400.7,144.15,62.80000000000001
2018-01-29,324.4,811.4999999999999,1308.6000000000001,188.6,110.49999999999999
2018-01-30,302.5999999999999,1047.8,1511.7,360.05000000000007,230.29999999999998
2018-01-31,102.0,608.8,765.3,221.4,114.2
2018-02-01,449.59999999999997,1050.9,1740.6000000000001,344.09999999999997,134.39999999999998
