MeasurementDateGMT,Greenwich - Blackheath: Nitric Oxide (ug/m3),Greenwich - Blackheath: Nitrogen Dioxide (ug/m3),Greenwich - Blackheath: Oxides of Nitrogen (ug/m3),Greenwich - Blackheath: PM10 Particulate (ug/m3)
2018-01-01,108.9,467.9,634.8000000000001,283.5
2018-01-02,228.7,604.8,955.5,370.50000000000006
2018-01-03,88.70000000000002,326.2,461.90000000000003,579.7
2018-01-04,307.00000000000006,592.9,1063.7,309.40000000000003
2018-01-05,478.6000000000001,959.8000000000001,1693.5000000000005,368.50000000000006
2018-01-06,1028.0,1040.7,2616.7999999999993,587.7000000000002
2018-01-07,459.7,593.9,1298.7999999999997,460.4
2018-01-08,1341.1000000000001,837.9,2894.4,522.8999999999999
2018-01-09,1291.4,855.2999999999998,2835.2999999999993,843.2
2018-01-10,1262.6000000000001,1106.7,3042.6,551.6999999999999
2018-01-11,1943.0000000000002,990.8,3970.2999999999993,714.3
2018-01-12,1124.8,980.5,2705.1999999999994,703.7
2018-01-13,516.8000000000001,642.5,1434.9000000000003,676.6999999999999
2018-01-14,528.6999999999999,859.5000000000001,1670.0000000000002,766.9
2018-01-15,259.6,567.5,965.4999999999999,240.60000000000002
2018-01-16,144.8,485.3,707.3000000000001,247.8
2018-01-17,200.79999999999995,552.5999999999999,860.5999999999999,354.29999999999995
2018-01-18,217.19999999999996,639.5999999999999,972.7,278.2
2018-01-19,242.89999999999992,790.0,1162.5000000000002,335.00000000000006
2018-01-20,563.1999999999999,1018.7,1882.3,300.0
2018-01-21,400.0,901.4999999999999,1515.1000000000001,375.79999999999995
2018-01-22,615.4,999.8000000000001,1943.4000000000003,484.90000000000003
2018-01-23,400.6,674.5,1288.7000000000003,260.6
2018-01-24,269.0,582.1999999999999,994.9,176.9
2018-01-25,503.79999999999995,848.5,1621.1000000000001,464.8
2018-01-26,1212.8,1221.0,3079.9000000000005,676.9999999999999
2018-01-27,456.6,796.1999999999999,1496.6000000000001,417.49999999999994
2018-01-28,60.79999999999999,286.7,379.79999999999995,145.7
2018-01-29,361.70000000000005,616.7,1170.8,342.59999999999997
2018-01-30,1562.2000000000005,1240.3000000000002,3636.1,606.6999999999999
2018-01-31,199.09999999999997,571.1,876.4,233.39999999999998
2018-02-01,989.2,975.3000000000001,2492.1000000000004,522.8
2018-02-02,1162.3000000000002,1072.2000000000003,2854.4,699.8
2018-02-03,535.8,1091.6000000000001,1913.1999999999996,421.5
2018-02-04,377.5,536.3,1114.7,401.0999999999999
2018-02-05,960.6,874.0000000000002,2346.9,678.7
2018-02-06,912.7,974.6999999999999,2374.8999999999996,766.5999999999999
2018-02-07,1238.5,1205.8000000000002,3104.6,761.6999999999999
2018-02-08,876.2000000000002,1219.6999999999996,2563.1000000000004,609.8000000000002
2018-02-09,948.8000000000001,1059.2,2514.4000000000005,435.70000000000005
2018-02-10,254.40000000000003,756.5,1146.5000000000002,250.3
2018-02-11,156.8,455.80000000000007,696.1,213.39999999999995
