MeasurementDateGMT,Greenwich - Falconwood: Nitric Oxide (ug/m3),Greenwich - Falconwood: Nitrogen Dioxide (ug/m3),Greenwich - Falconwood: Oxides of Nitrogen (ug/m3),Greenwich - Falconwood: Ozone (ug/m3),Greenwich - Falconwood: PM10 Particulate (ug/m3)
2018-01-01,193.1,558.9000000000001,854.9999999999999,1251.9,249.90000000000006
2018-01-02,332.80000000000007,623.7,1133.7,1072.5,393.90000000000003
2018-01-03,194.8,425.4999999999999,724.0999999999999,1423.4999999999995,541.0
2018-01-04,629.7999999999998,788.5999999999999,1754.6999999999994,1173.3999999999996,361.70000000000005
2018-01-05,398.3,878.4,1489.6999999999998,1019.8999999999999,280.1
2018-01-06,1085.9999999999998,1314.2000000000003,2978.8999999999996,409.99999999999994,488.6
2018-01-07,313.79999999999995,518.5,999.8,1024.8,440.40000000000003
2018-01-08,964.2000000000002,995.4000000000001,2474.0,422.5999999999998,540.1999999999999
2018-01-09,1747.0,1339.4999999999998,4018.1000000000004,111.1,820.0999999999999
2018-01-10,1138.5,1185.4,2931.1,512.8000000000001,485.9
2018-01-11,2253.5999999999995,1544.3000000000002,5000.6,30.7,637.6000000000001
2018-01-12,1414.3000000000002,1372.7999999999997,3541.2000000000003,295.8,672.3000000000002
2018-01-13,666.7,948.1999999999998,1970.0,521.8000000000001,641.6000000000001
2018-01-14,768.7999999999998,1158.1999999999998,2336.8,412.20000000000016,759.1999999999998
2018-01-15,176.90000000000006,495.2999999999999,766.4000000000001,1039.4,304.90000000000003
2018-01-16,204.5,511.1999999999999,825.0000000000001,1305.1999999999996,228.80000000000007
2018-01-17,333.1,629.0999999999998,1139.9,1158.7,343.9
2018-01-18,401.10000000000014,830.9000000000002,1445.6,1056.5,277.0
2018-01-19,335.90000000000003,802.9,1318.0,996.4999999999998,327.99999999999994
2018-01-20,899.1999999999998,1460.0999999999997,2839.2999999999997,821.5000000000005,347.5
2018-01-21,654.1,1203.2,2205.6,482.1000000000001,419.00000000000017
2018-01-22,838.4000000000003,1291.0000000000002,2576.2000000000003,624.0999999999999,420.2
2018-01-23,110.19999999999999,370.8999999999999,540.4,1238.8,226.4
2018-01-24,152.89999999999995,426.5,661.0999999999999,1389.3000000000002,200.40000000000003
2018-01-25,237.0,607.8,971.6,1158.8000000000002,367.50000000000006
2018-01-26,1955.1000000000004,1929.4999999999995,4926.799999999999,295.99999999999994,602.8000000000001
2018-01-27,308.9,689.5999999999997,1163.6000000000001,776.7999999999998,328.30000000000007
2018-01-28,78.2,280.79999999999995,400.8,1339.1,173.50000000000003
2018-01-29,493.4,910.4000000000001,1666.7999999999997,1074.5999999999995,292.90000000000003
2018-01-30,660.4000000000001,1101.3999999999996,2114.0,514.6999999999999,399.6500000000001
2018-01-31,217.1,600.6,933.6000000000001,1255.1000000000004,263.3
2018-02-01,876.3999999999999,1272.2,2616.3000000000006,750.8000000000001,431.79999999999995
2018-02-02,1289.1000000000001,1545.5,3522.2999999999997,448.5,627.7
2018-02-03,914.5,1544.8000000000002,2946.8999999999996,339.3,433.7
2018-02-04,444.19999999999993,710.8,1392.0000000000002,923.4000000000001,415.7999999999999
2018-02-05,967.2,1207.9999999999998,2691.1999999999994,673.0999999999998,582.9
2018-02-06,1260.1000000000001,1467.9,3399.7999999999997,495.4,715.7
2018-02-07,1587.1,1752.2,4186.2,403.30000000000007,799.2
2018-02-08,543.5999999999999,995.4999999999998,1829.0,847.2,455.5
2018-02-09,694.7,1187.1000000000001,2252.0,895.5000000000003,402.0
2018-02-10,229.60000000000002,661.2000000000002,1013.0999999999999,1054.3999999999999,247.39999999999995
2018-02-11,290.40000000000003,695.1999999999999,1140.6,1239.0999999999997,343.20000000000005
2018-02-12,352.59999999999997,842.7000000000002,1383.1,1029.9,340.4
2018-02-13,537.0,904.7999999999998,1728.5000000000002,1112.3,299.2
2018-02-14,649.0999999999998,865.6,1860.3,868.0999999999998,321.30000000000007
2018-02-15,336.80000000000007,757.3,1273.9999999999995,996.8,402.4999999999999
2018-02-16,507.60000000000014,1099.2,1877.5000000000002,733.0999999999998,495.99999999999994
2018-02-17,1368.5,1673.9,3772.1000000000004,478.99999999999994,781.6999999999998
2018-02-18,597.9,1071.1000000000001,1987.8,774.5999999999999,531.7
2018-02-19,1112.8000000000002,1324.2999999999997,3030.1,364.79999999999995,502.20000000000005
2018-02-20,1079.1000000000004,1155.0,2809.3000000000006,579.6000000000001,364.00000000000006
2018-02-21,1421.9,1515.1000000000001,3695.5000000000005,521.9,1156.3000000000002
2018-02-22,1093.3,1439.6999999999998,3120.9999999999995,740.2,940.6999999999999
2018-02-23,1270.2000000000003,1506.1999999999998,3454.199999999999,665.8000000000002,918.8
2018-02-24,800.8,1230.5000000000002,2458.4000000000005,759.2,932.9000000000001
2018-02-25,478.7000000000001,860.0,1594.3999999999996,1086.1999999999998,634.8000000000002
2018-02-26,833.6,999.9,2278.6000000000004,1127.1,828.0999999999999
2018-02-27,1523.4,1798.0,4133.9,722.7000000000002,611.1999999999999
2018-02-28,1109.8999999999996,1288.3,2989.9000000000005,856.4999999999999,896.8
2018-03-01,462.59999999999997,869.6999999999999,1578.6999999999996,971.1000000000001,1109.2
2018-03-02,571.7,1079.7000000000003,1956.2000000000003,751.8999999999997,1135.7000000000003
2018-03-03,755.0,1400.9000000000003,2558.5000000000005,397.29999999999995,1502.6000000000001
2018-03-04,555.6,1118.3,1970.6000000000001,730.6999999999999,695.3
2018-03-05,633.4999999999999,1021.1999999999998,1992.3999999999996,1076.7,576.7
2018-03-06,483.00000000000006,1027.3,1767.7999999999997,947.1999999999996,425.5
2018-03-07,1419.6999999999998,1675.8000000000002,3853.0,592.5999999999999,596.7999999999998
2018-03-08,211.4,571.1,895.5,1350.4,265.9
2018-03-09,1244.0,1487.4,3395.1000000000004,518.0,593.5000000000001
2018-03-10,267.90000000000003,599.0000000000001,1010.0,969.0999999999999,500.3
2018-03-11,1099.3,1717.7000000000003,3403.3,355.99999999999983,665.0
2018-03-12,1452.7500000000002,1612.5,3839.9000000000005,383.25,480.6
2018-03-13,2208.5384615384614,1663.5538461538451,5049.715384615384,469.0384615384616,515.1846153846154
