MeasurementDateGMT,Greenwich - Fiveways Sidcup Rd A20: Nitric Oxide (ug/m3),Greenwich - Fiveways Sidcup Rd A20: Nitrogen Dioxide (ug/m3),Greenwich - Fiveways Sidcup Rd A20: Oxides of Nitrogen (ug/m3),Greenwich - Fiveways Sidcup Rd A20: PM10 Particulate (ug/m3)
2018-01-01,322.70000000000005,522.5,1017.3,346.0
2018-01-02,296.00000000000006,554.6999999999999,1008.7,433.44999999999993
2018-01-03,431.80000000000007,454.2,1116.1000000000001,637.3
2018-01-04,636.8000000000001,733.5,1710.0500000000002,402.7999999999999
2018-01-05,649.1,982.5000000000001,1977.6999999999998,417.6
2018-01-06,2057.7,1548.2,4703.800000000001,636.9
2018-01-07,665.8000000000001,685.0999999999999,1706.1000000000004,551.4000000000001
2018-01-08,1382.5000000000002,905.9000000000001,3025.4999999999995,554.6
2018-01-09,1965.2,1094.6999999999998,4107.4,856.3999999999999
2018-01-10,1866.2,1386.6,4248.3,609.3
2018-01-11,1962.8999999999999,1189.3000000000002,4199.000000000001,703.3000000000002
2018-01-12,1455.8,1121.3,3353.7,695.4000000000001
2018-01-13,517.1999999999999,676.9000000000001,1469.3999999999999,753.2
2018-01-14,1318.6000000000001,1184.2,3206.399999999999,859.5999999999999
2018-01-15,406.2,564.2,1186.7000000000005,327.8999999999999
2018-01-16,565.0,630.1000000000001,1496.7000000000003,352.40000000000003
2018-01-17,633.2,643.4000000000001,1614.0000000000002,435.90000000000003
2018-01-18,779.1,802.1000000000001,1996.7,391.59999999999997
2018-01-19,915.7000000000002,994.5,2398.0999999999995,430.7000000000001
2018-01-20,1336.3999999999999,1406.3999999999999,3455.4000000000005,431.0
2018-01-21,621.2999999999998,972.9000000000002,1925.6999999999996,385.6000000000001
2018-01-22,1315.5000000000002,1241.1,3258.7000000000003,547.8000000000001
2018-01-23,302.3,501.6999999999999,965.2999999999998,301.09999999999997
2018-01-24,391.8999999999999,545.4000000000001,1146.4,251.7
2018-01-25,425.4,729.5999999999999,1382.0,507.40000000000003
2018-01-26,2082.8,1619.8000000000002,4813.499999999999,766.8
2018-01-27,373.2000000000001,734.7,1306.8999999999999,428.2000000000001
2018-01-28,366.3,421.8,983.0,277.7
2018-01-29,604.2,760.6999999999998,1687.0,336.2
2018-01-30,1783.7,1409.1000000000001,4144.599999999999,564.3000000000001
2018-01-31,643.8,700.1,1687.3000000000002,338.50000000000006
2018-02-01,998.1,1035.8,2566.1,473.9
2018-02-02,1031.9,1122.3999999999999,2704.6000000000004,551.6999999999999
2018-02-03,1358.4999999999995,1428.1999999999998,3510.9,536.7
2018-02-04,821.4999999999999,802.6,2061.6,480.3999999999999
2018-02-05,2020.5,1447.7,4546.2,799.6
2018-02-06,739.7,959.7,2093.4,647.1
2018-02-07,1265.9,1320.8999999999999,3262.2999999999997,673.9999999999999
2018-02-08,676.6,1063.1999999999998,2100.7,530.8000000000001
2018-02-09,814.8,993.4999999999999,2242.9,387.79999999999995
2018-02-10,288.20000000000005,626.1999999999999,1067.3999999999996,316.3000000000001
2018-02-11,538.3000000000001,615.8,1441.0000000000002,304.5999999999999
2018-02-12,798.3000000000001,966.9000000000001,2191.0,441.49999999999994
2018-02-13,485.40000000000003,628.9999999999999,1373.6000000000001,330.8999999999999
2018-02-14,545.4,721.9000000000001,1558.1,384.4
2018-02-15,764.2000000000002,842.0,2013.9,525.2
2018-02-16,1430.3000000000002,1385.5,3578.7000000000003,637.4
2018-02-17,1834.6999999999996,1583.0000000000002,4396.200000000001,867.6
2018-02-18,459.70000000000005,757.3999999999999,1462.1,599.2
2018-02-19,1325.7999999999997,1198.1,3231.0,514.8999999999999
2018-02-20,564.5,705.3999999999999,1571.3000000000002,341.29999999999995
2018-02-21,2172.8999999999996,1517.7999999999997,4849.599999999999,1322.5999999999997
2018-02-22,2089.2000000000003,1588.2,4791.599999999999,1074.6
2018-02-23,2061.7000000000003,1527.1999999999998,4693.1,1019.2
2018-02-24,1117.3000000000004,1117.1,2829.8999999999996,967.9000000000001
2018-02-25,740.2,809.9000000000002,1945.0000000000005,680.3000000000001
2018-02-26,1620.6,1259.3999999999999,3744.4999999999995,892.2000000000002
2018-02-27,2113.15,1750.8500000000001,4990.75,598.9
2018-02-28,1643.3999999999999,1348.8,3869.1000000000004,850.7
2018-03-01,681.0999999999999,837.7,1881.6,1121.5000000000002
2018-03-02,781.0999999999999,980.7000000000002,2178.6999999999994,1247.5999999999997
2018-03-03,858.1000000000003,1235.5,2551.1000000000004,1892.4999999999998
2018-03-04,333.99999999999994,714.0000000000001,1225.0999999999997,608.2
2018-03-05,649.5,814.0999999999999,1809.3,625.8000000000001
2018-03-06,1126.9,1264.7,2992.6,609.5999999999999
2018-03-07,1536.5,1527.8999999999996,3883.9,646.0999999999999
2018-03-08,543.1,676.1000000000001,1509.2000000000005,427.8999999999999
2018-03-09,1307.4,1190.5999999999997,3196.3,645.2999999999998
2018-03-10,329.0999999999999,602.4,1107.2,585.2
2018-03-11,1429.1,1532.5999999999997,3723.999999999999,867.8999999999999
2018-03-12,1515.2000000000003,1304.5000000000002,3627.7999999999997,458.6
2018-03-13,1216.6000000000001,1073.7,2939.2,555.6
2018-03-14,459.00000000000006,648.3000000000001,1352.0,510.7000000000001
2018-03-15,654.4,873.0999999999999,1876.8999999999999,460.9
2018-03-16,806.3000000000001,996.4999999999999,2233.6,716.6999999999998
2018-03-17,809.5999999999998,870.9000000000001,2112.6,680.2
2018-03-18,685.9,749.6,1801.3999999999999,890.9000000000001
2018-03-19,1367.7,1243.9000000000003,3341.1000000000004,1000.5
2018-03-20,619.4,884.3,1833.7,693.2
2018-03-21,1432.8000000000002,1553.0999999999997,3749.8999999999987,866.6999999999998
2018-03-22,869.1,887.8000000000001,2220.5999999999995,715.8000000000001
2018-03-23,407.4,651.5999999999999,1276.4,634.6
2018-03-24,1577.3000000000002,1356.3999999999999,3774.7000000000003,1076.6
2018-03-25,1416.3,1548.3,3719.7,1296.9
2018-03-26,1366.7,1629.3000000000002,3724.9999999999995,773.5000000000001
2018-03-27,711.0,817.6,1907.8,469.6000000000001
2018-03-28,1422.6,1479.2999999999997,3660.5,431.7
2018-03-29,369.6,652.9,1219.6000000000001,381.6
2018-03-30,1004.6999999999998,1073.1000000000001,2613.1,443.3
2018-03-31,545.8999999999999,696.5,1533.8,382.8
2018-04-01,523.8000000000001,746.6000000000001,1549.7999999999997,531.4
2018-04-02,142.19999999999996,345.79999999999995,563.9,348.9
2018-04-03,256.9,499.3,893.3,447.80000000000007
2018-04-04,284.29999999999995,480.9,916.7,473.1
2018-04-05,587.5499999999998,720.6000000000001,1621.5000000000002,361.8
2018-04-06,691.8000000000001,956.9,2017.4999999999998,659.3
2018-04-07,592.0000000000001,1008.4,1915.8000000000004,794.3000000000001
2018-04-08,867.9000000000001,1148.8,2479.6,609.9
2018-04-09,1696.3000000000004,1401.0000000000002,4001.4,850.6
2018-04-10,2040.6000000000001,1811.1,4940.199999999999,1130.6000000000001
2018-04-11,1518.5,1300.1000000000001,3628.6,1463.5999999999997
2018-04-12,722.4999999999999,817.3,1924.9,1024.2
2018-04-13,1037.0,1079.5,2669.4,861.8000000000001
2018-04-14,1135.3999999999999,1253.4000000000003,2994.4,1184.8
2018-04-15,388.5000000000001,712.3000000000001,1307.5000000000002,798.3
2018-04-16,279.0,615.1000000000001,1043.7,605.5000000000001
2018-04-17,225.9,520.0000000000001,865.9,477.79999999999995
2018-04-18,622.8,1079.8,2035.3,784.8
2018-04-19,1536.5,1838.2000000000007,4194.200000000001,1200.5000000000002
2018-04-20,1140.8000000000002,1501.3,3249.899999999999,1091.3
2018-04-21,1409.7,1624.3000000000002,3785.8,1451.5000000000002
2018-04-22,349.30000000000007,742.8000000000002,1278.4,1063.8999999999999
2018-04-23,531.7,611.8000000000001,1427.5999999999997,425.00000000000017
2018-04-24,429.6,526.5999999999999,1185.3999999999999,410.6593320235757
2018-04-25,549.3,623.7,1466.0999999999997,411.15724950884083
2018-04-26,466.40000000000015,613.9,1329.2,411.65516699410614
2018-04-27,1243.8,1226.3000000000002,3133.6,412.15308447937133
2018-04-28,595.6999999999998,879.6,1793.0000000000002,412.65100196463663
2018-04-29,305.5,460.3000000000001,929.1999999999999,413.14891944990177
2018-04-30,365.30000000000007,625.1,1185.1000000000001,413.64683693516696
2018-05-01,627.4000000000001,803.4999999999999,1766.2000000000003,414.14475442043226
2018-05-02,623.9000000000001,903.4,1860.5000000000002,414.6426719056975
2018-05-03,997.25,1107.1,2636.1000000000004,415.14058939096276
2018-05-04,1087.8999999999999,1255.7000000000003,2924.0,415.63850687622795
2018-05-05,1261.0,1589.0,3522.5,416.13642436149314
2018-05-06,1320.9,1899.0,3924.2999999999997,416.6343418467584
2018-05-07,1104.3999999999999,1986.0000000000002,3679.4000000000005,417.1322593320236
2018-05-08,1099.2,1418.7000000000003,3104.2999999999997,417.6301768172889
2018-05-09,756.4999999999999,882.4,2041.8999999999999,418.128094302554
2018-05-10,756.3000000000001,963.4999999999999,2123.3,418.62601178781927
2018-05-11,337.79999999999995,667.4,1185.5,419.1239292730845
2018-05-12,698.2000000000002,1060.9,2130.7999999999997,419.62184675834976
2018-05-13,849.7000000000002,1090.4,2393.2000000000003,420.119764243615
2018-05-14,427.0,703.7499999999998,1358.65,420.6176817288802
2018-05-15,501.7999999999999,863.0000000000002,1632.1999999999998,421.1155992141454
2018-05-16,548.6999999999999,681.6000000000001,1523.0000000000002,421.61351669941064
2018-05-17,1141.8999999999999,1083.5000000000002,2834.2999999999997,422.11143418467583
2018-05-18,1384.8,1299.4000000000003,3422.8000000000006,422.60935166994113
2018-05-19,1109.1,1238.8000000000002,2939.8000000000006,423.10726915520627
2018-05-20,915.1000000000001,1037.9,2440.5,423.6051866404715
2018-05-21,1379.0,1633.1000000000001,3747.5999999999995,424.10310412573676
2018-05-22,389.79999999999995,689.0000000000001,1287.0,424.601021611002
2018-05-23,489.70000000000005,719.1000000000001,1470.3500000000001,425.0989390962673
2018-05-24,1126.8999999999999,1232.8000000000002,2960.2,425.59685658153245
2018-05-25,939.0999999999998,1254.6,2694.3,426.09477406679764
2018-05-26,786.0999999999999,1186.1,2391.7000000000003,426.5926915520629
2018-05-27,712.9,1158.6000000000001,2251.5,427.0906090373281
2018-05-28,546.1,1049.6,1886.6,427.5885265225934
2018-05-29,490.2,768.4,1520.2,428.0864440078585
2018-05-30,1047.4,1119.7,2725.4,428.58436149312377
2018-05-31,1514.3000000000002,1628.7,3950.399999999999,429.082278978389
2018-06-01,694.8,997.6000000000001,2062.5,429.58019646365426
2018-06-02,562.0999999999999,803.0000000000001,1665.1000000000004,430.07811394891957
2018-06-03,625.0999999999999,952.5000000000001,1910.7000000000003,430.5760314341847
2018-06-04,899.9000000000001,1021.5999999999998,2401.4,431.0739489194499
2018-06-05,1417.9,1272.8000000000002,3446.6,431.57186640471514
2018-06-06,1294.6999999999998,1146.9999999999998,3132.000000000001,432.06978388998033
2018-06-07,1435.6000000000004,1246.3999999999999,3447.8,432.56770137524563
2018-06-08,1235.9999999999993,1186.3999999999999,3081.0999999999995,433.06561886051077
2018-06-09,978.8000000000001,1026.9999999999998,2527.6,433.563536345776
2018-06-10,776.3999999999996,801.7,1992.1,434.06145383104126
2018-06-11,1440.3000000000004,1148.6,3357.2999999999997,434.5593713163065
2018-06-12,1089.1,970.1,2639.7,435.0572888015718
2018-06-13,815.1000000000003,859.7,2109.6000000000004,435.55520628683695
2018-06-14,521.1,671.7,1471.1,436.05312377210214
2018-06-15,971.8000000000001,1083.3,2573.6000000000004,436.5510412573674
2018-06-16,336.9,535.6999999999999,1051.7999999999997,437.0489587426326
2018-06-17,271.6,378.6,794.5,437.5468762278979
2018-06-18,434.8,509.9,1176.3,438.0447937131631
2018-06-19,593.8000000000001,514.2,1425.0000000000002,438.5427111984283
2018-06-20,614.5000000000001,497.00000000000006,1439.0999999999997,439.0406286836935
2018-06-21,395.5,506.7000000000001,1112.8999999999999,439.53854616895876
2018-06-22,868.8000000000001,885.0999999999998,2217.5,440.03646365422406
2018-06-23,525.8000000000001,767.2999999999998,1573.8999999999999,440.5343811394892
2018-06-24,770.0999999999999,1090.1,2270.899999999999,441.0322986247545
2018-06-25,756.7,1320.3,2480.8,441.53021611001964
2018-06-26,1317.2,1340.0,3359.9999999999995,442.0281335952849
2018-06-27,1358.1000000000001,1164.5,3246.4,442.52605108055013
2018-06-28,1250.4,1316.8,3234.2999999999997,443.0239685658153
2018-06-29,1316.6000000000001,1333.1000000000004,3352.0000000000005,443.5218860510806
2018-06-30,966.6999999999999,1099.6,2582.399999999999,444.01980353634576
2018-07-01,945.2000000000002,1450.6,2901.1,444.517721021611
2018-07-02,1172.6000000000001,1340.9999999999998,3138.8999999999996,445.0156385068763
2018-07-03,955.9,1001.1,2467.0,445.51355599214145
2018-07-04,1284.1000000000001,1253.5000000000002,3222.0999999999995,446.01147347740675
