MeasurementDateGMT,Greenwich - Plumstead High Street: Nitric Oxide (ug/m3),Greenwich - Plumstead High Street: Nitrogen Dioxide (ug/m3),Greenwich - Plumstead High Street: Oxides of Nitrogen (ug/m3),Greenwich - Plumstead High Street: Ozone (ug/m3),Greenwich - Plumstead High Street: PM10 Particulate (ug/m3),Greenwich - Plumstead High Street: PM2.5 Particulate (ug/m3)
2018-01-01,263.80000000000007,602.5999999999999,1007.4000000000001,1091.9,261.20000000000005,127.10000000000001
2018-01-02,356.69999999999993,641.4,1187.9999999999998,911.2000000000002,348.20000000000005,158.29999999999998
2018-01-03,258.7,543.0999999999999,939.8,1203.8999999999999,527.8,207.99999999999997
2018-01-04,473.49999999999983,751.7,1477.6,1020.3,317.69999999999993,130.8
2018-01-05,690.9,1010.3,2067.3,873.1000000000001,320.3,168.29999999999998
2018-01-06,428.5999999999999,917.4,1574.0999999999985,406.09999999999997,482.2000000000001,338.7
2018-01-07,25.299999999999994,406.7,445.1,895.4,353.79999999999995,104.7
2018-01-08,378.9,671.6999999999999,1252.5,400.99999999999994,492.70000000000005,327.5
2018-01-09,1359.3999999999999,986.8000000000001,3071.1000000000004,49.5,857.9,703.5
2018-01-10,1607.6,1316.2,3788.1,382.69999999999993,494.7,322.1
2018-01-11,1168.1000000000001,1041.8000000000002,2832.599999999998,21.0,635.2,524.5
2018-01-12,1131.8,1061.5000000000002,2797.000000000001,214.39999999999998,661.8999999999999,544.5999999999999
2018-01-13,562.9,752.6999999999999,1615.6000000000001,418.99999999999994,857.6,565.8000000000001
2018-01-14,425.6,795.6999999999999,1448.7999999999995,390.59999999999997,716.0,593.9000000000001
2018-01-15,363.3,552.7,1109.9999999999998,872.3999999999999,239.00000000000006,149.70000000000002
2018-01-16,372.8,651.9,1223.3000000000002,1073.6,239.8,100.60000000000002
2018-01-17,440.49999999999994,678.2000000000002,1353.1999999999998,1035.5000000000002,355.30000000000007,121.59999999999997
2018-01-18,562.2000000000002,831.0000000000001,1693.1999999999998,935.4000000000002,256.0,110.80000000000001
2018-01-19,701.0999999999998,966.6000000000001,2041.5000000000005,815.8000000000002,331.40000000000003,158.3
2018-01-20,286.2,798.4000000000001,1237.8999999999999,932.6,260.00000000000006,153.10000000000002
2018-01-21,697.6999999999998,1084.1000000000001,2154.0999999999995,375.29999999999995,430.7999999999999,313.6
2018-01-22,1098.7,1259.3999999999999,2940.1000000000013,513.0000000000001,388.1999999999999,194.20000000000002
2018-01-23,254.40000000000003,401.2,791.2999999999998,1075.9,195.1,95.0
2018-01-24,277.40000000000003,431.20000000000005,856.6000000000001,1177.6000000000001,161.10000000000002,90.6
2018-01-25,399.40000000000003,566.2,1178.8000000000002,1026.8000000000002,360.5999999999999,134.3
2018-01-26,693.5,1139.9,2203.6000000000004,413.5,458.6,292.5
2018-01-27,440.9,691.9,1367.8000000000004,676.2,411.69999999999993,231.99999999999997
2018-01-28,229.50000000000003,380.2,732.6000000000001,1103.4,194.09999999999997,82.10000000000001
2018-01-29,458.90000000000003,773.8999999999999,1477.4999999999998,940.7,223.4,107.4
2018-01-30,1483.3000000000002,1159.5,3431.0,445.59999999999997,456.19999999999993,254.10000000000002
2018-01-31,485.5,687.8000000000002,1432.3,1064.8000000000002,215.70000000000002,87.50000000000003
2018-02-01,763.8,1033.8999999999999,2205.4,702.2000000000002,341.90000000000003,144.49999999999997
2018-02-02,1031.2,1158.0999999999997,2739.3,447.4,395.4,206.19999999999996
2018-02-03,638.8000000000001,1187.5,2167.2,337.59999999999997,387.2,280.5
2018-02-04,29.0,322.3999999999999,367.29999999999995,968.9999999999999,241.10000000000002,122.10000000000002
2018-02-05,108.69999999999997,617.3999999999999,784.0999999999999,759.5,320.80000000000007,191.7
2018-02-06,161.10000000000002,795.1999999999999,1042.3,601.4,494.99999999999994,343.84999999999997
2018-02-07,781.7,1152.6999999999998,2351.9,493.00000000000006,498.6000000000001,255.7
2018-02-08,695.6,930.2999999999998,1981.8999999999996,782.3,379.9,218.50000000000006
2018-02-09,799.0999999999999,1077.3000000000002,2302.3,808.6000000000001,311.79999999999995,136.1
2018-02-10,368.3,628.0,1192.8,982.8000000000003,232.00000000000003,102.30000000000001
2018-02-11,298.5,579.5999999999999,1037.1999999999998,1134.8000000000002,195.1,80.70000000000002
2018-02-12,673.5000000000001,941.5,1974.3999999999999,853.9000000000002,319.2,143.9
2018-02-13,465.4,700.1999999999999,1413.3999999999999,988.2499999999998,251.9,140.39999999999998
2018-02-14,635.6,764.1999999999999,1738.9000000000003,766.1999999999998,342.6000000000001,196.79999999999995
2018-02-15,619.9,860.8999999999999,1811.6,815.8000000000002,391.9,168.0
2018-02-16,1226.4,1278.3000000000002,3159.1000000000004,563.1,509.2,232.2
2018-02-17,1236.5,1315.8,3212.0000000000005,345.79999999999995,671.8999999999999,420.70000000000005
2018-02-18,649.7999999999998,916.2,1912.0,650.7000000000003,551.0,338.90000000000015
2018-02-19,1009.6,1107.5,2655.5000000000005,341.3999999999999,430.9,325.09999999999997
2018-02-20,141.59999999999997,591.7999999999998,809.0000000000002,657.1000000000001,237.7,146.6
2018-02-21,193.20000000000005,719.3,1015.4,662.4999999999999,1065.7,902.7000000000002
2018-02-22,266.1,841.4999999999999,1250.0,739.0999999999999,702.5,525.4000000000002
2018-02-23,537.8,1051.5999999999997,1875.8999999999996,572.3999999999999,681.0000000000001,464.00000000000006
2018-02-24,381.29999999999995,889.6999999999998,1474.2000000000003,657.8000000000001,747.3000000000001,502.4
2018-02-25,168.40000000000003,554.2,812.5,985.8000000000003,403.0000000000001,207.79999999999995
2018-02-26,92.89999999999998,460.7,603.6000000000001,1214.1000000000001,291.99999999999994,112.1
