MeasurementDateGMT,Greenwich - Trafalgar Road (Hoskins St): Nitric Oxide (ug/m3),Greenwich - Trafalgar Road (Hoskins St): Nitrogen Dioxide (ug/m3),Greenwich - Trafalgar Road (Hoskins St): Oxides of Nitrogen (ug/m3),Greenwich - Trafalgar Road (Hoskins St): PM10 Particulate (ug/m3)
2018-01-01,482.0,994.0,1732.0,320.7
2018-01-02,795.0,1093.0,2314.0,466.30000000000007
2018-01-03,542.0,897.0,1727.0,655.6
2018-01-04,781.0,1214.0,2411.0,428.80000000000007
2018-01-05,1217.0,1570.0,3435.0,475.19999999999993
2018-01-06,733.0,1107.0,2224.0,483.00000000000006
2018-01-07,13.0,389.0,408.0,361.1
2018-01-08,345.0,785.0,1301.0,521.9
2018-01-09,1342.0,1072.0,3126.0,860.1999999999999
2018-01-10,2356.0,1685.0,5298.0,651.5999999999999
2018-01-11,1098.0,1068.0,2754.0,595.8000000000001
2018-01-12,962.0,1081.0,2556.0,632.3999999999999
2018-01-13,533.0,785.0,1602.0,627.9000000000001
2018-01-14,531.0,1032.0,1847.0,669.8
2018-01-15,711.0,982.0,2067.0,359.6
2018-01-16,896.0,1230.0,2603.0,417.6
2018-01-17,873.0,1120.0,2458.0,525.8
2018-01-18,859.0,1192.0,2510.0,426.4000000000001
2018-01-19,1258.0,1561.0,3487.0,537.6
2018-01-20,371.0,1182.0,1749.0,306.80000000000007
2018-01-21,919.0,1326.0,2739.0,409.29999999999995
2018-01-22,1326.0,1582.0,3615.0,527.0000000000001
2018-01-23,591.0,879.0,1786.0,314.9000000000001
2018-01-24,586.0,845.0,1751.0,282.9
2018-01-25,837.0,1158.0,2443.0,527.6999999999999
2018-01-26,879.0,1330.0,2676.0,516.5
2018-01-27,881.0,1108.0,2463.0,429.5999999999999
2018-01-28,554.0,821.0,1671.0,311.0
2018-01-29,523.0,824.0,1626.0,319.7
2018-01-30,1978.0,1559.0,4598.0,589.6000000000001
2018-01-31,1125.0,1287.0,3014.0,396.7999999999999
2018-02-01,897.0,1104.0,2481.0,404.3
2018-02-02,675.0,1003.0,2034.0,421.4
2018-02-03,1118.0,1543.0,3252.0,404.30000000000007
2018-02-04,61.0,433.0,525.0,233.9
2018-02-05,137.0,708.0,920.0,356.2
2018-02-06,229.0,925.0,1273.0,524.4
2018-02-07,564.0,1128.0,1995.0,528.5
2018-02-08,1703.0,1542.0,4154.0,651.8999999999999
2018-02-09,815.0,1093.0,2345.0,396.9000000000001
2018-02-10,803.0,1102.0,2333.0,320.5999999999999
2018-02-11,676.0,982.0,2018.0,313.70000000000005
2018-02-12,1240.0,1390.0,3295.0,457.4
2018-02-13,488.0,815.0,1558.0,262.19999999999993
2018-02-14,1104.0,1046.0,2743.0,361.80000000000007
2018-02-15,1324.0,1530.0,3563.0,620.9
2018-02-16,1835.0,1742.0,4553.0,691.1999999999998
2018-02-17,1873.0,1729.0,4599.0,789.1999999999999
2018-02-18,855.0,1179.0,2492.0,588.5
2018-02-19,1337.0,1307.0,3360.0,432.8
2018-02-20,123.0,640.0,833.0,226.2
2018-02-21,222.0,851.0,1193.0,961.0999999999999
2018-02-22,213.0,1055.0,1382.0,769.6999999999999
2018-02-23,531.0,1253.0,2068.0,801.9000000000001
2018-02-24,270.0,1019.0,1438.0,862.1999999999998
2018-02-25,120.0,691.0,876.0,485.9
2018-02-26,109.0,618.0,787.0,411.50000000000006
2018-02-27,227.0,1033.0,1379.0,377.2
2018-02-28,387.0,1019.0,1610.0,555.8
2018-03-01,204.0,864.0,1177.0,1022.3000000000001
2018-03-02,269.0,1064.0,1477.0,1090.5
2018-03-03,361.0,1315.0,1869.0,1533.1000000000001
2018-03-04,518.0,1089.0,1880.0,633.0000000000001
2018-03-05,563.0,1006.0,1871.5,499.15
2018-03-06,1221.0,1551.0,3427.0,580.1999999999999
2018-03-07,1689.0,1969.0,4565.0,682.6999999999999
2018-03-08,878.0,1185.0,2527.0,459.59999999999997
2018-03-09,1240.0,1488.0,3388.0,587.7
2018-03-10,673.0,1050.0,2079.0,641.5000000000001
2018-03-11,507.0,1455.0,2231.0,689.8999999999999
2018-03-12,677.0,1361.0,2396.0,368.59999999999997
2018-03-13,1217.0,1362.0,3231.0,508.0
2018-03-14,543.0,901.0,1738.0,438.9000000000001
2018-03-15,622.0,1186.0,2143.0,402.00000000000006
2018-03-16,789.0,1299.0,2510.0,664.1999999999999
2018-03-17,32.0,536.0,584.0,520.9
2018-03-18,44.0,582.0,650.0,731.8000000000001
2018-03-19,69.0,655.0,761.5,604.8
2018-03-20,47.0,709.0,781.0,469.20000000000005
2018-03-21,1719.0,1854.0,4489.0,823.4
2018-03-22,1073.0,1437.0,3080.0,739.2
2018-03-23,675.0,1067.0,2097.0,627.5000000000002
