MeasurementDateGMT,Greenwich - Woolwich Flyover: Nitric Oxide (ug/m3),Greenwich - Woolwich Flyover: Nitrogen Dioxide (ug/m3),Greenwich - Woolwich Flyover: Oxides of Nitrogen (ug/m3),Greenwich - Woolwich Flyover: Ozone (ug/m3),Greenwich - Woolwich Flyover: PM10 Particulate (ug/m3)
2018-01-01,1531.8999999999999,1289.9999999999995,3638.9,487.20000000000016,323.70000000000005
2018-01-02,2580.6,1524.2,5481.399999999999,508.20000000000005,490.0999999999999
2018-01-03,1596.6,1188.8999999999999,3637.1999999999994,753.0,657.6999999999999
2018-01-04,2152.9999999999995,1451.4,4751.9,544.9999999999999,451.1
2018-01-05,3347.5,2024.8999999999999,7157.799999999999,358.7,584.3
2018-01-06,1005.1,1077.0000000000002,2618.1,301.5,407.29999999999995
2018-01-07,200.1,498.8,805.3000000000002,746.0999999999999,279.2
2018-01-08,414.0999999999999,717.8000000000001,1352.3,330.9,393.65
2018-01-09,2246.2,1186.8,4631.300000000001,75.6,733.9000000000001
2018-01-10,4848.9,2302.9,9737.8,202.39999999999986,722.4
2018-01-11,2487.8000000000006,1343.6000000000001,5158.4,33.500000000000014,582.3999999999999
2018-01-12,2235.5,1517.7,4945.200000000001,133.7,749.9
2018-01-13,572.0999999999999,808.5,1685.6000000000004,461.69999999999976,590.5999999999999
2018-01-14,1531.5,1229.5000000000002,3578.0999999999995,285.59999999999997,695.6
2018-01-15,2198.9,1324.3,4696.099999999999,507.2,382.20000000000005
2018-01-16,2380.7,1563.8999999999999,5214.0999999999985,628.5999999999999,638.1999999999998
2018-01-17,2283.4,1520.4,5021.5999999999985,652.8,755.5999999999999
2018-01-18,2412.6999999999994,1591.1000000000001,5290.800000000001,645.9000000000001,588.9
2018-01-19,3346.8999999999996,2028.8000000000002,7160.8,383.8000000000001,754.3999999999999
2018-01-20,1023.2,1404.2,2972.7999999999993,588.8,237.9
2018-01-21,1817.8,1648.2000000000003,4435.800000000001,275.6,400.70000000000005
2018-01-22,3177.6,2049.6000000000004,6922.099999999999,298.09999999999997,727.05
2018-01-23,2266.2,1365.6000000000001,4840.700000000001,531.6000000000001,382.99999999999994
2018-01-24,1954.4000000000003,1327.1,4324.499999999999,716.6999999999999,280.99999999999994
2018-01-25,3175.8,1872.8000000000002,6742.000000000001,447.1000000000001,753.7
2018-01-26,2300.9,1856.6999999999998,5384.200000000001,144.90000000000003,685.9000000000001
2018-01-27,2677.9,1641.8000000000006,5748.0,308.7,548.2999999999998
2018-01-28,1354.1,1067.9,3144.6000000000004,759.3,249.7
2018-01-29,1884.2,1504.1999999999998,4393.2,626.1,490.2999999999999
2018-01-30,4798.4,2273.7999999999997,9631.300000000001,176.6,1018.4
2018-01-31,2506.1,1579.8999999999999,5422.5999999999985,650.9000000000003,459.29999999999995
2018-02-01,2182.8999999999996,1562.6000000000001,4909.7,528.7,638.1
2018-02-02,2332.5999999999995,1664.9,5241.4,348.9999999999999,745.8000000000001
2018-02-03,2372.9999999999995,1748.9000000000003,5387.299999999999,239.1,440.5999999999999
2018-02-04,173.8,492.00000000000006,758.9000000000001,857.7999999999998,237.40000000000003
2018-02-05,401.90000000000003,824.8000000000001,1441.2,606.3,357.8
2018-02-06,671.5999999999999,1111.4999999999998,2141.2,428.69999999999993,660.8999999999999
2018-02-07,1875.6,1623.9999999999998,4500.500000000001,338.9,887.0
2018-02-08,4310.699999999999,2183.2,8792.600000000002,325.5,1380.9
2018-02-09,2432.8,1697.6999999999998,5427.700000000002,540.2999999999998,572.8000000000001
2018-02-10,2313.6999999999994,1543.2999999999997,5090.600000000001,509.5999999999999,437.0000000000001
2018-02-11,1417.0,1164.3,3336.7999999999997,875.9000000000001,375.6
2018-02-12,3529.2000000000003,2018.0000000000005,7428.999999999999,450.5,884.3
2018-02-13,1849.6000000000001,1536.7999999999997,4372.8,571.8000000000001,319.0
2018-02-14,3134.9999999999995,1780.1000000000004,6587.099999999999,397.2,527.6999999999999
2018-02-15,3173.9,1999.3999999999996,6866.4,380.5999999999999,727.9
2018-02-16,4579.400000000001,2566.8999999999996,9588.1,220.10000000000002,1113.8000000000002
2018-02-17,3422.8,2205.1,7453.6,168.79999999999998,899.8
2018-02-18,2335.5,1929.5,5509.900000000001,275.90000000000003,809.0000000000001
2018-02-19,3689.8,1891.6,7548.900000000001,196.99999999999997,507.30000000000007
2018-02-20,697.8,979.7,2049.3999999999996,530.6,262.59999999999997
2018-02-21,526.4,970.0,1776.9999999999998,553.3000000000001,973.1
2018-02-22,370.6,1067.5,1635.9,724.2,715.0000000000001
2018-02-23,631.5999999999999,1201.3999999999999,2170.0,586.7,663.6
2018-02-24,277.2,918.3000000000001,1342.8,780.4,648.2999999999998
2018-02-25,156.8,591.3,831.7999999999998,1168.7000000000003,377.9
2018-02-26,270.00000000000006,688.9,1102.7,1171.3999999999996,347.84999999999997
2018-02-27,617.1999999999999,1206.6000000000001,2153.2999999999997,825.3999999999999,407.00000000000006
2018-02-28,491.30000000000007,1012.1,1765.0,889.8999999999999,494.7
2018-03-01,183.29999999999993,710.6,991.1999999999999,1023.1999999999999,833.8000000000002
2018-03-02,246.20000000000002,923.5000000000002,1301.0,756.5999999999999,879.4000000000002
2018-03-03,327.1,1148.1000000000001,1649.8000000000002,419.8,1277.0000000000002
2018-03-04,1819.7,1763.5,4553.5,393.40000000000015,644.5999999999999
2018-03-05,1836.0,1561.4,4376.3,758.8000000000002,586.6999999999999
2018-03-06,4044.5,2451.7999999999997,8653.4,392.8,1052.3000000000002
2018-03-07,3428.6000000000004,2453.4,7710.399999999999,249.30000000000004,803.2999999999997
2018-03-08,2686.1,1849.9000000000003,5968.199999999998,727.3,654.5
2018-03-09,2205.9,1695.6,5077.900000000001,423.19999999999993,630.4
