MeasurementDateGMT,Hackney - Old Street: Nitric Oxide (ug/m3),Hackney - Old Street: Nitrogen Dioxide (ug/m3),Hackney - Old Street: Oxides of Nitrogen (ug/m3),Hackney - Old Street: Ozone (ug/m3),Hackney - Old Street: PM10 Particulate (ug/m3)
2018-01-01,701.4999999999999,1389.9,2465.199999999999,693.6,357.1
2018-01-02,742.0,1411.5000000000002,2549.400000000001,552.4999999999999,520.1999999999999
2018-01-03,694.8000000000001,1269.7,2335.3000000000006,901.7999999999998,665.5
2018-01-04,920.9000000000001,1569.5,2981.9,629.3000000000001,449.8
2018-01-05,1340.6999999999998,1896.7999999999997,3952.8999999999996,453.2000000000001,524.9
2018-01-06,997.9000000000001,1366.3000000000002,2896.7000000000003,273.2,582.0
2018-01-07,256.9,717.0,1110.9,941.8999999999996,344.8
2018-01-08,476.5999999999999,901.4,1632.5,406.00000000000034,528.3
2018-01-09,1248.5,1183.8999999999999,3097.7999999999997,56.00000000000002,838.1999999999999
2018-01-10,1778.1999999999996,1873.4,4599.900000000001,202.89999999999992,736.5000000000001
2018-01-11,844.6,1045.8999999999996,2341.3,80.69999999999999,634.5000000000001
2018-01-12,876.0,1049.7,2392.4999999999995,304.49999999999994,551.7184210526315
2018-01-13,601.4999999999999,875.0999999999999,1797.3999999999999,463.99999999999983,504.0315789473684
2018-01-14,720.8000000000001,1053.2999999999997,2158.8,337.8,438.85263157894747
2018-01-15,996.4000000000001,1227.7,2754.8,501.2999999999999,363.89736842105276
2018-01-16,1266.4,1581.8000000000002,3523.7999999999993,543.0,443.70000000000005
2018-01-17,1276.4,1483.1999999999998,3440.0,599.9000000000001,493.1
2018-01-18,1320.8000000000002,1443.0000000000005,3466.0,650.8000000000003,416.69999999999993
2018-01-19,1944.7999999999997,2005.3999999999996,4987.400000000001,294.39999999999986,481.7
2018-01-20,786.2,1443.4999999999998,2649.0999999999995,609.3,350.1000000000001
2018-01-21,1257.0999999999997,1491.4999999999998,3418.6000000000004,289.3,402.5
2018-01-22,2075.7,1906.1999999999998,5088.5,234.40000000000003,527.1
2018-01-23,862.8,1358.0,2681.1000000000004,571.4,372.99999999999994
2018-01-24,791.3999999999999,1267.1,2480.5000000000005,801.4000000000003,291.7
2018-01-25,1152.0,1592.7000000000003,3359.3,505.00000000000006,605.9999999999999
2018-01-26,980.4,1442.4999999999998,2945.8999999999996,337.3,631.9
2018-01-27,1162.8,1476.1000000000001,3256.7,353.70000000000005,424.90000000000003
2018-01-28,792.9,1338.2000000000003,2553.7999999999997,655.0999999999999,267.99999999999994
2018-01-29,1149.0,1413.4999999999998,3174.7,662.5999999999999,347.00000000000006
2018-01-30,2181.899999999999,1922.1999999999998,5268.0,229.2,677.1999999999999
2018-01-31,1142.3000000000002,1548.8000000000002,3299.9,655.5000000000002,353.70000000000005
2018-02-01,1117.2,1378.1,3091.1999999999994,609.4000000000001,414.99999999999994
2018-02-02,1390.9,1345.8999999999999,3478.5999999999995,454.4,505.1
2018-02-03,1351.7000000000005,1650.6999999999996,3723.5,266.80000000000007,438.1
2018-02-04,320.5,687.1,1178.4,933.8000000000003,188.4
2018-02-05,655.6999999999999,932.3000000000001,1937.6,787.8000000000003,346.2999999999999
2018-02-06,523.6,1079.4,1882.3000000000002,622.5000000000001,523.0000000000001
2018-02-07,999.1999999999999,1258.2,2790.5000000000005,568.2,598.4
2018-02-08,1780.0,1733.5000000000002,4460.1,390.09999999999997,657.4000000000001
2018-02-09,1493.9999999999998,1379.2000000000005,3670.0,592.6000000000003,436.90000000000003
