MeasurementDateGMT,Harrow - Pinner Road: Nitric Oxide (ug/m3),Harrow - Pinner Road: Nitrogen Dioxide (ug/m3),Harrow - Pinner Road: Oxides of Nitrogen (ug/m3),Harrow - Pinner Road: PM10 Particulate (ug/m3)
2018-01-01,493.40000000000003,814.5999999999998,1571.3000000000002,270.2
2018-01-02,850.5,1047.7,2351.6000000000004,424.49999999999994
2018-01-03,543.7,737.1999999999998,1570.8000000000002,576.9
2018-01-04,750.0999999999999,1048.3000000000002,2198.399999999999,375.3
2018-01-05,1818.9999999999998,1544.8999999999999,4334.4,472.79999999999995
2018-01-06,927.5,851.6000000000001,2273.7999999999993,396.7000000000001
2018-01-07,93.99999999999999,234.59999999999997,379.0,282.8
2018-01-08,198.5,558.8000000000001,863.3999999999999,394.19999999999993
2018-01-09,1102.3999999999999,1019.5000000000001,2709.8,685.7
2018-01-10,2394.7000000000003,1715.9000000000003,5388.2,536.5999999999999
2018-01-11,1568.3999999999999,1211.1999999999998,3616.2,569.0000000000001
2018-01-12,886.7,1063.5,2423.4,570.4000000000001
2018-01-13,232.1,685.7,1042.0,570.6999999999999
2018-01-14,855.8,1085.1999999999998,2397.4,721.7999999999998
2018-01-15,647.5999999999999,927.5,1920.2,304.40000000000003
2018-01-16,1008.3999999999999,1145.6999999999998,2692.0000000000014,391.8
2018-01-17,735.1000000000001,919.2000000000002,2046.6000000000004,485.9
2018-01-18,864.9999999999999,994.5999999999998,2320.9,436.0999999999999
2018-01-19,1519.0000000000002,1525.1000000000001,3854.4,560.2
2018-01-20,529.0,1155.1000000000001,1966.2000000000003,206.09999999999994
2018-01-21,925.3,1270.6,2689.2999999999997,379.7
2018-01-22,1418.0,1448.8,3622.8,443.90000000000003
2018-01-23,559.8999999999999,919.4000000000001,1778.2999999999997,252.9
2018-01-24,550.9,856.0,1700.2000000000003,224.00000000000003
2018-01-25,1242.3,1318.3999999999999,3223.2,495.8
2018-01-26,1968.7999999999997,1585.0000000000002,4603.1,572.5
2018-01-27,920.8999999999999,1212.1,2623.8000000000006,369.7
2018-01-28,456.0000000000001,683.9,1383.0999999999997,193.80000000000004
2018-01-29,933.1999999999998,1029.5,2460.4,256.1
2018-01-30,2548.5,1727.1,5634.500000000001,669.6000000000003
2018-01-31,864.1000000000001,993.5000000000001,2317.8999999999996,285.6
2018-02-01,801.6999999999999,804.7000000000002,2033.8,393.2
2018-02-02,1319.1,1098.8,3121.6000000000004,599.1
2018-02-03,1080.9999999999998,1376.2,3033.4000000000005,333.20000000000005
2018-02-04,169.89999999999998,335.4,596.1999999999999,169.0
2018-02-05,229.7,541.7,894.1,322.0
2018-02-06,1028.8,1101.4,2679.1000000000004,551.5
2018-02-07,1661.8,1421.7000000000003,3970.0999999999995,596.3
2018-02-08,2917.6000000000004,1851.4000000000003,6324.799999999999,716.6999999999999
2018-02-09,701.9000000000001,897.6,1973.7999999999997,319.90000000000003
2018-02-10,1018.4,1273.6,2834.7999999999997,311.0
2018-02-11,641.0999999999999,736.9,1720.0,182.99999999999997
2018-02-12,1314.9999999999998,1394.7999999999997,3411.100000000001,557.5999999999999
2018-02-13,380.1000000000001,798.3999999999999,1381.4,367.20000000000016
2018-02-14,986.4999999999998,1047.1,2559.7999999999997,285.90000000000003
2018-02-15,969.4000000000002,1277.9,2764.2999999999997,404.1
2018-02-16,2223.8,1854.1000000000001,5264.5,705.6
2018-02-17,2040.9000000000005,1924.7000000000003,5054.3,857.6000000000001
2018-02-18,1082.2000000000003,1359.3,3018.6,594.6000000000001
2018-02-19,1109.9000000000003,1029.6000000000001,2731.6,405.2000000000001
2018-02-20,481.40000000000003,625.9999999999999,1363.8999999999996,318.09999999999997
2018-02-21,527.6999999999999,717.9,1526.9999999999998,882.3000000000002
2018-02-22,227.8,668.6999999999999,1018.1000000000001,669.0
2018-02-23,155.1,662.9499999999999,900.75,554.0000000000001
2018-02-24,150.1,745.8,975.5,672.8000000000001
2018-02-25,89.20000000000002,493.29999999999995,630.0999999999999,380.70000000000005
2018-02-26,146.6,492.79999999999995,717.4,273.8
2018-02-27,493.5999999999999,945.0000000000001,1702.6,426.09999999999997
2018-02-28,280.2000000000001,710.0,1139.3000000000002,482.70000000000005
2018-03-01,95.39999999999999,548.4999999999999,694.7,861.5999999999998
2018-03-02,114.19999999999999,748.5000000000001,923.1999999999998,939.0000000000001
2018-03-03,197.3,990.5999999999998,1293.1000000000001,1315.9
2018-03-04,444.19999999999993,1212.5,1893.5,704.0
2018-03-05,590.5999999999999,1103.8999999999999,2009.6,504.7
2018-03-06,1584.1999999999998,1624.5,4054.0,672.1999999999998
2018-03-07,1711.4,1775.1,4399.1,610.9000000000001
2018-03-08,973.8000000000001,1168.1,2661.0999999999995,432.3
2018-03-09,1367.7000000000003,1591.0,3687.8999999999996,518.1999999999999
2018-03-10,1078.0000000000002,1336.8999999999999,2989.7999999999997,486.7
2018-03-11,526.9999999999999,1190.1000000000001,1998.3000000000002,605.3999999999999
2018-03-12,891.3499999999999,1184.15,2551.0,234.49999999999994
2018-03-13,1992.4999999999998,1546.0,4601.9,619.4
2018-03-14,265.49999999999994,798.8,1206.0999999999997,375.70000000000005
2018-03-15,395.69999999999993,1123.3,1729.6,318.79999999999995
2018-03-16,703.1999999999998,1167.1999999999998,2245.1000000000004,457.9
2018-03-17,109.60000000000001,372.9,540.5,338.8
2018-03-18,74.89999999999999,339.00000000000006,453.70000000000005,539.8000000000001
2018-03-19,91.49999999999999,333.7,473.7,427.7
2018-03-20,415.59999999999997,779.6999999999999,1417.0,419.99999999999994
2018-03-21,1593.2,1537.3,3979.7000000000007,758.4
2018-03-22,944.8999999999999,1181.1999999999998,2629.3000000000006,673.7000000000002
2018-03-23,570.9999999999999,956.3,1831.6,626.6999999999999
2018-03-24,491.70000000000005,984.9,1738.8,568.2
2018-03-25,779.0999999999999,961.6,2156.3,873.1999999999998
2018-03-26,1098.6,1531.5,3216.5000000000005,601.7
2018-03-27,780.6999999999999,1116.8,2314.2000000000003,426.6
2018-03-28,1371.6,1548.8,3652.0000000000005,256.7
2018-03-29,1013.7000000000002,1443.3999999999996,2997.7000000000003,274.09999999999997
2018-03-30,230.80000000000004,846.1000000000001,1199.7,189.69999999999996
2018-03-31,681.2,831.3000000000002,1875.8500000000001,179.10000000000002
2018-04-01,385.50000000000006,751.3,1342.3000000000002,308.29999999999995
2018-04-02,338.40000000000003,719.9999999999999,1238.5,264.2
2018-04-03,402.79999999999995,815.4000000000001,1433.2,287.6
2018-04-04,336.59999999999997,688.7999999999998,1204.7999999999997,238.7
2018-04-05,498.79999999999995,728.8,1493.6,235.8
2018-04-06,536.0,1060.9,1882.6,486.70000000000005
2018-04-07,600.6999999999999,1217.3999999999999,2138.4999999999995,652.5
2018-04-08,442.2000000000001,887.1999999999999,1565.3,425.1
2018-04-09,161.30000000000004,773.6,1020.4999999999999,449.9
2018-04-10,144.29999999999998,630.1999999999999,851.3000000000002,534.3
2018-04-11,246.90000000000003,627.1999999999999,1005.4999999999999,822.8
2018-04-12,293.70000000000005,579.0,1028.9,713.7
2018-04-13,1094.7,1172.7,2851.3999999999996,713.4
2018-04-14,470.00000000000006,1044.9999999999998,1766.1999999999998,869.9
2018-04-15,264.70000000000005,836.1000000000001,1241.8000000000002,686.0
2018-04-16,423.79999999999995,796.7999999999998,1446.6000000000001,456.9000000000001
2018-04-17,307.8999999999999,685.9000000000001,1157.8,415.1
2018-04-18,417.19999999999993,910.8000000000001,1550.4999999999998,522.6999999999999
2018-04-19,777.0000000000001,1701.7000000000003,2892.9,898.4
2018-04-20,807.7,1289.4,2528.3999999999996,702.9999999999999
2018-04-21,256.09999999999997,1019.1999999999999,1411.7,938.8
2018-04-22,313.3,718.6,1198.9,577.8000000000001
2018-04-23,627.8,742.3999999999999,1705.4,325.90000000000003
2018-04-24,458.40000000000003,640.7,1343.5,360.8
2018-04-25,663.0,797.8999999999999,1813.7999999999997,372.49999999999994
2018-04-26,659.0,931.9000000000001,1941.9999999999995,485.40000000000003
2018-04-27,364.90000000000003,1048.8,1607.4000000000003,348.4
2018-04-28,402.4,738.9,1355.8,236.39999999999998
2018-04-29,85.60000000000001,245.59999999999997,376.9,237.39999999999998
2018-04-30,372.4,588.4000000000001,1159.9,349.5
2018-05-01,843.8,903.0999999999999,2196.6,389.0
2018-05-02,646.6,888.4,1880.5,265.09999999999997
2018-05-03,1182.0000000000002,1209.7,3022.4000000000005,500.9
2018-05-04,761.8,1180.9,2349.0000000000005,570.6
2018-05-05,295.3,876.8999999999999,1329.8999999999999,599.7
2018-05-06,119.69999999999999,778.7,962.9999999999999,783.3
2018-05-07,115.59999999999997,878.7000000000002,1056.7,899.7999999999998
2018-05-08,715.1999999999999,1379.9,2476.4000000000005,932.1999999999999
2018-05-09,733.9000000000001,909.7,2035.6000000000004,545.5
2018-05-10,670.3000000000001,976.9,2004.5000000000002,410.0999999999999
2018-05-11,347.9,866.7,1400.0000000000002,484.4000000000001
2018-05-12,702.9999999999999,1144.5,2222.6,432.7
2018-05-13,543.6,860.1999999999999,1693.7,440.90000000000003
2018-05-14,254.89999999999998,564.6,955.5,298.00000000000006
2018-05-15,276.8999999999999,564.9999999999999,989.8,321.30000000000007
2018-05-16,109.1,262.2,428.99999999999994,413.8
2018-05-17,119.60000000000001,293.2,476.70000000000005,412.19999999999993
2018-05-18,316.2,685.1999999999999,1170.4,448.1
2018-05-19,280.0,780.1999999999998,1209.3,551.8
2018-05-20,146.00000000000003,605.3,829.3000000000001,595.0000000000001
2018-05-21,253.90000000000003,710.4999999999999,1099.4,756.5000000000001
2018-05-22,182.20000000000002,422.70000000000005,701.8999999999999,610.5
2018-05-23,139.3,334.79999999999995,548.1,537.9999999999999
2018-05-24,400.1,700.1999999999999,1313.6000000000001,665.1
2018-05-25,639.5,1121.2,2101.7,639.0000000000001
2018-05-26,63.59999999999999,303.7,400.9000000000001,768.5
2018-05-27,284.1,789.3999999999999,1224.6000000000001,670.9000000000002
2018-05-28,103.60000000000002,391.6999999999999,550.3,671.6
2018-05-29,135.45000000000002,368.54999999999995,576.85,469.8
2018-05-30,523.0,886.1,1688.3,530.8
2018-05-31,170.5,821.65,1083.0,781.4
2018-06-01,766.4,1264.3000000000002,2439.2,674.9
2018-06-02,701.0999999999999,1086.5999999999997,2161.5,429.20000000000005
2018-06-03,320.0,795.7000000000003,1285.8999999999999,385.7999999999999
2018-06-04,125.39999999999999,493.40000000000003,686.0,363.6
2018-06-05,130.7,440.6,641.0999999999998,353.2
2018-06-06,138.90000000000006,430.0,643.5999999999998,467.29999999999995
2018-06-07,130.70000000000002,449.0999999999999,649.5999999999999,430.7
2018-06-08,147.1,455.80000000000007,681.4000000000001,404.8
2018-06-09,100.39999999999999,423.39999999999986,577.9,380.3
2018-06-10,66.4,371.99999999999994,474.4,397.40000000000003
2018-06-11,112.85000000000001,431.9999999999999,605.2499999999999,316.2
2018-06-12,190.7,535.6,828.0000000000001,307.00000000000006
2018-06-13,648.2,973.9000000000002,1967.9000000000003,412.0
2018-06-14,564.1999999999999,794.4,1659.4999999999998,467.5
2018-06-15,803.4,1088.6000000000001,2320.5,505.20000000000005
2018-06-16,468.8,747.0000000000001,1466.1,352.0999999999999
2018-06-17,394.30000000000007,591.0999999999999,1195.8999999999999,286.49999999999994
2018-06-18,495.1,630.8000000000001,1390.1999999999998,359.59999999999997
2018-06-19,710.9,638.1,1728.2,284.90000000000003
2018-06-20,632.5000000000001,560.3999999999999,1530.4,267.9
2018-06-21,452.4,585.0000000000001,1278.6999999999998,329.1
2018-06-22,365.8,648.1,1209.1000000000001,374.4
2018-06-23,645.4000000000001,947.8999999999999,1936.7,431.4000000000001
2018-06-24,213.2,669.2,996.1,398.29999999999995
2018-06-25,349.79999999999995,903.9000000000001,1440.1,542.6
2018-06-26,235.10000000000002,760.7,1121.9999999999998,455.3
2018-06-27,128.7,357.90000000000003,555.2000000000002,389.79999999999995
2018-06-28,134.6,335.59999999999997,542.1999999999999,483.4999999999999
2018-06-29,169.2,327.20000000000005,586.3,409.2
2018-06-30,92.5,256.0,397.50000000000006,384.99999999999994
2018-07-01,85.1,394.1,524.6,498.09999999999997
2018-07-02,105.39999999999999,364.9,526.5000000000001,422.59999999999997
2018-07-03,98.0,279.5,429.80000000000007,380.29999999999995
2018-07-04,314.5999999999999,846.2000000000002,1327.8999999999999,536.8000000000001
2018-07-05,647.6,1301.3999999999999,2294.9,670.4999999999999
2018-07-06,532.7,1132.0999999999997,1948.3,644.3
2018-07-07,518.6,1043.6000000000001,1838.7,690.2999999999998
2018-07-08,279.3999999999999,644.5999999999999,1073.2,444.5000000000001
2018-07-09,467.3,761.8,1478.7,467.1
2018-07-10,243.29999999999998,306.49999999999994,679.5999999999997,311.2
