MeasurementDateGMT,Havering - Rainham: Nitric Oxide (ug/m3),Havering - Rainham: Nitrogen Dioxide (ug/m3),Havering - Rainham: Oxides of Nitrogen (ug/m3),Havering - Rainham: PM10 Particulate (ug/m3),Havering - Rainham: PM2.5 Particulate (ug/m3)
2018-01-01,160.0,569.6,815.3000000000001,226.49999999999997,102.2
2018-01-02,668.5,913.1999999999998,1938.0000000000002,371.0999999999999,166.6
2018-01-03,214.70000000000002,632.0,960.8000000000001,534.3,194.8
2018-01-04,491.34999999999985,936.9500000000002,1690.05,288.55,110.50000000000001
2018-01-05,804.3000000000001,1237.6000000000001,2471.0000000000005,402.20000000000005,192.79999999999998
2018-01-06,452.5999999999999,656.9999999999999,1351.0000000000002,357.4,263.5999999999999
2018-01-07,14.899999999999999,153.6,176.5,244.90000000000003,92.00000000000001
2018-01-08,69.2,435.79999999999995,541.8,394.4999999999999,307.7
2018-01-09,1038.9,935.9,2529.0999999999995,728.4,586.8000000000001
2018-01-10,2015.6,1571.3999999999999,4661.8,618.0,393.0
2018-01-11,980.6999999999999,833.8000000000001,2338.0000000000005,533.2999999999998,496.29999999999984
2018-01-12,1028.9,1164.0,2741.7999999999997,711.7,542.9999999999999
2018-01-13,329.8000000000001,691.8999999999999,1197.4,617.7000000000002,505.1
2018-01-14,281.50000000000006,627.0,1058.8,624.7,553.0999999999999
2018-01-15,341.5,697.6999999999997,1220.7,205.00000000000003,130.29999999999998
2018-01-16,408.69999999999993,846.4,1472.9,306.0,106.7
2018-01-17,426.9999999999999,835.8999999999996,1490.6000000000001,426.8,136.60000000000002
2018-01-18,301.70000000000005,781.0999999999998,1243.1999999999998,308.09999999999997,113.49999999999999
2018-01-19,721.2,1240.6,2346.5,430.8,167.99999999999997
2018-01-20,169.1,758.7,1018.1999999999999,171.60000000000002,118.29999999999998
2018-01-21,436.80000000000007,1039.6000000000001,1709.6000000000001,309.09999999999997,283.5
2018-01-22,513.5,1127.2000000000003,1914.6,396.49999999999994,192.30000000000004
2018-01-23,488.29999999999995,657.1999999999998,1406.1,249.9,116.49999999999999
2018-01-24,334.2999999999999,571.1,1083.6,182.19999999999996,97.10000000000001
2018-01-25,657.1,892.8000000000001,1900.0999999999997,440.5,144.4
2018-01-26,622.5500000000001,1027.9,1982.4499999999998,368.40000000000003,253.80000000000004
2018-01-27,760.1,860.9,2026.7999999999997,356.70000000000005,258.5
