MeasurementDateGMT,Havering - Romford: Nitric Oxide (ug/m3),Havering - Romford: Nitrogen Dioxide (ug/m3),Havering - Romford: Oxides of Nitrogen (ug/m3),Havering - Romford: PM10 Particulate (ug/m3)
2018-01-01,593.3000000000001,735.3,1645.2000000000005,279.9
2018-01-02,1528.2,1210.6000000000001,3553.7000000000007,464.30000000000007
2018-01-03,261.49999999999994,387.3999999999999,788.1999999999998,457.7
2018-01-04,946.1999999999999,937.3999999999999,2388.7,294.2999999999999
2018-01-05,1697.4,1444.8999999999999,4047.8999999999996,379.7999999999999
2018-01-06,1014.1,885.1999999999998,2440.5,462.90000000000003
2018-01-07,379.50215827338127,235.09640287769784,818.2532374100718,296.1
2018-01-08,350.08057553956826,264.9323741007194,802.9208633093525,423.5
2018-01-09,320.65899280575553,294.76834532374096,787.5884892086332,861.7
2018-01-10,291.23741007194235,324.60431654676256,772.2561151079136,534.0
2018-01-11,261.8158273381295,354.44028776978416,756.9237410071942,568.9999999999999
2018-01-12,232.39424460431653,384.27625899280577,741.5913669064747,759.1
2018-01-13,202.97266187050354,414.1122302158273,726.2589928057554,746.3
2018-01-14,173.55107913669062,443.94820143884886,710.926618705036,743.4
2018-01-15,144.12949640287772,473.78417266187057,695.5942446043166,236.6
2018-01-16,114.70791366906472,503.6201438848921,680.2618705035972,192.7
2018-01-17,85.28633093525178,533.4561151079135,664.9294964028776,280.90000000000003
2018-01-18,59.06330935251798,637.0611510791368,728.4949640287772,154.2
2018-01-19,846.8,1177.1000000000001,2475.6000000000004,335.6
2018-01-20,612.3,1134.4999999999998,2073.3,263.59999999999997
2018-01-21,823.3,1218.2,2480.5000000000005,398.9
2018-01-22,215.8,854.9999999999999,1185.1999999999998,294.1
2018-01-23,688.9000000000001,1064.4999999999998,2120.4,249.90000000000003
2018-01-24,368.49999999999994,729.5999999999999,1294.3999999999999,175.9
2018-01-25,1305.4,1502.1000000000004,3503.5,591.5
2018-01-26,820.4,1154.8000000000002,2413.0000000000005,439.9
2018-01-27,1194.4,1214.9,3046.4999999999995,483.7000000000001
2018-01-28,57.29999999999999,363.9999999999999,451.90000000000003,115.50000000000001
2018-01-29,188.79999999999998,616.3,905.7,174.99999999999997
2018-01-30,3676.499999999999,1988.0999999999997,7625.500000000001,772.1999999999999
2018-01-31,161.89999999999998,656.9000000000002,905.1,176.89999999999998
2018-02-01,44.900000000000006,485.1999999999999,554.5000000000001,189.0
2018-02-02,313.9,718.6999999999999,1199.9999999999998,307.2
2018-02-03,969.8999999999999,1409.8,2897.1000000000004,412.8999999999999
2018-02-04,455.6,617.7000000000002,1316.4,222.30000000000004
2018-02-05,397.6,741.3000000000001,1351.4,330.30000000000007
2018-02-06,457.3,911.6,1613.1,480.0000000000001
2018-02-07,551.5,1076.3000000000002,1922.1,416.7
2018-02-08,3294.3499999999985,2015.5,7066.999999999999,912.8000000000001
2018-02-09,157.80000000000007,714.7,956.7000000000005,199.8
2018-02-10,1687.2000000000003,1598.7999999999997,4185.5,329.00000000000006
2018-02-11,-11.999999999999996,318.20000000000005,298.99999999999994,108.6
2018-02-12,810.3,1291.8000000000002,2534.8,485.1000000000001
2018-02-13,482.70000000000005,1024.3999999999999,1764.3999999999996,212.10000000000002
2018-02-14,1167.2000000000005,1275.1000000000001,3065.1,426.3
2018-02-15,370.1,911.4999999999999,1479.1,308.1
