MeasurementDateGMT,Hillingdon - Harlington: Nitric Oxide (ug/m3),Hillingdon - Harlington: Nitrogen Dioxide (ug/m3),Hillingdon - Harlington: Oxides of Nitrogen (ug/m3),Hillingdon - Harlington: Ozone (ug/m3),Hillingdon - Harlington: PM10 Particulate (ug/m3),Hillingdon - Harlington: PM2.5 Particulate (ug/m3)
2018-01-01,109.69999999999999,526.1500000000001,694.0,1288.9999999999998,201.6,106.19999999999996
2018-01-02,303.5,969.2499999999998,1434.8500000000001,786.7000000000002,307.09999999999997,178.5
2018-01-03,31.6,259.99999999999994,308.25,1685.4000000000003,391.0,232.0
2018-01-04,141.59999999999997,661.0500000000001,878.0000000000001,1212.8000000000002,186.29999999999998,115.79999999999998
2018-01-05,694.7,1054.1,2118.7,902.3000000000002,217.9,126.60000000000001
2018-01-06,814.8000000000001,924.8500000000001,2173.9,476.50000000000006,355.1,265.3999999999999
2018-01-07,83.10000000000001,352.1,479.29999999999995,1127.6,249.00000000000006,116.40000000000002
2018-01-08,285.04999999999995,773.7,1210.9499999999998,421.80000000000007,447.6000000000002,307.8
2018-01-09,602.65,879.4999999999999,1803.6000000000001,107.60000000000001,698.2,552.3
2018-01-10,1434.85,1161.35,3361.0999999999995,538.1,356.15,253.34999999999997
2018-01-11,1444.4499999999998,1058.1,3273.0500000000006,30.299999999999997,609.8,518.6999999999999
2018-01-12,688.85,1003.0499999999998,2058.7999999999997,189.40000000000003,564.1,477.70000000000005
2018-01-13,94.8,535.9499999999999,681.3000000000001,718.1999999999999,535.7,454.49999999999994
2018-01-14,288.4,945.4499999999999,1387.4999999999998,381.3,711.2,575.7
2018-01-15,96.65,603.7500000000001,752.0500000000002,1019.7000000000002,172.50000000000003,124.8
2018-01-16,38.25,357.55,416.25,1558.1,153.89999999999998,86.10000000000001
2018-01-17,57.45,525.3,613.6999999999999,1339.6,239.8,125.3
2018-01-18,51.34999999999999,468.90000000000003,547.9499999999999,1397.4,161.3,82.1
2018-01-19,230.04999999999998,879.4499999999998,1232.6499999999999,973.1000000000001,227.00000000000003,118.79999999999997
2018-01-20,213.40000000000003,1161.05,1488.1499999999994,686.3,208.30000000000004,140.1
2018-01-21,219.45,968.5999999999999,1305.5000000000002,497.20000000000005,233.1,201.99999999999997
2018-01-22,222.95000000000002,953.9,1295.7999999999997,721.5000000000001,290.8999999999999,161.99999999999997
2018-01-23,120.09999999999998,732.1500000000001,916.3500000000003,988.0999999999999,123.40000000000002,77.2
2018-01-24,92.35,625.45,767.0,1290.1000000000001,122.39999999999999,73.79999999999998
2018-01-25,258.15,1031.65,1427.75,823.8000000000001,297.79999999999995,152.5
2018-01-26,1361.8,1338.4499999999998,3426.5,232.79999999999998,453.8000000000001,291.8
2018-01-27,181.29999999999998,923.9499999999999,1202.0500000000002,585.8000000000001,230.1,185.4
2018-01-28,29.299999999999997,258.6,303.75000000000006,1476.7999999999997,79.39999999999998,54.699999999999996
2018-01-29,378.70000000000005,823.9500000000002,1404.9499999999998,1046.1,140.0,74.10000000000001
2018-01-30,2084.0499999999997,1456.05,4651.35,295.6,293.8,185.50000000000003
2018-01-31,45.300000000000004,439.25000000000006,509.15,1393.0,123.69999999999999,67.6
2018-02-01,129.45,529.05,727.9499999999999,1116.5,248.30000000000004,110.2
2018-02-02,331.85,803.0500000000001,1312.4,713.9000000000002,360.0,178.7
2018-02-03,293.19999999999993,1125.1499999999999,1574.5500000000002,395.80000000000007,268.6999999999999,193.3
2018-02-04,71.45,319.84999999999997,429.15,1082.5,189.39999999999995,126.39999999999998
2018-02-05,166.95,685.4499999999998,940.9000000000002,798.6,317.3,198.2
2018-02-06,336.6,853.45,1369.4,663.9000000000001,470.0,342.80000000000007
2018-02-07,793.3,1172.0500000000002,2388.4,513.3000000000001,461.40000000000003,230.79999999999998
2018-02-08,599.6500000000001,1268.05,2187.2500000000005,580.0999999999999,411.3,260.4
2018-02-09,131.2,636.35,837.7499999999999,1175.1,188.7,88.7
2018-02-10,250.24999999999997,1026.7,1410.55,717.9000000000001,153.1,94.80000000000001
2018-02-11,51.050000000000004,299.40000000000003,377.3500000000001,1521.8999999999996,114.3,58.99999999999999
2018-02-12,192.15,944.7000000000002,1238.95,936.1999999999999,219.89999999999998,108.5
2018-02-13,262.3,839.3500000000003,1241.45,1020.9,163.70000000000002,99.60000000000001
2018-02-14,418.95000000000005,1073.1499999999999,1715.7500000000002,631.7000000000002,193.0,124.79999999999998
2018-02-15,54.55,575.75,659.4000000000001,1069.8,288.09999999999997,164.20000000000002
2018-02-16,587.6,1176.5500000000002,2078.3,593.4000000000001,329.30000000000007,178.29999999999998
2018-02-17,1291.2500000000002,1420.3500000000001,3399.8999999999996,409.8999999999999,415.8999999999999,270.0
2018-02-18,271.05,1118.15,1533.8000000000002,624.9000000000001,344.69999999999993,271.50000000000006
2018-02-19,327.2,875.5500000000002,1377.7499999999998,477.8,365.29999999999995,291.1
2018-02-20,102.74999999999999,469.35,626.8,1050.7,261.6,186.7
2018-02-21,287.8500000000001,806.6,1247.8999999999999,752.6999999999998,900.0999999999999,747.4000000000001
2018-02-22,211.35,994.8,1318.75,859.2,714.5999999999999,528.0
2018-02-23,305.09999999999997,1023.5999999999999,1491.4499999999996,755.9999999999999,686.0,468.0
2018-02-24,190.30000000000004,915.4,1207.05,828.5,789.5,533.7
2018-02-25,90.44999999999999,561.0999999999999,699.7,1219.4999999999998,459.09999999999985,251.30000000000004
2018-02-26,119.44999999999997,565.9,748.55,1340.8,332.90000000000003,159.7
2018-02-27,387.25000000000006,1028.8,1622.6,913.8000000000001,357.59999999999997,183.79999999999998
2018-02-28,265.85,811.9500000000002,1219.7500000000002,1042.4999999999998,517.3,374.8
2018-03-01,106.3,677.15,840.0,1064.1999999999998,1058.0999999999997,739.1999999999998
2018-03-02,163.50000000000003,969.2500000000001,1220.25,726.7,1156.6000000000001,899.3999999999999
2018-03-03,232.39999999999998,1246.25,1602.6499999999999,365.40000000000003,1691.3999999999999,1450.8
2018-03-04,205.79999999999998,1123.7,1439.1,672.5000000000002,464.19999999999993,368.80000000000007
2018-03-05,112.65,710.3500000000001,882.8500000000001,1221.8,283.09999999999997,182.4
2018-03-06,352.35,1009.8499999999999,1550.3500000000004,816.1,219.04999999999998,157.2
2018-03-07,531.2,1208.6,2023.3500000000001,609.5000000000001,370.1,248.60000000000005
2018-03-08,187.0,794.2,1080.7,1204.5,157.70000000000002,75.79999999999998
2018-03-09,468.24999999999994,1060.9,1779.1,549.8000000000001,341.59999999999997,210.8
2018-03-10,318.00000000000006,1009.3500000000001,1496.8,599.7999999999998,396.70000000000005,256.4
2018-03-11,717.55,1232.6499999999996,2332.6,383.4,491.99999999999994,337.5
2018-03-12,299.04999999999995,918.6500000000001,1377.5500000000002,561.5999999999999,201.10000000000002,133.99999999999997
2018-03-13,257.95,907.9999999999999,1303.1000000000001,686.2,275.7,190.1
2018-03-14,97.74999999999999,541.1500000000001,691.2499999999999,1328.6,228.4,145.70000000000002
2018-03-15,150.35,747.3000000000002,977.6999999999999,1318.6,166.1,109.4
2018-03-16,467.54999999999995,997.3499999999999,1714.3999999999999,1117.4000000000003,311.7,169.1
2018-03-17,67.35,346.7,450.3,1258.2,400.09999999999997,279.7
2018-03-18,71.25,372.25000000000006,481.05000000000007,1331.8999999999996,656.0,411.79999999999995
2018-03-19,93.94999999999999,385.9000000000001,529.85,1704.6,448.30000000000007,247.90000000000003
2018-03-20,152.05,597.8,830.8499999999999,1489.3,361.20000000000005,164.19999999999993
2018-03-21,498.00000000000006,952.15,1716.1000000000001,880.6999999999999,448.3,274.2
2018-03-22,77.89999999999999,562.5500000000001,681.9,1420.1,310.7,181.30000000000004
2018-03-23,118.75000000000001,655.2,837.1,1599.1000000000001,286.99999999999994,150.99999999999997
2018-03-24,193.1,757.8499999999997,1053.95,633.0999999999999,561.3999999999999,472.8999999999999
2018-03-25,449.34999999999997,789.2000000000002,1477.8499999999997,753.5999999999998,786.0000000000002,636.9
2018-03-26,265.5,1071.3500000000004,1478.1499999999999,934.3999999999999,379.2,188.99999999999997
2018-03-27,142.25000000000003,677.75,895.9999999999998,1217.8,161.99999999999997,96.09999999999998
2018-03-28,130.39999999999998,861.0499999999998,1061.1999999999998,1120.3000000000002,153.29999999999998,91.10000000000001
2018-03-29,339.05,1001.0999999999999,1520.8499999999997,954.1,151.79999999999998,86.39999999999999
2018-03-30,215.24999999999997,869.8000000000002,1199.3500000000001,953.5999999999999,181.50000000000003,129.4
2018-03-31,106.80000000000003,469.05,633.0999999999999,1115.3,152.20000000000002,130.60000000000002
2018-04-01,82.8,478.19999999999993,604.9499999999999,1344.8000000000002,222.30000000000004,176.29999999999998
2018-04-02,247.75,880.0,1259.7500000000002,971.0999999999999,177.99999999999997,135.4
2018-04-03,126.79999999999997,779.1499999999999,973.7499999999999,1291.0000000000002,193.29999999999995,121.30000000000001
2018-04-04,88.1,581.55,716.7,1524.1,213.35000000000002,127.24999999999999
2018-04-05,104.2,464.0,624.1500000000002,1579.1999999999998,125.1,70.3
2018-04-06,256.85,860.8000000000001,1254.25,1196.8000000000002,399.5,253.89999999999998
2018-04-07,399.50000000000006,1146.8999999999999,1759.5000000000002,749.9000000000002,550.4999999999999,356.90000000000003
2018-04-08,186.6,754.4499999999999,1040.6499999999999,702.6999999999999,406.50000000000006,343.70000000000005
2018-04-09,245.09999999999994,1036.4999999999998,1412.5999999999997,595.7,453.90000000000003,375.40000000000003
2018-04-10,204.75000000000003,1057.8999999999999,1372.35,689.0,664.8000000000002,513.8
2018-04-11,131.65,646.0500000000001,847.7,678.8,885.9000000000001,768.0
2018-04-12,103.65,484.04999999999995,643.2,809.7,648.4,566.8000000000001
2018-04-13,139.8,798.2499999999998,1012.2500000000001,666.9000000000001,535.4999999999999,437.9999999999999
2018-04-14,222.15,867.6500000000001,1207.85,956.6,780.3000000000001,641.9
2018-04-15,115.75,834.1,1011.6,990.5999999999999,599.6999999999999,494.8
2018-04-16,121.19999999999999,731.1999999999999,917.15,1477.0,334.1,180.10000000000008
2018-04-17,81.45,701.8500000000001,826.8000000000001,1522.9999999999998,314.09999999999997,148.0
2018-04-18,182.79999999999998,820.8000000000001,1101.0500000000002,1257.8000000000002,340.20000000000005,183.4
2018-04-19,608.7,1496.2000000000003,2429.4500000000003,1083.2,722.0999999999998,404.2
2018-04-20,295.65000000000003,934.05,1387.5000000000002,845.5000000000002,736.4,397.29999999999995
2018-04-21,124.19999999999999,1016.2500000000001,1206.65,1280.6000000000001,838.5999999999999,581.9000000000002
2018-04-22,69.8,494.50000000000006,601.5000000000001,1597.4,543.5999999999999,331.29999999999995
2018-04-23,46.949999999999996,393.15,465.2,1491.9999999999998,228.6,100.4
2018-04-24,58.1,457.04999999999995,546.05,1118.6,186.5,100.0
2018-04-25,40.09999999999999,254.64999999999998,316.45000000000005,1570.4999999999995,202.7,95.3
2018-04-26,64.1,475.15000000000003,572.9499999999999,1442.7,255.6,109.79999999999998
2018-04-27,205.2,865.8499999999999,1180.2500000000002,881.7,283.19999999999993,179.09999999999997
2018-04-28,90.99999999999999,454.0,593.2999999999998,1211.1999999999998,210.4,145.4
2018-04-29,47.00000000000001,159.7,231.54999999999998,1704.8000000000004,160.89999999999998,90.79999999999998
2018-04-30,116.35,532.45,710.75,1389.7,286.2,126.70000000000002
2018-05-01,118.4,675.5000000000002,857.1500000000001,1287.7000000000003,194.89999999999998,109.69999999999999
2018-05-02,102.14999999999999,621.65,778.0,1409.3,152.70000000000002,73.70000000000002
2018-05-03,361.34999999999997,772.0999999999998,1325.8,1015.4999999999999,307.69999999999993,154.89999999999998
2018-05-04,226.20000000000002,839.8000000000001,1186.8,1056.7,378.7999999999999,207.7
2018-05-05,566.7499999999999,1104.85,1974.5499999999995,1274.7999999999997,600.7999999999998,385.3
2018-05-06,140.45000000000002,1086.2,1301.85,1587.1,798.0000000000001,570.8
2018-05-07,263.9,1214.7999999999997,1618.8500000000001,1607.6999999999998,775.0999999999998,550.1
2018-05-08,608.2500000000002,1023.5,1955.8,1319.1,806.5999999999999,444.49999999999994
2018-05-09,128.6,525.85,722.85,1111.3000000000002,448.3,211.75000000000006
2018-05-10,108.39999999999999,547.0,713.05,1296.7,324.8,136.5
2018-05-11,158.5,729.6999999999997,972.65,1288.9999999999995,312.40000000000003,178.8
2018-05-12,126.73503937007874,708.0700787401576,902.7972440944881,1040.3000000000002,285.70000000000005,202.10000000000005
2018-05-13,189.55275590551182,850.7055118110236,1140.9070866141733,864.9,355.3,250.70000000000005
2018-05-14,180.93543307086614,775.8708661417323,1052.9196850393703,1341.95,276.30000000000007,135.6
2018-05-15,172.3181102362205,701.0362204724411,964.9322834645667,1579.6,294.0,121.70000000000002
2018-05-16,163.70078740157481,626.2015748031497,876.9448818897639,1532.3000000000002,376.60000000000014,186.40000000000003
2018-05-17,155.08346456692914,551.3669291338583,788.9574803149608,1496.6,364.6,171.39999999999998
2018-05-18,146.46614173228346,476.532283464567,700.9700787401576,969.7,426.50000000000006,206.2
2018-05-19,137.84881889763778,401.69763779527574,612.9826771653544,1172.3999999999999,519.6,307.40000000000003
2018-05-20,129.2314960629921,326.86299212598436,524.9952755905515,1334.1000000000001,534.0999999999999,372.4
2018-05-21,120.61417322834644,252.02834645669293,437.007874015748,1261.6999999999998,705.1999999999999,441.59999999999997
2018-05-22,111.99685039370078,177.19370078740164,349.0204724409449,1858.6,609.0,315.3
2018-05-23,100.16692913385826,166.33385826771658,319.9149606299213,1942.6999999999998,620.5,383.7
2018-05-24,159.95,492.1,737.25,1103.3000000000002,724.4000000000001,515.4
2018-05-25,177.60000000000002,796.4000000000001,1068.75,903.3999999999999,627.8,478.4
2018-05-26,70.05,375.6500000000001,483.40000000000003,1818.6000000000001,867.4000000000001,661.0
2018-05-27,78.3,547.25,667.4499999999998,1427.3999999999996,671.4000000000001,465.0999999999999
2018-05-28,109.94999999999999,426.95,595.25,1214.5999999999997,825.5999999999999,648.7999999999998
2018-05-29,68.84999999999998,311.15000000000003,416.45,1647.8,510.9,404.70000000000005
2018-05-30,312.05,781.1500000000001,1259.95,668.1,636.8999999999999,456.6
2018-05-31,243.1,799.8,1172.9,834.1,850.1999999999999,618.1
2018-06-01,144.24999999999997,609.5,830.25,950.9999999999999,423.90000000000003,300.3
2018-06-02,38.1,265.09999999999997,323.7,1201.5999999999997,223.9,129.4
2018-06-03,182.40000000000003,632.1999999999998,911.8,1103.1000000000001,265.6,151.9
2018-06-04,95.4,350.4000000000001,496.3999999999999,1182.5,414.2999999999999,296.09999999999997
2018-06-05,90.80000000000001,237.39999999999995,376.3,1397.6000000000001,387.49999999999994,208.1
2018-06-06,95.10000000000001,259.1,404.59999999999997,1366.2,529.9000000000001,284.90000000000003
2018-06-07,118.7,404.0999999999999,586.7,1112.4999999999998,456.8000000000001,251.8
2018-06-08,101.89999999999999,309.4,465.8999999999999,1239.8999999999996,419.79999999999995,227.7
2018-06-09,81.6,340.90000000000003,465.6000000000001,1175.4999999999998,452.09999999999985,296.70000000000005
2018-06-10,67.80000000000001,330.09999999999997,433.7,1173.5999999999997,487.0,342.09999999999997
2018-06-11,151.4,517.0999999999999,749.5,1038.6000000000001,371.2,173.5
2018-06-12,141.90000000000006,409.50000000000006,627.2999999999998,869.5999999999999,334.1000000000001,185.5
2018-06-13,286.5000000000001,619.6,1059.1000000000001,1057.5,361.00000000000006,167.20000000000002
2018-06-14,78.7,343.5,463.79999999999995,1167.8,406.59999999999997,173.70000000000002
2018-06-15,138.20000000000002,464.9,676.6999999999998,1106.8,413.95000000000005,180.6
2018-06-16,72.39999999999999,384.9,496.1,1121.5,247.50000000000003,113.8
2018-06-17,69.7,314.8,421.4,1118.9999999999998,201.9,115.09999999999998
2018-06-18,68.3,258.7,363.6,1034.2,280.79999999999995,117.0
2018-06-19,95.60000000000002,269.4,416.00000000000006,593.4999999999999,246.00000000000006,64.00000000000001
2018-06-20,138.0,263.90000000000003,475.9999999999999,446.20000000000005,261.29999999999995,103.7
2018-06-21,102.49999999999999,305.1,462.2000000000001,1251.3,270.0,114.0
2018-06-22,121.19999999999999,461.0,646.8,1136.3999999999999,367.9,149.6
2018-06-23,91.69999999999999,445.40000000000003,586.3,1250.6,306.3,151.1
2018-06-24,73.59999999999998,539.8000000000001,652.2000000000002,1578.6000000000001,280.4,151.7
2018-06-25,117.79999999999998,871.1,1051.6999999999998,1788.4,429.5,199.5
2018-06-26,276.50000000000006,933.8999999999999,1357.3000000000002,1253.4,489.50000000000006,230.10000000000005
2018-06-27,124.00000000000001,551.3,741.5999999999999,1151.8,465.7,254.8
2018-06-28,95.19999999999999,377.90000000000003,523.5000000000001,1443.4,516.6,275.9
2018-06-29,83.79999999999998,299.6,428.29999999999995,1456.6,408.09999999999997,209.5
2018-06-30,63.0,317.99999999999994,415.1,1712.5,391.50000000000006,186.90000000000003
2018-07-01,64.9,515.0999999999999,614.8,2192.0000000000005,482.6,195.29999999999998
2018-07-02,90.20000000000002,488.7,627.7000000000002,2053.7999999999997,453.8000000000001,122.9
2018-07-03,78.4,442.7999999999999,563.4,1791.5000000000002,378.4,115.6
