MeasurementDateGMT,Islington - Arsenal: Nitric Oxide (ug/m3),Islington - Arsenal: Nitrogen Dioxide (ug/m3),Islington - Arsenal: Oxides of Nitrogen (ug/m3),Islington - Arsenal: PM10 Particulate (ug/m3)
2018-01-01,48.0,259.2000000000001,340.79999999999984,275.2
2018-01-02,48.0,259.2000000000001,340.79999999999984,431.00000000000006
2018-01-03,57.800000000000004,365.3,465.09999999999997,628.9499999999999
2018-01-04,156.00000000000003,612.9999999999999,869.7,372.1
2018-01-05,370.29999999999995,885.1000000000003,1474.4,344.70000000000005
2018-01-06,763.2999999999998,891.7,2077.0000000000005,450.70000000000005
2018-01-07,39.900000000000006,315.0,386.2,311.59999999999997
2018-01-08,103.60000000000001,500.4000000000001,673.6999999999999,455.00000000000006
2018-01-09,570.0,860.1,1752.1,734.6
2018-01-10,198.328,768.6599999999999,1095.8240000000003,516.3000000000001
2018-01-11,373.0720000000002,694.1399999999999,1283.276,539.1999999999999
2018-01-12,272.70000000000005,803.9,1244.8,578.8000000000001
2018-01-13,87.4,565.5,717.1,583.8
2018-01-14,114.4,664.1000000000001,860.8000000000001,645.5
2018-01-15,82.8,653.1999999999998,801.1000000000001,316.0
2018-01-16,63.9,545.5999999999999,662.0000000000001,311.80000000000007
2018-01-17,61.6,519.0,630.1,443.2000000000001
2018-01-18,79.8,498.6,635.8000000000001,302.29999999999995
2018-01-19,173.00000000000003,935.7000000000002,1226.1,389.8999999999999
2018-01-20,89.70000000000002,763.7999999999998,920.6000000000001,247.89999999999998
2018-01-21,232.0,907.0000000000001,1282.4999999999998,352.29999999999995
2018-01-22,157.70000000000007,772.7,1030.8,366.20000000000005
2018-01-23,56.900000000000006,605.5,704.8,239.40000000000003
2018-01-24,38.50000000000001,497.9,565.4,253.0
2018-01-25,89.60000000000002,756.5,905.3000000000002,427.2000000000001
2018-01-26,243.6,870.0999999999999,1254.4,404.09999999999997
2018-01-27,190.1,833.1,1133.0,364.00000000000006
2018-01-28,36.099999999999994,313.19999999999993,371.8999999999999,205.7
2018-01-29,81.9,502.8,628.9,240.7
2018-01-30,794.1999999999998,1261.0000000000002,2478.9,502.9
2018-01-31,75.74999999999999,546.5500000000001,662.8,251.64999999999998
2018-02-01,85.2,471.8999999999999,602.5000000000001,318.59999999999997
2018-02-02,309.40000000000003,691.1,1165.4,427.7
2018-02-03,276.4,1171.9,1595.4,353.59999999999997
2018-02-04,48.400000000000006,377.29999999999995,451.4000000000001,251.79999999999998
2018-02-05,74.9,520.3,635.6,315.99999999999994
2018-02-06,199.9,756.3,1062.8999999999999,512.4
2018-02-07,428.0,912.9000000000002,1569.1999999999998,489.2
