MeasurementDateGMT,Kensington and Chelsea - North Ken FDMS: PM10 Particulate (ug/m3)
2018-01-01,207.90000000000003
2018-01-02,323.0
2018-01-03,459.40000000000003
2018-01-04,238.19999999999996
2018-01-05,243.0
2018-01-06,353.09999999999997
2018-01-07,245.0
2018-01-08,436.3
2018-01-09,707.0999999999999
2018-01-10,398.00000000000006
2018-01-11,563.4
2018-01-12,455.90000000000003
2018-01-13,532.9
2018-01-14,604.5000000000001
2018-01-15,174.59999999999994
2018-01-16,179.89999999999995
2018-01-17,252.7
2018-01-18,168.79999999999995
2018-01-19,251.29999999999995
2018-01-20,191.0999999999999
2018-01-21,266.70000000000005
2018-01-22,285.4
2018-01-23,133.9
2018-01-24,135.3
2018-01-25,339.00000000000006
2018-01-26,362.6000000000001
2018-01-27,263.50000000000006
2018-01-28,94.39999999999999
2018-01-29,140.29999999999998
2018-01-30,307.29999999999995
2018-01-31,143.79999999999998
2018-02-01,248.10000000000005
2018-02-02,321.0
2018-02-03,280.40000000000003
2018-02-04,192.00000000000006
2018-02-05,302.59999999999997
2018-02-06,469.5999999999999
2018-02-07,392.79999999999995
2018-02-08,357.09999999999997
2018-02-09,237.5
2018-02-10,172.00000000000003
2018-02-11,112.90000000000002
2018-02-12,235.7
2018-02-13,207.6
2018-02-14,229.7
2018-02-15,300.80000000000007
2018-02-16,336.90000000000003
2018-02-17,396.0
2018-02-18,326.20000000000005
2018-02-19,391.0
2018-02-20,265.00000000000006
2018-02-21,894.3
2018-02-22,644.8
2018-02-23,607.8
2018-02-24,682.1999999999999
2018-02-25,363.2
2018-02-26,266.90000000000003
2018-02-27,263.8
2018-02-28,472.50000000000006
2018-03-01,968.8999999999999
2018-03-02,1103.8999999999999
2018-03-03,1623.9999999999998
2018-03-04,449.1999999999999
2018-03-05,316.2
2018-03-06,224.2
2018-03-07,329.50000000000006
2018-03-08,167.70000000000002
2018-03-09,369.1
2018-03-10,384.6000000000001
2018-03-11,493.0
2018-03-12,237.90000000000003
2018-03-13,280.8
2018-03-14,265.90000000000003
2018-03-15,206.2
2018-03-16,317.5
2018-03-17,408.59999999999997
2018-03-18,671.4
2018-03-19,452.2
2018-03-20,348.9
2018-03-21,423.0
2018-03-22,345.5999999999999
2018-03-23,316.0
2018-03-24,596.3
2018-03-25,670.9999999999999
2018-03-26,288.2
2018-03-27,171.9
2018-03-28,167.2
2018-03-29,204.89999999999995
2018-03-30,198.1
2018-03-31,139.7
2018-04-01,236.20000000000002
2018-04-02,184.19999999999996
2018-04-03,211.59999999999997
2018-04-04,219.6
2018-04-05,144.20000000000002
2018-04-06,347.59999999999997
2018-04-07,496.90000000000003
2018-04-08,362.99999999999994
2018-04-09,451.40000000000003
2018-04-10,601.1
2018-04-11,888.1999999999999
2018-04-12,755.1999999999998
2018-04-13,501.5
2018-04-14,782.9999999999999
2018-04-15,537.0999999999999
2018-04-16,340.59999999999997
2018-04-17,311.9
2018-04-18,375.1
