MeasurementDateGMT,Kensington and Chelsea - North Ken FIDAS: PM10 Particulate (ug/m3),Kensington and Chelsea - North Ken FIDAS: PM2.5 Particulate (ug/m3)
2018-01-01,207.90000000000003,111.80000000000003
2018-01-02,322.7,183.19999999999996
2018-01-03,459.00000000000006,249.79999999999995
2018-01-04,238.19999999999996,134.9
2018-01-05,243.0,149.5
2018-01-06,353.1,267.6
2018-01-07,244.79999999999998,125.70000000000002
2018-01-08,436.0,307.59999999999997
2018-01-09,706.4000000000001,551.5
2018-01-10,397.80000000000007,275.8
2018-01-11,563.4,453.09999999999997
2018-01-12,455.7,373.7
2018-01-13,532.8,447.49999999999994
2018-01-14,604.6000000000001,509.8
2018-01-15,174.49999999999994,122.39999999999999
2018-01-16,179.99999999999994,90.89999999999999
2018-01-17,252.5,130.3
2018-01-18,168.69999999999996,84.1
2018-01-19,251.29999999999995,131.20000000000002
2018-01-20,191.09999999999994,135.2
2018-01-21,266.80000000000007,230.40000000000003
2018-01-22,285.1,156.09999999999997
2018-01-23,133.8,80.3
2018-01-24,135.5,76.4
2018-01-25,339.20000000000005,160.89999999999998
2018-01-26,362.4000000000001,247.20000000000002
2018-01-27,263.40000000000003,201.70000000000005
2018-01-28,94.39999999999999,61.20000000000001
2018-01-29,140.2,72.49999999999999
2018-01-30,307.49999999999994,191.00000000000003
2018-01-31,143.79999999999998,72.8
2018-02-01,247.90000000000003,112.09999999999998
2018-02-02,320.90000000000003,171.39999999999998
2018-02-03,280.3,216.1
2018-02-04,191.90000000000003,136.5
2018-02-05,302.2,195.2
2018-02-06,469.2,343.5
2018-02-07,392.69999999999993,207.60000000000002
2018-02-08,356.59999999999997,216.19999999999993
2018-02-09,237.5,100.8
2018-02-10,172.20000000000002,103.1
2018-02-11,113.10000000000002,60.8
2018-02-12,235.70000000000002,113.0
2018-02-13,207.59999999999997,120.69999999999999
2018-02-14,229.5,149.19999999999996
2018-02-15,300.80000000000007,151.6
2018-02-16,336.70000000000005,170.00000000000003
2018-02-17,396.0,255.50000000000003
2018-02-18,326.1000000000001,248.5
2018-02-19,390.70000000000005,291.0000000000001
2018-02-20,265.20000000000005,140.9
2018-02-21,894.3,736.1000000000001
2018-02-22,644.5999999999999,500.5
2018-02-23,607.6,421.7
2018-02-24,682.3000000000001,475.39999999999986
2018-02-25,363.09999999999997,215.10000000000005
2018-02-26,266.8,138.89999999999998
2018-02-27,264.0,146.0
2018-02-28,472.20000000000005,356.4
2018-03-01,968.6999999999998,671.8000000000001
2018-03-02,1103.8,858.5
2018-03-03,1624.1,1398.2
2018-03-04,449.09999999999997,353.0
2018-03-05,315.9,191.4
2018-03-06,224.0,146.9
2018-03-07,329.6,221.5
2018-03-08,167.8,81.30000000000001
2018-03-09,368.99999999999994,222.70000000000005
2018-03-10,384.50000000000006,248.69999999999993
2018-03-11,493.0,342.2
2018-03-12,238.2,148.9
2018-03-13,280.50000000000006,182.20000000000002
2018-03-14,265.8,159.40000000000003
2018-03-15,205.99999999999997,126.89999999999998
2018-03-16,317.2,181.2
2018-03-17,408.69999999999993,295.29999999999995
2018-03-18,671.0,425.1999999999999
2018-03-19,452.1,248.49999999999997
2018-03-20,348.8,162.70000000000002
2018-03-21,423.1,259.1
2018-03-22,345.69999999999993,198.00000000000003
2018-03-23,315.79999999999995,155.79999999999998
2018-03-24,596.0,496.7
2018-03-25,671.2,558.6
2018-03-26,288.2,157.09999999999997
2018-03-27,171.7,97.2
2018-03-28,167.3,100.5
2018-03-29,204.59999999999997,103.19999999999997
2018-03-30,197.9,137.49999999999997
2018-03-31,140.0,117.7
2018-04-01,236.3,198.90000000000003
2018-04-02,184.09999999999997,139.2
2018-04-03,211.29999999999998,123.69999999999999
2018-04-04,219.5,126.50000000000001
2018-04-05,144.10000000000002,70.10000000000001
2018-04-06,347.2,212.5
2018-04-07,496.8,340.4
2018-04-08,362.99999999999994,312.8
2018-04-09,451.40000000000003,374.80000000000007
2018-04-10,601.0,488.7
2018-04-11,888.3,760.8000000000002
2018-04-12,755.0999999999999,606.4999999999999
2018-04-13,501.59999999999997,398.6
2018-04-14,782.9999999999999,659.7000000000002
2018-04-15,536.8,445.70000000000005
2018-04-16,340.4,173.1
2018-04-17,312.1,140.8
2018-04-18,375.0,197.40000000000003
2018-04-19,747.8,469.29999999999995
2018-04-20,638.3,376.59999999999997
2018-04-21,868.6999999999999,613.1999999999999
2018-04-22,553.4999999999999,351.4000000000001
2018-04-23,187.3,92.90000000000002
2018-04-24,202.8,107.00000000000004
2018-04-25,188.2,89.90000000000002
2018-04-26,241.39999999999998,114.30000000000001
2018-04-27,292.4,172.99999999999997
2018-04-28,158.79999999999995,124.19999999999995
2018-04-29,157.40000000000003,96.79999999999997
2018-04-30,249.0,117.89999999999999
2018-05-01,201.9,110.89999999999999
2018-05-02,144.1,74.4
2018-05-03,278.3,158.99999999999997
2018-05-04,355.8,206.0
2018-05-05,540.6000000000001,372.3999999999999
2018-05-06,695.7,519.6999999999999
2018-05-07,736.6,556.1999999999999
2018-05-08,672.5,465.80000000000007
2018-05-09,352.6000000000001,198.59999999999997
2018-05-10,236.19999999999993,126.80000000000001
2018-05-11,331.3,184.89999999999995
