MeasurementDateGMT,Kingston Upon Thames - Tolworth Broadway: Nitric Oxide (ug/m3),Kingston Upon Thames - Tolworth Broadway: Nitrogen Dioxide (ug/m3),Kingston Upon Thames - Tolworth Broadway: Oxides of Nitrogen (ug/m3),Kingston Upon Thames - Tolworth Broadway: PM10 Particulate (ug/m3)
2018-01-01,399.3999999999999,740.4,1352.7,354.0
2018-01-02,817.3,1012.2999999999998,2265.8,570.0
2018-01-03,388.09999999999997,602.1999999999999,1197.8999999999999,653.0
2018-01-04,766.0999999999999,1050.2000000000003,2224.8,417.0
2018-01-05,1344.8,1544.7499999999998,3606.4999999999995,527.0
2018-01-06,933.1000000000001,1354.1000000000001,2784.8000000000006,442.0
2018-01-07,237.5,654.0000000000001,1018.8000000000004,369.0
2018-01-08,494.8,706.2,1464.4999999999998,460.0
2018-01-09,1809.2999999999997,1236.2000000000003,4010.7000000000003,745.0
2018-01-10,2533.9,1716.9000000000003,5602.299999999998,587.0
2018-01-11,2480.0,1285.5000000000005,5088.399999999999,673.0
2018-01-12,1871.1000000000004,1385.6999999999998,4254.700000000001,718.0
2018-01-13,733.5999999999998,892.3000000000001,2017.3,652.0
2018-01-14,814.4000000000002,1134.1999999999998,2383.2000000000003,682.0
2018-01-15,622.1,901.0999999999999,1855.1000000000001,319.0
2018-01-16,715.1000000000001,1000.4999999999998,2096.7,387.0
2018-01-17,695.7,868.6000000000001,1935.6000000000001,485.0
2018-01-18,827.9999999999999,1024.2999999999997,2293.8999999999996,422.0
2018-01-19,1151.6000000000001,1396.8999999999999,3162.8,511.0
2018-01-20,623.2,1269.3,2224.7999999999997,270.0
2018-01-21,812.1999999999999,1153.8000000000002,2399.1000000000004,392.0
2018-01-22,1162.3999999999999,1276.7,3059.099999999999,586.0
2018-01-23,595.5,846.2,1759.5,332.0
2018-01-24,593.1999999999999,879.4999999999999,1788.9,320.0
2018-01-25,1182.1499999999999,1325.3000000000002,3138.2,610.0
2018-01-26,2188.2999999999997,1691.8000000000004,5046.999999999999,655.0
2018-01-27,902.8,1098.0000000000002,2482.4999999999995,406.0
2018-01-28,398.90000000000003,636.6999999999999,1248.5000000000002,316.0
2018-01-29,812.5999999999999,1109.3999999999999,2355.7999999999997,426.0
2018-01-30,3001.6999999999994,1811.3000000000002,6414.100000000001,633.0
2018-01-31,845.5,1078.3,2374.9,302.0
2018-02-01,985.1,1123.7,2634.3999999999996,478.0
2018-02-02,1237.4,1194.5,3091.9,622.0
2018-02-03,1344.4999999999998,1661.1,3722.3000000000006,451.0
2018-02-04,218.6,622.2,957.4000000000002,298.0
2018-02-05,666.9999999999999,1092.1,2114.9,517.0
2018-02-06,559.95,1101.15,1959.65,614.5
2018-02-07,1722.2,1534.4999999999998,4175.400000000001,893.0
2018-02-08,1759.0,1633.4,4330.199999999998,718.0
2018-02-09,953.0000000000001,1174.7000000000003,2635.9,478.0
2018-02-10,805.55,1094.8999999999999,2329.6499999999996,264.0
2018-02-11,406.9,640.4999999999999,1264.6000000000001,293.0
2018-02-12,1242.4000000000003,1400.7,3305.3,467.0
2018-02-13,708.9000000000001,985.2,2071.9,293.0
2018-02-14,1293.4500000000003,1162.6,3146.350000000001,402.0
2018-02-15,860.2000000000002,1186.8999999999999,2506.0000000000005,557.0
2018-02-16,1785.3999999999999,1740.8,4478.700000000001,709.0
2018-02-17,2190.6,1814.0000000000002,5172.300000000001,778.0
2018-02-18,795.7,1288.3,2508.5,616.0
