MeasurementDateGMT,Lambeth - Bondway Interchange: Nitric Oxide (ug/m3),Lambeth - Bondway Interchange: Nitrogen Dioxide (ug/m3),Lambeth - Bondway Interchange: Oxides of Nitrogen (ug/m3),Lambeth - Bondway Interchange: PM10 Particulate (ug/m3),Lambeth - Bondway Interchange: Sulphur Dioxide (ug/m3)
2018-01-01,785.9,1056.3000000000002,2261.2999999999997,798.0,110.39999999999995
2018-01-02,1344.6999999999998,1292.8000000000002,3354.6000000000004,1311.0,110.39999999999995
2018-01-03,689.6,943.4999999999999,2000.8999999999996,1103.0,110.39999999999995
2018-01-04,1238.6,1291.7,3191.0,589.0,110.39999999999995
2018-01-05,1616.3999999999999,1770.8,4249.299999999999,1121.0,110.39999999999995
2018-01-06,1272.6000000000001,1527.3999999999999,3479.0000000000014,752.0,110.39999999999995
2018-01-07,343.1,666.8999999999999,1193.4,408.0,110.39999999999995
2018-01-08,673.7,872.6,1905.9999999999998,797.3913043478262,110.39999999999995
2018-01-09,2384.7000000000003,1443.3999999999999,5100.299999999999,1570.6086956521738,110.39999999999995
2018-01-10,2726.2000000000003,2003.6999999999998,6184.0,906.0,110.39999999999995
2018-01-11,1786.1999999999998,1341.3999999999999,4079.399999999999,795.0,110.39999999999995
2018-01-12,2129.2,1525.9999999999998,4791.0999999999985,1111.0,110.39999999999995
2018-01-13,651.7,921.4,1920.9,877.0,110.39999999999995
2018-01-14,1022.6,1246.0000000000002,2814.3000000000006,777.0,110.39999999999995
2018-01-15,1164.3000000000002,1374.0,3159.2999999999997,298.0,110.39999999999995
2018-01-16,967.8999999999999,1326.1000000000001,2810.100000000001,441.0,110.39999999999995
2018-01-17,1071.1000000000001,1317.9,2960.1,594.0,110.39999999999995
2018-01-18,1062.8000000000002,1363.0,2992.4,474.0,110.39999999999995
2018-01-19,1462.4,1670.0,3912.1,579.0,110.39999999999995
2018-01-20,1030.6999999999998,1565.3999999999999,3145.7,342.0,110.39999999999995
2018-01-21,1212.5,1498.8999999999996,3357.6,422.0,110.39999999999995
2018-01-22,2750.9888888888886,1941.4444444444448,6158.788888888888,647.0,110.39999999999995
2018-01-23,1811.911111111111,1614.5555555555557,4392.81111111111,412.0,85.10000000000001
2018-01-24,990.1,1264.8,2782.7999999999997,290.0,54.3
2018-01-25,1725.2999999999997,1840.9,4486.6,809.0,87.89999999999999
2018-01-26,1816.2000000000003,1815.2,4600.200000000001,1064.0,67.1
2018-01-27,1269.5999999999997,1426.1000000000001,3372.2000000000007,542.0,32.8
2018-01-28,538.0999999999999,820.1999999999999,1645.2,238.0,-2.2
2018-01-29,1403.5000000000002,1516.0,3668.0999999999995,576.0,24.5
2018-01-30,2718.100000000001,2069.9500000000003,6237.1,919.0,92.3
2018-01-31,1057.3,1422.3999999999996,3044.399999999999,340.0,83.1
2018-02-01,1892.8,1891.1000000000004,4793.2,641.0,111.99999999999999
2018-02-02,2481.0,1937.8,5742.099999999999,842.0,119.90000000000002
2018-02-03,1351.0,1706.4,3778.4999999999995,446.0,92.3
2018-02-04,455.69999999999993,891.1000000000001,1589.7,330.0,6.700000000000002
2018-02-05,836.1000000000001,1143.1999999999998,2425.7,725.0,16.8
2018-02-06,652.8000000000001,1225.6000000000001,2226.6000000000004,723.0,45.599999999999994
2018-02-07,1616.8999999999996,1661.6,4140.900000000001,875.0,71.80000000000001
2018-02-08,2098.9999999999995,2098.5000000000005,5316.900000000001,1660.0,101.29999999999998
2018-02-09,1825.8000000000002,1837.6000000000001,4636.899999999999,948.5,107.09999999999998
2018-02-10,1214.6999999999998,1532.8,3394.9000000000005,1008.0,87.5
2018-02-11,547.0000000000001,989.9999999999999,1828.8999999999999,903.0,74.2
2018-02-12,1564.6,1770.2999999999997,4168.900000000001,1507.0,90.90000000000002
2018-02-13,820.9000000000002,1248.7,2507.7,575.0,93.09999999999998
2018-02-14,1580.0,1512.4,3935.0,637.0,127.39999999999996
2018-02-15,1363.8999999999999,1701.7000000000003,3793.2000000000003,615.0,102.75000000000001
2018-02-16,1969.3,2130.1,5149.799999999999,907.0,83.8
2018-02-17,2155.0,2085.2000000000003,5389.0,1101.0,105.69999999999999
2018-02-18,1255.9000000000003,1646.6000000000001,3572.3999999999996,792.0,66.8
2018-02-19,2571.3999999999996,1812.1000000000004,5755.099999999999,773.0,128.79999999999998
2018-02-20,817.6,1120.6999999999998,2374.2,360.0,60.1
2018-02-21,1099.5,1352.3,3038.3,1527.0,49.999999999999986
2018-02-22,687.8000000000002,1212.5,2267.2,983.0,40.199999999999996
2018-02-23,749.9000000000001,1316.7999999999997,2466.1000000000004,945.0,47.6
2018-02-24,494.29999999999995,1089.6000000000001,1847.2000000000003,906.0,44.6
2018-02-25,372.4,840.5999999999999,1411.4,523.0,5.000000000000001
2018-02-26,607.4000000000002,1012.3999999999999,1944.3000000000002,792.0,1.1999999999999993
2018-02-27,871.6000000000003,1434.1,2770.6,905.0,32.699999999999996
