MeasurementDateGMT,Lambeth - Brixton Road: Nitric Oxide (ug/m3),Lambeth - Brixton Road: Nitrogen Dioxide (ug/m3),Lambeth - Brixton Road: Oxides of Nitrogen (ug/m3),Lambeth - Brixton Road: PM10 Particulate (ug/m3)
2018-01-01,1464.7999999999997,1815.3,4062.0,523.0
2018-01-02,2291.5,2248.2,5762.000000000001,707.0
2018-01-03,1020.9,1236.6999999999996,2802.2000000000003,777.0
2018-01-04,1805.6999999999998,1886.6999999999998,4655.4,610.0
2018-01-05,3293.6,2958.6,8008.5,717.0
2018-01-06,3528.7000000000003,2703.3,8114.099999999998,855.0
2018-01-07,1291.9,1383.2999999999997,3364.5,550.0
2018-01-08,1307.3999999999999,1392.0999999999997,3396.2000000000003,622.0
2018-01-09,2187.1,1696.9,5050.3,931.5
2018-01-10,3928.5,3209.4,9232.499999999998,1044.0
2018-01-11,6376.349999999999,3463.1000000000004,13240.300000000001,1216.0
2018-01-12,2450.3,2242.7999999999997,6000.2,933.0
2018-01-13,715.3999999999999,1154.5,2251.8,741.0
2018-01-14,2460.1000000000004,2290.7999999999997,6063.2,880.0
2018-01-15,1912.8999999999999,2261.4,5194.700000000001,461.0
2018-01-16,1644.3,2100.2999999999997,4621.8,528.0
2018-01-17,1930.8,2018.5000000000002,4979.0,713.0
2018-01-18,1702.1999999999998,2015.1999999999996,4625.3,607.0
2018-01-19,3050.499999999999,2893.6000000000004,7570.7,817.0
2018-01-20,3050.100000000001,3093.0000000000005,7769.7,574.0
2018-01-21,2074.0,2171.2999999999997,5351.499999999999,689.0
2018-01-22,3221.6999999999994,2753.6,7693.499999999999,543.5961538461538
2018-01-23,2114.4999999999995,2246.6000000000004,5488.800000000001,688.5
2018-01-24,1796.3,2090.1,4844.799999999999,860.1923076923076
2018-01-25,3259.8000000000006,3100.1000000000004,8098.2,1031.8846153846155
2018-01-26,6128.799999999999,3947.2000000000003,13344.300000000001,1136.3269230769229
2018-01-27,2868.5,2614.099999999999,7012.3,704.0
2018-01-28,1283.3000000000002,1429.2,3397.0000000000005,379.17391304347825
2018-01-29,2487.0,2363.4999999999995,6176.699999999999,451.82608695652175
2018-01-30,4368.9000000000015,3341.2000000000003,10040.200000000003,898.0
2018-01-31,2127.9,2255.5,5518.1,460.0
2018-02-01,3537.8,2719.2999999999997,8143.7,638.0
2018-02-02,4995.500000000001,3209.8,10869.900000000001,860.0
2018-02-03,3549.7999999999997,2894.9999999999995,8338.000000000002,597.0
2018-02-04,2025.6000000000004,1774.1,4879.900000000001,505.0
2018-02-05,2834.5,2185.8,6532.100000000001,1135.0
2018-02-06,4310.7,2885.4999999999995,9495.1,1213.0
2018-02-07,5937.700000000001,3536.4,12640.699999999999,1319.0
2018-02-08,4029.5499999999997,3311.0000000000005,9489.399999999998,937.0
2018-02-09,3749.2000000000007,2751.2999999999997,8499.6,747.0
2018-02-10,3315.3000000000006,2802.7,7886.6,561.0
2018-02-11,1346.8,1546.2999999999997,3611.7,313.0
2018-02-12,3332.299999999999,2875.4000000000005,7985.099999999999,661.0
2018-02-13,1539.1000000000001,1715.7,4075.9,413.0
2018-02-14,2147.9999999999995,2139.4,5432.8,540.0
2018-02-15,2572.6000000000004,2588.9,6534.45,709.0
2018-02-16,3833.1999999999994,3143.4999999999995,9020.9,1018.0
2018-02-17,4221.8,3498.1000000000004,9971.4,1149.0
2018-02-18,3592.8000000000006,3049.1000000000004,8558.1,884.0
2018-02-19,4570.6,3217.2999999999993,10225.4,717.0
