MeasurementDateGMT,Lambeth - Streatham Green: Nitric Oxide (ug/m3),Lambeth - Streatham Green: Nitrogen Dioxide (ug/m3),Lambeth - Streatham Green: Oxides of Nitrogen (ug/m3),Lambeth - Streatham Green: PM10 Particulate (ug/m3)
2018-01-01,96.3,461.7,609.4000000000001,840.0
2018-01-02,179.6,678.2,953.8000000000001,840.0
2018-01-03,69.8,245.29999999999998,352.50000000000006,817.0
2018-01-04,144.4,550.5,771.4,348.0
2018-01-05,311.1,967.7,1445.5000000000002,360.0
2018-01-06,909.3000000000001,1505.6,2900.3,560.0
2018-01-07,203.09999999999997,638.7,950.2999999999998,373.0
2018-01-08,398.09999999999997,822.4,1433.2,481.0
2018-01-09,583.1000000000001,932.4999999999995,1826.6,772.0
2018-01-10,1250.6,1426.0,3343.3,634.0
2018-01-11,1895.8999999999999,1428.9999999999998,4335.999999999999,736.0
2018-01-12,464.9,1031.3,1744.2999999999997,692.0
2018-01-13,119.80000000000001,538.9,723.0999999999999,616.0
2018-01-14,300.3999999999999,853.5000000000002,1313.8999999999999,688.0
2018-01-15,96.5,491.0,638.9000000000001,280.0
2018-01-16,106.10000000000001,559.5,722.1,305.0
2018-01-17,106.79999999999998,541.8000000000001,706.3000000000001,359.0
2018-01-18,135.7,683.0999999999999,890.9999999999999,318.0
2018-01-19,323.1000000000001,1076.4,1572.1999999999998,364.0
2018-01-20,335.5,1412.4999999999998,1927.5000000000002,309.0
2018-01-21,155.6,941.8999999999999,1180.3,395.0
2018-01-22,244.59999999999997,974.9000000000001,1350.2000000000003,478.0
2018-01-23,79.30000000000001,425.70000000000005,547.1,297.0
2018-01-24,80.4,380.09999999999997,503.7,278.0
2018-01-25,167.49999999999997,704.2000000000002,960.9999999999999,428.0
2018-01-26,930.2000000000002,1654.4,3080.4999999999995,621.0
2018-01-27,278.2999999999999,882.5,1308.8,457.0
2018-01-28,63.7,352.8,450.5,255.0
2018-01-29,172.7,795.3000000000001,1060.0,291.0
2018-01-30,952.2999999999998,1485.7,2945.7000000000007,487.0
2018-01-31,152.60000000000002,689.8000000000001,923.1,288.0
2018-02-01,150.4,765.5000000000001,996.2,335.0
2018-02-02,520.0,1181.3,1978.8,481.0
2018-02-03,469.8,1498.5000000000002,2218.1000000000004,430.0
2018-02-04,237.8,833.9000000000001,1198.4,295.0
2018-02-05,417.444,1057.664,1697.9840000000004,357.52
2018-02-06,448.45600000000013,1261.436,1948.9160000000002,617.48
2018-02-07,641.2,1602.9000000000003,2585.9,549.0
2018-02-08,512.7,1307.2,2093.3000000000006,490.0
2018-02-09,123.9,893.1,1083.2000000000003,302.0
2018-02-10,215.79999999999998,892.0,1223.2,289.0
2018-02-11,73.20000000000002,488.09999999999997,600.6,213.0
2018-02-12,274.0,956.7,1376.4,329.0
2018-02-13,250.79999999999998,908.8000000000001,1293.3000000000002,288.0
2018-02-14,354.59999999999997,974.9999999999999,1518.6999999999994,331.0
2018-02-15,198.7,755.6,1059.8,463.0
2018-02-16,403.6000000000001,1252.8,1871.8,514.0
2018-02-17,533.6000000000001,1350.4999999999995,2168.9,642.0
2018-02-18,164.10000000000005,866.7,1118.3,519.0
2018-02-19,451.3,1128.9,1820.5000000000002,488.0
2018-02-20,371.0,942.1999999999998,1511.3000000000002,354.0
2018-02-21,637.0000000000001,1293.1000000000004,2269.8,1103.0
2018-02-22,432.70000000000005,1166.1,1829.6000000000001,736.0
2018-02-23,595.1999999999998,1330.0,2243.0,696.0
2018-02-24,458.3999999999999,1073.3,1775.9999999999998,802.0
2018-02-25,268.09999999999997,675.1999999999999,1086.3999999999999,479.0
2018-02-26,321.1,724.6,1216.8000000000004,413.0
2018-02-27,591.4999999999999,1449.7,2356.5999999999995,407.0
2018-02-28,471.3,955.9999999999998,1678.6999999999996,697.0
2018-03-01,251.20000000000002,648.1999999999999,1033.8,1085.0
2018-03-02,317.40000000000003,886.8000000000001,1372.8000000000002,1126.0
2018-03-03,475.50000000000006,1308.8000000000002,2037.6,1665.0
2018-03-04,220.79999999999998,902.7999999999998,1241.6000000000004,501.0
2018-03-05,192.20000000000002,704.7,999.0999999999999,454.0
