MeasurementDateGMT,Lewisham - Catford: Nitric Oxide (ug/m3),Lewisham - Catford: Nitrogen Dioxide (ug/m3),Lewisham - Catford: Oxides of Nitrogen (ug/m3)
2018-01-01,262.8,752.6999999999999,1156.0
2018-01-02,835.6,1088.8999999999999,2370.1000000000004
2018-01-03,201.6,588.3,896.6999999999999
2018-01-04,397.4,937.6999999999999,1546.4999999999998
2018-01-05,1085.1000000000001,1543.9,3207.0
2018-01-06,610.8,1164.1000000000004,2100.7000000000003
2018-01-07,73.3,492.7,605.0
2018-01-08,241.89999999999998,686.5,1057.0
2018-01-09,1258.9999999999995,1038.9,2969.0
2018-01-10,2213.2,1658.6000000000001,5052.0
2018-01-11,990.5999999999999,1009.7,2528.3
2018-01-12,790.2,1108.9,2320.3999999999996
2018-01-13,407.7,785.9000000000002,1411.0
2018-01-14,488.2,1027.6,1776.2
2018-01-15,487.79999999999995,924.8,1673.0
2018-01-16,444.4,988.4999999999999,1670.1
2018-01-17,434.5,922.4,1588.9
2018-01-18,329.7,926.8000000000001,1432.0000000000002
2018-01-19,831.0999999999999,1434.0,2708.2
2018-01-20,283.0,1204.9,1638.8
2018-01-21,466.70000000000005,1113.1,1828.9
2018-01-22,442.20000000000005,1135.1,1813.0
2018-01-23,582.1999999999999,1012.2000000000002,1905.0
2018-01-24,386.50000000000006,818.3000000000001,1410.5999999999997
2018-01-25,922.0,1341.3999999999999,2755.2000000000003
2018-01-26,1337.2999999999997,1450.8999999999999,3501.4
2018-01-27,1001.4,1237.1,2772.9000000000005
2018-01-28,270.09999999999997,674.5000000000001,1088.6
2018-01-29,210.7,762.0000000000001,1085.2
2018-01-30,2038.1,1635.4,4760.3
2018-01-31,411.40000000000003,930.2,1561.0
2018-02-01,91.4,608.9,748.8
2018-02-02,403.3,863.5999999999999,1481.6999999999998
2018-02-03,803.1,1471.3999999999994,2702.5000000000005
2018-02-04,79.59999999999998,474.9,596.7
2018-02-05,185.29999999999998,790.0999999999999,1074.5
2018-02-06,145.8,857.4,1081.0
2018-02-07,743.7,1083.5,2223.8
2018-02-08,1762.1,1686.2999999999997,4388.099999999999
2018-02-09,230.49999999999991,774.7000000000002,1127.9000000000003
2018-02-10,968.5,1252.2,2737.2000000000003
2018-02-11,185.00000000000006,519.6,802.8999999999999
2018-02-12,843.0000000000001,1365.4999999999998,2658.2000000000003
2018-02-13,283.7,731.0999999999999,1166.2
2018-02-14,773.3,925.4,2111.1999999999994
2018-02-15,512.8,1053.9,1840.1999999999998
2018-02-16,1477.2999999999997,1620.4999999999998,3885.8000000000006
2018-02-17,1440.0,1659.1000000000001,3867.1
2018-02-18,671.1000000000001,1170.5,2199.9
2018-02-19,762.6999999999998,1134.3999999999999,2303.8
2018-02-20,89.35000000000001,492.45,629.7499999999999
2018-02-21,238.39999999999998,851.8000000000001,1217.6000000000001
2018-02-22,162.20000000000002,905.9999999999998,1154.3000000000002
2018-02-23,451.70000000000005,1123.2,1815.8000000000002
2018-02-24,242.4,813.9,1185.6
2018-02-25,138.8,496.8,709.8
