MeasurementDateGMT,Lewisham - Loampit Vale: Nitric Oxide (ug/m3),Lewisham - Loampit Vale: Nitrogen Dioxide (ug/m3),Lewisham - Loampit Vale: Oxides of Nitrogen (ug/m3),Lewisham - Loampit Vale: PM10 Particulate (ug/m3)
2018-01-01,395.70000000000005,747.0000000000001,1354.0,198.0
2018-01-02,442.1999999999998,844.3000000000001,1522.4,288.0
2018-01-03,518.5,645.2,1439.9,501.0
2018-01-04,779.0999999999999,947.6999999999999,2142.7,226.0
2018-01-05,944.9,1253.7,2702.3,233.0
2018-01-06,1710.1000000000001,1476.8000000000002,4098.700000000001,426.0
2018-01-07,600.5,776.6,1697.5,410.0
2018-01-08,1415.8000000000002,1052.4,3223.6,390.0
2018-01-09,1513.0,1112.8999999999999,3432.0000000000005,621.0
2018-01-10,2090.9,1520.0500000000002,4726.399999999999,397.0
2018-01-11,3286.2,1387.1000000000001,6426.000000000001,556.0
2018-01-12,1187.9000000000005,1231.4999999999998,3053.2,503.0
2018-01-13,624.1999999999999,960.3999999999999,1917.7,494.0
2018-01-14,986.2,1174.4999999999998,2686.7,520.0
2018-01-15,479.0,729.8,1463.8,181.0
2018-01-16,652.9,853.0000000000002,1853.8000000000002,215.0
2018-01-17,673.4,883.2000000000002,1916.0999999999997,286.0
2018-01-18,899.1,1094.3,2472.5999999999995,252.0
2018-01-19,1231.4000000000003,1325.5000000000002,3214.4,263.0
2018-01-20,1339.1,1634.9999999999998,3687.8999999999996,281.0
2018-01-21,833.9,1296.9,2575.6000000000004,358.0
2018-01-22,1350.3,1484.1,3554.0999999999995,373.0
2018-01-23,461.69999999999993,677.8,1385.8999999999996,101.0
2018-01-24,453.3999999999999,648.4,1343.1999999999998,118.0
2018-01-25,461.1,871.0000000000001,1578.3999999999996,300.0
2018-01-26,2369.8999999999996,1654.2999999999995,5288.099999999999,582.0
2018-01-27,600.0,927.5,1847.6,224.0
2018-01-28,783.7,818.4,2020.2000000000003,71.0
2018-01-29,913.2,1028.5,2428.6,195.0
2018-01-30,1468.6999999999996,1407.8999999999999,3659.5,357.0
2018-01-31,919.5999999999999,988.6,2398.3,135.0
2018-02-01,1098.5,1238.3999999999999,2923.1000000000004,409.0
2018-02-02,1458.2999999999997,1325.6,3561.6,583.0
2018-02-03,1493.1,1621.3999999999999,3910.5,311.0
2018-02-04,682.3000000000001,782.5,1828.9999999999998,367.0
2018-02-05,1251.1000000000001,1234.5,3152.7000000000003,618.0
2018-02-06,1782.6999999999998,1515.0,4248.8,750.0
2018-02-07,2112.7,1741.1,4980.300000000001,844.0
2018-02-08,929.8499999999998,1324.8500000000001,2750.5499999999993,411.0
2018-02-09,912.2,1211.7000000000003,2610.7,341.0
2018-02-10,527.0,921.4000000000001,1729.7999999999997,179.0
2018-02-11,594.5000000000001,861.4,1772.8000000000002,222.0
2018-02-12,913.7999999999998,1242.5,2643.4,247.0
2018-02-13,777.8,1182.5,2375.2000000000003,238.0
2018-02-14,605.4,1046.4,1974.9999999999998,254.0
2018-02-15,905.3000000000001,1195.0,2583.3999999999996,315.0
2018-02-16,1009.0,1576.4,3123.6000000000004,372.0
2018-02-17,1268.6,1712.4,3657.2999999999993,444.0
2018-02-18,523.4000000000001,1259.8000000000002,2061.8999999999996,368.0
2018-02-19,1477.7999999999997,1445.6999999999996,3712.1,355.0
2018-02-20,1142.4499999999998,1123.7,2875.0500000000006,266.0
