MeasurementDateGMT,Merton - Merton Road: PM10 Particulate (ug/m3)
2018-01-01,864.0
2018-01-02,864.0
2018-01-03,864.0
2018-01-04,864.0
2018-01-05,864.0
2018-01-06,864.0
2018-01-07,864.0
2018-01-08,864.0
2018-01-09,864.0
2018-01-10,864.0
2018-01-11,864.0
2018-01-12,864.0
2018-01-13,864.0
2018-01-14,864.0
2018-01-15,864.0
2018-01-16,864.0
2018-01-17,864.0
2018-01-18,864.0
2018-01-19,864.0
2018-01-20,864.0
2018-01-21,864.0
2018-01-22,864.0
2018-01-23,864.0
2018-01-24,864.0
2018-01-25,864.0
2018-01-26,864.0
2018-01-27,864.0
2018-01-28,864.0
2018-01-29,864.0
2018-01-30,864.0
2018-01-31,864.0
2018-02-01,864.0
2018-02-02,864.0
2018-02-03,864.0
2018-02-04,864.0
2018-02-05,864.0
2018-02-06,864.0
2018-02-07,864.0
2018-02-08,752.0
2018-02-09,427.0
2018-02-10,459.0
2018-02-11,228.0
2018-02-12,512.0
2018-02-13,459.0
2018-02-14,534.0
2018-02-15,549.0
2018-02-16,798.0
2018-02-17,893.0
2018-02-18,788.0
2018-02-19,551.0
2018-02-20,418.0
2018-02-21,1206.0
2018-02-22,801.0
2018-02-23,817.0
2018-02-24,854.0
2018-02-25,503.0
2018-02-26,615.0
2018-02-27,1109.0
2018-02-28,875.0
2018-03-01,1002.0
2018-03-02,1170.0
2018-03-03,1784.5
2018-03-04,654.0
2018-03-05,755.0
2018-03-06,515.0
2018-03-07,528.0
2018-03-08,390.0
2018-03-09,801.0
2018-03-10,816.0
2018-03-11,843.0
2018-03-12,332.0
2018-03-13,578.0
2018-03-14,650.0
2018-03-15,641.0
2018-03-16,852.0
2018-03-17,644.0
2018-03-18,894.0
2018-03-19,886.0
2018-03-20,1013.0
2018-03-21,690.0
2018-03-22,566.0
2018-03-23,643.0
2018-03-24,1119.0
2018-03-25,1063.0
2018-03-26,644.0
2018-03-27,387.0
2018-03-28,363.0
2018-03-29,684.0
2018-03-30,605.4311377245508
2018-03-31,588.1437125748504
2018-04-01,708.8622754491018
2018-04-02,829.5808383233533
2018-04-03,950.2994011976047
2018-04-04,1071.0179640718563
2018-04-05,1191.7365269461077
2018-04-06,1142.9281437125746
2018-04-07,912.5
2018-04-08,673.0
2018-04-09,854.0
2018-04-10,1294.0
2018-04-11,1643.0
2018-04-12,1367.0
2018-04-13,969.0
2018-04-14,1048.0
2018-04-15,876.0
2018-04-16,751.0
2018-04-17,647.0
2018-04-18,742.0
2018-04-19,1064.0
2018-04-20,860.0
2018-04-21,1126.0
2018-04-22,813.0
2018-04-23,482.0
2018-04-24,466.0
2018-04-25,447.0
2018-04-26,582.0
2018-04-27,785.0
2018-04-28,594.0
2018-04-29,534.0
2018-04-30,717.0
2018-05-01,558.0
2018-05-02,461.0
2018-05-03,681.0
2018-05-04,813.0
2018-05-05,960.0
2018-05-06,1120.0
2018-05-07,1244.0
2018-05-08,892.5
2018-05-09,659.0
2018-05-10,632.0
2018-05-11,813.0
2018-05-12,633.5
2018-05-13,753.0
2018-05-14,624.0
2018-05-15,684.5
2018-05-16,858.0
2018-05-17,930.0
2018-05-18,822.0
2018-05-19,868.0
2018-05-20,828.0
2018-05-21,1136.0
2018-05-22,851.0
2018-05-23,882.0
2018-05-24,1528.0
2018-05-25,1020.0
2018-05-26,1326.0
2018-05-27,1353.0
2018-05-28,1027.0
2018-05-29,908.0
2018-05-30,1010.0
2018-05-31,1356.0
2018-06-01,812.0
2018-06-02,497.0
2018-06-03,517.0
2018-06-04,732.0
2018-06-05,700.0
2018-06-06,970.0
2018-06-07,865.0
2018-06-08,977.9417578538652
2018-06-09,1031.428168019767
2018-06-10,1030.8182139075184
2018-06-11,1030.20825979527
2018-06-12,1029.5983056830216
2018-06-13,1028.988351570773
2018-06-14,1028.3783974585244
2018-06-15,1027.7684433462762
2018-06-16,1027.1584892340275
2018-06-17,1026.548535121779
2018-06-18,1025.9385810095305
2018-06-19,1025.328626897282
2018-06-20,1024.7186727850335
2018-06-21,1024.108718672785
2018-06-22,1023.4987645605365
2018-06-23,1022.8888104482882
2018-06-24,1022.2788563360396
2018-06-25,1021.668902223791
2018-06-26,1021.0589481115426
2018-06-27,1020.448993999294
