MeasurementDateGMT,Merton - Morden Civic Centre 2: Nitric Oxide (ug/m3),Merton - Morden Civic Centre 2: Nitrogen Dioxide (ug/m3),Merton - Morden Civic Centre 2: Oxides of Nitrogen (ug/m3)
2018-01-01,506.00000000000006,502.90000000000015,1278.5000000000002
2018-01-02,1043.5,857.0,2457.2000000000007
2018-01-03,453.2,337.7,1033.1
2018-01-04,743.5,702.6999999999999,1842.9999999999998
2018-01-05,1396.8999999999999,1185.8999999999999,3327.5
2018-01-06,868.0000000000001,988.7000000000002,2320.0
2018-01-07,253.70000000000002,409.40000000000003,798.5
2018-01-08,686.5000000000001,672.7,1725.5
2018-01-09,2237.3999999999996,1155.1999999999998,4586.0999999999985
2018-01-10,2552.4,1340.3999999999999,5253.6
2018-01-11,2135.9999999999995,1034.1,4310.0
2018-01-12,2357.2999999999997,1392.3999999999999,5006.9
2018-01-13,871.5000000000001,728.6,2065.1
2018-01-14,984.5999999999999,883.7999999999998,2393.3999999999996
2018-01-15,678.2000000000002,602.6999999999998,1642.7999999999997
2018-01-16,589.3000000000001,586.9,1490.7
2018-01-17,615.4,627.4000000000001,1570.8000000000002
2018-01-18,671.7,693.1000000000001,1722.7000000000003
2018-01-19,909.2,960.5999999999999,2354.3
2018-01-20,704.9000000000002,1180.3000000000002,2261.2
2018-01-21,984.7000000000002,967.8000000000001,2477.600000000001
2018-01-22,1017.1999999999999,1044.4,2603.9
2018-01-23,989.5,900.1,2417.2999999999997
2018-01-24,912.3000000000001,904.9,2304.2000000000003
2018-01-25,1465.3999999999999,1409.9999999999998,3656.9
2018-01-26,1440.5999999999997,1334.8000000000002,3543.2999999999997
2018-01-27,907.7999999999998,1049.6000000000001,2441.7
2018-01-28,405.4,348.79999999999995,970.3000000000002
2018-01-29,873.3000000000001,895.1000000000001,2234.0
2018-01-30,3361.600000000001,1896.8999999999994,7051.299999999999
2018-01-31,627.8,719.4000000000001,1682.2
2018-02-01,517.8,711.1000000000001,1505.3000000000004
2018-02-02,832.5,928.2,2204.5000000000005
2018-02-03,1696.1,1658.8000000000002,4191.7
2018-02-04,165.5,505.70000000000005,759.0999999999999
2018-02-05,414.99999999999994,853.0000000000001,1489.3999999999999
2018-02-06,345.7000000000001,954.4,1484.7
2018-02-07,924.6,1241.5,2659.4999999999995
2018-02-08,1872.5,1604.6000000000001,4475.599999999999
2018-02-09,605.1,894.6000000000003,1822.5
2018-02-10,920.4999999999998,1043.1,2455.0999999999995
2018-02-11,467.5,523.2,1240.2
2018-02-12,1070.1000000000001,1220.5,2861.4
2018-02-13,836.0,1057.1,2338.9999999999995
2018-02-14,1635.7999999999997,1296.1,3804.2000000000007
2018-02-15,713.4,922.5,2016.4000000000003
2018-02-16,1833.3,1662.5000000000002,4473.749999999999
2018-02-17,2084.7000000000003,1886.6999999999998,5083.3
2018-02-18,1484.8000000000002,1568.2000000000003,3845.3000000000006
2018-02-19,1018.3000000000001,1069.9999999999998,2631.5000000000005
2018-02-20,280.2000000000001,567.2999999999998,996.5
2018-02-21,662.4,1086.2999999999997,2102.2000000000003
2018-02-22,722.5,1251.6,2360.1
2018-02-23,931.2999999999997,1313.6000000000001,2741.6
2018-02-24,577.9999999999999,973.5999999999999,1860.3
2018-02-25,345.3,672.6,1202.1999999999998
2018-02-26,434.6000000000001,706.8,1372.8999999999996
2018-02-27,944.6,1309.0000000000002,2757.7
2018-02-28,1014.9000000000001,1130.8999999999999,2687.6
2018-03-01,441.09999999999997,757.5999999999997,1433.7999999999997
2018-03-02,579.8,878.5,1767.9999999999998
2018-03-03,764.4000000000002,1086.0,2258.1
2018-03-04,1196.4,1207.9,3042.5000000000005
2018-03-05,1339.6999999999998,1146.9999999999998,3201.5
2018-03-06,2236.3999999999996,1666.5,5095.5
2018-03-07,1574.1,1576.0000000000002,3990.0
2018-03-08,749.6000000000001,828.8000000000001,1978.1999999999998
2018-03-09,2091.6000000000004,1589.8999999999999,4796.999999999999
