MeasurementDateGMT,Redbridge - Ley Street: Nitric Oxide (ug/m3),Redbridge - Ley Street: Nitrogen Dioxide (ug/m3),Redbridge - Ley Street: Oxides of Nitrogen (ug/m3),Redbridge - Ley Street: Ozone (ug/m3),Redbridge - Ley Street: PM10 Particulate (ug/m3),Redbridge - Ley Street: PM2.5 Particulate (ug/m3)
2018-01-01,63.69999999999999,526.9,624.5,1291.4,384.0,153.0
2018-01-02,301.9999999999999,786.5000000000001,1248.8,939.3,384.0,190.0
2018-01-03,459.94999999999993,509.49999999999994,1214.8,1445.9,504.0,265.0
2018-01-04,346.1,768.1999999999998,1298.6,1147.8,273.0,140.0
2018-01-05,666.3,1032.9,2054.9,922.2000000000002,274.0,205.0
2018-01-06,664.7,909.5,1928.2999999999993,512.0,345.0,337.0
2018-01-07,83.09999999999998,349.8,477.09999999999997,1128.8999999999999,239.0,131.0
2018-01-08,552.7,688.1999999999999,1535.8999999999996,550.6999999999999,345.0,169.2569832402235
2018-01-09,1014.5999999999999,844.1,2400.2,120.7,757.0,141.05027932960894
2018-01-10,1199.8999999999999,1221.8,3061.1999999999994,442.1,420.0,121.74301675977652
2018-01-11,1653.2,970.3999999999999,3505.2,101.99999999999999,515.0,102.43575418994413
2018-01-12,625.1,1012.4000000000002,1971.2999999999997,246.29999999999998,597.0,83.12849162011172
2018-01-13,163.60000000000002,676.5999999999999,927.6999999999999,601.7,571.0,63.821229050279335
2018-01-14,154.9,781.8999999999999,1019.6000000000001,511.1,509.0,44.513966480446925
2018-01-15,294.8999999999999,591.1999999999999,1043.6000000000001,1007.1999999999998,210.0,46.05027932960894
2018-01-16,321.80000000000007,625.1999999999999,1118.8,1274.9999999999995,189.0,109.0
2018-01-17,551.4999999999999,628.7,1474.4999999999998,1229.5,245.0,134.0
2018-01-18,627.0,691.4,1652.6,1194.8000000000002,171.0,113.0
2018-01-19,429.00000000000006,968.7,1626.4999999999998,909.0999999999999,256.0,150.0
2018-01-20,234.70000000000005,979.6,1339.4999999999998,811.6,211.0,184.0
2018-01-21,263.0,1028.1,1431.8,472.20000000000005,281.0,334.0
2018-01-22,1499.3999999999999,1092.3,3391.7,715.3999999999999,293.0,194.0
2018-01-23,135.9,569.3,776.9000000000001,1140.8,227.0,106.0
2018-01-24,138.90000000000006,470.7,683.7000000000002,1376.4999999999995,212.0,110.0
2018-01-25,186.60000000000005,780.1999999999998,1066.5,1005.0999999999999,379.0,162.0
2018-01-26,623.7,1167.6,2124.3,321.7,350.0,295.0
2018-01-27,289.79999999999995,830.7000000000002,1275.2000000000005,658.6999999999999,325.0,302.0
2018-01-28,33.699999999999996,329.29999999999995,380.70000000000005,1329.2999999999997,174.0,123.0
2018-01-29,311.99999999999994,744.2,1222.8,1044.9,188.5,141.0
2018-01-30,2181.8999999999996,1254.5000000000002,4599.900000000001,472.9,432.632911392405,339.0
2018-01-31,201.9,563.7,873.6999999999999,1327.4,414.3797468354429,139.0
2018-02-01,546.4999999999999,720.9,1558.8999999999996,971.2999999999997,341.4683544303798,181.0
2018-02-02,862.6999999999999,877.5999999999999,2200.8,626.6000000000001,331.5189873417721,231.0
2018-02-03,290.80000000000007,1171.2999999999997,1617.2000000000003,354.7,281.0,336.0
2018-02-04,87.80000000000001,404.3,539.1,1022.1999999999997,193.0,200.0
2018-02-05,543.9,612.5000000000001,1445.8000000000002,840.0,248.0,246.0
2018-02-06,755.3000000000001,890.3000000000001,2048.6,578.3000000000001,384.0,400.0
2018-02-07,1157.0000000000002,1097.1000000000001,2870.8999999999996,505.3,360.0,330.0
2018-02-08,1481.3000000000004,1097.6,3369.1,666.1,411.0,342.0
2018-02-09,477.40000000000003,857.0999999999998,1589.5499999999997,944.2000000000002,338.0,206.0
2018-02-10,181.5,910.0,1188.2999999999997,790.5,173.0,191.0
2018-02-11,27.6,351.29999999999995,393.4,1398.9,143.0,155.0
2018-02-12,202.5,935.1999999999999,1245.8000000000002,902.1999999999999,246.0,203.0
2018-02-13,60.85,424.09999999999997,516.25,1390.8999999999996,156.0,173.0
2018-02-14,80.05000000000001,475.49999999999994,597.8500000000001,1266.1000000000001,298.0,241.0
2018-02-15,63.099999999999994,754.3000000000001,850.9000000000001,1064.5,312.0,208.0
2018-02-16,539.2,1570.3500000000001,2396.65,498.09999999999997,457.5,283.5
2018-02-17,675.0000000000001,1711.8999999999999,2746.6999999999985,422.4,568.0,427.0
2018-02-18,281.40000000000003,1201.8000000000002,1633.1000000000001,776.0,466.0,410.0
2018-02-19,451.54999999999995,1135.0000000000002,1827.85,446.50000000000006,392.0,325.0
2018-02-20,870.0999999999998,1049.2,2383.3,798.0,191.0,174.0
2018-02-21,1123.95,1459.3499999999997,3182.4999999999995,559.4,859.0,866.0
2018-02-22,349.20000000000005,1034.8,1570.0999999999997,983.8000000000002,548.0,537.0
2018-02-23,334.70000000000005,1011.8999999999999,1525.1,947.4999999999999,450.0,413.0
2018-02-24,144.5,793.6999999999999,1015.6,1043.5,565.0,478.0
2018-02-25,104.7,538.1999999999999,698.9,1374.8,300.0,209.0
2018-02-26,519.5,880.6000000000001,1677.3999999999999,1345.8999999999999,226.0,131.0
2018-02-27,679.2,1207.6999999999998,2249.3999999999996,1017.9999999999998,270.5,167.0
2018-02-28,211.4,782.1,1106.1,1144.8,376.0,402.0
2018-03-01,139.6,536.6,750.7,1297.2,753.0,648.0
2018-03-02,170.99999999999997,818.5999999999998,1080.6000000000001,932.4,922.0,898.0
2018-03-03,171.10000000000002,974.1,1236.5000000000002,605.4,1614.0,1514.0
2018-03-04,151.50000000000003,1020.0000000000001,1252.1,753.9000000000001,460.0,443.0
2018-03-05,150.20000000000002,820.5000000000001,1051.0,1264.3999999999999,369.0,229.9982510687913
2018-03-06,451.05000000000007,1227.8000000000002,1919.1000000000001,989.9999999999999,323.0,263.79712397979023
2018-03-07,822.3242424242425,1872.1757575757576,3133.7424242424245,617.6999999999999,397.0,263.4613291877187
2018-03-08,303.77575757575755,1562.4242424242427,2028.0575757575755,1436.0000000000002,203.0,263.1255343956472
2018-03-09,767.6,1387.5000000000002,2565.0000000000005,444.0,491.0,262.7897396035757
2018-03-10,184.6,782.7,1066.2,873.0999999999999,1078.0,262.4539448115042
2018-03-11,255.6,1041.6000000000001,1433.3,665.4,540.0,262.1181500194327
2018-03-12,406.65,968.3000000000003,1591.9499999999998,623.1999999999998,211.0,261.78235522736117
2018-03-13,433.29999999999995,1096.8,1761.1000000000001,706.0,304.0,261.44656043528965
2018-03-14,206.19999999999996,831.9999999999999,1148.3,1209.0,334.0,261.11076564321814
2018-03-15,199.0,899.2,1204.1000000000001,1043.7,365.0,260.77497085114663
2018-03-16,216.60000000000005,848.4000000000001,1180.7,1243.9,482.0,260.4391760590751
2018-03-17,143.69999999999996,446.99999999999994,667.3,1255.3999999999996,358.0,260.1033812670036
2018-03-18,135.1,417.6,624.8,1420.1000000000001,554.0,259.7675864749321
2018-03-19,111.25000000000001,385.89999999999986,556.35,1617.9,379.0,259.4317916828606
2018-03-20,242.20875,605.1687499999999,977.5337499999998,1373.1,319.0,259.0959968907891
2018-03-21,395.115,669.675,1276.815,849.6,354.0,258.76020209871757
2018-03-22,509.59499999999997,622.875,1405.6950000000002,1349.2999999999997,435.0,258.42440730664606
2018-03-23,432.03124999999994,675.1312500000001,1338.5062500000001,1814.1,392.0,258.08861251457455
2018-03-24,200.7,862.5000000000001,1170.2,673.8000000000001,685.0,257.75281772250304
2018-03-25,154.70000000000002,922.5,1159.5,854.3000000000002,632.0,257.41702293043153
2018-03-26,408.79999999999995,1137.7,1764.3999999999996,1062.8999999999999,310.0,257.08122813836
2018-03-27,290.3,770.9,1216.2999999999997,1268.2999999999997,200.0,256.7454333462885
2018-03-28,273.4,1183.6999999999998,1603.0000000000005,975.8000000000002,210.0,256.409638554217
2018-03-29,429.8999999999999,988.9000000000001,1647.8,1133.9,258.5,256.0738437621455
2018-03-30,145.3,803.1999999999999,1026.5,1175.1999999999998,303.0,255.73804897007392
2018-03-31,100.6,575.8000000000001,729.3,1182.8999999999999,221.0,255.4022541780024
2018-04-01,88.60000000000001,576.3,711.6999999999999,1310.1,277.0,255.0664593859309
2018-04-02,92.7,566.3000000000001,708.3999999999999,1371.4000000000003,336.0,254.7306645938594
2018-04-03,94.9,500.20000000000005,646.3,1612.3,379.0,254.39486980178788
2018-04-04,88.40000000000003,485.8000000000001,621.1999999999999,1722.9,347.0,254.05907500971637
