MeasurementDateGMT,Richmond Upon Thames - Chertsey Road: Nitric Oxide (ug/m3),Richmond Upon Thames - Chertsey Road: Nitrogen Dioxide (ug/m3),Richmond Upon Thames - Chertsey Road: Oxides of Nitrogen (ug/m3),Richmond Upon Thames - Chertsey Road: PM10 Particulate (ug/m3)
2018-01-01,203.20000000000002,526.4,837.1999999999999,255.69999999999996
2018-01-02,177.00000000000006,506.7,777.7,372.6
2018-01-03,234.90000000000003,334.40000000000003,694.3,561.1
2018-01-04,366.19999999999993,576.5999999999999,1138.3,316.0
2018-01-05,936.7,929.6,2366.1,416.9
2018-01-06,1231.8999999999996,1197.5,3086.2,438.5
2018-01-07,299.5,501.40000000000003,960.8000000000001,406.3
2018-01-08,828.4999999999999,816.0000000000001,2086.3,452.59999999999997
2018-01-09,871.4999999999999,854.8,2190.7000000000003,690.8
2018-01-10,2099.7,1373.1000000000001,4592.4,522.4
2018-01-11,2680.2000000000007,1291.6,5400.5,607.1
2018-01-12,651.5999999999999,835.7,1835.1999999999998,624.6999999999999
2018-01-13,99.10000000000001,477.5,629.0,519.0
2018-01-14,452.7,836.0,1530.5000000000002,653.3000000000001
2018-01-15,285.99999999999994,524.3,963.0000000000002,257.50000000000006
2018-01-16,447.2,605.9,1291.1,306.4
2018-01-17,423.4,527.6999999999999,1176.9999999999995,376.9
2018-01-18,576.3,745.3,1629.3,344.9
2018-01-19,690.3999999999999,948.7999999999997,2008.1999999999998,399.60000000000014
2018-01-20,838.0999999999998,1298.7000000000003,2583.5,248.1
2018-01-21,433.7,925.1999999999999,1590.6,320.4
2018-01-22,1076.3,1138.3000000000002,2788.8999999999996,444.7
2018-01-23,104.5,321.5,481.70000000000005,215.7
2018-01-24,193.10000000000002,380.59999999999997,676.5,264.70000000000005
2018-01-25,218.89999999999998,539.4999999999999,875.4,436.49999999999994
2018-01-26,2602.4,1616.4,5606.9,737.1
2018-01-27,185.40000000000003,606.3,890.4,320.40000000000003
2018-01-28,170.20000000000002,396.70000000000005,657.8,218.70000000000002
2018-01-29,625.0,883.3,1841.6000000000001,330.70000000000005
2018-01-30,1643.1999999999998,1153.5,3673.1,518.8000000000001
2018-01-31,459.09999999999997,720.5999999999999,1424.2000000000003,322.6
2018-02-01,603.2999999999998,780.6,1705.7,433.2000000000001
2018-02-02,1171.6,1123.7,2920.6,665.0999999999999
2018-02-03,502.20000000000005,1112.5,1882.6,332.2
2018-02-04,332.20000000000005,740.0000000000002,1249.8000000000002,310.6
2018-02-05,1193.1,1206.6999999999998,3035.7999999999997,733.0000000000001
2018-02-06,1420.3,1462.25,3640.3500000000004,1009.9
2018-02-07,1904.0999999999995,1590.4999999999998,4510.000000000001,1105.8
2018-02-08,1452.2999999999997,1110.3000000000002,3336.600000000001,550.6
2018-02-09,631.5999999999999,974.0000000000001,1942.5,391.40000000000003
2018-02-10,262.9000000000001,650.5,1053.1,234.3
2018-02-11,248.70000000000002,574.3000000000001,955.4000000000001,241.70000000000002
2018-02-12,549.9,813.4999999999999,1656.8999999999999,401.6
2018-02-13,394.2,656.8000000000001,1261.1000000000001,238.0
2018-02-14,445.5999999999999,713.8000000000001,1397.0000000000002,270.2000000000001
2018-02-15,488.1999999999999,840.7,1589.0000000000002,446.8
2018-02-16,925.6999999999999,1162.6000000000001,2581.2,547.6999999999999
2018-02-17,1022.4000000000002,1127.6000000000001,2695.4,596.5
2018-02-18,616.4000000000001,793.5,1738.4999999999998,417.8999999999999
2018-02-19,917.6,968.1000000000001,2375.2,470.9
2018-02-20,832.8,904.4000000000002,2181.2,436.90000000000003
2018-02-21,1643.4,1373.6000000000001,3893.0,1169.4
2018-02-22,947.6000000000003,1364.6999999999998,2818.0,933.2
2018-02-23,1099.1000000000001,1534.3999999999996,3219.5,816.2000000000002
2018-02-24,576.6999999999999,1264.3,2149.0999999999995,907.4999999999999
2018-02-25,303.6,873.6999999999999,1339.8,613.9
2018-02-26,941.8000000000002,1147.9999999999998,2591.6000000000004,937.5
2018-02-27,1647.6,1798.3000000000002,4324.499999999999,908.4000000000001
2018-02-28,814.8,1242.1,2491.9999999999995,767.7999999999997
2018-03-01,508.3999999999999,1002.1,1781.4,984.5
2018-03-02,545.6,1160.5,1996.9,1018.6000000000001
2018-03-03,581.5,1339.1000000000001,2230.2,1428.9999999999998
2018-03-04,371.4000000000001,878.0999999999999,1447.5,704.8000000000001
2018-03-05,393.4,686.7999999999998,1289.5000000000002,499.7000000000001
2018-03-06,508.5,923.4,1702.8,420.0999999999999
2018-03-07,976.6,1312.8999999999996,2810.4000000000005,522.8999999999999
2018-03-08,295.9,585.1,1039.2,296.49999999999994
2018-03-09,1085.85,1126.8,2791.55,480.09999999999997
2018-03-10,314.20000000000016,460.7,942.4000000000003,583.7
2018-03-11,866.8000000000001,1368.5000000000002,2697.3,646.8000000000001
2018-03-12,1258.3,1267.2,3196.899999999999,346.6000000000001
2018-03-13,917.9999999999999,1041.4,2448.8999999999996,512.4
2018-03-14,544.3999999999999,605.8,1440.1000000000001,568.3000000000001
2018-03-15,441.09999999999997,628.9000000000001,1305.3000000000002,446.3
2018-03-16,1211.8999999999999,1150.7,3008.7,597.5000000000001
2018-03-17,531.5999999999999,694.3000000000001,1509.3999999999996,490.4
2018-03-18,335.99999999999994,709.4,1224.7000000000003,732.8000000000001
2018-03-19,622.0000000000001,861.3,1815.3,793.6999999999999
2018-03-20,811.5,1217.5,2462.0000000000005,711.7
2018-03-21,1110.9000000000003,1442.6499999999999,3146.0,828.8
2018-03-22,585.0,836.9,1734.3000000000002,634.6
2018-03-23,326.0,535.0,1034.9,639.2
2018-03-24,668.7,1068.5,2093.3999999999996,857.4999999999999
2018-03-25,830.0999999999999,1293.3999999999999,2565.7000000000003,1105.8000000000002
2018-03-26,988.1999999999998,1395.3999999999999,2910.6,765.3
2018-03-27,635.0,827.0500000000001,1800.3999999999999,475.1000000000001
2018-03-28,748.0,1144.8000000000002,2292.1000000000004,306.59999999999997
2018-03-29,919.0,874.6999999999998,2283.4999999999995,530.0
2018-03-30,523.1999999999999,948.3000000000002,1751.3,281.5
2018-03-31,309.8,541.4000000000001,1016.7,215.50000000000003
2018-04-01,235.79999999999998,598.1,960.1,369.0
2018-04-02,28.900000000000002,254.9,299.20000000000005,315.70000000000005
2018-04-03,226.3,376.4,722.6000000000001,347.3
2018-04-04,508.4000000000002,440.2,1220.2,448.79999999999995
2018-04-05,592.7499999999999,607.85,1517.1000000000006,319.79999999999995
2018-04-06,941.6,929.4000000000001,2373.3,743.3
2018-04-07,375.5999999999999,793.5000000000002,1369.6,627.1000000000001
2018-04-08,490.5,812.7999999999998,1564.7,481.20000000000005
2018-04-09,1007.2999999999997,1237.8000000000002,2783.5999999999995,611.6
2018-04-10,1060.7,1513.2,3139.5000000000005,853.4000000000001
2018-04-11,1138.6,1188.3,2934.7,1111.3000000000002
2018-04-12,1126.4,1052.1000000000004,2779.2,955.8
2018-04-13,706.0000000000001,842.0999999999999,1924.5,637.5999999999999
2018-04-14,427.79999999999995,769.3000000000002,1425.3000000000002,826.1
2018-04-15,91.69999999999999,406.3999999999999,547.3000000000001,613.9
2018-04-16,299.34999999999997,528.35,987.3,544.25
2018-04-17,235.1,378.40000000000003,738.9999999999999,596.2
2018-04-18,732.8,994.1999999999998,2117.9,801.2
2018-04-19,835.6000000000003,1425.2999999999997,2706.6999999999994,1114.8999999999999
2018-04-20,1053.9876712328767,1369.3506849315067,2984.546575342466,1025.0616438356162
2018-04-21,906.0986301369862,1329.9945205479453,2717.227397260274,1056.7068493150687
2018-04-22,698.5808219178083,1075.923287671233,2144.383561643836,942.2958904109588
2018-04-23,403.23287671232885,721.1315068493152,1337.4424657534246,675.3356164383559
2018-04-24,356.8500000000001,499.79999999999995,1046.8000000000002,547.2999999999998
2018-04-25,373.5000000000001,572.0,1144.6999999999996,378.09999999999997
2018-04-26,331.2,535.3000000000001,1042.7,424.49999999999983
2018-04-27,608.3000000000001,921.0000000000001,1853.8000000000002,417.1
2018-04-28,472.99999999999994,892.4000000000001,1617.5999999999997,297.99999999999994
2018-04-29,211.89999999999992,578.0000000000001,902.2999999999998,285.7000000000001
2018-04-30,526.8,921.7999999999998,1729.8999999999999,393.20000000000005
2018-05-01,434.2,636.4999999999998,1302.3,351.9
2018-05-02,411.4,684.7999999999998,1315.4999999999998,277.79999999999995
2018-05-03,861.2,969.9,2290.1999999999994,454.7
2018-05-04,701.4499999999999,1037.65,2113.5,605.2
2018-05-05,488.79999999999995,1137.8999999999999,1887.3999999999996,650.2999999999998
2018-05-06,283.30000000000007,1259.6000000000004,1694.1000000000001,912.3000000000001
2018-05-07,345.8285714285714,1188.2714285714285,1720.65,968.5422535211267
2018-05-08,231.77142857142857,652.6285714285714,1008.5999999999999,746.9239436619719
2018-05-09,307.4742857142856,657.5657142857144,1129.56,637.4028169014084
2018-05-10,423.2757142857143,766.0342857142857,1415.6399999999999,506.53098591549286
2018-05-11,373.20000000000005,493.7,1065.8,607.5
2018-05-12,306.09999999999997,682.3000000000001,1151.5,405.6000000000001
2018-05-13,300.3,765.8,1226.4,488.2
2018-05-14,508.6,896.5,1676.0,394.7
2018-05-15,488.3,956.9,1705.5000000000002,455.40000000000003
2018-05-16,426.3,678.6999999999999,1332.5000000000002,540.5999999999999
2018-05-17,540.5000000000001,688.9000000000001,1517.9,572.1000000000001
2018-05-18,697.2500000000001,998.0000000000001,2066.85,606.3000000000001
2018-05-19,271.6,667.9000000000001,1084.5999999999997,584.1999999999999
2018-05-20,140.39999999999998,471.9,686.9999999999998,607.1
2018-05-21,656.1,1271.6999999999998,2277.9,885.2
2018-05-22,469.70000000000005,821.3,1543.0000000000002,762.2
2018-05-23,438.8999999999999,764.2,1436.7000000000003,715.4000000000001
2018-05-24,825.5,1077.3,2342.8999999999996,851.9000000000001
2018-05-25,823.1999999999999,1195.3999999999999,2457.4,781.5
2018-05-26,245.00000000000006,793.1,1168.6000000000001,1006.6000000000001
2018-05-27,164.61176470588236,492.45000000000005,745.4382352941176,624.7201612903227
2018-05-28,143.3344537815126,433.8,655.094117647059,249.45483870967735
2018-05-29,198.51428571428573,520.2,826.2000000000002,255.49354838709672
2018-05-30,253.69411764705882,606.6,997.3058823529412,261.53225806451616
2018-05-31,308.87394957983196,693.0,1168.4117647058822,267.57096774193553
2018-06-01,364.05378151260504,779.4000000000001,1339.5176470588237,282.0782258064516
2018-06-02,419.2336134453781,865.8,1510.6235294117648,303.75000000000006
2018-06-03,474.4134453781513,952.2,1681.729411764706,368.7454545454546
2018-06-04,529.5932773109243,1038.6000000000001,1852.8352941176472,486.4462809917356
2018-06-05,584.7731092436975,1125.0,2023.9411764705885,544.5223140495868
