MeasurementDateGMT,London Teddington Bushy Park : PM10 Particulate (ug/m3),London Teddington Bushy Park : PM2.5 Particulate (ug/m3)
2018-01-01,300.0,103.89999999999999
2018-01-02,300.0,124.60000000000002
2018-01-03,300.0,223.90000000000003
2018-01-04,300.0,130.10000000000002
2018-01-05,300.0,140.2
2018-01-06,300.0,364.8
2018-01-07,300.0,119.50000000000001
2018-01-08,300.0,292.1
2018-01-09,300.0,600.3
2018-01-10,300.0,315.5
2018-01-11,300.0,608.0
2018-01-12,300.0,472.5
2018-01-13,300.0,430.3
2018-01-14,300.0,522.6999999999999
2018-01-15,300.0,120.99999999999999
2018-01-16,300.0,94.39999999999998
2018-01-17,300.0,115.6
2018-01-18,300.0,109.30000000000001
2018-01-19,300.0,146.70000000000005
2018-01-20,300.0,156.6
2018-01-21,300.0,231.6
2018-01-22,300.0,168.2
2018-01-23,300.0,114.3
2018-01-24,300.0,79.5
2018-01-25,300.0,108.29999999999998
2018-01-26,300.0,316.3
2018-01-27,300.0,242.69999999999996
2018-01-28,300.0,73.4
2018-01-29,300.0,126.89999999999998
2018-01-30,300.0,232.39999999999998
2018-01-31,300.0,85.7
2018-02-01,300.0,125.59999999999998
2018-02-02,300.0,184.6
2018-02-03,300.0,256.59999999999997
2018-02-04,300.0,159.2
2018-02-05,300.0,219.10000000000002
2018-02-06,300.0,395.69999999999993
2018-02-07,300.0,284.1000000000001
2018-02-08,300.0,267.09999999999997
2018-02-09,300.0,105.60000000000001
2018-02-10,300.0,101.39999999999999
2018-02-11,300.0,86.99999999999999
2018-02-12,300.0,126.6
2018-02-13,300.0,137.8
2018-02-14,300.0,120.09999999999997
2018-02-15,300.0,135.0
2018-02-16,300.0,158.7
2018-02-17,300.0,298.8
2018-02-18,300.0,303.90000000000003
2018-02-19,300.0,393.34999999999997
2018-02-20,300.0,228.09999999999994
2018-02-21,300.0,835.1000000000001
2018-02-22,300.0,529.4
2018-02-23,300.0,514.3
2018-02-24,300.0,584.5000000000001
2018-02-25,300.0,271.99999999999994
2018-02-26,300.0,167.60000000000002
2018-02-27,300.0,239.8
2018-02-28,300.0,447.20000000000005
2018-03-01,300.0,747.5000000000001
2018-03-02,300.0,975.3999999999999
2018-03-03,300.0,1554.7999999999997
2018-03-04,300.0,378.8
2018-03-05,300.0,171.5
2018-03-06,300.0,182.70000000000002
2018-03-07,300.0,293.4
2018-03-08,300.0,91.9
2018-03-09,300.0,285.5032967032967
2018-03-10,300.0,434.5978021978022
2018-03-11,300.0,488.4
2018-03-12,300.0,542.2021978021978
2018-03-13,300.0,367.99670329670334
2018-03-14,300.0,171.8
2018-03-15,300.0,145.0
2018-03-16,300.0,202.8
2018-03-17,300.0,340.2
2018-03-18,300.0,498.29999999999995
2018-03-19,300.0,313.3000000000001
2018-03-20,300.0,162.70000000000002
2018-03-21,300.0,313.29999999999995
2018-03-22,300.0,199.00000000000003
2018-03-23,300.0,180.8
2018-03-24,300.0,572.6000000000001
2018-03-25,300.0,724.3999999999999
2018-03-26,300.0,292.5
2018-03-27,300.0,119.1
2018-03-28,300.0,127.30000000000001
2018-03-29,300.0,103.99999999999999
2018-03-30,300.0,159.4
2018-03-31,300.0,167.6
2018-04-01,300.0,216.99999999999997
2018-04-02,300.0,176.09999999999997
2018-04-03,300.0,153.6
2018-04-04,300.0,159.3
2018-04-05,300.0,96.39999999999999
2018-04-06,300.0,260.3
2018-04-07,300.0,398.79999999999995
2018-04-08,300.0,365.70000000000005
2018-04-09,300.0,523.0
2018-04-10,300.0,650.8000000000002
