MeasurementDateGMT,Richmond Upon Thames - Castelnau: Nitric Oxide (ug/m3),Richmond Upon Thames - Castelnau: Nitrogen Dioxide (ug/m3),Richmond Upon Thames - Castelnau: Oxides of Nitrogen (ug/m3),Richmond Upon Thames - Castelnau: PM10 Particulate (ug/m3)
2018-01-01,198.69999999999996,460.99999999999994,765.2999999999998,228.10000000000005
2018-01-02,603.6999999999999,693.6999999999999,1619.2999999999997,440.40000000000003
2018-01-03,79.10000000000001,283.2,404.19999999999993,523.3
2018-01-04,276.59999999999997,559.3,983.4999999999999,308.4000000000001
2018-01-05,707.3000000000001,873.8000000000001,1958.1,286.0999999999999
2018-01-06,822.0000000000001,1135.6,2396.2,436.79999999999995
2018-01-07,151.1,464.79999999999995,696.1,307.4
2018-01-08,263.0,626.3000000000001,1029.6,416.59999999999997
2018-01-09,1326.8000000000004,942.0999999999999,2976.7,714.0999999999999
2018-01-10,1346.6,1139.5,3204.5,456.5
2018-01-11,1712.6000000000006,1057.6999999999998,3683.7000000000003,566.4000000000001
2018-01-12,1187.1,996.0999999999999,2816.0000000000005,572.5000000000001
2018-01-13,278.09999999999997,553.9000000000001,980.6000000000001,513.4000000000001
2018-01-14,333.7,704.3000000000001,1215.8000000000002,568.8
2018-01-15,226.7,500.90000000000003,848.0999999999999,245.00000000000003
2018-01-16,105.1,389.1,550.4999999999999,172.29999999999995
2018-01-17,137.7,419.49999999999994,630.6,264.59999999999997
2018-01-18,137.29999999999998,511.70000000000005,721.8999999999999,174.6
2018-01-19,291.09999999999997,660.8,1106.9999999999998,256.90000000000003
2018-01-20,436.40000000000003,1066.1,1733.5,180.49999999999997
2018-01-21,476.8999999999999,931.6,1662.6,316.20000000000005
2018-01-22,355.70000000000005,817.3,1363.0,268.40000000000003
2018-01-23,221.49999999999997,440.70000000000005,780.5999999999999,170.6
2018-01-24,151.99999999999997,398.1,631.5,155.80000000000004
2018-01-25,484.80000000000007,783.1,1526.4,369.7999999999999
2018-01-26,1133.3000000000002,1270.4,3008.0,399.0
2018-01-27,349.1000000000001,714.4000000000002,1249.9,306.09999999999997
2018-01-28,42.7,263.2,328.9,102.5
2018-01-29,254.79999999999998,645.4,1036.0,162.39999999999998
2018-01-30,1155.3999999999999,1184.1000000000004,2955.5000000000005,426.25000000000006
2018-01-31,94.59999999999998,453.3,599.0000000000001,241.9
2018-02-01,337.40000000000003,644.0,1161.3,279.79999999999995
2018-02-02,566.7,910.2999999999998,1778.6999999999998,423.4000000000001
2018-02-03,647.4999999999999,1260.0,2253.1,327.6
2018-02-04,247.9,628.6999999999999,1008.5,262.6
2018-02-05,449.79999999999995,811.1000000000001,1508.6,368.90000000000003
2018-02-06,627.6999999999999,1052.8,2015.4000000000005,558.8000000000001
2018-02-07,739.1,1217.4000000000003,2350.5,562.3000000000001
2018-02-08,895.9999999999998,1091.7000000000003,2464.9999999999995,441.50000000000006
2018-02-09,321.20000000000005,678.4,1170.1999999999998,283.59999999999997
2018-02-10,339.99999999999994,718.4999999999999,1239.7,256.50000000000006
2018-02-11,105.60000000000001,336.6,497.99999999999994,144.6
2018-02-12,334.4,775.1999999999999,1287.6999999999998,298.49999999999994
2018-02-13,275.40000000000003,633.5,1055.7,219.80000000000007
2018-02-14,652.0000000000001,803.6999999999999,1803.2999999999997,302.1
2018-02-15,199.10000000000002,632.1999999999999,937.8,326.00000000000006
2018-02-16,875.4000000000001,1141.9999999999998,2483.8999999999996,493.30000000000007
2018-02-17,1186.7,1312.6000000000001,3131.9999999999995,657.2
2018-02-18,701.3000000000002,974.0,2049.7999999999997,544.6999999999999
2018-02-19,556.5933333333334,879.4200000000001,1732.5133333333333,424.6
2018-02-20,306.40666666666664,706.28,1175.9866666666667,295.0
2018-02-21,614.8000000000001,1042.4,1985.2999999999997,934.7000000000002
2018-02-22,209.60000000000002,854.0000000000002,1175.6000000000001,695.7
2018-02-23,290.09999999999997,967.8000000000001,1412.6999999999998,644.8
2018-02-24,158.69999999999996,786.5000000000001,1030.1,758.5999999999999
2018-02-25,110.29999999999998,573.0,742.0999999999999,448.90000000000003
2018-02-26,262.1,668.3,1070.1,371.59999999999997
2018-02-27,490.90000000000003,1097.8,1850.6000000000004,447.29999999999995
2018-02-28,293.90000000000003,848.4,1299.4,571.1999999999999
2018-03-01,124.60000000000001,696.3999999999997,887.5000000000001,1015.4000000000001
2018-03-02,180.6,896.2,1173.3999999999999,1033.4
2018-03-03,257.4,1126.9999999999998,1521.8,1473.3
2018-03-04,541.7,1032.6,1862.9999999999998,678.2000000000002
2018-03-05,358.3999999999999,847.3,1396.3000000000002,492.20000000000005
2018-03-06,1036.5,1171.2,2760.0,373.8
2018-03-07,629.0000000000001,1168.8999999999999,2133.1000000000004,407.6
2018-03-08,133.10000000000002,494.79999999999995,699.0999999999999,223.29999999999998
2018-03-09,938.9999999999999,1251.8000000000002,2691.7000000000003,481.3
2018-03-10,389.8,758.5,1355.6000000000001,487.6
2018-03-11,475.79999999999984,1312.7,2041.8000000000002,548.3000000000001
