MeasurementDateGMT,Southwark - Elephant and Castle: Nitric Oxide (ug/m3),Southwark - Elephant and Castle: Nitrogen Dioxide (ug/m3),Southwark - Elephant and Castle: Oxides of Nitrogen (ug/m3),Southwark - Elephant and Castle: Ozone (ug/m3),Southwark - Elephant and Castle: PM10 Particulate (ug/m3)
2018-01-01,29.200000000000003,518.1999999999999,563.0,1260.1,268.7
2018-01-02,113.39999999999999,698.3,872.3999999999999,954.7999999999998,429.9
2018-01-03,7.8999999999999995,373.29999999999995,385.40000000000003,1507.4999999999995,564.2999999999998
2018-01-04,118.5,654.9999999999999,836.4999999999998,1165.7,299.3
2018-01-05,193.50000000000003,968.0000000000001,1264.1,954.2,316.59999999999997
2018-01-06,696.4999999999998,1310.6999999999998,2429.2999999999997,291.2,498.0
2018-01-07,106.6,578.4,741.3000000000001,902.2,338.9
2018-01-08,210.2,744.5999999999999,1066.1999999999998,421.90000000000003,492.1
2018-01-09,696.4999999999999,982.5,2050.6,69.39999999999999,768.2
2018-01-10,794.8,1330.5500000000002,2549.5,441.7500000000001,519.2
2018-01-11,1103.6000000000001,1182.8000000000002,2874.8999999999996,40.4,607.5999999999999
2018-01-12,533.8000000000002,983.3000000000001,1801.6,324.0,621.4000000000002
2018-01-13,194.5,735.8999999999999,1034.7,534.9,562.4
2018-01-14,201.0,845.4,1153.3,456.7,609.4
2018-01-15,114.9,635.3999999999999,811.8999999999999,895.9000000000001,282.19999999999993
2018-01-16,34.1,536.2,588.6,1302.1999999999998,281.4
2018-01-17,52.599999999999994,568.5,648.8,1224.9,410.2
2018-01-18,37.3,617.4000000000001,674.4000000000001,1215.3000000000004,257.3
2018-01-19,101.99999999999999,843.0999999999999,999.1999999999999,971.2999999999998,344.4
2018-01-20,171.49999999999997,1086.5,1349.1000000000004,769.8000000000001,269.1
2018-01-21,176.29999999999995,1025.1,1295.4,486.1000000000001,374.49999999999994
2018-01-22,105.7,901.6,1064.2999999999997,788.9000000000001,367.50000000000006
2018-01-23,150.8,630.0000000000001,861.2000000000002,1006.5000000000002,279.8
2018-01-24,91.54999999999998,541.4000000000001,681.65,1196.1999999999998,218.49999999999997
2018-01-25,278.4,898.8000000000001,1325.3,871.8999999999999,486.99999999999994
2018-01-26,345.5,1216.2000000000003,1746.2,390.09999999999997,467.4000000000001
2018-01-27,260.4000000000001,889.6999999999999,1288.9,582.5,402.2
2018-01-28,18.6,301.29999999999995,330.29999999999995,1292.6,197.2
2018-01-29,53.80000000000001,618.9,701.5,1139.6000000000001,261.0
2018-01-30,894.3000000000001,1349.4,2721.1000000000004,355.3,516.1
2018-01-31,56.199999999999996,527.9,613.9999999999999,1202.9999999999998,250.10000000000002
2018-02-01,102.89999999999999,754.2,911.9999999999999,877.4,301.0
2018-02-02,213.29999999999995,957.6,1284.1999999999998,532.7999999999998,410.8
2018-02-03,276.50000000000006,1198.5,1622.1999999999998,327.59999999999997,358.49999999999994
2018-02-04,166.99999999999997,636.1000000000001,891.7999999999998,746.1000000000001,270.7
2018-02-05,296.79999999999995,872.8000000000001,1327.5,594.2000000000002,394.2
2018-02-06,402.29999999999995,1075.3999999999999,1692.3000000000002,432.3,537.5
2018-02-07,429.2,1228.95,1887.1999999999998,419.55000000000007,478.00000000000017
2018-02-08,554.3,1244.1000000000004,2094.6000000000004,593.2,479.50000000000006
2018-02-09,97.5,806.4,955.4999999999999,916.4,272.49999999999994
2018-02-10,194.4,889.1,1187.3,744.0999999999999,298.00000000000006
2018-02-11,32.1,426.6000000000001,475.99999999999994,1327.3,161.20000000000002
2018-02-12,173.2,900.1,1165.8999999999999,893.1,320.5
2018-02-13,152.60000000000002,700.1,933.8000000000001,1032.6000000000001,248.0
2018-02-14,252.8,816.9000000000001,1204.4999999999998,740.8999999999999,318.50000000000006
2018-02-15,112.63461538461539,730.8346153846155,902.75,1007.3,372.90000000000003
2018-02-16,225.8153846153846,1082.0153846153846,1427.7,841.1999999999999,525.3000000000001
2018-02-17,686.8000000000001,1466.3000000000004,2519.5999999999995,464.50000000000006,691.1999999999998
2018-02-18,320.6,1026.1999999999998,1517.9,806.1999999999998,498.90000000000003
2018-02-19,309.70000000000005,1058.5999999999997,1532.9999999999998,374.09999999999997,425.50000000000006
2018-02-20,182.80000000000004,806.3000000000001,1086.6,621.5000000000001,275.5
2018-02-21,339.00000000000006,1001.5000000000001,1521.5,620.1,996.8000000000002
2018-02-22,133.7,831.9999999999999,1036.6,942.0000000000001,732.5999999999999
2018-02-23,154.49999999999997,900.7499999999999,1138.1,750.4999999999999,662.5999999999999
2018-02-24,120.6,794.2999999999998,978.6999999999998,833.6,794.5
2018-02-25,68.4,521.4,625.9,1182.4,457.9
2018-02-26,127.00000000000001,636.8000000000001,831.4000000000001,1201.3000000000002,382.50000000000006
2018-02-27,255.40000000000003,1024.6,1416.3000000000002,899.2,435.70000000000005
2018-02-28,252.50000000000003,890.6999999999999,1278.4,881.4000000000002,573.9
2018-03-01,80.2,647.9,770.6999999999999,938.8999999999999,1051.0
2018-03-02,117.69999999999999,852.1000000000001,1032.6,694.8,1095.6000000000001
2018-03-03,205.59999999999997,1085.0,1400.6,376.40000000000003,1532.3
2018-03-04,159.99999999999997,836.3,1081.1000000000001,833.1000000000001,587.9999999999999
2018-03-05,156.90000000000003,836.0999999999999,1076.5,1069.4,510.84999999999997
2018-03-06,251.8,1012.3999999999999,1398.8000000000002,967.4,380.6000000000001
2018-03-07,434.1,1318.3,1983.3,703.9999999999999,461.9
2018-03-08,64.3,577.9,676.3,1324.9,244.29999999999995
2018-03-09,504.20000000000016,1285.2999999999997,2058.7999999999997,450.6,519.6
2018-03-10,131.9,677.9,880.7,839.0999999999998,557.6000000000001
2018-03-11,334.09999999999997,1334.7999999999997,1847.1999999999998,409.20000000000005,653.0
2018-03-12,251.99999999999997,1094.2,1480.2,397.8,299.19999999999993
2018-03-13,156.20000000000002,887.5,1126.8,765.4000000000001,363.20000000000005
2018-03-14,99.3,622.4000000000001,775.0999999999999,1269.9999999999998,412.9
2018-03-15,141.39999999999998,835.0999999999999,1052.3,1121.0000000000002,327.49999999999994
2018-03-16,176.70000000000002,830.6,1101.8999999999999,1120.4999999999998,509.3
2018-03-17,90.19999999999999,527.9,666.1999999999998,1018.3,490.8999999999999
2018-03-18,68.6,478.9,584.8,1184.3999999999999,720.0
2018-03-19,105.15,628.6,789.8,1311.4000000000003,588.5999999999999
2018-03-20,158.30000000000004,898.5,1141.3000000000002,1191.2999999999997,486.1000000000001
2018-03-21,386.40000000000003,1154.1,1746.8,894.5000000000001,553.4000000000001
2018-03-22,76.6,671.4,789.3000000000002,1327.6,457.2999999999999
2018-03-23,108.7,574.4000000000001,741.3,1602.2000000000003,460.9
