MeasurementDateGMT,Southwark - Tower Bridge Road: Nitric Oxide (ug/m3),Southwark - Tower Bridge Road: Nitrogen Dioxide (ug/m3),Southwark - Tower Bridge Road: Oxides of Nitrogen (ug/m3)
2018-01-01,196.79999999999993,348.0,650.4000000000003
2018-01-02,196.79999999999993,348.0,650.4000000000003
2018-01-03,196.79999999999993,348.0,650.4000000000003
2018-01-04,196.79999999999993,348.0,650.4000000000003
2018-01-05,196.79999999999993,348.0,650.4000000000003
2018-01-06,196.79999999999993,348.0,650.4000000000003
2018-01-07,196.79999999999993,348.0,650.4000000000003
2018-01-08,196.79999999999993,348.0,650.4000000000003
2018-01-09,196.79999999999993,348.0,650.4000000000003
2018-01-10,196.79999999999993,348.0,650.4000000000003
2018-01-11,196.79999999999993,348.0,650.4000000000003
2018-01-12,196.79999999999993,348.0,650.4000000000003
2018-01-13,196.79999999999993,348.0,650.4000000000003
2018-01-14,196.79999999999993,348.0,650.4000000000003
2018-01-15,196.79999999999993,348.0,650.4000000000003
2018-01-16,196.79999999999993,348.0,650.4000000000003
2018-01-17,196.79999999999993,348.0,650.4000000000003
2018-01-18,196.79999999999993,348.0,650.4000000000003
2018-01-19,196.79999999999993,348.0,650.4000000000003
2018-01-20,196.79999999999993,348.0,650.4000000000003
2018-01-21,196.79999999999993,348.0,650.4000000000003
2018-01-22,196.79999999999993,348.0,650.4000000000003
2018-01-23,196.79999999999993,348.0,650.4000000000003
2018-01-24,196.79999999999993,348.0,650.4000000000003
2018-01-25,196.79999999999993,348.0,650.4000000000003
2018-01-26,196.79999999999993,348.0,650.4000000000003
2018-01-27,196.79999999999993,348.0,650.4000000000003
2018-01-28,196.79999999999993,348.0,650.4000000000003
2018-01-29,196.79999999999993,348.0,650.4000000000003
2018-01-30,196.79999999999993,348.0,650.4000000000003
2018-01-31,196.79999999999993,348.0,650.4000000000003
2018-02-01,196.79999999999993,348.0,650.4000000000003
2018-02-02,196.79999999999993,348.0,650.4000000000003
2018-02-03,196.79999999999993,348.0,650.4000000000003
2018-02-04,196.79999999999993,348.0,650.4000000000003
2018-02-05,196.79999999999993,348.0,650.4000000000003
2018-02-06,196.79999999999993,348.0,650.4000000000003
2018-02-07,196.79999999999993,348.0,650.4000000000003
2018-02-08,196.79999999999993,348.0,650.4000000000003
2018-02-09,196.79999999999993,348.0,650.4000000000003
2018-02-10,196.79999999999993,348.0,650.4000000000003
2018-02-11,196.79999999999993,348.0,650.4000000000003
2018-02-12,196.79999999999993,348.0,650.4000000000003
2018-02-13,196.79999999999993,348.0,650.4000000000003
2018-02-14,196.79999999999993,348.0,650.4000000000003
2018-02-15,196.79999999999993,348.0,650.4000000000003
2018-02-16,196.79999999999993,348.0,650.4000000000003
2018-02-17,196.79999999999993,348.0,650.4000000000003
2018-02-18,196.79999999999993,348.0,650.4000000000003
2018-02-19,196.79999999999993,348.0,650.4000000000003
2018-02-20,196.79999999999993,348.0,650.4000000000003
2018-02-21,196.79999999999993,348.0,650.4000000000003
2018-02-22,196.79999999999993,348.0,650.4000000000003
2018-02-23,196.79999999999993,348.0,650.4000000000003
2018-02-24,196.79999999999993,348.0,650.4000000000003
2018-02-25,196.79999999999993,348.0,650.4000000000003
2018-02-26,196.79999999999993,348.0,650.4000000000003
2018-02-27,196.79999999999993,348.0,650.4000000000003
2018-02-28,196.79999999999993,348.0,650.4000000000003
2018-03-01,196.79999999999993,348.0,650.4000000000003
2018-03-02,196.79999999999993,348.0,650.4000000000003
2018-03-03,196.79999999999993,348.0,650.4000000000003
2018-03-04,196.79999999999993,348.0,650.4000000000003
2018-03-05,196.79999999999993,348.0,650.4000000000003
2018-03-06,196.79999999999993,348.0,650.4000000000003
2018-03-07,196.79999999999993,348.0,650.4000000000003
2018-03-08,196.79999999999993,348.0,650.4000000000003
2018-03-09,196.79999999999993,348.0,650.4000000000003
2018-03-10,196.79999999999993,348.0,650.4000000000003
2018-03-11,196.79999999999993,348.0,650.4000000000003
2018-03-12,196.79999999999993,348.0,650.4000000000003
2018-03-13,196.79999999999993,348.0,650.4000000000003
