MeasurementDateGMT,Sutton - Beddington Lane north: Nitric Oxide (ug/m3),Sutton - Beddington Lane north: Nitrogen Dioxide (ug/m3),Sutton - Beddington Lane north: Oxides of Nitrogen (ug/m3),Sutton - Beddington Lane north: PM10 Particulate (ug/m3),Sutton - Beddington Lane north: PM2.5 Particulate (ug/m3)
2018-01-01,81.3,309.7,434.4,304.0,192.0
2018-01-02,377.2999999999999,672.3999999999999,1250.5000000000002,465.0,192.0
2018-01-03,181.0,312.8,590.7999999999998,732.0,192.0
2018-01-04,297.7,580.1,1036.8,441.0,192.0
2018-01-05,545.35,929.6000000000003,1765.6499999999999,542.0,186.5
2018-01-06,396.8,898.9,1507.4,458.0,314.0
2018-01-07,27.7,345.9,388.09999999999997,313.0,126.0
2018-01-08,93.69999999999999,570.5,713.9999999999998,426.0,325.0
2018-01-09,474.6,783.8,1511.4000000000003,746.0,648.0
2018-01-10,979.6999999999999,899.4999999999999,2401.7,427.0,325.0
2018-01-11,1621.2000000000003,944.4,3430.8,625.0,607.0
2018-01-12,409.1,829.8999999999999,1456.9999999999995,751.0,665.0
2018-01-13,84.90000000000002,491.59999999999997,621.6,485.32330827067676,559.0
2018-01-14,125.2,596.5,788.3,446.3458646616541,791.0
2018-01-15,101.30000000000001,443.7,599.3000000000002,407.3684210526316,178.0
2018-01-16,81.5,329.40000000000003,454.20000000000005,368.3909774436091,109.0
2018-01-17,103.80000000000001,360.30000000000007,519.4999999999999,329.4135338345865,138.0
2018-01-18,103.0,431.0,589.0,296.1578947368421,162.0
2018-01-19,200.1,605.1,912.2999999999998,273.0,160.0
2018-01-20,58.199999999999996,766.5000000000001,855.1,239.0,165.0
2018-01-21,42.20000000000001,500.8,565.4,245.0,235.0
2018-01-22,302.29999999999995,749.9000000000002,1213.4,418.0,208.0
2018-01-23,95.85,388.4500000000001,535.2500000000001,231.5,104.0
2018-01-24,64.89999999999999,252.1,351.4,215.0,71.0
2018-01-25,156.5,643.7,883.4000000000001,388.0,134.0
2018-01-26,835.1999999999998,1219.2,2499.6000000000004,509.0,284.0
2018-01-27,168.60000000000002,627.2000000000003,885.8000000000001,349.0,228.0
2018-01-28,26.099999999999998,139.89999999999998,180.40000000000003,154.0,47.0
2018-01-29,152.2,554.4999999999999,788.1999999999999,244.0,99.0
2018-01-30,1097.7000000000005,1085.4999999999998,2768.899999999999,464.0,204.0
2018-01-31,84.00000000000001,346.09999999999997,474.79999999999995,210.0,111.0
2018-02-01,193.39999999999998,527.7000000000002,824.4,342.0,103.0
2018-02-02,332.70000000000005,832.3000000000001,1342.3,426.5,149.0
2018-02-03,109.89999999999999,869.9000000000001,1038.7,282.0,238.0
2018-02-04,27.299999999999997,330.19999999999993,372.2,240.0,133.0
2018-02-05,57.40000000000001,580.7,669.0999999999999,272.0,180.0
2018-02-06,125.19999999999999,820.5000000000001,1012.25,444.0,339.5
2018-02-07,522.0,1093.7,1894.4999999999998,483.0,244.0
2018-02-08,439.9000000000001,934.9,1609.4999999999998,486.0,185.0
2018-02-09,156.90000000000003,745.5000000000001,986.1000000000001,247.0,111.0
2018-02-10,121.6,615.6,801.7999999999998,220.0,84.0
2018-02-11,32.099999999999994,167.2,216.79999999999995,156.0,64.0
2018-02-12,157.9,624.8,866.9000000000001,311.0,82.0
2018-02-13,86.80000000000003,564.6,697.4000000000001,244.0,101.0
2018-02-14,235.59999999999997,720.6000000000003,1081.6,240.0,154.0
2018-02-15,116.89999999999998,449.29999999999995,628.9000000000001,351.0,161.0
2018-02-16,265.2,792.3,1199.0,490.0,145.0
2018-02-17,422.0,920.8,1567.5,515.0,298.0
2018-02-18,65.70000000000002,525.9000000000001,626.6,497.0,347.0
2018-02-19,301.3,802.1000000000001,1264.7,355.0,317.0
2018-02-20,138.59999999999997,560.1,772.4000000000001,250.0,179.0
2018-02-21,197.60000000000002,655.8,958.6,907.0,811.0
2018-02-22,71.5,649.1,758.9000000000001,616.0,509.0
2018-02-23,251.44999999999996,759.05,1144.6,598.0,460.0
2018-02-24,103.89999999999999,625.3000000000001,785.0,634.0,476.0
2018-02-25,46.6,349.8999999999999,421.0,343.0,170.0
2018-02-26,44.900000000000006,339.8,409.20000000000005,240.0,107.0
2018-02-27,349.1,830.7,1365.4999999999998,273.0,165.0
2018-02-28,420.2,836.5,1480.2,512.0,401.0
2018-03-01,60.099999999999994,563.9,656.4,860.0,619.0
2018-03-02,72.99999999999999,693.6,805.7,973.0,842.0
2018-03-03,161.89999999999998,931.1,1179.2000000000003,1402.0,1347.0
2018-03-04,65.60000000000001,506.6000000000001,607.6,378.0,271.0
2018-03-05,100.60000000000001,621.5000000000001,775.5,395.0,183.0
2018-03-06,192.99999999999997,771.75,1067.8,362.0,202.5
2018-03-07,344.90000000000003,909.3,1438.1000000000006,465.0,257.0
2018-03-08,102.8,388.7,546.1,304.0,92.0
2018-03-09,281.30000000000007,926.8999999999999,1358.3999999999999,541.0,201.0
2018-03-10,126.70000000000002,640.5999999999999,835.1999999999999,484.0,251.0
2018-03-11,200.20000000000005,836.6000000000001,1144.0999999999997,439.0,297.0
2018-03-12,278.49999999999994,802.0,1228.5,258.0,164.0
2018-03-13,287.5,810.1000000000001,1250.8999999999999,470.5,254.0
2018-03-14,105.50000000000001,607.4,769.2,553.0,181.0
2018-03-15,62.900000000000006,590.3,686.9,321.0,171.0
2018-03-16,151.69999999999996,690.8,923.1999999999999,523.0,221.0
2018-03-17,26.200000000000003,340.29999999999995,380.79999999999995,417.0,325.0
2018-03-18,26.3,333.5,373.80000000000007,622.0,418.0
2018-03-19,36.699999999999996,369.20000000000005,425.0,430.0,234.0
2018-03-20,56.7,487.2,573.9999999999999,379.0,148.0
2018-03-21,297.1,843.6,1299.2500000000005,583.0,272.5
2018-03-22,115.2,445.9,622.8000000000001,483.0,187.0
2018-03-23,82.79999999999998,492.50000000000006,619.9,553.0,176.0
2018-03-24,79.99999999999999,679.6,802.4,643.0,550.0
2018-03-25,86.3,783.8,916.0,801.0,654.0
2018-03-26,376.3999999999999,941.0999999999998,1518.2,622.0,272.0
2018-03-27,98.6,517.4,668.2999999999998,219.0,136.0
2018-03-28,194.70000000000002,754.3000000000001,1052.9,174.0,147.0
2018-03-29,140.8,642.1,857.8000000000001,258.0,136.0
2018-03-30,63.2,640.7,738.0,210.0,173.0
2018-03-31,60.300000000000004,403.6,496.6999999999999,160.0,162.0
2018-04-01,32.49999999999999,340.4000000000001,390.7999999999999,254.0,209.0
2018-04-02,72.3,486.00000000000006,597.1,243.0,173.0
2018-04-03,101.6,555.4000000000001,711.5000000000001,324.0,179.0
2018-04-04,95.35,486.0999999999999,632.3500000000001,349.0,170.0
2018-04-05,118.39999999999996,429.8,611.3000000000001,289.0,91.0
2018-04-06,83.59999999999998,639.0999999999999,767.5,754.0,252.0
2018-04-07,93.30000000000003,793.5999999999999,936.8,654.0,388.0
2018-04-08,57.49999999999999,635.0,723.3,421.0,385.0
2018-04-09,74.4,717.8,832.3999999999999,584.0,573.0
2018-04-10,160.20000000000002,944.6999999999998,1190.5,787.0,670.0
2018-04-11,105.3,774.3999999999999,935.9,1099.0,1070.0
2018-04-12,134.0,661.0,866.3000000000002,923.0,830.0
2018-04-13,146.70000000000002,550.6,775.7999999999998,747.0,566.0
2018-04-14,300.7636363636365,721.3909090909092,1180.309090909091,777.0,689.0
2018-04-15,338.9454545454545,710.1696969696969,1227.830303030303,572.0,459.0
2018-04-16,302.2909090909091,651.4060606060606,1113.7939393939394,676.0,251.0
2018-04-17,265.6363636363636,592.6424242424243,999.7575757575756,666.0,237.0
2018-04-18,135.2636363636364,521.9909090909091,729.5090909090907,641.0,261.0
2018-04-19,314.24999999999994,1022.0000000000001,1503.65,919.0,498.0
2018-04-20,240.99999999999997,824.8000000000001,1194.8999999999999,926.0,479.0
2018-04-21,57.00000000000001,748.8,838.2999999999998,998.0,670.0
2018-04-22,74.49999999999999,330.5,444.80000000000007,693.0,475.0
2018-04-23,116.30000000000001,291.19999999999993,469.0999999999999,371.0,156.0
2018-04-24,233.29999999999998,399.19999999999993,757.1999999999999,503.0,195.0
2018-04-25,275.80000000000007,411.50000000000006,833.9,453.0,164.0
2018-04-26,274.59999999999997,416.09999999999997,837.0,472.0,199.0
2018-04-27,193.3,719.4000000000001,1015.9000000000001,409.0,223.0
2018-04-28,243.39999999999998,725.1,1098.3,333.0,238.0
2018-04-29,34.8,214.19999999999996,267.79999999999995,270.0,149.0
2018-04-30,222.5,611.4,952.8000000000001,395.0,157.0
2018-05-01,426.49999999999994,727.9999999999999,1381.3,621.0,182.0
2018-05-02,381.8999999999999,856.8,1442.3,301.0,114.0
2018-05-03,538.5499999999998,813.9000000000002,1639.8999999999994,572.0,214.0
2018-05-04,423.90000000000015,861.5999999999999,1511.6999999999998,697.0,296.0
2018-05-05,173.0,659.1999999999999,924.6,618.0,388.0
