MeasurementDateGMT,Sutton - Wallington: Nitric Oxide (ug/m3),Sutton - Wallington: Nitrogen Dioxide (ug/m3),Sutton - Wallington: Oxides of Nitrogen (ug/m3),Sutton - Wallington: PM10 Particulate (ug/m3)
2018-01-01,524.5999999999999,680.0,1485.1,286.0
2018-01-02,721.1999999999999,857.8000000000001,1963.4999999999998,599.0
2018-01-03,764.3,849.4,2021.5999999999997,655.0
2018-01-04,765.7999999999998,939.5000000000001,2113.4,387.0
2018-01-05,1175.8000000000002,1291.0500000000002,3093.5499999999997,402.5
2018-01-06,717.8000000000001,1198.8999999999999,2300.1,535.0
2018-01-07,263.8,546.8,951.3000000000001,342.0
2018-01-08,1170.3,1010.8,2804.7000000000007,522.0
2018-01-09,1450.0,1018.1,3241.2999999999997,878.0
2018-01-10,2267.1,1673.7,5149.900000000001,702.0
2018-01-11,4074.2,1837.2999999999997,8084.199999999999,873.0
2018-01-12,1159.0999999999997,1122.1,2899.6000000000004,785.0
2018-01-13,329.4,623.3,1128.0,609.0
2018-01-14,890.5999999999998,1078.3000000000002,2443.7,713.0
2018-01-15,677.3000000000001,794.1999999999999,1832.3,335.0
2018-01-16,771.6000000000001,902.0,2084.8999999999996,333.0
2018-01-17,1089.5,1096.6000000000001,2767.2,531.0
2018-01-18,1284.9999999999998,1219.6,3189.7999999999997,448.0
2018-01-19,1058.8,1218.8,2842.2,434.0
2018-01-20,878.7,1350.2000000000003,2697.2999999999997,361.0
2018-01-21,451.40000000000003,880.1000000000001,1572.1000000000001,327.0
2018-01-22,1916.4999999999998,1600.2,4538.400000000001,775.0
2018-01-23,617.4,692.9000000000001,1639.4500000000003,380.5
2018-01-24,747.4000000000001,798.0000000000001,1943.7,382.0
2018-01-25,944.8,1020.8,2469.3,647.0
2018-01-26,3397.5,1944.3999999999996,7153.500000000001,984.0
2018-01-27,697.6999999999999,931.6999999999998,2001.5000000000002,444.0
2018-01-28,381.2,504.49999999999994,1089.0,387.0
2018-01-29,1303.6000000000001,1212.7,3211.0,470.0
2018-01-30,2164.4,1633.6,4951.999999999999,629.0
2018-01-31,874.4000000000001,967.5,2308.3999999999996,356.0
2018-02-01,1771.0000000000002,1471.5500000000004,4187.0,545.0
2018-02-02,2707.0,1799.2000000000003,5949.799999999999,812.0
2018-02-03,1219.7,1396.8999999999999,3266.7999999999997,464.0
2018-02-04,142.1,497.6,715.5,331.0
2018-02-05,627.9999999999999,965.6999999999999,1928.7,409.0
2018-02-06,1382.3000000000002,1475.6999999999998,3594.9500000000003,707.0
2018-02-07,2775.3,2024.6,6280.3,1170.0
2018-02-08,1339.9999999999998,1344.2,3399.0,661.0
2018-02-09,1640.1000000000001,1446.1,3961.2,572.0
2018-02-10,612.4,826.4,1765.3999999999996,280.5
2018-02-11,841.4000000000001,946.6999999999999,2237.1000000000004,401.0
2018-02-12,1219.8000000000002,1306.1000000000001,3177.2000000000003,472.0
2018-02-13,679.2,862.7000000000002,1903.3999999999996,322.0
2018-02-14,711.7,956.7,2048.4999999999995,377.0
2018-02-15,1212.7,1262.0999999999995,3121.7,739.0
2018-02-16,1928.4000000000003,1580.6000000000006,4537.400000000001,702.0
2018-02-17,1818.3000000000004,1731.1,4519.099999999999,830.0
2018-02-18,474.7,909.8,1637.8999999999999,700.0
2018-02-19,2362.2999999999997,1639.6999999999998,5261.6,726.5
2018-02-20,1489.9499999999998,1381.1500000000003,3665.35,570.0
2018-02-21,990.1,1209.2,2727.1,1317.0
2018-02-22,850.9,1346.6000000000001,2651.6,880.0
2018-02-23,1325.4,1493.3000000000002,3525.8999999999996,803.0
2018-02-24,939.1000000000003,1207.3,2647.9,892.0
2018-02-25,467.3,879.0999999999999,1595.9,499.0
2018-02-26,563.9,859.7,1724.1000000000001,456.0
2018-02-27,1087.5,1447.3,3114.4,412.0
2018-02-28,945.4999999999998,1312.7,2762.1,619.0
2018-03-01,729.5,1162.4999999999998,2280.0999999999995,884.0
2018-03-02,895.4,1229.5999999999997,2602.2999999999997,1063.0
2018-03-03,827.1000000000001,1266.5999999999995,2534.5999999999995,1624.0
2018-03-04,411.80000000000007,844.6999999999999,1475.9999999999998,609.0
2018-03-05,494.2,831.7,1589.3000000000002,674.0
2018-03-06,1325.7499999999998,1514.35,3547.7000000000003,611.5
2018-03-07,1954.1000000000001,1807.1999999999996,4803.600000000001,789.0
2018-03-08,1029.1,1128.2,2706.1000000000004,551.0
2018-03-09,675.0999999999999,1008.6999999999999,2043.9,610.0
2018-03-10,718.7000000000002,948.6,2050.2999999999997,925.0
2018-03-11,536.2,1100.4,1922.8000000000002,779.0
2018-03-12,1874.7,1458.6000000000001,4333.400000000001,440.0
2018-03-13,1837.5,1526.2999999999997,4343.499999999999,745.0
