MeasurementDateGMT,Sutton - Worcester Park: Nitric Oxide (ug/m3),Sutton - Worcester Park: Nitrogen Dioxide (ug/m3),Sutton - Worcester Park: Oxides of Nitrogen (ug/m3),Sutton - Worcester Park: PM10 Particulate (ug/m3)
2018-01-01,332.09999999999997,550.5000000000002,1059.7,235.79999999999995
2018-01-02,1148.0000000000002,1153.0,2912.9999999999995,350.6
2018-01-03,344.9,416.9999999999999,945.4,475.95
2018-01-04,700.3999999999999,830.1,1904.1000000000004,259.5
2018-01-05,1521.45,1587.3500000000001,3920.0500000000006,423.00000000000006
2018-01-06,676.6999999999999,1271.8999999999996,2309.700000000001,439.09999999999997
2018-01-07,91.0,445.3,585.3,239.9
2018-01-08,300.00000000000006,650.9000000000001,1110.3,397.4
2018-01-09,2638.6000000000004,1638.8999999999999,5684.2,802.5
2018-01-10,2867.5000000000005,2015.9000000000003,6412.4000000000015,608.0000000000001
2018-01-11,2598.5999999999995,1664.4999999999998,5649.000000000001,688.1999999999998
2018-01-12,2675.8,1974.4,6077.699999999999,789.1999999999999
2018-01-13,1335.0000000000002,1320.8000000000002,3367.799999999999,737.5000000000001
2018-01-14,827.2,1173.8,2442.2,683.1999999999999
2018-01-15,942.5,994.9000000000002,2440.3,296.8
2018-01-16,797.5,886.9999999999998,2109.6,308.0
2018-01-17,741.3999999999999,868.2,2004.6,362.90000000000003
2018-01-18,777.2,983.8999999999999,2175.8,300.29999999999995
2018-01-19,1009.3000000000001,1295.9,2843.2999999999997,325.59999999999997
2018-01-20,563.8,1334.3,2198.7000000000007,267.5
2018-01-21,1010.2,1374.9999999999998,2924.0,345.9999999999999
2018-01-22,1249.1,1423.0,3338.4000000000005,465.1000000000001
2018-01-23,1025.95,1111.0000000000002,2684.5999999999995,269.25
2018-01-24,874.5999999999999,979.7,2320.7999999999997,286.85
2018-01-25,1572.8999999999999,1605.6,4017.5,468.4000000000001
2018-01-26,1839.6,1885.4000000000003,4706.6,558.1
2018-01-27,1031.2,1340.6,2921.7000000000003,400.3
2018-01-28,341.59999999999997,441.5,965.6,195.45
2018-01-29,867.3000000000001,1076.0,2406.2,335.79999999999995
2018-01-30,2840.6,2083.0,6439.1,522.6000000000001
2018-01-31,886.9000000000001,992.3000000000002,2352.0000000000005,232.09999999999997
2018-02-01,882.6,1115.3000000000002,2468.7000000000003,310.0
2018-02-02,1171.3000000000002,1401.3999999999999,3197.3,461.7
2018-02-03,1887.8000000000002,1980.2,4874.2,436.80000000000007
2018-02-04,164.2,576.8000000000001,828.5,256.29999999999995
2018-02-05,343.30000000000007,864.6,1390.5,328.59999999999997
2018-02-06,535.3499999999999,1207.6499999999999,2028.45,505.0
2018-02-07,1611.4,1769.2999999999997,4240.3,624.7
2018-02-08,1808.1999999999996,2003.9999999999998,4776.800000000001,593.6
2018-02-09,939.4000000000001,1329.9,2769.9999999999995,287.5
2018-02-10,1286.9,1517.1,3490.2000000000003,287.5
2018-02-11,328.05,491.5,995.1,200.39999999999998
2018-02-12,1377.6999999999998,1583.1000000000001,3695.7999999999997,393.6
2018-02-13,1125.4,1405.9999999999998,3131.2999999999993,276.6
2018-02-14,1724.6999999999998,1711.7000000000003,4356.3,350.4000000000001
2018-02-15,808.8999999999999,1123.8,2364.1,419.1
2018-02-16,2424.1,2371.4000000000005,6088.3,582.3999999999999
2018-02-17,2084.7,2312.5,5509.100000000001,678.3000000000001
2018-02-18,1277.1,1786.1000000000004,3743.9999999999995,636.1000000000001
2018-02-19,1536.8999999999999,1574.6000000000004,3930.9999999999995,498.20000000000005
2018-02-20,375.15000000000003,726.0999999999999,1301.1500000000003,295.0499999999999
2018-02-21,757.2000000000002,1191.7,2352.4000000000005,991.0999999999999
2018-02-22,354.40000000000003,1084.2999999999997,1627.7000000000003,704.2999999999998
2018-02-23,778.1000000000001,1342.7999999999997,2535.9,677.2
2018-02-24,265.90000000000003,926.4999999999999,1334.1999999999998,673.5000000000001
2018-02-25,124.4,531.5,722.0999999999998,350.7
2018-02-26,198.1,542.8,846.7,243.9
2018-02-27,1104.9,1494.8,3189.0,364.0
2018-02-28,706.2,1207.3000000000004,2290.2999999999993,571.8
2018-03-01,157.7,691.5999999999999,933.1000000000001,901.8999999999999
2018-03-02,194.4,834.6999999999998,1132.5,1032.4
2018-03-03,399.5,1165.6,1778.1999999999996,1445.2
2018-03-04,1147.6000000000001,1598.8999999999999,3358.7999999999997,481.1000000000001
2018-03-05,1446.1,1676.6000000000001,3894.3,501.69999999999993
2018-03-06,2275.4500000000003,2145.2000000000003,5634.099999999999,568.05
2018-03-07,1807.9,1971.0,4743.3,542.2
2018-03-08,862.0000000000002,996.5,2318.6,316.2
2018-03-09,2269.7000000000003,2075.3999999999996,5555.299999999999,585.3
2018-03-10,1491.1,1468.7000000000003,3755.2000000000003,593.0
2018-03-11,652.4000000000001,1303.4,2303.7999999999997,472.5
2018-03-12,821.9000000000001,1190.3000000000002,2450.3,292.19999999999993
2018-03-13,1721.1000000000004,1658.4999999999995,4297.8,512.8
2018-03-14,1264.0000000000002,1386.6000000000001,3324.7000000000003,517.1
2018-03-15,2230.0000000000005,1974.8,5393.700000000002,473.6
2018-03-16,1596.7,1725.3999999999999,4173.5999999999985,596.0
2018-03-17,146.8,482.8000000000001,708.2999999999998,409.50000000000006
2018-03-18,120.10000000000001,479.9,663.6,591.5
2018-03-19,197.1,592.6000000000001,894.0,441.1
2018-03-20,184.39999999999998,681.0999999999999,964.1999999999998,336.3999999999999
2018-03-21,1492.1000000000001,1637.95,3925.1,677.9
2018-03-22,898.0000000000001,1116.8,2493.6,594.8999999999999
2018-03-23,1107.5999999999997,1372.6,3070.5,654.8
2018-03-24,742.7999999999998,1209.7000000000003,2349.0,701.9
2018-03-25,534.3999999999999,1272.5,2092.3,986.0
2018-03-26,1663.1,2081.6,4631.0,695.9500000000002
2018-03-27,1581.6999999999998,1299.0000000000002,3724.0,404.25
2018-03-28,1581.6,1616.1000000000001,4041.4000000000005,269.8
2018-03-29,2175.0,2151.6000000000004,5486.099999999999,383.2
2018-03-30,625.4,1141.4,2100.2,286.70000000000005
2018-03-31,933.6000000000003,1168.0000000000002,2599.5,340.3
2018-04-01,646.1999999999999,1100.7,2091.3,424.4000000000001
2018-04-02,826.9999999999999,1039.6,2307.7,493.00000000000006
2018-04-03,961.5,1182.4,2656.8,523.25
2018-04-04,815.1999999999998,1009.0,2258.9,389.45
2018-04-05,1014.2,1296.6999999999998,2852.0000000000005,383.9
2018-04-06,1325.1,1792.5,3824.4,688.6999999999998
2018-04-07,1174.3,1647.9,3449.0,809.2
2018-04-08,569.6999999999999,1230.9999999999998,2104.2000000000003,502.8
2018-04-09,347.4,1018.6,1551.2,613.1000000000001
2018-04-10,330.90000000000003,1154.1000000000001,1661.4,763.9999999999999
2018-04-11,388.2,1082.1000000000001,1677.4999999999998,1059.4999999999998
2018-04-12,338.79999999999995,836.8999999999999,1355.8999999999999,867.2
2018-04-13,1608.6,1751.4,4217.900000000001,824.9
2018-04-14,1022.1999999999999,1580.5,3147.2999999999997,892.4999999999999
2018-04-15,815.2,1253.6000000000001,2504.5,714.1999999999999
2018-04-16,984.6999999999999,1308.5000000000002,2818.6,541.8000000000001
2018-04-17,1061.2999999999997,1356.5000000000002,2983.8999999999996,519.1000000000001
2018-04-18,1257.9,1671.2,3600.0,679.5499999999998
2018-04-19,1235.9499999999998,2397.2500000000005,4292.55,877.6999999999999
2018-04-20,1058.3000000000002,1628.7,3251.8,728.1000000000001
2018-04-21,853.0999999999999,1705.1999999999996,3013.3,1006.2999999999998
2018-04-22,500.9,794.7,1562.8000000000002,670.7
2018-04-23,941.8999999999999,957.3000000000001,2401.9,351.90000000000003
2018-04-24,928.1000000000001,942.5999999999998,2365.2999999999997,387.20000000000005
2018-04-25,1090.6,987.4000000000001,2660.3999999999996,287.5
2018-04-26,863.1999999999999,1060.3,2383.600000000001,384.30000000000007
2018-04-27,1567.8000000000002,1806.9,4210.6,454.5
2018-04-28,402.7000000000001,904.9999999999999,1522.5000000000002,449.5
2018-04-29,97.9,387.2,537.2999999999998,239.89999999999998
2018-04-30,396.6,806.0000000000002,1414.1999999999998,324.4
2018-05-01,1262.3500000000001,1452.9000000000003,3388.75,388.0
2018-05-02,1068.0,1435.1,3072.6,296.50000000000006
2018-05-03,1456.8,1688.9999999999995,3923.199999999999,486.7999999999999
2018-05-04,1259.9,1665.3000000000002,3597.4000000000005,592.8
2018-05-05,451.4000000000001,1232.8000000000002,1924.7999999999997,635.6
2018-05-06,316.0,1214.1999999999996,1698.9,956.3000000000001
2018-05-07,338.5,1387.7999999999997,1906.5,1002.0999999999999
2018-05-08,1182.2,1617.6999999999998,3430.2000000000003,818.6999999999999
2018-05-09,1290.5999999999997,1306.3,3284.999999999999,505.4
2018-05-10,1054.0,1363.3,2979.7000000000003,404.2
