MeasurementDateGMT,Tower Hamlets - Mile End Road: Nitric Oxide (ug/m3),Tower Hamlets - Mile End Road: Nitrogen Dioxide (ug/m3),Tower Hamlets - Mile End Road: Oxides of Nitrogen (ug/m3)
2018-01-01,313.7,857.3,1338.1999999999998
2018-01-02,193.19999999999993,880.9,1176.8999999999999
2018-01-03,293.29999999999995,888.1999999999999,1338.3000000000002
2018-01-04,373.40000000000003,1054.3000000000002,1626.75
2018-01-05,586.5,1218.3,2117.4
2018-01-06,2009.2999999999997,1672.3,4753.399999999999
2018-01-07,774.6,1081.8,2269.3
2018-01-08,884.6999999999999,983.4,2340.1
2018-01-09,1165.1,1092.1000000000001,2878.5
2018-01-10,1790.8,1782.8,4528.200000000001
2018-01-11,2511.75,1743.3499999999997,5594.449999999999
2018-01-12,1007.0999999999999,1171.9,2715.6999999999994
2018-01-13,289.90000000000003,862.8,1307.2999999999997
2018-01-14,763.3,1194.4,2364.1
2018-01-15,366.1000000000001,551.6,1113.2
2018-01-16,443.40000000000003,1160.5,1840.3000000000004
2018-01-17,473.59999999999997,1023.1999999999999,1749.8000000000002
2018-01-18,618.0000000000001,1146.6000000000001,2093.9
2018-01-19,636.5,1339.1999999999998,2314.8
2018-01-20,766.0,1510.5,2684.9999999999995
2018-01-21,645.9,1255.1000000000001,2245.6
2018-01-22,1073.3,1679.2,3325.0000000000005
2018-01-23,222.0,600.5000000000001,940.9999999999998
2018-01-24,191.6,776.9,1070.8
2018-01-25,287.6499999999999,796.9000000000001,1237.4500000000003
2018-01-26,2059.9,1692.7000000000003,4851.1
2018-01-27,314.19999999999993,920.9000000000001,1403.0
2018-01-28,261.2,782.0,1182.3999999999999
2018-01-29,818.7,1054.3999999999999,2310.2000000000003
2018-01-30,1125.3,1499.1,3224.8
2018-01-31,246.95,927.6500000000001,1306.65
2018-02-01,970.7,1308.4,2797.2000000000003
2018-02-02,1796.6,1511.1999999999998,4265.6
2018-02-03,1226.2,1704.5,3584.1
2018-02-04,896.5,1173.0,2547.2
2018-02-05,1642.8,1369.5000000000002,3888.2
2018-02-06,1894.2000000000003,1554.2499999999998,4458.85
2018-02-07,2320.4,1772.6,5330.299999999999
2018-02-08,639.8,1332.5,2313.9
2018-02-09,811.7000000000002,1228.1000000000001,2472.5
2018-02-10,280.1,1021.9999999999999,1451.4000000000003
2018-02-11,472.40000000000003,1007.7999999999998,1732.3999999999999
2018-02-12,731.5999999999998,1274.9999999999998,2396.8
2018-02-13,565.4000000000001,835.0000000000001,1701.7
2018-02-14,495.3,945.7,1705.1000000000004
2018-02-15,750.5,1321.1000000000001,2471.4
2018-02-16,933.3000000000001,1451.3999999999999,2882.8
2018-02-17,1486.3999999999996,1521.3999999999999,3800.1000000000004
2018-02-18,750.4,1210.3999999999996,2360.9000000000005
2018-02-19,1622.3,1019.6000000000001,3506.8
2018-02-20,1353.6999999999998,1310.2999999999997,3385.6
2018-02-21,2103.85,1474.8999999999999,4701.4
2018-02-22,1348.6999999999998,1440.5999999999997,3509.000000000001
2018-02-23,1355.3000000000002,1463.4,3541.3000000000006
2018-02-24,673.0999999999998,1126.5,2158.3
2018-02-25,661.4999999999999,1027.3999999999999,2042.0999999999997
2018-02-26,1294.7000000000003,1211.7999999999997,3197.1999999999994
2018-02-27,1672.7000000000003,1480.1,4045.2999999999997
2018-02-28,1284.8,1263.2,3232.9999999999995
2018-03-01,607.0,931.6,1862.7
2018-03-02,713.8,964.3000000000001,2058.2999999999997
2018-03-03,692.6999999999999,954.3000000000001,2015.9000000000003
2018-03-04,702.3999999999999,990.6000000000003,2067.1
2018-03-05,384.19999999999993,1084.6,1673.8999999999996
2018-03-06,694.0,1218.7000000000003,2282.9
2018-03-07,1969.2999999999997,1567.8,4587.4000000000015
2018-03-08,440.4,988.9,1664.3
2018-03-09,1285.9999999999998,1276.5,3248.2999999999993
2018-03-10,272.4,734.5,1152.1
2018-03-11,1172.3999999999999,1339.6500000000003,3137.2499999999995
2018-03-12,1653.9999999999998,1136.5,3672.6999999999994
