MeasurementDateGMT,Wandsworth - Lavender Hill (Clapham Jct): Nitric Oxide (ug/m3),Wandsworth - Lavender Hill (Clapham Jct): Nitrogen Dioxide (ug/m3),Wandsworth - Lavender Hill (Clapham Jct): Oxides of Nitrogen (ug/m3),Wandsworth - Lavender Hill (Clapham Jct): PM10 Particulate (ug/m3)
2018-01-01,523.0,832.0,1634.0,253.20000000000005
2018-01-02,303.0,867.0,1331.0,390.4999999999999
2018-01-03,837.0,855.0,2138.0,592.1999999999999
2018-01-04,788.0,1048.0,2257.0,348.50000000000006
2018-01-05,640.0,1202.0,2184.0,359.3
2018-01-06,1699.0,1585.0,4189.0,531.4
2018-01-07,482.0,799.0,1539.0,358.40000000000003
2018-01-08,635.0,925.0,1897.0,464.00000000000006
2018-01-09,702.0,960.0,2037.0,659.0999999999999
2018-01-10,1843.0,1570.0,4396.0,568.5000000000001
2018-01-11,2270.5,1390.0,4869.5,672.8
2018-01-12,662.0,1079.0,2096.0,625.3000000000002
2018-01-13,219.0,662.0,996.0,568.6
2018-01-14,626.0,1046.0,2003.0,630.6999999999999
2018-01-15,705.0,835.0,1921.0,323.19999999999993
2018-01-16,1083.0,1154.0,2816.0,321.2
2018-01-17,862.0,1010.0,2333.0,389.1
2018-01-18,1227.0,1211.0,3085.0,318.90000000000003
2018-01-19,1130.0,1367.0,3101.0,410.7000000000001
2018-01-20,959.0,1462.0,2928.0,241.40000000000003
2018-01-21,561.0,1131.0,1989.0,359.70000000000005
2018-01-22,1315.0,1444.0,3460.0,433.8
2018-01-23,298.0,643.0,1091.0,231.39999999999998
2018-01-24,379.0,717.0,1297.0,220.59999999999997
2018-01-25,288.0,829.0,1271.0,396.1000000000001
2018-01-26,1392.0,1479.0,3609.0,501.59999999999997
2018-01-27,398.0,962.0,1575.0,342.2
2018-01-28,774.0,791.0,1987.0,289.6
2018-01-29,767.0,1032.0,2202.0,259.4
2018-01-30,1089.0,1440.0,3110.0,464.3000000000001
2018-01-31,929.0,1019.0,2446.0,291.9
2018-02-01,921.0,1057.0,2469.0,309.4
2018-02-02,1168.0,1192.0,2982.0,447.4
2018-02-03,1206.0,1497.0,3347.0,362.90000000000003
2018-02-04,1003.0,1016.0,2554.0,292.8
2018-02-05,1002.0,1118.0,2657.0,433.29999999999995
2018-02-06,1161.0,1274.0,3057.0,576.9
2018-02-07,940.0,1346.0,2787.0,526.4
2018-02-08,655.0,1243.0,2252.0,411.6000000000001
2018-02-09,802.0,982.0,2209.0,336.45000000000005
2018-02-10,433.0,911.0,1568.0,273.3
2018-02-11,580.0,853.0,1735.0,206.50000000000003
2018-02-12,969.0,1173.0,2655.0,371.9
2018-02-13,383.0,723.0,1311.0,234.8
2018-02-14,334.0,869.0,1382.0,299.5000000000001
2018-02-15,904.0,1150.0,2537.0,407.5
2018-02-16,671.0,1272.0,2301.0,472.6
2018-02-17,1068.0,1555.0,3196.0,584.1999999999999
2018-02-18,597.0,1053.0,1967.0,422.40000000000003
2018-02-19,1123.5,1177.5,2901.0,416.85
2018-02-20,445.0,864.0,1548.0,297.5
2018-02-21,1263.0,1356.0,3292.0,1014.3
2018-02-22,568.0,1155.0,2020.0,710.5000000000001
2018-02-23,801.0,1416.0,2645.0,649.9000000000001
2018-02-24,519.0,1207.0,2002.0,776.6999999999998
2018-02-25,341.0,897.0,1420.0,453.6
2018-02-26,586.0,939.0,1834.0,397.2999999999999
2018-02-27,1112.0,1387.0,3087.0,678.5
2018-02-28,740.0,1211.0,2343.0,511.09999999999997
2018-03-01,354.0,926.0,1468.0,948.9999999999998
2018-03-02,524.0,1102.0,1904.0,1006.7
2018-03-03,614.0,1322.0,2267.0,1417.3999999999999
2018-03-04,462.0,1024.0,1732.0,595.5999999999999
2018-03-05,201.0,729.0,1042.0,406.7
2018-03-06,402.0,1085.0,1702.0,329.8
2018-03-07,1394.0,1789.0,3925.0,449.09999999999997
2018-03-08,671.0,967.0,1993.0,299.7
2018-03-09,424.72007722007726,1146.0,1794.8474903474903,382.0
2018-03-10,457.52895752895756,1272.0,1960.3088803088804,295.1076923076923
2018-03-11,499.7837837837838,1272.0,2027.0270270270269,184.3384615384615
2018-03-12,542.03861003861,1272.0,2093.7451737451734,129.5538461538461
2018-03-13,584.2934362934362,1272.0,2160.4633204633205,425.9
2018-03-14,626.5482625482625,1272.0,2227.1814671814673,368.3
2018-03-15,668.8030888030888,1272.0,2293.8996138996135,282.8
2018-03-16,711.057915057915,1272.0,2360.6177606177603,560.5
2018-03-17,753.3127413127412,1272.0,2427.3359073359075,527.2
2018-03-18,795.5675675675675,1272.0,2494.054054054054,740.9
2018-03-19,837.8223938223938,1272.0,2560.772200772201,737.1
2018-03-20,886.0231660231661,1389.0,2750.2471042471043,597.4999999999999
2018-03-21,1440.0,1793.0,4000.0,784.4000000000001
2018-03-22,1002.0,1327.0,2861.0,642.8999999999999
2018-03-23,414.0,874.0,1515.0,508.49999999999994
2018-03-24,604.0,1206.0,2133.0,692.0999999999999
2018-03-25,1032.0,1518.0,3102.0,919.5
2018-03-26,891.0,1564.0,2933.0,449.9
2018-03-27,905.0,1188.0,2574.0,401.90000000000003
2018-03-28,798.0,1376.0,2598.0,340.4000000000001
2018-03-29,265.0,953.0,1360.0,296.49999999999994
2018-03-30,446.0,1093.0,1775.0,302.1
2018-03-31,615.0,867.0,1807.0,242.79999999999998
2018-04-01,377.0,823.0,1401.0,338.8999999999999
2018-04-02,188.0,663.0,958.0,303.3
2018-04-03,243.0,589.0,961.0,324.6
2018-04-04,311.0,615.0,1096.0,324.40000000000003
2018-04-05,473.0,772.0,1498.0,220.99999999999997
2018-04-06,441.0,932.0,1610.0,477.50000000000006
2018-04-07,568.0,1143.0,2013.0,688.0
2018-04-08,797.0,1315.0,2532.0,484.7999999999999
2018-04-09,1055.0,1403.0,3023.0,630.0
2018-04-10,879.0,1541.0,2888.0,812.7
2018-04-11,1578.0,1389.0,3811.0,1134.0000000000002
2018-04-12,1211.0,1036.0,2893.0,941.6000000000001
2018-04-13,927.0,1033.0,2453.0,628.3
2018-04-14,591.0,1173.0,2075.0,937.1000000000003
2018-04-15,281.0,711.0,1141.0,708.7
2018-04-16,438.0,708.0,1387.0,478.3
2018-04-17,275.0,498.0,919.0,396.5000000000001
2018-04-18,513.0,1000.0,1786.0,590.0
2018-04-19,955.0,1772.0,3234.0,1002.8000000000001
2018-04-20,1133.0,1484.0,3223.0,835.2
2018-04-21,491.0,1316.0,2065.0,1082.4
2018-04-22,547.0,969.0,1812.0,814.8999999999999
2018-04-23,940.0,928.0,2369.0,353.40000000000003
2018-04-24,672.0,679.0,1709.0,345.5
2018-04-25,911.0,903.0,2299.0,443.8
2018-04-26,767.0,864.0,2040.0,539.45
