MeasurementDateGMT,Wandsworth - Putney High Street Facade: Nitric Oxide (ug/m3),Wandsworth - Putney High Street Facade: Nitrogen Dioxide (ug/m3),Wandsworth - Putney High Street Facade: Oxides of Nitrogen (ug/m3)
2018-01-01,861.3000000000002,1108.3000000000002,2429.2000000000003
2018-01-02,1070.3000000000002,1309.8,2951.7
2018-01-03,927.5,1043.1000000000001,2465.3
2018-01-04,1043.0999999999997,1328.2,2927.9
2018-01-05,1746.2000000000003,2027.8999999999996,4705.2
2018-01-06,1515.5,1676.0000000000002,3999.500000000001
2018-01-07,520.7,808.7000000000002,1607.5
2018-01-08,262.6154266958424,185.40142231947485,588.6438730853392
2018-01-09,376.0870897155361,234.62363238512023,812.1597374179428
2018-01-10,496.3916849015317,338.03894967177246,1099.9706783369802
2018-01-11,616.6962800875274,441.4542669584246,1387.7816192560178
2018-01-12,737.0008752735229,544.8695842450766,1675.5925601750548
2018-01-13,857.3054704595185,648.2849015317287,1963.4035010940916
2018-01-14,977.610065645514,751.7002188183807,2251.214442013129
2018-01-15,1097.9146608315098,855.1155361050328,2539.025382932166
2018-01-16,1218.2192560175051,958.5308533916849,2826.836323851204
2018-01-17,1338.5238512035012,1061.9461706783368,3114.647264770242
2018-01-18,1458.8284463894965,1165.361487964989,3402.4582056892787
2018-01-19,1579.1330415754921,1268.7768052516412,3690.2691466083156
2018-01-20,1699.437636761488,1372.192122538293,3978.080087527352
2018-01-21,1819.742231947483,1475.6074398249452,4265.891028446389
2018-01-22,1940.046827133479,1579.0227571115972,4553.7019693654265
2018-01-23,2060.3514223194743,1682.4380743982492,4841.512910284463
2018-01-24,2180.65601750547,1785.8533916849012,5129.3238512034995
2018-01-25,2300.960612691466,1889.2687089715532,5417.134792122536
2018-01-26,2421.2652078774613,1992.6840262582054,5704.9457330415735
2018-01-27,2541.5698030634576,2096.099343544857,5992.75667396061
2018-01-28,2661.874398249452,2199.5146608315094,6280.5676148796465
2018-01-29,2782.1789934354474,2302.9299781181617,6568.378555798684
2018-01-30,2902.483588621444,2406.345295404814,6856.189496717723
2018-01-31,3022.788183807439,2509.760612691466,7144.000437636759
2018-02-01,3143.092778993435,2613.175929978118,7431.811378555796
2018-02-02,3263.3973741794307,2716.59124726477,7719.622319474833
2018-02-03,3383.701969365427,2820.006564551422,8007.433260393869
2018-02-04,3504.006564551422,2923.421881838074,8295.244201312908
2018-02-05,3624.3111597374177,3026.837199124727,8583.055142231948
