MeasurementDateGMT,Wandsworth - Putney High Street: Nitric Oxide (ug/m3),Wandsworth - Putney High Street: Nitrogen Dioxide (ug/m3),Wandsworth - Putney High Street: Oxides of Nitrogen (ug/m3),Wandsworth - Putney High Street: PM10 Particulate (ug/m3)
2018-01-01,1005.0999999999999,1393.5,2934.7000000000003,362.3
2018-01-02,1315.9,1698.4,3716.1000000000004,508.20000000000005
2018-01-03,1145.8000000000002,1436.3,3193.0000000000005,657.1999999999998
2018-01-04,1604.2000000000003,2329.0999999999995,4788.400000000001,432.1
2018-01-05,2356.7000000000007,2709.1,6322.5,491.9
2018-01-06,1798.4999999999998,1999.3,4757.6,625.5
2018-01-07,520.8000000000002,954.9,1753.3999999999999,384.9
2018-01-08,469.30000000000007,806.7,1526.3,519.3
2018-01-09,862.4000000000002,984.2999999999997,2306.4999999999995,795.8000000000001
2018-01-10,3654.9,2900.2999999999997,8504.199999999999,764.9000000000001
2018-01-11,3727.0000000000005,2245.9000000000005,7960.75,733.6
2018-01-12,905.8,1060.6,2449.7000000000003,833.4999999999999
2018-01-13,248.39999999999998,482.69999999999993,863.9999999999999,618.3
2018-01-14,1219.9999999999998,1322.8,3193.5000000000005,726.1999999999999
2018-01-15,1676.3000000000004,1754.6000000000001,4324.8,405.8
2018-01-16,2000.5000000000002,2021.5000000000002,5089.000000000001,446.4000000000001
2018-01-17,2118.2,2027.8000000000002,5275.500000000001,559.3
2018-01-18,2429.7000000000003,2128.8,5854.500000000001,471.19999999999993
2018-01-19,3062.0000000000005,2611.5000000000005,7306.5,657.6
2018-01-20,1458.7999999999997,1802.3999999999999,4039.0,374.5
2018-01-21,1092.6000000000001,1280.0999999999997,2956.0000000000005,439.49999999999994
2018-01-22,3357.7999999999993,2521.0,7669.700000000001,632.4000000000001
2018-01-23,1707.8999999999999,1791.1,4409.699999999999,385.09999999999997
2018-01-24,1769.4,1864.3,4577.1,378.70000000000005
2018-01-25,2421.6,2310.9,6023.4000000000015,690.7
2018-01-26,4213.200000000001,2883.4999999999995,9343.5,783.4
2018-01-27,1793.9000000000003,1806.5999999999997,4557.7,505.69999999999993
2018-01-28,1044.9,1216.3,2817.9999999999995,292.1
2018-01-29,1835.1000000000001,1810.8,4624.200000000001,475.8
2018-01-30,3442.2,2425.3,7703.500000000001,841.7
2018-01-31,2325.3000000000006,2085.8999999999996,5651.3,451.6
2018-02-01,2822.600000000001,2162.8,6490.500000000002,484.40000000000003
2018-02-02,3340.9999999999995,2393.5000000000005,7516.399999999999,695.5
2018-02-03,1973.3,1862.5000000000002,4888.199999999999,508.40000000000003
2018-02-04,1198.2000000000003,1239.1999999999998,3076.0,388.5
2018-02-05,1444.3000000000004,1418.1000000000001,3632.9999999999995,503.4
2018-02-06,3212.000000000001,2460.6000000000004,7385.499999999999,759.6999999999999
2018-02-07,3718.0,2736.9,8438.3,814.6999999999999
2018-02-08,3505.8499999999995,2837.5499999999997,8212.7,831.5999999999999
