MeasurementDateGMT,Wandsworth - Putney: Nitric Oxide (ug/m3),Wandsworth - Putney: Nitrogen Dioxide (ug/m3),Wandsworth - Putney: Oxides of Nitrogen (ug/m3),Wandsworth - Putney: PM10 Particulate (ug/m3)
2018-01-01,276.0,1404.0,1828.8000000000006,219.0
2018-01-02,276.0,1404.0,1828.8000000000006,394.0
2018-01-03,276.0,1404.0,1828.8000000000006,505.0
2018-01-04,276.0,1404.0,1828.8000000000006,283.0
2018-01-05,276.0,1404.0,1828.8000000000006,290.0
2018-01-06,276.0,1404.0,1828.8000000000006,471.0
2018-01-07,276.0,1404.0,1828.8000000000006,326.0
2018-01-08,276.0,1404.0,1828.8000000000006,451.0
2018-01-09,276.0,1404.0,1828.8000000000006,697.0
2018-01-10,276.0,1404.0,1828.8000000000006,431.0
2018-01-11,276.0,1404.0,1828.8000000000006,542.0
2018-01-12,276.0,1404.0,1828.8000000000006,591.0
2018-01-13,276.0,1404.0,1828.8000000000006,576.0
2018-01-14,276.0,1404.0,1828.8000000000006,563.0
2018-01-15,276.0,1404.0,1828.8000000000006,241.0
2018-01-16,276.0,1404.0,1828.8000000000006,172.0
2018-01-17,276.0,1404.0,1828.8000000000006,282.0
2018-01-18,276.0,1404.0,1828.8000000000006,175.0
2018-01-19,276.0,1404.0,1828.8000000000006,247.0
2018-01-20,276.0,1404.0,1828.8000000000006,224.0
2018-01-21,276.0,1404.0,1828.8000000000006,312.0
2018-01-22,276.0,1404.0,1828.8000000000006,268.0
2018-01-23,276.0,1404.0,1828.8000000000006,189.0
2018-01-24,276.0,1404.0,1828.8000000000006,203.0
2018-01-25,276.0,1404.0,1828.8000000000006,386.0
2018-01-26,276.0,1404.0,1828.8000000000006,376.0
2018-01-27,276.0,1404.0,1828.8000000000006,312.0
2018-01-28,276.0,1404.0,1828.8000000000006,129.0
2018-01-29,276.0,1404.0,1828.8000000000006,178.0
2018-01-30,276.0,1404.0,1828.8000000000006,380.0
2018-01-31,276.0,1404.0,1828.8000000000006,172.0
2018-02-01,276.0,1404.0,1828.8000000000006,194.0
2018-02-02,276.0,1404.0,1828.8000000000006,193.46
2018-02-03,276.0,1404.0,1828.8000000000006,180.71999999999997
2018-02-04,276.0,1404.0,1828.8000000000006,215.28
2018-02-05,276.0,1404.0,1828.8000000000006,249.83999999999997
2018-02-06,276.0,1404.0,1828.8000000000006,284.4000000000001
2018-02-07,276.0,1404.0,1828.8000000000006,318.96000000000004
2018-02-08,253.59999999999997,1298.0,1688.2000000000005,354.84
2018-02-09,100.20000000000002,756.2,910.2000000000002,245.0
2018-02-10,213.80000000000007,1020.1,1347.6999999999998,275.0
2018-02-11,50.1,465.40000000000003,542.5,180.0
2018-02-12,244.19999999999996,1058.3,1433.0000000000002,307.0
2018-02-13,234.60000000000002,1019.7,1379.4999999999998,282.0
2018-02-14,468.6,1150.8,1869.0999999999997,330.0
2018-02-15,135.39999999999998,762.2,970.0,363.0
2018-02-16,339.3,1250.3999999999999,1770.7999999999997,485.0
2018-02-17,705.9000000000001,1665.8,2748.4,609.0
2018-02-18,374.0,1243.1000000000001,1816.7000000000003,456.0
2018-02-19,220.70000000000002,904.1,1242.5000000000002,395.0
2018-02-20,91.40000000000002,693.4,833.3,252.0
2018-02-21,288.69999999999993,1146.3,1589.2000000000003,921.0
2018-02-22,176.40000000000003,994.3000000000002,1264.7,701.0
2018-02-23,253.49999999999997,1210.8,1599.2000000000005,683.0
2018-02-24,214.70000000000002,1082.6000000000001,1411.8,785.0
2018-02-25,116.5,708.3,886.9999999999999,457.0
2018-02-26,152.0,817.0000000000002,1050.6,342.0
2018-02-27,194.99999999999997,1167.3999999999999,1466.4,347.0
2018-02-28,267.40000000000003,1068.2999999999997,1478.2000000000003,567.0
2018-03-01,125.39999999999999,804.5999999999999,996.9000000000002,1043.0
2018-03-02,185.59999999999997,1047.6999999999998,1332.3,1060.0
2018-03-03,310.9,1298.1000000000001,1774.7,1481.0
2018-03-04,319.6,1179.3999999999999,1669.1000000000001,610.0
2018-03-05,266.3,1051.9,1460.1000000000004,471.0
2018-03-06,328.4000000000001,1257.2999999999997,1760.6,344.0
2018-03-07,587.5000000000001,1445.6999999999996,2346.4999999999995,405.0
2018-03-08,138.2,724.4999999999999,936.4999999999997,208.0
2018-03-09,693.4000000000001,1528.8,2591.7,507.0
2018-03-10,195.05,841.9999999999999,1140.9000000000003,479.0
2018-03-11,406.50000000000006,1477.9999999999998,2101.0,612.0
2018-03-12,279.3,1087.8,1515.9000000000003,226.0
2018-03-13,201.8,896.8999999999999,1206.3,308.0
2018-03-14,271.29999999999995,985.9000000000001,1401.7000000000003,412.0
2018-03-15,261.5,1155.95,1556.6,319.0
2018-03-16,319.6,1107.2999999999997,1597.5000000000002,464.0
2018-03-17,115.6,721.5000000000002,898.4000000000002,463.0
2018-03-18,95.0,663.2,808.4999999999998,693.0
2018-03-19,131.89999999999998,807.6,1009.9,508.0
2018-03-20,103.70000000000002,798.0,956.8000000000002,379.0
2018-03-21,289.09999999999997,1117.0,1559.5,528.0
2018-03-22,96.79999999999998,630.8,778.8000000000002,455.0
2018-03-23,184.55,851.35,1134.1,464.0
2018-03-24,286.5000000000001,1130.1,1569.0,599.0
2018-03-25,400.6,1045.8,1660.2999999999997,731.0
2018-03-26,221.49999999999997,1056.5,1395.8999999999999,343.0
2018-03-27,164.29999999999998,745.7500000000002,997.6499999999997,230.0
2018-03-28,169.6,897.0,1156.7999999999997,163.0
2018-03-29,450.0,1210.5,1900.4999999999998,260.0
2018-03-30,226.0,1046.8,1393.2,249.0
2018-03-31,130.09999999999997,608.0000000000001,806.9,129.0
2018-04-01,88.30000000000001,577.6,712.9,226.0
2018-04-02,132.40000000000003,651.2,854.3000000000001,304.0
2018-04-03,180.29999999999998,781.7,1058.3,285.0
2018-04-04,149.09999999999997,659.5000000000001,888.0000000000001,258.0
2018-04-05,120.50000000000001,593.1999999999999,778.2,130.0
2018-04-06,307.29999999999995,1162.6,1634.1999999999998,481.0
2018-04-07,269.2,1083.2,1496.0000000000002,600.0
2018-04-08,135.4,820.0000000000001,1027.9,399.0
2018-04-09,303.1,1194.8000000000002,1659.4,555.0
2018-04-10,310.8,1303.3999999999996,1779.6000000000004,723.0
2018-04-11,239.80000000000007,980.4000000000001,1348.6999999999998,930.5
2018-04-12,174.2,661.0,928.2,804.0
2018-04-13,296.8,892.7999999999998,1348.3,587.0
2018-04-14,249.39999999999995,1155.0,1537.7,876.0
2018-04-15,166.0,902.6,1156.9,708.0
2018-04-16,156.00000000000003,841.4000000000001,1080.8999999999999,493.0
2018-04-17,147.2,750.5999999999998,976.0,430.0
2018-04-18,241.79999999999995,1195.7,1566.6,566.0
2018-04-19,489.30000000000007,1679.8999999999996,2430.6,887.0
2018-04-20,204.10000000000002,919.7,1232.5,692.0
2018-04-21,179.29999999999998,1260.4,1535.8,995.0
2018-04-22,93.99999999999999,701.7000000000002,845.9,697.0
2018-04-23,95.50000000000001,470.40000000000003,615.9999999999999,277.0
2018-04-24,140.50000000000003,573.2,788.6,304.0
2018-04-25,121.10000000000004,525.9,711.2999999999998,250.0
2018-04-26,129.60000000000002,610.6,810.2,326.0
2018-04-27,298.1,1284.8999999999999,1742.1999999999998,402.0
2018-04-28,82.99999999999999,670.2000000000002,796.5999999999999,214.0
2018-04-29,48.099999999999994,421.60000000000014,495.59999999999997,238.0
2018-04-30,81.1,641.2,765.9000000000001,305.0
2018-05-01,176.20000000000002,805.6,1075.2999999999997,286.0
2018-05-02,163.10000000000005,778.8999999999999,1028.8999999999999,203.0
2018-05-03,185.59999999999997,821.1999999999998,1105.5,347.0
2018-05-04,167.1,887.8000000000001,1143.9,479.0
2018-05-05,266.9,1344.9,1754.2,659.0
2018-05-06,157.39999999999998,1312.0,1552.9,876.0
2018-05-07,289.70000000000005,1715.8,2159.9,995.0
2018-05-08,310.3,1099.8000000000002,1575.6000000000004,812.0
2018-05-09,170.6,599.0,859.8999999999999,448.0
2018-05-10,66.95,413.90000000000003,516.15,298.0
2018-05-11,218.80000000000004,901.4000000000002,1237.0000000000002,502.0
