MeasurementDateGMT,Wandsworth - Tooting High Street: Nitric Oxide (ug/m3),Wandsworth - Tooting High Street: Nitrogen Dioxide (ug/m3),Wandsworth - Tooting High Street: Oxides of Nitrogen (ug/m3),Wandsworth - Tooting High Street: PM10 Particulate (ug/m3)
2018-01-01,320.6000000000001,920.0,1411.8999999999999,268.09999999999997
2018-01-02,978.5999999999999,1415.8999999999996,2916.5,447.1
2018-01-03,282.70000000000005,824.5999999999999,1257.6500000000003,535.8999999999999
2018-01-04,849.1,1334.1999999999998,2635.7,381.8
2018-01-05,1397.0,1812.4999999999998,3954.5000000000005,445.7
2018-01-06,1639.7000000000005,1892.2000000000003,4406.599999999999,574.4000000000001
2018-01-07,718.9,1166.6000000000001,2268.6,382.4
2018-01-08,1352.8,1484.3000000000004,3558.7000000000003,519.1
2018-01-09,2416.1,1704.6000000000004,5409.2,831.5
2018-01-10,2035.5,1870.9,4991.500000000001,631.8
2018-01-11,2390.6000000000004,1618.2000000000003,5283.599999999999,665.0
2018-01-12,2234.9,1975.5999999999997,5401.899999999998,822.2999999999998
2018-01-13,1243.7999999999997,1485.4,3392.1,687.1000000000001
2018-01-14,1208.9,1529.3,3382.999999999999,715.0
2018-01-15,694.9500000000002,1171.3,2236.85,350.20000000000005
2018-01-16,574.2,1119.1,1999.1000000000001,305.1
2018-01-17,524.6999999999999,996.5,1801.2000000000003,388.2
2018-01-18,418.3500000000001,943.6999999999998,1584.9500000000005,297.2999999999999
2018-01-19,1171.4,1495.4999999999998,3291.8,488.59999999999997
2018-01-20,1375.3,1889.7,3998.9,321.6
2018-01-21,1065.9,1417.8,3051.7,382.6999999999999
2018-01-22,584.0999999999999,1294.2999999999997,2190.3000000000006,410.5000000000001
2018-01-23,889.1,1362.6999999999998,2726.2000000000003,333.29999999999995
2018-01-24,742.8,1168.1000000000004,2307.4999999999995,302.29999999999995
2018-01-25,1393.6000000000001,1557.3,3694.2000000000003,561.5999999999999
2018-01-26,1544.9000000000003,1641.2999999999997,4010.0999999999995,535.4
2018-01-27,1061.2,1357.3999999999999,2984.7,493.95000000000005
2018-01-28,225.50000000000003,738.6,1084.1000000000001,234.10000000000002
2018-01-29,558.2,1212.6499999999999,2068.5,361.5
2018-01-30,3277.100000000001,2418.7,7443.2,771.6999999999998
2018-01-31,658.5999999999998,1230.3000000000002,2240.4,364.9
2018-02-01,363.90000000000003,920.3000000000001,1478.4999999999998,326.79999999999995
2018-02-02,748.7,1249.1000000000001,2396.8000000000006,496.59999999999997
2018-02-03,2135.8,2228.1,5503.1,494.4000000000001
2018-02-04,781.3000000000001,1206.4999999999998,2404.2,373.70000000000005
2018-02-05,1853.4999999999998,1923.6000000000001,4765.299999999999,656.0
2018-02-06,1219.9999999999998,1746.5,3616.7999999999997,638.7
2018-02-07,1192.9,1640.0000000000002,3468.7000000000003,680.4
2018-02-08,2241.7999999999997,2079.4,5516.799999999998,859.5
2018-02-09,509.8999999999999,1064.9,1846.7,347.4999999999999
2018-02-10,1142.8999999999996,1554.2999999999995,3307.1,450.49999999999994
2018-02-11,163.10000000000002,665.1000000000001,914.7999999999997,196.30000000000004
2018-02-12,1104.2,1572.6000000000001,3265.7000000000003,502.1
2018-02-13,1059.3,1414.1999999999996,3038.5999999999995,339.30000000000007
2018-02-14,1330.0,1529.1999999999998,3568.6,408.4000000000001
2018-02-15,676.4999999999999,1375.8,2413.2999999999997,507.49999999999994
2018-02-16,1727.9,2030.3000000000002,4679.799999999999,724.9999999999999
2018-02-17,1917.1000000000001,2142.1,5081.099999999999,900.1999999999999
2018-02-18,1245.4000000000003,1812.5,3722.6,663.4000000000001
2018-02-19,1141.5500000000004,1400.8,3151.5000000000005,492.1
2018-02-20,463.4,992.5,1702.6999999999996,358.69999999999993
2018-02-21,1759.5999999999997,1833.0,4531.0,1169.25
2018-02-22,1558.3999999999999,1840.3,4229.6,888.7
2018-02-23,2128.9,2105.5,5369.599999999999,853.4
2018-02-24,1381.8,1635.3000000000002,3753.7999999999997,959.2
2018-02-25,739.4000000000001,1140.8,2274.1,552.85
2018-02-26,1144.6,1378.4999999999998,3133.6,733.0
2018-02-27,1650.5,1915.4999999999998,4445.800000000001,889.2
2018-02-28,1352.4,1519.3999999999999,3592.7,752.0999999999999
2018-03-01,857.7999999999998,1172.4999999999998,2488.1,1048.2
2018-03-02,949.2000000000002,1311.3,2767.0,1100.2
2018-03-03,1142.3000000000002,1528.6999999999998,3280.7000000000003,1504.6
2018-03-04,1064.2,1540.7999999999997,3172.9,775.6000000000003
2018-03-05,1236.1999999999998,1642.0,3537.6,614.3999999999999
2018-03-06,1336.3,1824.25,3873.2,575.8
2018-03-07,846.5000000000001,1597.7,2895.499999999999,605.5999999999998
2018-03-08,449.6,1004.5,1693.8,404.3
2018-03-09,1545.2000000000003,1821.1999999999998,4190.199999999999,727.6
2018-03-10,773.5000000000001,1349.5000000000002,2535.4999999999995,744.3
2018-03-11,1179.4,1843.1999999999996,3651.7,751.1000000000003
2018-03-12,745.2000000000002,1174.6,2317.7,295.30000000000007
2018-03-13,754.0000000000001,1233.1,2388.8999999999996,489.6000000000001
2018-03-14,614.8999999999999,1157.3,2100.4999999999995,566.1
2018-03-15,893.8,1485.0000000000002,2855.3999999999996,530.1999999999999
2018-03-16,907.0999999999999,1491.2000000000003,2881.6000000000004,760.9000000000001
2018-03-17,551.8000000000001,939.4,1785.4,562.7000000000002
2018-03-18,574.5,895.9000000000001,1776.8000000000004,764.1999999999999
2018-03-19,948.1,1383.9,2837.7,841.5999999999999
2018-03-20,583.4999999999999,1259.0000000000002,2154.3,546.9999999999999
2018-03-21,937.5,1492.1000000000004,2929.6000000000004,675.6999999999999
2018-03-22,509.1000000000001,1140.1000000000001,1921.1,618.5
2018-03-23,793.8000000000002,1352.7999999999997,2569.5,659.3499999999999
2018-03-24,1614.4,1724.9999999999998,4200.700000000001,934.5999999999999
2018-03-25,1252.8000000000002,1840.6000000000001,3761.9000000000005,1109.3000000000002
2018-03-26,861.9,1593.2,2914.9,643.6000000000001
2018-03-27,556.6,1067.2,1920.8000000000004,364.5
2018-03-28,837.1000000000001,1439.9999999999998,2724.0,313.5
2018-03-29,1617.9,1884.0,4364.4,522.1500000000001
2018-03-30,1147.9999999999998,1595.2,3355.3999999999996,437.7
2018-03-31,518.8,897.1000000000003,1692.5,321.00000000000006
2018-04-01,505.70000000000005,969.9000000000001,1746.0999999999997,387.20000000000005
2018-04-02,545.1999999999999,1011.0000000000002,1846.8000000000004,426.9000000000001
2018-04-03,670.3,1267.6,2295.3,498.20000000000005
2018-04-04,516.9000000000001,986.9500000000002,1779.8500000000001,377.79999999999995
2018-04-05,543.0,1038.4999999999998,1870.4000000000003,332.5
2018-04-06,1062.3000000000002,1670.6,3299.6000000000004,695.0999999999999
2018-04-07,854.5000000000001,1606.5999999999995,2916.3,830.9
2018-04-08,871.6000000000001,1588.0000000000002,2924.6,543.8000000000001
2018-04-09,1433.3000000000002,1635.1,3832.4999999999995,667.1
2018-04-10,1590.2999999999997,2003.3,4441.2,947.9999999999999
2018-04-11,1472.7999999999997,1629.6000000000001,3887.5999999999995,1174.9
2018-04-12,985.2,1220.0000000000002,2730.7999999999997,998.6999999999998
2018-04-13,992.3,1300.1000000000001,2821.7000000000007,725.6999999999999
2018-04-14,1208.0,1874.1,3726.2000000000003,996.9000000000001
2018-04-15,589.9,1228.0000000000002,2132.1,788.3000000000003
2018-04-16,588.4499999999999,1130.65,2033.1,595.4
2018-04-17,569.6,1037.2,1910.7999999999997,550.3000000000001
2018-04-18,1061.8999999999999,1501.1000000000001,3129.2999999999993,696.4000000000001
2018-04-19,1245.1,2120.6,4029.0000000000005,1087.45
2018-04-20,631.8000000000001,1280.8999999999999,2249.5,840.4000000000001
2018-04-21,860.4799999999998,1674.5299999999997,2993.94,1166.1000000000001
2018-04-22,369.71999999999986,842.4199999999998,1409.26,784.1
2018-04-23,382.5,707.3,1294.1000000000001,353.0
2018-04-24,539.1000000000003,742.1,1568.7,394.79999999999995
2018-04-25,415.00000000000006,689.5,1326.1000000000001,313.6
2018-04-26,435.4,773.1000000000001,1440.7,439.7000000000001
2018-04-27,1567.1,1642.9999999999998,4045.5,546.3
2018-04-28,474.69999999999993,910.7999999999998,1638.2999999999997,351.0
2018-04-29,313.0,655.6999999999999,1136.1,338.79999999999995
2018-04-30,343.4,666.6999999999999,1193.3,318.70000000000005
2018-05-01,693.4999999999999,1030.2,2093.3999999999996,418.4000000000001
2018-05-02,538.5,881.5,1707.2000000000003,257.92500000000007
2018-05-03,881.7,1147.2,2499.1000000000004,439.77500000000003
2018-05-04,891.2,1335.3000000000002,2702.1,679.3000000000001
2018-05-05,1151.1000000000001,1912.1,3677.0,848.0000000000001
2018-05-06,1004.0999999999998,1938.9,3478.4999999999995,1175.3000000000002
2018-05-07,1274.8,2336.4999999999995,4291.499999999999,1241.5
2018-05-08,751.3,1314.8,2466.6999999999994,980.9
2018-05-09,589.7000000000002,882.0999999999999,1786.3999999999999,559.4000000000001
2018-05-10,355.20000000000005,700.4,1245.3,398.1
2018-05-11,959.3000000000001,1330.4000000000003,2801.1000000000004,667.2
2018-05-12,736.4,1178.7000000000003,2307.4,487.99999999999994
2018-05-13,505.1000000000001,915.7999999999998,1690.0,500.8
2018-05-14,413.44999999999993,848.0,1481.7000000000005,390.44999999999993
2018-05-15,410.9,1033.3,1663.6,480.69999999999993
2018-05-16,431.9,855.4499999999999,1518.1499999999996,597.8
2018-05-17,791.3999999999999,1042.1000000000001,2255.3000000000006,669.9
2018-05-18,1082.2000000000003,1455.7,3115.3999999999987,710.2
2018-05-19,894.3000000000002,1368.6000000000001,2739.7999999999997,772.4
2018-05-20,663.4,1182.9999999999998,2200.4,770.1000000000001
2018-05-21,1244.0000000000002,1957.7999999999997,3865.7000000000003,1025.6000000000001
2018-05-22,342.70000000000005,959.5999999999999,1485.4,784.2000000000002
2018-05-23,417.70000000000005,949.0,1589.1,785.6000000000001
2018-05-24,783.8000000000001,1309.0,2510.8999999999996,874.5999999999999
2018-05-25,775.7,1396.0000000000002,2584.9999999999995,776.7
2018-05-26,574.6822429906542,1286.192523364486,2166.9799065420566,1072.4
2018-05-27,617.1028037383178,1533.7906542056076,2477.8373831775702,831.7999999999998
2018-05-28,624.1009345794394,1491.2635514018693,2446.3457943925223,937.9000000000001
2018-05-29,631.0990654205608,1448.7364485981311,2414.854205607477,707.2000000000002
2018-05-30,638.0971962616823,1406.2093457943924,2383.36261682243,675.6
2018-05-31,645.0953271028037,1363.682242990654,2351.8710280373834,994.3
2018-06-01,652.0934579439254,1321.155140186916,2320.379439252337,665.1999999999999
2018-06-02,659.0915887850465,1278.6280373831773,2288.8878504672884,352.4
2018-06-03,666.0897196261681,1236.1009345794394,2257.396261682243,453.0
2018-06-04,608.047663551402,1069.3411214953267,2001.9355140186915,580.2
2018-06-05,956.8,1039.4,2505.9000000000005,508.0
2018-06-06,1037.6,1245.3999999999999,2836.2,729.3000000000001
2018-06-07,1218.8999999999999,1395.4999999999998,3264.5000000000005,688.7
2018-06-08,1198.1,1314.1,3151.2000000000003,641.3
2018-06-09,800.6999999999999,1061.5000000000002,2289.1,559.8000000000002
2018-06-10,661.5,799.1000000000001,1814.0,482.99999999999994
2018-06-11,1044.1000000000001,1105.1,2706.2000000000003,443.1
2018-06-12,1035.6000000000001,1076.0,2663.6000000000004,456.2000000000001
2018-06-13,950.9000000000001,1052.8,2510.2999999999997,435.3
2018-06-14,574.0,602.9000000000001,1483.2,461.0
2018-06-15,562.4,749.3999999999999,1611.3999999999996,435.8
2018-06-16,428.6999999999999,552.7000000000002,1210.7,382.4
2018-06-17,343.95,404.36052631578946,932.2789473684211,304.0000000000001
2018-06-18,401.0,624.8947368421052,1240.6105263157897,334.5384615384615
2018-06-19,391.4,642.578947368421,1243.6421052631579,359.6615384615385
2018-06-20,381.79999999999995,660.263157894737,1246.6736842105263,286.8
2018-06-21,372.2,677.9473684210526,1249.7052631578945,367.45
2018-06-22,475.49999999999994,901.4052631578946,1631.3894736842105,508.4
2018-06-23,324.00000000000006,803.5999999999999,1300.1000000000001,498.90000000000003
2018-06-24,780.5000000000001,1470.6999999999998,2667.5000000000005,572.5
2018-06-25,428.8,1363.5000000000002,2020.9000000000003,637.6
2018-06-26,1061.2,1652.1000000000004,3279.4999999999995,612.5
2018-06-27,1009.5,1303.1999999999996,2850.500000000001,647.1
2018-06-28,937.7,1391.8,2829.5,702.1000000000001
2018-06-29,1011.6000000000001,1432.2,2983.6999999999994,572.5999999999999
2018-06-30,802.4,1267.8,2497.9999999999995,557.4
2018-07-01,589.1,1483.0000000000005,2386.3,674.7000000000002
2018-07-02,862.0,1468.1000000000001,2789.5,537.8
2018-07-03,797.3,1208.6,2431.0,538.5
2018-07-04,1004.98078817734,1611.977339901478,3152.854679802956,664.6999999999999
2018-07-05,423.3753694581281,1141.0581280788176,1790.1162561576355,703.4
2018-07-06,527.5093596059113,1185.6059113300491,1994.4118226600986,726.6999999999999
2018-07-07,631.6433497536945,1230.153694581281,2198.7073891625614,768.85
2018-07-08,735.7773399014778,1274.7014778325124,2403.0029556650247,637.5000000000001
2018-07-09,839.9113300492612,1319.2492610837442,2607.298522167488,551.6999999999999
2018-07-10,944.0453201970444,1363.7970443349757,2811.5940886699505,420.7909090909091
2018-07-11,1048.1793103448276,1408.344827586207,3015.8896551724138,778.5590909090912
2018-07-12,1152.3133004926108,1452.8926108374385,3220.1852216748766,640.4
2018-07-13,1065.9645320197044,1559.5197044334977,3194.039408866996,620.5999999999998
2018-07-14,577.1999999999999,1270.7999999999997,2155.7,553.8000000000001
2018-07-15,306.90000000000003,903.4,1374.1,413.0
2018-07-16,432.8000000000001,1047.0,1710.3999999999996,448.3
2018-07-17,418.4000000000001,653.4,1295.0,340.6
2018-07-18,747.6,1189.1000000000001,2336.1,421.8
2018-07-19,1254.1999999999998,1733.6000000000001,3656.499999999999,590.1
2018-07-20,1013.5000000000001,1603.3999999999999,3157.5000000000005,696.1999999999999
2018-07-21,326.1000000000001,1044.7,1545.0000000000005,561.0
2018-07-22,346.8,890.5999999999999,1422.3999999999999,425.1
2018-07-23,578.1,1097.0,1983.7000000000003,441.4
2018-07-24,505.29999999999995,1107.4999999999998,1882.0,452.90000000000003
2018-07-25,686.9,1407.3000000000004,2460.2000000000003,538.5999999999999
2018-07-26,935.2999999999998,1851.6,3286.0000000000005,752.4000000000001
2018-07-27,579.0,1266.1999999999998,2154.1000000000004,627.9
2018-07-28,432.40000000000003,677.2000000000002,1339.7999999999997,453.49999999999994
2018-07-29,280.84999999999997,585.8,1016.45,379.79999999999995
2018-07-30,544.223076923077,932.1230769230774,1767.530769230769,339.40000000000003
2018-07-31,732.676923076923,1129.3769230769228,2253.7692307692314,347.00000000000006
2018-08-01,656.6,1007.1999999999999,2013.8000000000002,420.8999999999999
2018-08-02,557.3,993.5,1847.8,423.2
2018-08-03,701.6000000000001,1231.0,2306.7000000000003,510.90000000000003
2018-08-04,512.5500000000001,860.9000000000001,1646.5,359.20000000000005
2018-08-05,560.1868852459016,1065.1901639344262,1924.588524590164,426.9
2018-08-06,761.1934426229507,1617.8950819672139,2786.144262295082,579.9
2018-08-07,754.4196721311475,1786.014754098361,2944.1672131147534,589.7500000000001
2018-08-08,593.8,937.3000000000001,1847.8999999999999,349.40000000000003
2018-08-09,1069.4,1100.5,2740.600000000001,418.99999999999994
2018-08-10,839.4,948.5999999999999,2235.6000000000004,304.2
2018-08-11,955.5000000000001,1090.0,2555.2,403.19999999999993
2018-08-12,665.7,885.1000000000001,1906.4499999999998,331.00000000000006
2018-08-13,631.5,779.3000000000001,1747.6499999999996,362.29999999999995
2018-08-14,609.4,776.6999999999998,1710.4999999999998,339.09999999999997
2018-08-15,642.0,869.4,1853.0,410.1000000000001
2018-08-16,952.6000000000001,879.25,2340.1000000000004,422.8
2018-08-17,887.1000000000003,882.8,2243.1000000000004,422.3
2018-08-18,546.1999999999999,731.5999999999998,1568.5,425.9
2018-08-19,454.8409090909092,535.3420454545455,1232.6977272727272,354.59999999999997
2018-08-20,586.8545454545455,694.022727272727,1591.6636363636367,338.29999999999995
2018-08-21,495.21818181818173,660.6409090909088,1417.5545454545456,340.3
2018-08-22,403.5818181818182,627.2590909090909,1243.4454545454548,376.90000000000003
2018-08-23,290.3045454545454,598.1852272727273,1041.3386363636364,279.20000000000005
2018-08-24,466.9,711.5999999999999,1427.5,313.7500000000001
2018-08-25,755.1,906.7999999999998,2064.6,366.1
2018-08-26,668.1,991.7999999999997,2016.3000000000004,358.90000000000003
2018-08-27,341.20000000000005,642.1,1165.3,266.5
2018-08-28,1371.5,1575.0999999999997,3677.9,454.2
2018-08-29,606.7,1037.5,1968.0000000000002,365.4
2018-08-30,1397.8000000000002,1586.5,3729.6,536.3
2018-08-31,1767.3000000000002,1915.5000000000002,4625.3,655.0999999999999
2018-09-01,1056.3999999999999,1607.0,3226.7,678.6000000000003
2018-09-02,794.5,1525.3,2743.8,658.0
2018-09-03,1136.8999999999999,1928.9999999999998,3672.3,721.0999999999999
