MeasurementDateGMT,Wandsworth - Wandsworth Town Hall: Nitric Oxide (ug/m3),Wandsworth - Wandsworth Town Hall: Nitrogen Dioxide (ug/m3),Wandsworth - Wandsworth Town Hall: Oxides of Nitrogen (ug/m3),Wandsworth - Wandsworth Town Hall: Ozone (ug/m3)
2018-01-01,169.59999999999994,636.0,895.9999999999999,1024.3
2018-01-02,369.59999999999997,737.4999999999999,1304.4,753.7
2018-01-03,146.8,358.49999999999994,583.8000000000001,1253.0000000000005
2018-01-04,265.49999999999994,612.7000000000002,1020.4000000000001,980.0000000000001
2018-01-05,597.6999999999999,1048.4999999999998,1965.1999999999998,762.4
2018-01-06,1333.3000000000002,1437.8,3482.3,273.9
2018-01-07,407.2000000000001,705.4999999999999,1330.0,764.0999999999999
2018-01-08,502.59999999999985,712.6,1483.1999999999998,314.99999999999994
2018-01-09,701.3,677.9,1753.4,143.7
2018-01-10,1443.4,1204.3000000000002,3417.7999999999997,469.6000000000001
2018-01-11,2814.8000000000006,1154.3500000000001,5470.0,61.649999999999984
2018-01-12,680.1000000000001,953.3000000000001,1996.4,365.90000000000003
2018-01-13,136.69999999999996,510.49999999999994,720.1,717.0999999999999
2018-01-14,281.29999999999995,827.0999999999999,1258.2000000000003,505.7999999999999
2018-01-15,247.50000000000003,671.7500000000001,1051.4,789.3499999999999
2018-01-16,202.90000000000003,625.6,936.4999999999999,1035.4999999999998
2018-01-17,292.6,680.3000000000001,1128.8999999999999,891.3
2018-01-18,377.5999999999999,921.8000000000002,1500.2999999999997,777.1999999999999
2018-01-19,293.50000000000006,862.4000000000002,1312.8,757.6000000000003
2018-01-20,507.3,1322.9999999999998,2100.4999999999995,450.70000000000005
2018-01-21,293.7000000000001,942.2000000000003,1392.5,384.90000000000003
2018-01-22,858.3000000000002,1259.3,2574.7,424.99999999999994
2018-01-23,268.30000000000007,638.6999999999998,1050.6,776.5999999999998
2018-01-24,254.7,676.9,1067.3999999999999,915.4000000000003
2018-01-25,473.59999999999997,928.4999999999999,1654.7,718.0999999999999
2018-01-26,1743.4999999999998,1490.8000000000002,4164.4,146.6
2018-01-27,345.59999999999997,826.7999999999998,1356.8000000000002,491.6500000000001
2018-01-28,88.1,365.8,500.59999999999997,1016.1999999999999
2018-01-29,639.6,948.3999999999999,1929.5,721.1999999999999
2018-01-30,1289.1,1325.8,3302.3999999999996,236.39999999999998
2018-01-31,288.09999999999997,702.9999999999999,1144.9,922.8
2018-02-01,986.1999999999999,1215.3,2727.7,505.40000000000003
2018-02-02,1299.6999999999998,1325.1,3317.7,252.09999999999997
2018-02-03,530.4000000000001,1277.6999999999998,2091.0,206.70000000000002
2018-02-04,478.1,861.6000000000001,1594.5,587.7
2018-02-05,754.1,1095.2999999999997,2251.7000000000003,427.00000000000006
2018-02-06,1245.3,1370.1000000000004,3279.6,273.2
2018-02-07,1631.6,1602.3000000000002,4103.799999999999,192.5
2018-02-08,919.3999999999999,1266.2999999999997,2675.5,438.80000000000007
2018-02-09,795.0000000000001,1211.1,2430.0,543.3
2018-02-10,295.6000000000001,809.3,1262.8999999999999,581.0000000000001
2018-02-11,311.09999999999997,740.4,1216.9,879.4000000000001
2018-02-12,350.49999999999994,895.0999999999999,1432.7,715.8000000000001
2018-02-13,332.3,800.6000000000001,1309.8,715.6999999999999
2018-02-14,421.9000000000001,897.8000000000001,1544.9,476.1
2018-02-15,280.1,802.6,1231.9,734.8000000000001
2018-02-16,564.5,1211.4,2076.7,468.0999999999999
2018-02-17,849.9000000000003,1366.5,2669.7999999999997,383.50000000000006
2018-02-18,496.8,1022.5999999999999,1784.7,602.8000000000001
2018-02-19,927.8000000000002,1097.8999999999999,2520.6000000000004,228.39999999999998
2018-02-20,799.0000000000001,1056.2,2281.4999999999995,394.59999999999997
2018-02-21,993.9000000000002,1296.6999999999998,2820.7,353.7
2018-02-22,488.7,1161.6000000000001,1910.9000000000003,594.0
2018-02-23,611.5999999999999,1308.1,2245.9,371.50000000000006
2018-02-24,381.6000000000001,1076.3,1661.0000000000002,481.69999999999993
2018-02-25,307.59999999999997,894.1,1365.8000000000002,734.5000000000001
2018-02-26,542.7999999999998,971.8999999999999,1803.8000000000004,807.3
2018-02-27,666.6,1325.4999999999998,2347.8,530.1
2018-02-28,423.40000000000003,1006.6000000000003,1655.6,569.6000000000001
2018-03-01,315.59999999999997,853.7,1337.6999999999998,517.6999999999999
2018-03-02,364.3,979.8000000000001,1539.1,330.4
2018-03-03,450.1,1148.9,1838.6999999999996,135.5
2018-03-04,314.3999999999999,911.2000000000002,1393.2999999999997,516.3
2018-03-05,219.20000000000002,758.0,1093.8,751.4
2018-03-06,415.6499999999999,1077.25,1714.6999999999998,591.0000000000001
2018-03-07,1009.9999999999999,1412.1000000000001,2961.0999999999995,390.40000000000003
2018-03-08,255.70000000000002,653.4000000000001,1045.2,927.2
2018-03-09,446.9000000000001,1055.6999999999998,1741.0000000000002,393.7
2018-03-10,246.09999999999997,737.0000000000001,1114.3999999999996,540.3999999999999
2018-03-11,583.9999999999999,1434.2,2329.6,209.9
2018-03-12,1117.4000000000003,1348.9,3061.8999999999996,186.5
2018-03-13,827.0000000000001,1232.6,2500.3999999999996,376.1
2018-03-14,140.7,596.1,811.7,998.8000000000002
2018-03-15,193.29999999999998,778.7,1075.4,883.4000000000001
2018-03-16,367.80000000000007,994.6999999999998,1558.8000000000002,773.2
2018-03-17,435.80000000000007,759.5999999999999,1427.9,709.9000000000003
2018-03-18,319.5,779.2,1269.5,752.9999999999999
2018-03-19,499.19999999999993,930.0999999999999,1695.8999999999996,922.2
2018-03-20,822.4999999999999,1323.5000000000002,2584.3999999999996,674.0
2018-03-21,894.4,1545.5,2916.9999999999995,378.40000000000003
2018-03-22,320.4,759.6999999999999,1250.8000000000002,839.6
2018-03-23,186.9,591.3,877.8,1074.8
2018-03-24,334.59999999999997,974.5999999999999,1488.2,365.29999999999995
2018-03-25,811.3,1430.7,2674.0,281.0
2018-03-26,816.9,1429.6000000000004,2681.8,595.5
2018-03-27,382.9,909.8000000000001,1497.1999999999998,743.5999999999997
2018-03-28,583.8000000000001,1200.3999999999999,2095.2000000000003,642.2999999999998
2018-03-29,298.90000000000015,858.9999999999999,1317.1,714.7000000000002
2018-03-30,278.09999999999997,977.1,1403.5999999999997,584.5000000000001
2018-03-31,355.9000000000001,696.4000000000001,1242.5,608.1999999999999
2018-04-01,206.89999999999995,698.8999999999999,1016.1,741.1
2018-04-02,119.5,464.9,648.4999999999999,749.6999999999998
2018-04-03,222.19999999999996,506.29999999999995,847.2,896.4000000000001
2018-04-04,201.3,519.6000000000001,828.1,1012.4
2018-04-05,448.30000000000007,754.6,1441.6,1001.2999999999998
2018-04-06,244.7,747.0,1122.2,867.8999999999997
2018-04-07,366.7,974.8000000000003,1537.1,569.4999999999999
2018-04-08,379.9000000000001,1009.3000000000001,1592.4000000000003,450.79999999999995
2018-04-09,598.0,1183.6,2100.4,245.20000000000005
2018-04-10,596.0000000000001,1398.4000000000003,2312.4999999999995,295.4
